id,province_id,date,status
1,51,8/29/2018,Gelombang I
2,32,6/13/2018,Gelombang I
3,33,8/23/2018,Gelombang I
4,35,2/12/2019,Gelombang I
5,61,1/14/2018,Gelombang I
6,64,12/17/2018,Gelombang I
7,18,6/2/2019,Gelombang I
8,81,3/10/2019,Gelombang I
9,82,5/5/2019,Gelombang I
10,52,9/17/2018,Gelombang I
11,53,7/16/2018,Gelombang I
12,91,4/9/2018,Gelombang I
13,14,2/19/2019,Gelombang I
14,73,4/8/2018,Gelombang I
15,74,2/18/2018,Gelombang I
16,16,11/7/2018,Gelombang I
17,12,6/17/2018,Gelombang I
18,36,1/11/2017,Gelombang II
19,34,10/10/2017,Gelombang II
20,31,10/15/2017,Gelombang II
21,75,1/16/2017,Gelombang II
22,19,5/7/2017,Gelombang II
23,11,6/25/2017,Gelombang II
24,92,1/17/2017,Gelombang II
25,76,12/14/2016,Gelombang II
26,51,8/29/2018,Gelombang III
27,32,6/13/2018,Gelombang III
28,33,8/23/2018,Gelombang III
29,35,2/12/2019,Gelombang III
30,61,1/14/2018,Gelombang III
31,64,12/17/2018,Gelombang III
32,18,6/2/2019,Gelombang III
33,81,3/10/2019,Gelombang III
34,82,5/5/2019,Gelombang III
35,52,9/17/2018,Gelombang III
36,53,7/16/2018,Gelombang III
37,91,4/9/2018,Gelombang III
38,14,2/19/2019,Gelombang III
39,73,4/8/2018,Gelombang III
40,74,2/18/2018,Gelombang III
41,16,11/7/2018,Gelombang III
42,12,6/17/2018,Gelombang III
