id,link,title,time,date
1,http://www.dpr.go.id/agenda/detail/id/7306,"Rapat Komisi VI DPR RI mengenai PMN I dengan Deputi Bidang Usaha Energi, Logistik dan Perhubungan dan PT Pelindo IV (Persero)",09:00,2015-01-26
2,http://www.dpr.go.id/agenda/detail/id/7311,Rapat Komisi VI DPR RI mengenai PMN II dengan Deputi Bidang Usaha Agro dan Industri Strategis dan Perum Bulog,09:00,2015-01-26
3,http://www.dpr.go.id/agenda/detail/id/7212,"Rapat Kerja Komisi VIII DPR RI dengan Menteri Agama RI (DITUNDA menjadi tanggal 27-1-2015, pukul 19.00 WIB).",10:00,2015-01-26
4,http://www.dpr.go.id/agenda/detail/id/7281,Raker Komisi IV DPR RI dengan Menteri Kelautan dan Perikanan,10:00,2015-01-26
5,http://www.dpr.go.id/agenda/detail/id/7298,Rapat Kerja Komisi I DPR RI dengan Menteri Pertahanan RI,10:00,2015-01-26
6,http://www.dpr.go.id/agenda/detail/id/7290,Komisi IX RDP dgn Dirut BPJS Ketenagakerjaan,10:00,2015-01-26
7,http://www.dpr.go.id/agenda/detail/id/7307,"Rapat Komisi VI DPR RI mengenai PMN I dengan Deputi Bidang Usaha Energi, Logistik dan Perhubungan dan PT Djakarta LIoyd (Persero)",13:30,2015-01-26
8,http://www.dpr.go.id/agenda/detail/id/7312,Rapat Komisi VI DPR RI mengenai PMN II dengan Deputi Bidang Usaha Agro dan Industri Strategis dan PT Garam (Persero),13:30,2015-01-26
9,http://www.dpr.go.id/agenda/detail/id/7309,RDP Komisi XI dengan BPS,14:00,2015-01-26
10,http://www.dpr.go.id/agenda/detail/id/7316,RDPU Komisi III,14:00,2015-01-26
11,http://www.dpr.go.id/agenda/detail/id/7325,Rapat Intern Komisi V DPR RI,14:00,2015-01-26
12,http://www.dpr.go.id/agenda/detail/id/7328,"Rapat pimpinan, Banggar dan Kapoksi",14:00,2015-01-26
13,http://www.dpr.go.id/agenda/detail/id/7310,"Raker Komisi XI dgn Menkeu, Men PPN, Gub BI, Ka. BPS",19:00,2015-01-26
14,http://www.dpr.go.id/agenda/detail/id/7308,"Rapat Komisi VI DPR RI mengenai PMN I dengan Deputi Bidang Usaha Energi, Logistik dan Perhubungan dan PT Kereta Api Indonesia (Persero)",19:30,2015-01-26
15,http://www.dpr.go.id/agenda/detail/id/7313,Rapat Komisi VI DPR RI mengenai PMN II dengan Deputi Bidang Usaha Agro dan Industri Strategis dan PT RNI (Persero),19:30,2015-01-26
16,http://www.dpr.go.id/agenda/detail/id/7213,"Rapat Kerja Komisi VIII DPR RI dengan Menteri Agama RI, Menteri Kesehatan RI, dan Menteri Perhubungan RI.",13:00,2015-01-27
17,http://www.dpr.go.id/agenda/detail/id/7337,"Komisi IV DPR RI RDP dgn Sekjen Kemtan, Sekjen Lingk. Hidup dan Kehutanan serta Sekjen KKP",13:00,2015-01-27
18,http://www.dpr.go.id/agenda/detail/id/7314,"Rapat Komisi VI DPR RI mengenai PMN I dengan Deputi Bidang Usaha Jasa Keuangan, Jasa Konstruksi dan Jasa Lain dan Perum Perumnas",13:30,2015-01-27
19,http://www.dpr.go.id/agenda/detail/id/7317,Rapat Komisi VI DPR RI mengenai PMN II dengan Deputi Bidang Usaha Agro dan Industri Strategis dan PT. Perikanan Nusantara (Persero),13:30,2015-01-27
20,http://www.dpr.go.id/agenda/detail/id/7299,Rapat Kerja Komisi I DPR RI dengan Menteri Komunikasi dan Informatika RI,14:00,2015-01-27
21,http://www.dpr.go.id/agenda/detail/id/7327,"Badan Anggaran DPR RI - Rapat Kerja dengan Menteri Keuangan RI, Menteri PPN/Kepala Bappenas, Menteri Hukum dan HAM dan Gubernur Bank Indonesia (DITUNDA)",14:00,2015-01-27
22,http://www.dpr.go.id/agenda/detail/id/7329,RDP Komisi II DPR RI dengan Institut Pemerintahan Dalam Negeri (IPDN),14:00,2015-01-27
23,http://www.dpr.go.id/agenda/detail/id/7338,Raker Komisi XI dgn Menkeu,14:00,2015-01-27
24,http://www.dpr.go.id/agenda/detail/id/7335,RDP Komisi III dengan PPATK,15:00,2015-01-27
25,http://www.dpr.go.id/agenda/detail/id/7305,Rapat Kerja Komisi VIII DPR RI dengan Menteri Agama RI.,19:00,2015-01-27
26,http://www.dpr.go.id/agenda/detail/id/7315,"Rapat Komisi VI DPR RI mengenai PMN I dengan Deputi Bidang Usaha Jasa Keuangan, Jasa Konstruksi dan Jasa Lain dan PT. Permodalan Nasional Madani",19:30,2015-01-27
27,http://www.dpr.go.id/agenda/detail/id/7318,Rapat Komisi VI DPR RI mengenai PMN II dengan Deputi Bidang Usaha Agro dan Industri Strategis dan Perum Perikanan Indonesia,19:30,2015-01-27
28,http://www.dpr.go.id/agenda/detail/id/7319,"Rapat Komisi VI DPR RI mengenai PMN I dengan Deputi Bidang Usaha Jasa Keuangan, Jasa Konstruksi dan Jasa Lain dan PT, Bank Mandiri (Persero) Tbk",09:00,2015-01-28
29,http://www.dpr.go.id/agenda/detail/id/7322,Rapat Komisi VI DPR RI mengenai PMN II dengan Deputi Bidang Usaha Agro dan Industri Strategis dan PT. Industri Kapal Indonesia (Persero),09:00,2015-01-28
30,http://www.dpr.go.id/agenda/detail/id/7326,Raker Komisi V DPR RI dengan Menteri Perhubungan,09:30,2015-01-28
31,http://www.dpr.go.id/agenda/detail/id/7214,Rapat Kerja Komisi VIII DPR RI dengan Menteri Sosial RI.,10:00,2015-01-28
32,http://www.dpr.go.id/agenda/detail/id/7292,Komisi IX RDP dgn Kepala BKKBN,10:00,2015-01-28
33,http://www.dpr.go.id/agenda/detail/id/7302,Rapat Dengar Pendapat Komisi I DPR RI dengan Gubernur Lemhannas dan Sekjen Wantannas,10:00,2015-01-28
34,http://www.dpr.go.id/agenda/detail/id/7336,Rapat Kerja Komisi III dengan Jaksa Agung RI,10:00,2015-01-28
35,http://www.dpr.go.id/agenda/detail/id/7369,"Badan Anggaran DPR RI - Rapat Kerja dengan Menteri Keuangan RI, Menteri PPN/Kepala Bappenas, Menteri Hukum dan HAM dan Gubernur Bank Indonesia (BATAL)",10:00,2015-01-28
36,http://www.dpr.go.id/agenda/detail/id/7330,Rapat Konsultasi Pimpinan & Kapoksi Komisi II DPR RI dengan pimpinan DPR RI & MK,13:00,2015-01-28
37,http://www.dpr.go.id/agenda/detail/id/7370,"Badan Anggaran DPR RI - Rapat Panja Asumsi Dasar, Pendapatan, Defisit dan Pembiayaan dengan Pemerintah",13:00,2015-01-28
38,http://www.dpr.go.id/agenda/detail/id/7323,Rapat Komisi VI DPR RI mengenai PMN II dengan Deputi Bidang Usaha Agro dan Industri Strategis dan PT. Dirgantara Indonesia (persero),13:30,2015-01-28
39,http://www.dpr.go.id/agenda/detail/id/7361,Raker Komisi V DPR RI dengan Menteri Perhubungan RI,13:30,2015-01-28
40,http://www.dpr.go.id/agenda/detail/id/7339,Raker Komisi XI dgn Menkeu RI,14:00,2015-01-28
41,http://www.dpr.go.id/agenda/detail/id/7364,Rapat Kerja Komisi I DPR RI dengan Kepala B.I.N. (Rapat Tertutup) didahului Makan Malam,18:00,2015-01-28
42,http://www.dpr.go.id/agenda/detail/id/7321,"Rapat Komisi VI DPR RI mengenai PMN I dengan Deputi Bidang Usaha Jasa Keuangan, Jasa Konstruksi dan Jasa Lain dan PT. Perusahaan Pengelola Aset (Persero)",19:30,2015-01-28
