id,wilayah_id,tanggal,diajukan,disetujui,digunakan,no_surat_nphd,dokumen_nphd,parpol_pendukung,
1,56187,0000-00-00,19414300000,19414300000,17679000000,NO.24 TAHUN 2015 & NO.136.1/NPHD/KPU-Kab.017.433861/V/2015,11_angg_a.php.jpg,NULL,
2,26067,0000-00-00,10708400000,10613400000,0,900/32/HIBAH/III.13/2015, 084/KPU-KAB.008.435579/V/2015,_angg_NPHD KPU LAMBAR PILKADA PESBAR 300 DPI.pdf,NULL
3,67712,0000-00-00,110000000000,92000000000,0,197/17/BHO/2015 dan 018/PHD/KPU.Prov/Kaltara/V/2015,13_angg_NPHD Mat 2.pdf,NULL,
4,58824,0000-00-00,13045200000,11548000000,11548000000,"900/DPPKAD/50/V/2015, 01/KB/KPU-Kab/018.434016/V/2015",14_angg_NHPD KPU KAB MANGGARAI.pdf,NULL,
5,21386,0000-00-00,16000000000,16000000000,16000000000,"13/KPTS/DPPKAD/2015, 11/KPU.Kab.006.435441/2015",15__angg_1.jpg,NULL,
6,56467,0000-00-00,28000000000,18000000000,3525000000,596/023/01.8/2015 DAN 126/KB/KPU-Kab-017.433852/IV/2015,17__angg_NPHD.pdf,NULL,
7,56789,0000-00-00,20000000000,20000000000,15000000000,900/269/BPKAD-MTR/IV/2015 (270/140/KPU-KM/IV/2015,18__angg_nphd accc.pdf,NULL,
8,65605,0000-00-00,16700000000,13600000000,0,NOMOR :900/257/2015&NOMOR :52/PHD/KPU.Kab.-022.435987/V/2015,19__angg_NPHD KAB.HST KAL-SEL.pdf,NULL,
9,55333,0000-00-00,15666900000,13973400000,0,900/526/KBPPM/Setda dan 99/KPU.Kab/016.433764/IV/ 2015,21_angg_NPHD.compressed.pdf,NULL,
10,55760,0000-00-00,41833800000,24931300000,3063450000,905/72/KEU,22__angg_NPHD KPU KAB LOTENG 2015 (1).pdf,NULL,
11,55256,0000-00-00,11399800000,8000000000,0,270/144/PEM/2015 dan 072/KPU-Kab.016433770/IV/ 2015,,NULL,
12,54901,0000-00-00,23041800000,16444000000,0,900/001/Keu-SKPKD/2015,24_angg_NPHD.jpg,NULL,
13,54656,0000-00-00,25000000000,18085000000,0,270/04-Huk/2015 dan 01/KPU-CLG.015-436430/HIBAH/IV/2015,,NULL,
14,54182,0000-00-00,38484000000,21103300000,0,978/NPHD.09-Huk/2015 dan 900/113/KPU.KAB.SRG/015.436395/IV/2,,NULL,
15,53129,0000-00-00,41006500000,38466636000,0,978.5/03.PPKD/IV/2015 dan 41/KPU.Kab.PDG.015436409/IV/2015,27_angg_NPHD KAB. PANDEGLANG 2015_opt.pdf,NULL,
16,54781,0000-00-00,62150300000,60949207318,0,403/955/kesbangpolinmas/2015 dan 37/KPU-Kota Tangsel-015.436,,NULL,
17,21841,0000-00-00,82600000000,67978400000,0,02/NPHD Tahun 2015,,NULL,
18,22850,0000-00-00,15500000000,14000000000,0,900/8/B7/IV/2015 dan 01/KPU-MM/IV/2015,,NULL,
19,22633,0000-00-00,16600000000,7000000000,0,900/05/NPHD/B.2/2015 dan 01/KPU-Kab./007.434367/IV/2015,,NULL,
20,23134,0000-00-00,12900000000,8400000000,0,468/12/415.43.900/KPH/2015 dan 067/KPU-Kab.007.434311/IV/201,,NULL,
21,23017,0000-00-00,14000000000,6000000000,0,09/B.3/2015 dan 97/KPU-Kab./007.434336/IV/2015,,NULL,
22,21842,0000-00-00,17755800000,17755800000,0,12 Tahun 2015 dan 01/KPU.BS/2015,,NULL,
23,22184,0000-00-00,16872300000,16872300000,0,9.424/0697/DPKAD dan 05/Kpts/KPU-KAB-007.434342/V/2015,35_angg_NPHD_BU.PDF,NULL,
24,22422,0000-00-00,14000000000,11422700000,0,415.4-612 Tahun 2015,,NULL,
25,43506,0000-00-00,26000000000,18628446500,655915775,900/02195 dan 165/KPU.Kab/Btl.013.0329600/V/2-15,,NULL,
26,43599,0000-00-00,22850000000,18841600000,0,903/1911/SPHIBAH/2015,38_angg_nphd kpu kab gunungkidul.pdf,Partai Gerindra,
27,43599,0000-00-00,22850000000,18841600000,0,903/1911/SPHIBAH/2015,38_angg_nphd kpu kab gunungkidul.pdf,PDI Perjuangan,
28,43599,0000-00-00,22850000000,18841600000,0,903/1911/SPHIBAH/2015,38_angg_nphd kpu kab gunungkidul.pdf,PARTAI BULAN BINTANG,
29,43599,0000-00-00,22850000000,18841600000,0,903/1911/SPHIBAH/2015,38_angg_nphd kpu kab gunungkidul.pdf,Partai Demokrat,
30,43762,0000-00-00,30640500000,22583300000,0,24/PK.KDH/A/2015 dan 66/NPHD/KPU.Kab-13.329625/2015,,NULL,
