id,nama
7293,KAB. TAPANULI SELATAN
7560,KAB. NIAS
8042,KAB. KARO
8742,KAB. SIMALUNGUN
9187,KAB. ASAHAN
9417,KAB. LABUHANBATU
9683,KAB. TOBA SAMOSIR
9943,KAB. MANDAILING NATAL
10371,KAB. NIAS SELATAN
10864,KAB. PAKPAK BHARAT
10925,KAB. HUMBANG HASUNDUTAN
11090,KAB. SAMOSIR
11234,KAB. SERDANG BEDAGAI
12368,KAB. LABUHANBATU SELATAN
12428,KAB. LABUHANBATU UTARA
12527,KAB. NIAS UTARA
12652,KAB. NIAS BARAT
12766,KOTA MEDAN
12939,KOTA PEMATANG SIANTAR
13000,KOTA SIBOLGA
13022,KOTA TANJUNG BALAI
13060,KOTA BINJAI
13103,KOTA TEBING TINGGI
13144,KOTA PADANGSIDIMPUAN
13230,KOTA GUNUNGSITOLI
13339,KAB. PESISIR SELATAN
13537,KAB. SOLOK
13626,KAB. SIJUNJUNG
13696,KAB. TANAH DATAR
13786,KAB. PADANG PARIAMAN
13864,KAB. AGAM
13963,KAB. LIMA PULUH KOTA
14056,KAB. PASAMAN
14101,KAB. KEPULAUAN MENTAWAI
14155,KAB. DHARMASRAYA
14219,KAB. SOLOK SELATAN
14266,KAB. PASAMAN BARAT
14297,KOTA PADANG
14413,KOTA SOLOK
14429,KOTA SAWAHLUNTO
14471,KOTA PADANG PANJANG
14490,KOTA BUKITTINGGI
14518,KOTA PAYAKUMBUH
14600,KOTA PARIAMAN
14949,KAB. INDRAGIRI HULU
15158,KAB. BENGKALIS
15580,KAB.  PELALAWAN
15711,KAB.  ROKAN HULU
15873,KAB.  ROKAN HILIR
16073,KAB.  SIAK
16219,KAB. KUANTAN SINGINGI
16464,KAB. KEPULAUAN MERANTI
16646,KOTA DUMAI
16688,KAB.  KERINCI
16992,KAB.  MERANGIN
17232,KAB. SAROLANGUN
17401,KAB. BATANGHARI
17533,KAB.  MUARO JAMBI
17700,KAB. TANJUNG JABUNG BARAT
