id,jenis_wilayah,nama_wilayah,jumlah_ppk,jumlah_pps,jumlah_tps,jumlah_kpps
1,KABUPATEN,KAB. SIDOARJO,90,1047,2463,17241
2,KABUPATEN,KAB. SUMBAWA,120,495,861,6027
3,KABUPATEN,KAB. SUMBAWA BARAT,40,192,195,1365
4,KABUPATEN,KAB. TORAJA UTARA,105,453,521,0
5,KABUPATEN,KAB. SERDANG BEDAGAI,85,729,1393,9751
6,KABUPATEN,KAB. DOMPU,40,243,458,3206
7,KABUPATEN,KAB. SOLOK SELATAN,21,117,395,3555
8,KABUPATEN,KAB. LABUHANBATU SELATAN,25,162,666,4662
9,KABUPATEN,KAB. PESISIR BARAT,55,354,282,2538
10,PROPINSI,KALIMANTAN UTARA,250,1437,1302,0
11,KABUPATEN,KAB. WAKATOBI,40,300,274,1918
12,KABUPATEN,KAB. MANGGARAI,55,486,600,4200
13,KABUPATEN,KAB. REJANG LEBONG,75,468,504,3878
14,KABUPATEN,KAB. KONAWE UTARA,10,145,161,161
15,KABUPATEN,KAB. HUMBANG HASUNDUTAN,50,462,375,3375
16,KABUPATEN,KAB. LIMA PULUH KOTA,65,237,708,4956
17,KOTA,KOTA MATARAM,30,150,662,4634
18,PROPINSI,KALIMANTAN SELATAN,152,2009,0,0
19,KABUPATEN,KAB. NGADA,60,453,288,2016
20,KABUPATEN,KAB. LAMPUNG TIMUR,24,264,1610,11270
21,KABUPATEN,KAB. BIMA,90,573,693,0
22,KABUPATEN,KAB. HULU SUNGAI TENGAH,55,507,638,4466
23,KABUPATEN,KAB. BINTAN,10,51,315,315
24,KABUPATEN,KAB. JEMBER,155,744,4347,30429
25,KABUPATEN,KAB. KUTAI BARAT,80,582,364,2548
26,KOTA,KOTA SAMARINDA,50,177,1580,11060
27,KOTA,KOTA GUNUNGSITOLI,30,303,260,1820
28,KABUPATEN,KAB. TUBAN,100,984,1863,13041
29,KOTA,KOTA DENPASAR,20,129,816,5712
30,KABUPATEN,KAB. LOMBOK TENGAH,60,417,1500,10500
31,KOTA,KOTA BONTANG,15,45,274,1918
32,KABUPATEN,KAB. BANJAR,95,870,1173,8211
33,KABUPATEN,KAB. TABANAN,10,266,799,5593
34,KABUPATEN,KAB. JEMBRANA,5,51,413,2891
35,KOTA,KOTA CILEGON,8,43,630,4410
36,KABUPATEN,KAB. SERANG,145,978,2149,15043
37,KABUPATEN,KAB. PANDEGLANG,175,1017,1903,13321
38,KABUPATEN,KAB. BENGKULU SELATAN,55,474,323,2261
39,KABUPATEN,KAB. BENGKULU UTARA,17,220,581,4067
40,KABUPATEN,KAB. KAUR,15,195,0,0
41,KABUPATEN,KAB. SELUMA,14,202,0,0
42,KABUPATEN,KAB. MUKO MUKO,15,151,0,0
43,KABUPATEN,KAB. LEBONG,12,104,182,0
44,KABUPATEN,KAB. BENGKULU TENGAH,10,143,0,0
