id,name
246,Ridwan Mukti
624,Sultan B Najamudin
494,H. HASAN BASRI AGUS
441,"H. ZUMI ZOLA ZULKIFLI, S.TP, MA"
511,H. M. HARRIS
509,ZUKRI
537,H.SUYATNO
749,H. SYAFRUDIN
775,Drs. H. WAN SYAMSIR YUS
758,"H. HERMAN SANI, SH.,M.Si"
661,"H. Syafaruddin Poti, SH"
663,"H. Suparman, S.Sos, M.Si"
458,"Ir. H. Hafith Syukri, MM"
983,"H.SYAMSUAR, M.Si"
583,"H. SUHARTONO, SH"
754,"Ir. H. INDRA CATRI, MSP., DT. MALAKO NAN PUTIAH"
755,"IRWAN FIKRI, SH"
729,"Drs. H. Taufan Gama Simatupang, M.AP"
1206,"Brigjen. TNI (Purn). Dr. Hj. Nurhajizah Marpaung, SH, MH"
944,"ELISA KAMBU, S.Sos"
947,"FRITS TOBO WAKASU, S.Pak, SH"
546,"SILVESTER SIFORO, SH. MH"
547,SIMON DEWAR
642,"I Nyoman Giri Prasta, S.Sos"
646,"I Made Sudiana, SH., M.Si."
662,"Drs. H. ANSHARUDDIN, M.Si"
461,"DIMAS FEBRIANDIE, ST., MT"
22,"H. SUHARDI, SE"
24,"Drs. H. M. RIDUAN DARLAN, M.SI"
711,"H. DEKI FAJAR, SH."
1032,"CAMELIA PUJI ASTUTI, S.Sn, MA"
598,Ir. H. SYAHIRSAH. SY
242,"H. ARDIAN FAISAL, S.E, M.Si"
318,"SINWAN, S.H"
1155,"Yuslih Ihza, SE"
931,"dr. Basuri Tjahaja Purnama, M.Gizi Sp.GK"
934,H. Usmandie A Andeska
855,"WILLYBRODUS LAY, SH"
857,"VENTJE JACOBUS ROMAN ABANIT, SE, Akt"
1159,"drg. VALENTINUS PAREIRA, MM"
1188,"DR. H. SULAIMAN ZAKARIA, Dipl.Ps"
486,"AMRIL MUKMININ, SE., MM"
1187,"Ir. H. HERLIYAN SALEH, M.Sc"
481,"Sebastianus Darwis, SE., MM."
464,"Suryadman Gidot, M.Pd"
850,Drs. H. Zainal Abidin Merahli
851,"H. Dirwan Mahmud, SH"
520,H. Reskan Effendi
521,"Ir. H. Ramlan Saim, MM."
308,"H. Yurman Hamedi,S.IP"
38,Ir. Mian
374,Gunadi
666,"H, Ahmad Rifai, ST.MM"
544,"H. Muharram, S.Pd, MM"
67,"ABDUL KHAYIR, SH, MH"
1033,HJ. INDAH DHAMAYANTI PUTRI
309,"DRS. H. SYAFRUDIN H.M.NUR.,M.PD"
209,ADY MAHYUDI
715,DRS.KHAZALIK
722,"APRI SUJADI, S.Sos"
349,K.H. SOFYAN YAHYA
351,"H. DADANG MOH. NASER, SH., S.IP., M.I.Pol."
1092,"Ir. H. HERWIN YATIM, MM"
1095,"H. M. SOPHIAN MILE, SE, MM"
1090,Drs. H. MA'MUN AMIR
1139,"Moh. Tanjung S, Dg. Pawara, SE"
