id,region_id,region_name,name,pemilih,pengguna_hak_pilih,perolehan_suara,suara_sah,suara_tidak_sah,total_suara,link,resource
1,1,BENGKULU,BENGKULU SELATAN,112.679,85.101,[1] 43.255 [2] 38.954,81.541,4.518,86.061,https://pilkada2015.kpu.go.id/bengkuluprov/bengkulu_selatan,https://pilkada2015.kpu.go.id/bengkuluprov
2,1,BENGKULU,BENGKULU TENGAH,78.964,50.857,[1] 28.595 [2] 18.171,46.766,3.855,50.621,https://pilkada2015.kpu.go.id/bengkuluprov/bengkulu_tengah,https://pilkada2015.kpu.go.id/bengkuluprov
3,1,BENGKULU,BENGKULU UTARA,209.265,154.166,[1] 71.727 [2] 69.188,141.091,13.171,154.129,https://pilkada2015.kpu.go.id/bengkuluprov/bengkulu_utara,https://pilkada2015.kpu.go.id/bengkuluprov
4,1,BENGKULU,KAUR,94.272,73.708,[1] 35.129 [2] 32.704,67.52,5.075,72.931,https://pilkada2015.kpu.go.id/bengkuluprov/kaur,https://pilkada2015.kpu.go.id/bengkuluprov
5,1,BENGKULU,KEPAHIANG,111.213,76.117,[1] 38.588 [2] 30.268,68.856,7.261,76.117,https://pilkada2015.kpu.go.id/bengkuluprov/kepahiang,https://pilkada2015.kpu.go.id/bengkuluprov
6,1,BENGKULU,KOTA BENGKULU,265.362,131.904,[1] 77.887 [2] 44.994,123.042,7.939,130.898,https://pilkada2015.kpu.go.id/bengkuluprov/kota_bengkulu,https://pilkada2015.kpu.go.id/bengkuluprov
7,1,BENGKULU,LEBONG,83.252,63.182,[1] 40.482 [2] 18.681,59.295,4.292,63.589,https://pilkada2015.kpu.go.id/bengkuluprov/lebong,https://pilkada2015.kpu.go.id/bengkuluprov
8,1,BENGKULU,MUKOMUKO,127.648,89.11,[1] 40.896 [2] 43.761,84.68,4.976,89.221,https://pilkada2015.kpu.go.id/bengkuluprov/mukomuko,https://pilkada2015.kpu.go.id/bengkuluprov
9,1,BENGKULU,REJANG LEBONG,206.095,141.729,[1] 100.841 [2] 33.662,134.192,6.314,140.61,https://pilkada2015.kpu.go.id/bengkuluprov/rejang_lebong,https://pilkada2015.kpu.go.id/bengkuluprov
10,1,BENGKULU,SELUMA,145.349,104.771,[1] 39.241 [2] 53.814,93.029,11.394,104.158,https://pilkada2015.kpu.go.id/bengkuluprov/seluma,https://pilkada2015.kpu.go.id/bengkuluprov
11,2,JAMBI,BATANGHARI,190.794,144.718,[1] 52.967 [2] 84.957,138.354,6.815,143.913,https://pilkada2015.kpu.go.id/jambiprov/batanghari,https://pilkada2015.kpu.go.id/jambiprov
12,2,JAMBI,BUNGO,242.967,170.608,[1] 49.501 [2] 114.059,163.296,6.237,169.528,https://pilkada2015.kpu.go.id/jambiprov/bungo,https://pilkada2015.kpu.go.id/jambiprov
13,2,JAMBI,KERINCI,217.775,121.061,[1] 63.331 [2] 54.151,117.001,2.848,119.52,https://pilkada2015.kpu.go.id/jambiprov/kerinci,https://pilkada2015.kpu.go.id/jambiprov
14,2,JAMBI,KOTA JAMBI,405.85,279.639,[1] 95.708 [2] 174.625,268.413,8.234,276.754,https://pilkada2015.kpu.go.id/jambiprov/kota_jambi,https://pilkada2015.kpu.go.id/jambiprov
15,2,JAMBI,KOTA SUNGAI PENUH,67.743,51.954,[1] 24.157 [2] 25.311,49.86,2.041,51.899,https://pilkada2015.kpu.go.id/jambiprov/kota_sungai_penuh,https://pilkada2015.kpu.go.id/jambiprov
16,2,JAMBI,MERANGIN,245.024,166.015,[1] 96.261 [2] 65.080,161.39,3.555,165.101,https://pilkada2015.kpu.go.id/jambiprov/merangin,https://pilkada2015.kpu.go.id/jambiprov
17,2,JAMBI,MUARO JAMBI,274.882,180.202,[1] 46.976 [2] 129.105,176.464,4.08,180.283,https://pilkada2015.kpu.go.id/jambiprov/muaro_jambi,https://pilkada2015.kpu.go.id/jambiprov
18,2,JAMBI,SAROLANGUN,191.606,126.44,[1] 86.766 [2] 36.877,123.54,3.026,126.278,https://pilkada2015.kpu.go.id/jambiprov/sarolangun,https://pilkada2015.kpu.go.id/jambiprov
19,2,JAMBI,TANJUNG JABUNG BARAT,211.634,148.188,[1] 46.355 [2] 94.934,141.255,6.759,148.061,https://pilkada2015.kpu.go.id/jambiprov/tanjung_jabung_barat,https://pilkada2015.kpu.go.id/jambiprov
20,2,JAMBI,TANJUNG JABUNG TIMUR,165.512,125.714,[1] 31.448 [2] 89.982,121.3,5.21,126.518,https://pilkada2015.kpu.go.id/jambiprov/tanjung_jabung_timur,https://pilkada2015.kpu.go.id/jambiprov
21,2,JAMBI,TEBO,236.096,146.418,[1] 44.160 [2] 96.574,140.387,4.43,144.925,https://pilkada2015.kpu.go.id/jambiprov/tebo,https://pilkada2015.kpu.go.id/jambiprov
