id,peserta,nama_lengkap,DAPIL 1,DAPIL 2,DAPIL 3,DAPIL 4,DAPIL 5
1,Nasdem,Partai Nasional Demokrat,11,11,9,10,9
2,PKB,Partai Kebangkitan Bangsa,11,11,9,10,9
3,PKS,Partai Keadilan Sejahtera,11,11,9,10,9
4,PDIP,Partai Demokrasi Indonesia Perjuangan,11,11,9,10,9
5,Golkar,Partai Golongan Karya,11,11,9,10,9
6,Gerindra,Partai Gerakan Indonesia Raya,11,11,9,10,9
7,Demokrat,Partai Demokrat,11,11,9,10,9
8,PAN,Partai Amanat Nasional,11,11,9,10,9
9,PPP,Partai Persatuan Pembangunan,11,11,9,10,9
10,Hanura,Partai Hati Nurani Rakyat,11,11,9,10,6
11,PBB,Partai Bulan Bintang,8,6,8,6,5
12,PKPI,Partai Keadilan dan Persatuan Indonesia,11,11,9,10,9
