id,peserta,nama_lengkap,"jumlah 
< 30 Th","jumlah 
> 30 Th"
1,Nasdem,Partai Nasional Demokrat,3,47
2,PKB,Partai Kebangkitan Bangsa,7,43
3,PKS,Partai Keadilan Sejahtera,3,47
4,PDIP,Partai Demokrasi Indonesia Perjuangan,1,49
5,Golkar,Partai Golongan Karya,7,43
6,Gerindra,Partai Gerakan Indonesia Raya,2,48
7,Demokrat,Partai Demokrat,3,47
8,PAN,Partai Amanat Nasional,5,45
9,PPP,Partai Persatuan Pembangunan,3,47
10,Hanura,Partai Hati Nurani Rakyat,3,44
11,PBB,Partai Bulan Bintang,3,30
12,PKPI,Partai Keadilan dan Persatuan Indonesia,6,44
