id,id_calon,judul,deskripsi,tanggal_mulai,waktu_mulai,tanggal_selesai,waktu_selesai
0001,"jw,ps",Debat Capres di SCTV,Dua orang capres akan berdebat dalam acara yang diselenggarakan oleh salah satu Televisi Swasta yaitu SCTV,2014-06-09,,2014-06-09,
0002,"jw,ps",Debat Capres di TV One,Dua orang capres akan berdebat dalam acara yang diselenggarakan oleh salah satu Televisi Swasta yaitu TV One,2014-06-22,,2014-06-22,
0003,"jk,hr",Debat Cawapres di Metro TV,Dua orang cawapres akan berdebat dalam acara yang diselenggarakan oleh salah satu Televisi Swasta yaitu Metro TV,2014-06-15,,2014-06-15,
0004,"jk,hr",Debat Cawapres di RCTI,Dua orang cawapres akan berdebat dalam acara yang diselenggarakan oleh salah satu Televisi Swasta yaitu RCTI,2014-06-27,,2014-06-27,
0005,"jw,ps,jk,hr",Debat Pasangan Capres dan Cawapres di Kompas TV dan TVRI,Dua pasangan Capres dan Cawapres berdebat yang disiarkan langsung oleh Televisi Swasta dan Negeri yaitu Kompas TV dan TVRI,2014-07-05,,2014-07-05,
0006,jw,Kunjungan Jokowi ke Markas SLank,"Jokowi datang ke markas Slank, Gang Potlot, sekitar pukul 16.40 WIB. Jokowi datang seorang diri tanpa sang calon wakil presiden, Jusuf Kalla.",2014-05-27,,2014-05-27,
0007,"jw,jk",Kunjungan Jokowi ke Jogja,Jokowi bertemu dengan Sri Sultan Hamengkubuwono X bersama dengan JK. Setelah bertemu Sri Sultan pasangan capres dan cawapres ini berpisah,2014-06-02,,2014-06-02,
0008,jw,Kunjungan Jokowi ke Jawa Timur,Jokowi mengadakan kunjungan ke Jawa Timur untuk mengadakan pertemuan dengan para Kiai dan Tokoh NU,2014-05-03,,2014-05-03,
0009,jw,Kunjungan Jokowi ke Sidarjo,"Jokowi mengadakan pertemuan dengan para Korban Lumpur Lapindo, Sidoarjo.",2014-05-29,,2014-05-29,
0010,jw,Kunjungan Jokowi ke Kalsel,Jokowi mengunjungi Kalimantan Selatan,2014-05-23,,2014-05-24,
0011,jw,Kunjungan Jokowi ke Blitar,Jokowi berkunjung ke Blitar bersama dengan Ketum PDIP Ibu Megawati Soekarnoputri,2014-03-12,,2014-03-12,
0012,jw,Deklarasi Pasangan Tersebut di Gedung Joeang,Jokowi dan Jusuf Kalla Mendeklarasikan Diri Mereka Sebagai Salah Satu Kandidat Capres dan Cawapres,2014-05-19,,2014-05-19,
0013,jw,Kunjungan Jokowi Ke Jayapura,Kampanye Janji-Janji,2014-06-05,,2014-06-05,
0014,jw,Jokowi akan umroh di masa tenang pilpres,"Rencananya, Jokowi akan menunaikan ibadah umroh bersama dengan istrinya, Iriana. Dia dijadwalkan akan bertolak ke Tanah Suci pada tanggal 6 Juli mendatang.",2014-07-06,,2014-07-06,
0015,jw,Hari ini Jokowi maraton kampanye di Jawa Barat,"Pada siang hari Jokowi akan kampanye di Cianjur.disana Jokowi akan mampir ke sentra beras Pandanwangi,Kecamatan warung kondang.Jokowi juga akan kampanye di pasar-pasar dan membagikan kaos.",2014-07-02,,2014-07-02,
0016,jk,"JK Hadiri 1 tahun Taufiq Kiemas,Jokowi belum terlihat","Cawapres nomor urut 2 Jusuf Kalla baru tiba di lokasi. dengan menggunakan koko putih dan celana hitam, JK langsung menuju ke dalam rumah untuk turut serta mengikuti tahlilan dan memanjatkan doa bagi almarhum Taufiq Kiemas.",2014-06-08,,2014-06-08,
0017,ps,Kunjungan Prabowo ke Jawa Pos,Prabowo mengadakan kunjungan ke Redaksi Jawa Pos yan berlokasi di Surabaya,2014-05-29,,2014-05-29,
0018,ps,Kunjungan Prabowo ke Ical,Prabowo mengadakan pertemuan dengan Ketum Golkar Ical yang berlokasi di rumah ketum Golkar tersebut,2014-04-29,,2014-04-29,
0019,ps,Kunjungan Prabowo ke Rachmawati,"Capres Prabowo Subianto mengadakn kunjungan ke kediaman pribadi Ibu Rachmawati Soekarnoputri, yang merupakan adik dari Ketum PDIP Ibu Megawati Soekarnoputri",2014-05-16,,2014-05-16,
0020,ps,Kunjungan Prabowo ke Rembang,"Capres Prabowo Subianto mengadakan kunjungan ke Rembang, tujuannya untuk menemui Ketua Majelis Syariah PPP KH Maimun Zubair",2014-04-20,,2014-04-20,
0021,hr,Kunjungan Hatta Rajasa ke Palembang,Hatta Rajasa mengadakan kunjungan ke Palembang untuk melantik tim Pemenangan Capres Cawapres Prabowo Hatta,2014-06-02,,2014-06-02,
0022,ps,Deklarasi Dukungan dari 2500 Kiai di Pasuruan,"Calon presiden Prabowo Subianto dijadwalkan akan menghadiri acara deklarasi dukungan dari ribuan kiai sepuh di Pondok Pesantren Sidogiri, Kabupaten Pasuruan, Jawa Timur, Jumat (6/6/2014). Acara ini bagian dari rangkaian kampanye yang akan dilakukan Prabowo di Jawa Timur",2014-06-06,,2014-06-06,
0023,hr,Janji Hatta Rajasa untuk Indonesia Timur,Halaqoh dan Silaturrahim Nasional Nahdlatul Watha,2014-06-04,,2014-06-04,
0024,hr,Hatta Rajasa Janji Bangun Kalimantan,"Hatta Rajasa, mulai melakukan kampanye di wilayah Kalimantan, Rabu 4 Juni 2014. Selain mengunjungi masyarakat, Hatta juga menghadiri deklarasi tim kampanye dan relawan di Kalimatan Selatan.",2014-06-04,,2014-06-04,
0025,hr,Hatta Rajasa Janji Lindungi Pasar Tradisional,"Hatta menceritakan saat dirinya mengunjungi pasar tradisional, banyak masukan yang didapat dari para pedagang, seperti ketika menyambangi Pasar Santa, Jakarta Selatan.",2014-05-31,,2014-05-31,
