id_kutipan,tag
0001,jokowi
0001,kutipan
0001,kampanye hitam
0002,jokowi
0002,kutipan
0003,jokowi
0003,kutipan
0004,jokowi
0004,kutipan
0005,jokowi
0005,kutipan
0006,jokowi
0006,kutipan
0007,jokowi
0007,kutipan
0008,jokowi
0008,kutipan
0009,kemerdekaan
0009,politik
0009,pidato
0010,jokowi
0010,kutipan
0010,kesejahteraan petani
0011,cawapres
0011,elektabilitas
0012,cawapres
0012,jokowi
0012,yusuf kalla
0013,jokowi
0013,janji
0013,anggaran
0013,tni
0014,jokowi
0014,janji
0014,anggaran
0014,tni
0014,alutista
0015,jokowi
0015,kutipan
0016,jokowi
0016,kutipan
0017,jokowi
0017,kutipam
0017,pembangunan infrastruktur
0018,jokowi
0018,kutipan
0018,capres
0019,jokowi
0019,kutipan
0019,kampanye hitam
0020,jokowi
0020,kutipan
0020,kampanye hitam
0021,jokowi
0021,kutipan
0021,debat capres-cawapres
0022,jokowi
0022,kutipan
0022,debat capres-cawapres
0023,jokowi
0023,kutipan
0023,kasus babinsa
0024,jokowi
0024,kutipan
0025,jokowi
0025,kutipan
0026,jokowi
0026,kutipan
0026,jawaban
0027,jokowi
0027,kutipan
0027,jawaban
0028,jokowi
0028,kutipan
0029,jokowi
0029,kutipan
0036,konvensi
0036,wapres
0036,cawapres
0037,kampanye
0037,negatif
0037,fitnah
0038,jk
0038,kutipan
0039,jk
0039,kutipan
0040,jk
0040,kutipan
0041,jk
0041,kutipan
0042,jk
0042,kutipan
0043,jk
0043,kutipan
0044,jk
0044,kutipan
0045,jk
0045,kutipan
0046,jk
0046,kutipan
0047,jk
0047,kutipan
0048,jk
0048,kutipan
0049,jk
0049,kutipan
0050,jk
0050,kutipan
0051,jk
0051,kutipan
0052,jk
0052,kutipan
0053,jk
0053,kutipan
0054,jk
0054,kutipan
0054,kampanye
0054,dialog
0055,jk kutipan
0056,jk
0056,kutipan
0056,jokowi
0056,capres
0057,jk
0057,kutipan
0057,suara rakyat
0058,jk
0058,kutipan
0058,nomor pemilihan
0059,jk
0059,kutipan
0059,peran rumah ibadah
0060,jk
0060,kutipan
0060,manufaktur
0061,jk
0061,kutipan
0061,baca al-quran
0062,jk
0062,kutipan
0062,pelaksanaan
0063,jk
0063,kuitipan
0064,prabowo
0064,kutipan
0064,sindiran
0064,jokowi
0065,prabowo
0065,kutipan
0065,sindiran
0065,jokowi
0098,prabowo
0098,kutipan
0109,hatta
0109,umat
0109,beragama
0110,hatta rajasa
0110,harry tanoe
0110,tim
0110,sukses
