id_calon,ringkasan,jabatan,tanggal_mulai,tanggal_selesai
jw,Bidang Pertambangan dan energi KADIN Surakarta,Ketua,1992,1996
jw,ASMINDO Komda Surakarta,Ketua,2002,2007
jk,Ketua Umum Dewan Mesjid Indonesia,Ketua,2010,2014
jk,Ketua Umum Palang Merah Indonesia,Ketua,2009,2014
jk,Ketua Centrist Asia Facific Democrat International,Ketua,2010,2012
jk,Koordinator Palang Merah dan Bulan Sabit Merah se Asia Tenggara,Koordinator,2010,2011
jk,Ketua Kehormatan Dewan Penyantun Universtias Al-Azhar,Ketua,2006,2010
jk,Anggota Wali Amanat Universitas Pendidikan Indonesia,Anggota,2010,Sekarang
jk,Ketua Badan Pembina Yayasan Wakaf Paramadina,Ketua,2005,Sekarang
jk,Wakil Ketua Dewan Penasehat KAHMI,Wakil Ketua,2004,Sekarang
jk,Anggota Dewan Penasehat ISEI Pusat,Anggota,2000,Sekarang
jk,Ketua Harian Yayasan Islamic Center Al Markaz,Ketua,1994,Sekarang
jk,Ketua Umum IKA-UNHAS,Ketua,1992,Sekarang
jk,Ketua Umum Yayasan Pendidikan Hadji Kalla,Ketua,1982,Sekarang
jk,Anggota Dewan Penyantun Universitas Hasanuddin,Anggota,1975,Sekarang
jk,Anggota Dewan Penyantun Universitas Negeri Makassar,Anggota,1975,Sekarang
jk,Anggota Dewan Penyantun IAIN/UIN Makassar,Anggota,1975,Sekarang
jk,Anggota Dewan Penyantun Universitas Islam Makassar,Anggota,1975,Sekarang
ps,Yayasan Pendidikan Kebangsaan,Ketua,2001,Sekarang
ps,Himpunan Kerukunan Tani Indonesia (HKTI),Ketua Umum,2004,Sekarang
ps,Ikatan Pencak Silat Seluruh Indonesia (IPSI),Ketua Umum,2004,Sekarang
ps,Asosiasi Pedagang Pasar Seluruh Indonesia (APPSI),Ketua Umum,2008,Sekarang
ps,Partai Gerakan Indonesia Raya (GERINDRA),Ketua Dewan Pembina,2008,Sekarang
hr,Masyarakat Agribisnis Indonesia,Ketua Dewan Masyarakat Agribisnis dan Agro Industri Indomesia (MAI),2012,Sekarang
hr,"Teknik Perminyakan, ITB",Anggota Dewan Penasehat Teknik Perminyakan Program Saijana ITB (TM-FTTM ITB),2012,Sekarang
hr,Ikatan Auditor Teknologi Indonesia,Anggota Dewan Penasehat Ikatan Auditor Teknologi Indonesia (IATI),2011,Sekarang
hr,Ikatan Ahli Teknik Perminyakan Indonesia,Anggota Dewan Penasehat Ikatan Ahli Teknik Perminyakan Indonesia (IATMI),2010,Sekarang
hr,Persatuan Insinyur Indonesia,Ketua Dewan Penasehat PII,2012,2015
hr,Partai Amanat Nasional (PAN),Ketua Partai Amanat Nasional,2010,Sekarang
hr,Partai Amanat Nasional (PAN),Wakil Ketua Majelis Pertimbangan Partai Amanat Nasional,2005,2010
hr,Partai Amanat Nasional (PAN),Sekretaris Jendral Partai Amanat Nasional (PAN),2000,2005
hr,Ikatan Cendekiawan Muslim Indonesia (ICMI),Ketua Dewan Pakar ICMI,2010,Sekarang
hr,Ikatan Cendekiawan Muslim Indonesia (ICMI),Presidium ICMI,2007,2008
hr,Ikatan Cendekiawan Muslim Indonesia (ICMI),Anggota Presidium ICMI,2005,2010
hr,Institut Teknologi Bandung (ITB),Ketua Ikatan Alumni ITB,2007,2011
hr,Institut Teknologi Bandung (ITB),Anggota Majelis Wali Amanat Institut Teknologi Bandung,2006,2011
