id_calon,ringkasan,tanggal_mulai,tanggal_selesai
jw,Eksportir Mebel,,
jw,Walikota Surakarta,2005,2010
jw,Walikota Surakarta,2010,2015
jw,Gubernur Prov. DKI Jakarta,2012,2017
jk,Wakil Presiden Republik Indonesia,2004,2009
jk,Menteri Koordinator Bidang Kesejehteraan rakyat,2001,2004
jk,Menteri Perindustrian dan Perdagangan Republik Indonesia,1999,2000
jk,Dirut/Komisaris Grup Usaha PT. Hadji Kalla,1968,2001
ps,Komandan Peleton Para Komando Group-1 Kopassandha,1976,1976
ps,Komandan Kompi Para Komando Group-1 Kopassandha,1977,1977
ps,Wakil Komandan Detasemen-81 Kopassus,1983,1985
ps,Wakil Komandan Batalyon Infanteri Lintas Udara 328 Kostrad,1985,1987
ps,Komandan Batalyon Infanteri Lintas Udara 328 Kostrad,1987,1991
ps,Kepala Staf Brigade Infanteri Lintas Udara 17/Kujang I/Kostrad,1991,1993
ps,Komandan Group-3/Pusat Pendidikan Pasukan Khusus,1993,1995
ps,Wakil Komandan Komando Pasukan Khusus,1994,1994
ps,Komandan Komando Pasukan Khusus,1995,1996
ps,Komandan Jenderal Komando Pasukan Khusus,1996,1998
ps,Panglima Komando Cadangan Strategi TNI Angkatan Darat,1998,1998
ps,Komandan Sekolah Staf dan Komando ABRI,1998,1998
ps,Ketua Umum HKTI Periode,2004,2009
ps,Ketua Umum HKTI Periode,2010,2015
ps,Ketua Umum Pengurus Besar Ikatan Pencak Silat Indonesia (PB IPSI) Periode,2001,2011
ps,Komisari Perusahaan Migas Karazanbasmunai di Kazakhstan,,
ps,Komisaris Utama PT Tidar Kerinci Agung,,
ps,Presiden dan CEO PT Nusantara Energy,,
ps,Presiden dan CEO PT Jaladri Nusantara,,
ps,Dewan Penasihat Organisasi Kosgoro,,
ps,Ketua Yayasan Pendidikan Kebangsaan (Universitas Kebangsaan),,
ps,Pendiri Koperasi Swadesi Indonesia (KSI),,
hr,Menteri Koordinator Bidang Perekonomian Republik Indonesia,2009,2014
hr,Menteri Sekretaris Negara Republik Indonesia,2007,2009
hr,Menteri Perhubungan Republik Indonesia,2004,2007
hr,Menteri Riset dan Teknologi Republik Indonesia,2001,2004
hr,Kepala Badan Pengkajian dan Penerapan Teknologi (BPPT),2001,2004
hr,Ketua Harian Dewan Penerbangan dan Antariksa Nasional (DEPANRI),2001,2004
hr,Wakil Ketua Harian DP KTI,2001,2004
hr,Anggota Dewan Maritim,2001,2004
hr,Anggota DPR/MPR RI (Ketua Fraksi Reformasi),1999,2001
hr,Anggota DPR/MPR RI (Panitia AdHoc MPR RI),1999,2001
hr,Direktur Utama PT Arthindo Group,1982,1999
