id_calon,ringkasan,tanggal_mulai,tanggal_selesai
jw,SDN III Tirtoyoso Solo,,
jw,SMPN I Solo,,
jw,SMAN 6 Solo,,
jw,Fakultas Kehutanan UGM Yogyakarta,1985,1985
jk,SD II Watampone,1953,1953
jk,SMP Islam Makassar,1957,1957
jk,SMAN 3 Makassar,1960,1960
jk,Fak Ekonomi Universitas Hasanuddin Makassar,1967,1967
ps,"SD Victoria Institution, Kuala Lumpur",1960,1963
ps,"SMP International School, Zurich",1963,1964
ps,"SMA American School, London",1964,1967
ps,"Akademi Militer Nasional, Magelang",1970,1974
ps,The Army Special Forces Training Course Fort Bragg (USA),1980,1980
ps,The Army Special Forces Training Course (GSG-9 Germany),1981,1981
ps,The Advanced Infantry Officers Course Fort Benning (USA),1985,1985
hr,"Teknik Perminyakan, ITB",1973,1980
hr,"SMA Negeri 4, Palembang",1969,1971
hr,"SMP Negeri 2, Palembang",1966,1969
hr,"SD Negeri 65, Palembang",1959,1965
