id_calon,ringkasan,institusi,tanggal
jw,Satya Bhakti,Kadin Jawa Tengah,2007
jw,Solo Pos Award,Solo Pos,2007
jw,Solo Pos Award,Solo Pos,2008
jw,IKAPI Awards,IKAPI,2008
jw,Leadership Awards,Menteri Negara Pendayagunaan Aparatur Negara & Leadership Park,2008
jw,Perhumas Award,Perhimpunan Hubungan Masyarakat,2008
jw,Tokoh Pilihan Tempo 2008,Majalah Tempo,2008
jw,Kepala Daerah Tingkat II Terbaik dalam Pengembangan MICE di Daerah,Majalah Venue,2009
jw,Pelopor Inovasi Pelayanan Prima,Presiden RI,2010
jw,Kepala Pemerintahan Daerah yang berjiwa Enterpreneur dan Berhasil,Property and Bank,2010
jw,Innovative Government Award,Kementerian Dalam Negeri,2010
jw,Bung Hatta Anti Corruption Award,Perkumpulan Bung Hatta Anti Corruption Award,2010
jw,Marketer Award,Markplus Inc.,2010
jw,Alumnus Berprestasi Kategori Penggerak Sosial,UGM,2010
jw,Apresiasi Visit Indonesia 2010 -mengembangkan destinasi wisata,Kementerian Kebudayaan dan Pariwisata,2010
jw,IAI Award,IAI Jawa Tengah,2011
jw,Inovasi Manajemen Perkotaan Awards,Kementerian Dalam Negeri,2011
jw,UNS Awards - Tanda Jasa Dharma Budaya Bhakti Praja,Rektor UNS,2011
jw,"Realestat Indonesia - Penataan Lingkungan, Relokasi PKL dan Penataan Pasar Tradisional serta Peremajaan Kawasan Kumuh",DPP REI,2011
jw,Tokoh Perubahan 2010,Republika,2011
jw,MIPI Awards,Masyarakat Ilmu Pemerintahan Indonesia,2011
jw,Satya Lancana Pembangunan Bidang Koperasi,Presiden RI,2011
jw,Tanda Kehormatan Bintang Jasa Utama,Presiden RI,2011
jw,GATRA Award Walikota Terbaik,GATRA,2011
jw,Charta Politika Award III,TokohKepala Daerah,2012
jw,Soegeng Sarjadi Award on Good Governance untuk Kategori Tokoh Inspirasi Pemberdayaan Masyarakat,Soegeng Sarjadi School of Government,2012
jw,Pembina Bank Daerah Terbaik 1,,2012
jw,Anugerah Integritas Nasional,,2013
jw,Jak Award,,
jw,Tokoh News Maker,,2012
jw,"Best of The Best ""The Right Man On The Right Place 2013""",,2013
jw,Pembina BUMD Terbaik,,2013
jw,Tokoh Yang Memiliki Sikapdan Kebijakan Politik Yang Berpihak Pada Rakyat,,
jw,Anak Bangsa Yang Layak Memimpin Bangsa,,
jw,RMOL Democracy Award,,
