id,id_calon,judul,deskripsi,tanggal_mulai,waktu_mulai,tanggal_selesai,waktu_selesai
0001,jw,Debat Capres di SCTV,Dua orang capres akan berdebat dalam acara yang diselenggarakan oleh salah satu Televisi Swasta yaitu SCTV,2014-06-08,,2014-06-08,
0002,jw,Debat Capres di TV One,Dua orang capres akan berdebat dalam acara yang diselenggarakan oleh salah satu Televisi Swasta yaitu TV One,2014-06-22,,2014-06-22,
0003,jw,Debat Pasangan Capres dan Cawapres di Kompas TV dan TVRI,Dua pasangan Capres dan Cawapres berdebat yang disiarkan langsung oleh Televisi Swasta dan Negeri yaitu Kompas TV dan TVRI,2014-07-05,,2014-07-05,
0004,jk,Debat Cawapres di Metro TV,Dua orang cawapres akan berdebat dalam acara yang diselenggarakan oleh salah satu Televisi Swasta yaitu Metro TV,2014-06-15,,2014-06-15,
0005,jk,Debat Cawapres di RCTI,Dua orang cawapres akan berdebat dalam acara yang diselenggarakan oleh salah satu Televisi Swasta yaitu RCTI,2014-06-29,,2014-06-29,
0006,jk,Debat Pasangan Capres dan Cawapres di Kompas TV dan TVRI,Dua pasangan Capres dan Cawapres berdebat yang disiarkan langsung oleh Televisi Swasta dan Negeri yaitu Kompas TV dan TVRI,2014-07-05,,2014-07-05,
0007,ps,Debat Capres di SCTV,Dua orang capres akan berdebat dalam acara yang diselenggarakan oleh salah satu Televisi Swasta yaitu SCTV,2014-06-08,,2014-06-08,
0008,ps,Debat Capres di TV One,Dua orang capres akan berdebat dalam acara yang diselenggarakan oleh salah satu Televisi Swasta yaitu TV One,2014-06-22,,2014-06-22,
0009,ps,Debat Pasangan Capres dan Cawapres di Kompas TV dan TVRI,Dua pasangan Capres dan Cawapres berdebat yang disiarkan langsung oleh Televisi Swasta dan Negeri yaitu Kompas TV dan TVRI,2014-07-05,,2014-07-05,
0010,hr,Debat Cawapres di Metro TV,Dua orang cawapres akan berdebat dalam acara yang diselenggarakan oleh salah satu Televisi Swasta yaitu Metro TV,2014-06-15,,2014-06-15,
0011,hr,Debat Cawapres di RCTI,Dua orang cawapres akan berdebat dalam acara yang diselenggarakan oleh salah satu Televisi Swasta yaitu RCTI,2014-06-29,,2014-06-29,
0012,hr,Debat Pasangan Capres dan Cawapres di Kompas TV dan TVRI,Dua pasangan Capres dan Cawapres berdebat yang disiarkan langsung oleh Televisi Swasta dan Negeri yaitu Kompas TV dan TVRI,2014-07-05,,2014-07-05,
