id_calon,ringkasan
1100-00-0000-0001,PESATUAN WARTAWAN INDONESIA PROV. NAD
1100-00-0000-0001,ICMI ORWIL ACEH
1100-00-0000-0002,Ketua Umum ISFI Aceh Tahun 1998 - sekarang
1100-00-0000-0002,KetumIkatan Farmakologi Aceh Tahun 1997 - sekarang
1100-00-0000-0002,Anggota Dewan pakar ICMI Aceh Tahun 1992 - sekarang
1100-00-0000-0002,Relawan dan Pengurus PKBI Aceh Tahun 1992 - sekarang
1100-00-0000-0003,Penggagas/Pendiri dan Ketua Ryu Karatedo Indonesia di Banda Aceh Tahun 1977
1100-00-0000-0003,Ketua I Persatuan Sepak Bola Aceh Singkil (PSAS) Tahun 2003
1100-00-0000-0003,Ketua Umum Persatuan Sepak Bola Kota Subulussalam (PERSKAS) Tahun 2007
1100-00-0000-0003,Ketua KWARCAP Pramuka Kota Subulussalam Tahun 2007
1100-00-0000-0003,Ketua Umum PERBAKIN Kota Subulussalam Tahun 2009
1100-00-0000-0004,Pandiri Konsulat Aceh dan Ketua Masyarakat Aceh Pondok Modern Gontor (1985)
1100-00-0000-0004,Koordinator Pesantren Modern Krueng Lamkareung Aceh Basar (1994 - 1990
1100-00-0000-0004,Pimpimam Pesantren Moder Krueng Lamkareung Aceh Besar (1994 - 1997)
1100-00-0000-0004,Kepala Badan Wakaf / Penasehat Pesantren Modern Arisalah Aceh Jaya
1100-00-0000-0004,Ketua Komisi Perlindungan Anak Indonesia Daerah (KPAID) Aceh (2007 - 2013)
1100-00-0000-0005,Bendahara SBSI 2012-2013
1100-00-0000-0005,Pembina LSM Aceh FUTURE 2012-2013
1100-00-0000-0006,"Anggota KORPRI, Aceh Utara, 20 Tahun"
1100-00-0000-0006,"Anggota KORPRI, Bireuen, 7 Tahun"
1100-00-0000-0006,"Anggota KORPRI, Bireuen, 3 Tahun"
1100-00-0000-0008,999 s/d 2003 Direktur Mlntra Leuser
1100-00-0000-0008,2003 s/d 2007 Direktur Putri Sepakat
1100-00-0000-0008,2007 s/d 2011 Direktur Putri Sepakat
1100-00-0000-0008,2012 s/d 2015 Ketua Jaringan FoLAT
1100-00-0000-0009,"BEM Universitas Indonesia, Kampus UI Depok, (Tahun 2000-2002)"
1100-00-0000-0009,"HMI Cabang Depok, (tahun 2000-2005)"
1100-00-0000-0009,"Pusat Penguatan Perdamaian (3P), Ketua Umum, (2008-sekarang)"
1100-00-0000-0009,"Ketua Bidang Politik, Majelis Ulama Nanggroe Aceh (MUNA) (2012-2013)"
1100-00-0000-0009,Ketua Pendiri Gerakan Intelektual Se-Aceh (GISA)(2012)
1100-00-0000-0009,Pembina LSM Putroe Aceh (2012)
1100-00-0000-0009,"Dewan Pimpinan Aceh (DPA) Partai Aceh, Juru Bicara Pusat, (2011-2013)"
1100-00-0000-0010,"Pengurus AMPI Aceh Utara, 1980 s/d 1985."
1100-00-0000-0010,"Pengurus KNPI Aceh Utara, s/d 1990."
1100-00-0000-0010,Pengurus Partai Persatuan Daerah (DPD) Aceh 2000 s/d 2005.
1100-00-0000-0011,"HMI Komisariat IISIP Jakarta, 1992 - 1994"
1100-00-0000-0011,"KIPMAS Jakarta, 1998 - 1999"
1100-00-0000-0011,"Bina Lingkungan Hidup Indonesia, 1996-1999"
1100-00-0000-0012,"DPD HIPMI Chimpunan Pengusaha Mvdo Indonesiaj Aceh, Ketva Bidans Vsaha, 1992"
1100-00-0000-0012,"FOPKRA (Forum Perjvangan & Keadilan Rakx Aceh) Ketva DPVY Dki Jakarta, 1998-2003"
1100-00-0000-0012,"POPKRA (Forum Per Juangan & Keadilan Rakx Aceh) Ketum OPP, 2005 - Sekarang."
1100-00-0000-0013,"Pelajar Islam Indonesia (PII), 1964-1971"
1100-00-0000-0013,"Ketua Umum Warga (OSIS) SP IAIN Sigli, 1969-1970"
1100-00-0000-0013,"Ketua Ikatan Abang None (ABNON) Jakarta, 1982-1984"
1100-00-0000-0013,"Anggota Majelis Penyiaran Dakwah Islamiyah (MPDI) PB A1 Washliyah, 1987-1987"
1100-00-0000-0013,"Ketua Umum Pimpinan Pusat Presidium Majlis Pemuda dan Mahasiswa Aceh (MPMA), 1984-1987"
1100-00-0000-0013,"Wakil Ketua Departemen Dakwah dan Hubungan Ormas DPP PPP, 1989-1994"
1100-00-0000-0013,"Wakil Sekjen PB A1-Washliyah, 1992-1997"
1100-00-0000-0013,"Ketua Departemen Seni dan Budaya dan Olahraga DPP PPP, 1994"
1100-00-0000-0013,Wakil Ketua Majelis Pertimbangan Wilayah DPW PPP Aceh 1999-2002
1100-00-0000-0013,"Ketua DPP PPP Reformasi, 2002-2003"
1100-00-0000-0013,"Wakil Ketua F-UD MPR_RI Bidang Kessos, Hukum dan HAM 2002-2004"
1100-00-0000-0013,Ketua Umum DPP Lembaga Seni Qasidah Indonesia(LASQI) 2006-2011
1100-00-0000-0013,"Anggota Majelis Syura Dewan Dakwah Islamiyah Indonesia Provinsi Aceh 2007-2011, 2011-2015"
1100-00-0000-0013,Ketua Umum DON PAAS 2007-2012
1100-00-0000-0014,Ketua Umum BEM FKIP Univ. Almuslim Bireuen. FKIP Universitas Almuslim Bireuen. 2006-2008.
1100-00-0000-0014,Ketua umum HMI Komisariat FKIP Almuslim. FKIP Universitas Almuslim Bircuen. 2009-2012
1100-00-0000-0014,Staf Lapangan Verifikasi Data Korban Pelanggaran HAM Abdya. Koalisi NGO HAM Aceh 2008-2009
1100-00-0000-0014,Ketua Divisi Indok SPKP-HAM Abdya Solidaritas Korban Pelanggaran HAM Abdya (SPKP-HAM) Abdya. 2006-Skrg.
1100-00-0000-0014,Manager Program LSM Beuratana Program BRR Pelatihan Teknologi Informasi Aplikasi Internet dan Blog LSM 2008Beuratana-BRR Aceh-Tech Production
1100-00-0000-0014,PJ Direktur LSM Beuratana LSM Beuratana 2009-2010
1100-00-0000-0014,Anggota PPM I (Purna Pra Karya Muda Indonesia) Aceh. Dinas Pemuda dan Olah Raga Prov.Aceh 2009-Sekarang
1100-00-0000-0014,Anggota PPM I (Purna Pra Karya Muda Indonesia) Aceh Barat Daya. Sekdakab Abdya Bagian Pemuda dan Olahraga 2009-Sekarang
1100-00-0000-0014,Anggota Syarikat Agam-Inong Aceh Duta Wisata Prov.Aceh. Dinas Pariwisata dan Kebudayaan Prov. Aceh 2011-Sekarang
1100-00-0000-0014,Ketua Umum Syarikat Agam-Inong Aceh Duta Wisata Aceh Barat Daya Dinas Kebudayaan Pariwisata Pemudan 201 l-SckarangOlahraga
1100-00-0000-0014,"Wakil Ketua P2TP2A Abdya. Kantor PM,PP,KS (Kasi PP) Aceh Barat Daya/P2TP2A (Pusat Pelayanan Terpadu 2011 - Sekarang Pemberdayaan Perempuan dan Anak."
1100-00-0000-0014,Direktur Eksekutif LSM SIPA Aceh LSM Sentral Informasi Pemuda Aceh 2011 -Sekarang
1100-00-0000-0014,Kordinator Umum BEM Barat Selatan Aceh. Badan Eksekutif Mahasiswa 2008-2009
1100-00-0000-0014,"Pertukaran Pemuda Antar Provinsi,Jawa Tengah-Sulawesi Barat-Papua. Dinas Pemuda dan Olah Raga Prov.Aceh 2009"
1100-00-0000-0014,Duta Wisata Nasional BPAP. Dinas Pemuda dan Olah Raga Prov.Aceh 2009
1100-00-0000-0014,Juara I Duta Wisata Aceh Barat Daya 2011 Sekdakab Abdya Bagian Keistimewaan Aceh 2011
1100-00-0000-0014,Juara Harapan Duta Wisata Propinsi Aceh 2011 Dinas Kebudayaan Dan Pariwisata Prov. Aceh. 2011
1100-00-0000-0014,Relawan Koalisi NGO HAM Koalisi NGO HAM 2008-Sekarang
1100-00-0000-0014,Direktur LSM Eksekutif Sentral Informasi Pemuda Aceh (SIPA) Sentral Informasi Pemuda Aceh (SIPA) 2011-Sekarang
1100-00-0000-0015,Ketua Brigade Pemuda Provinsi Aceh 2000-2004
1100-00-0000-0015,Bendahar KNPI Kota Banda Aceh 2002-2006
1100-00-0000-0015,Ketua DPD HISPPI Provinsi Aceh 2002-2006
1100-00-0000-0015,Ketua I DPP HISPPI 2006-Sekarang
1100-00-0000-0016,Keluarga Mahasiswa dan Alumni Penerima Beasiswa Supersemar (KMA-PBS)
1100-00-0000-0016,Himpunan Mahasiswa Islam Palembang
1100-00-0000-0017,BEM MAHASISWA UNAYA
1100-00-0000-0017,CIMSA UNAYA
1100-00-0000-0018,"Pengurus Pll, tahun 1975-1977"
1100-00-0000-0018,"Pengurus AMPI, tahun 1978-1983"
1100-00-0000-0018,"Pengurus Pemuda KIARA, tahun 1978-1983"
1100-00-0000-0018,"Senat Mahasiswa Jabal Ghafur, tahun 1983-1989"
1100-00-0000-0018,"Wkl.Ketua KNPI Pidie, tahun 1983-1989"
1100-00-0000-0018,"Pengurus PGRI Kab. Pidie, tahun 1988-1993"
1100-00-0000-0018,"Ketua PGRI Kab.Pidie, tahun 1993-Sekarang"
1100-00-0000-0018,"Wkl.Sekretaris'Partai GOLKAR Kab. Pidie, tahun 1988-1993"
1100-00-0000-0018,"Ketua DPD-II Partai GOLKAR Pidie, 1998-2009"
1100-00-0000-0018,Ketua Umum Pencak Silat Kab. Pidie 2002-2012 (Dua Periode)
1100-00-0000-0018,"Ketua Umum PSAP Sigli, 2006-2009"
1100-00-0000-0018,"Ketua Korps Alumni UNIGHA Sigli, tahun 2004-Sekarang"
1100-00-0000-0019,TIDAK ADA
1100-00-0000-0020,"Anggota Persatuan Pelajar Indonesia (PPI) Leung Putu, 1984s/d Sekarang."
1100-00-0000-0020,"Bergabung dengan Gerakan Aceh Merdeka (GAM), 1990 s/d 2005."
1100-00-0000-0020,"Bergabung dengan Komite Peralihan Aceh (KPA), 2005 s/d Sekarang."
1100-00-0000-0020,"Ketua Partai Aceh Kec. Langkahan, 2008 s/d 2013."
1100-00-0000-0021,Bendahara PNBK DPD Provinsi Nanggroe Aceh Darussalam Tahun 2004 sampai 2008
1100-00-0000-0021,Ketua PNBK Indonesia DPD Provinsi Aceh Tahun 2009 sampai 2013
1100-00-0000-0021,Ketua Lembaga Karate-Do Indonesia (LEMKAR1) Pengda Provinsi Aceh Tahun 2008 Sampai 2013
1100-00-0000-0021,Ketua Badan Peneliti Independent (BPI) Provinsi Aceh Tahun 2011 sampai sekarang
1100-00-0000-0021,APTISI ACEH
1100-00-0000-0022,Ikatan Mahasiswa Muhammadiyah (IMM)
1100-00-0000-0022,Pelajar Islam Indonesia (PII)
1100-00-0000-0022,Himpunan Mahasiswa Islam (HMI)
1100-00-0000-0022,DPD PKS Aceh Tengah
1100-00-0000-0022,BKPRMI Aceh Tengah
1100-00-0000-0022,BKPRMI Jakarta
1100-00-0000-0023,Sekrestaris PDIP Kec. Darul Makmur Tahun 1999
1100-00-0000-0023,Wakil Ketua PDIP Kab. Nagan Raya Tahun 2002
1100-00-0000-0024,"Sekretaris HMI Komisariat Fakultas Ekonomi Unsyiah, Periode 1986/1987"
1100-00-0000-0024,"Ketua Biadang Pembinaan Organisasi HMI Cabang Banda aceh, 1988/1989"
1100-00-0000-0024,Ketua BADKO HMI Aceh Periode 1990/1991
1100-00-0000-0024,"Ketua PB HMI Bidang Keummatan, Periode 1991/1992"
1100-00-0000-0024,"Staf Investigasi dan Keuangan PB HAM Pidi, Tahun 2000 - 2004"
1100-00-0000-0024,"Badan Reintegrasi Aceh (BRA) Provinsi, 2006"
1100-00-0000-0024,"Ketua Badan Narkotika Kabupaten (BNK) Pidie, 2007-2012"
1100-00-0000-0024,"Ketua Kwarcab Pramuka Kabupaten Pidie, Periode 2010 - 2014"
1100-00-0000-0024,"Ketua Pengcab PSSI Kabupaten Pidie, Periode 2010 - 2014"
1100-00-0000-0026,1983 - 1985: Sekretaris Umum Badan Permusyawaratan Mahasiswa Fakultas Hukum - Unsyiah
1100-00-0000-0026,1990 - 1994: Sekretaris Umum DPD Ikatan Penasihat Hukum Indonesia Provinsi Aceh
1100-00-0000-0026,1990 - 1993: Presidium Forum LSM Aceh
1100-00-0000-0026,1993 - 1996: Presidium Nasional WALHI (Wahana Lingkungan Hidup Indonesia)
1100-00-0000-0027,Yayasan Eumpang Breuh (2006-Sekarang)
1100-00-0000-0027,Partai Aceh (2008-Sekarang)
1100-00-0000-0027,Lembaga Rumoh Meuseni Aceh (2010-Sekarang)
1100-00-0000-0027,"Perangkat Tuha Peut, desa Alue Awe (1997-2000)"
1100-00-0000-0028,"Presiden Gerakan Wirausaha Aceh, 2001 - sekarang"
1100-00-0000-0028,"Ketua JPMI Aceh, 2001 - sekarang"
1100-00-0000-0028,Pembina Yayasan Pahala Aceh
