id_calon,ringkasan
1100-00-0000-0001,WARTAWAN HARIAN WASPADA
1100-00-0000-0001,KETUA WARAWAN UNIT A. BESA12
1100-00-0000-0002,Staff pengajar di Univ. Syiah Kuala Tahun 1981 - 1999
1100-00-0000-0002,Staff Pengajar di Unmuha Aceh Tahun 1982 - 1999
1100-00-0000-0002,Anggota DPR RI Tahun 1999 - 2004
1100-00-0000-0002,Anggota DPR RI Tahun 2004 - 2009
1100-00-0000-0002,Anggota DPR RI Tahun 2009 - 2014
1100-00-0000-0003,Camat Kecamatan Simpang Kiri Tahun 1988
1100-00-0000-0003,Camat Kecamatan Sawang Tahun 1990
1100-00-0000-0003,Camat Kecamatan Susoh Tahun 0993
1100-00-0000-0003,Kabag Pemerintah Desa Setwilda Aceh Selatan Tahun 1996
1100-00-0000-0003,Kabag Lingkungan Hidup Setwilda Aceh Selatan Tahun 1997
1100-00-0000-0003,Ka. PMD Kabupaten Aceh Singkil Tahun 1998
1100-00-0000-0003,Kadis Sosial Kabupaten Aceh Singkil Tahun 2001
1100-00-0000-0003,Ka. Bapedalda Aceh Singkil Tahun 2003
1100-00-0000-0003,SEKDA Kota Subulussalam Tahun 2007
1100-00-0000-0004,Wiraswasta
1100-00-0000-0004,Komisioner KPAID Provinsi Aceh
1100-00-0000-0005,PIMIWAN TOKO MAS INTANPERMATA 1989-2013
1100-00-0000-0006,Pj. Kasubbag. Penye. Program Pada Bag. Pemb Kantor Bupati Aceh Utara
1100-00-0000-0006,Kasubbag Tapem Kantor Bupati Aceh Utara
1100-00-0000-0006,Camat Peudada
1100-00-0000-0006,Camat Samalanga
1100-00-0000-0006,Pj. Asisten Adm. Setda Kab. Bireuen
1100-00-0000-0006,Kadis Perhubungan dan Pariwisata Kab. Bireuen
1100-00-0000-0006,Kepala Badan Pembinaan Pendidikan Dayah Aceh
1100-00-0000-0007,WAKIL KEPSEK - BID. KESISWAAN SMP 8 - B.ACEH
1100-00-0000-0008,1999 s/d 2003 Staf UML
1100-00-0000-0008,2003 s/d 2007 Anggota KPU Aceh Tenggara
1100-00-0000-0008,2007 s/d 2008 Pengajar sekolah pertanian pembangunan
1100-00-0000-0008,2009 s/d 2014 Anggota DPRK Aceh Tenggara
1100-00-0000-0009,"UNDP, Researcher, Tahun 2006-2007"
1100-00-0000-0009,"Interpeace Aceh Program, Program Coordinator, Tahun 2007-2008"
1100-00-0000-0009,"Juru Bicara Pusat, Dewan Pimpinan Aceh Partai Aceh (Tahu 2011-2013)"
1100-00-0000-0009,Staf Khusus Gubernur Aceh (2012-sekarang)
1100-00-0000-0011,Kepala BPKEL Wilayah Aceh 2007-2012
