id_calon,ringkasan
1100-00-0000-0001,SDN KRUENG SABEE
1100-00-0000-0001,MIN NEGRI KRUENG SABE
1100-00-0000-0001,SNPN CALANG
1100-00-0000-0001,SMEAN BANDAACEH - UNIVERSITAS ISKANDAR MUDA
1100-00-0000-0001,UNV. MALANG
1100-00-0000-0002,S1 FMIPA USU Medan Tahun 1980
1100-00-0000-0002,S2 Ilmu Kesehatan UNAIR Surabaya Tahun 1984
1100-00-0000-0002,S3 Ilmu Kesehatan/Pharmacy USM Penang Tahun 1994
1100-00-0000-0003,SD 1 Singkil Tahun 1966
1100-00-0000-0003,SMP 1 Tapak Tuan Tahun 1969
1100-00-0000-0003,SMA V Medan Tahun 1974
1100-00-0000-0003,APDN Banda Aceh Tahun 1980
1100-00-0000-0003,Fisipol USU Medan Tahun 1986
1100-00-0000-0003,STIE Banda Aceh Tahun 1998
1100-00-0000-0003,STIM-IMMI Jakarta Tahun 2003
1100-00-0000-0004,SDN 17 Banda Aceh 1976
1100-00-0000-0004,SMPN 1 Banda Aceh 1979
1100-00-0000-0004,SMA 1 Banda Aceh 1982
1100-00-0000-0004,Pesantren Gontor Jawa Timur 1985
1100-00-0000-0004,S1 Ilmu Pendidikan 1990
1100-00-0000-0005,SD: SD N Geudong Tahun 1984
1100-00-0000-0005,SLTP: SMP N Panton Labu Tahun 1987
1100-00-0000-0005,SLTA: SMA N Panton Labu Tahun 1990
1100-00-0000-0005,SI: Universitas Islam Tamiang Tahun 2012
1100-00-0000-0006,"SD Negeri Mamplan, Mamplam, Tahun Lulus 1970"
1100-00-0000-0006,"SMP Negeri Samalanga, Samalanga, Tahun Lulus 1973"
1100-00-0000-0006,"SMA Negeri Samalanga, Samalanga, Tahun Lulus 1976"
1100-00-0000-0006,"STIA LAN-RI (S-1), Jakarta, Tahun Lulus 1988"
1100-00-0000-0006,"Universitas Brawijaya (S-2) Malang, Tahun Lulus 2003"
1100-00-0000-0007,SDN 6 Meulaboh 1966
1100-00-0000-0007,SMPN 1 Meulaboh 1969
1100-00-0000-0007,SKKA Banda Aceh 1973
1100-00-0000-0007,P6SLP Banda Aceh 1973
1100-00-0000-0008,MIN Kota Kutacane Tahun 1986
1100-00-0000-0008,SMP N 1 Kutacane Tahun 1992
1100-00-0000-0008,SPP Kutacane Tahun 1995
1100-00-0000-0008,SI UGL Kutacane Tahun 2005
1100-00-0000-0009,"SD Negeri Pucang IV, Sidoarjo, (Tahun Lulus 1993)"
1100-00-0000-0009,"SMP Negeri 1 Langsa, (Tahun Lulus 1996)"
1100-00-0000-0009,"SMU Negeri 3 Banda Aceh, Banda Aceh, (Tahun Lulus 1999)"
1100-00-0000-0009,"S1 Ilmu Politik FISIP Universitas Indonesia, Kampus UI Depok, (Tahun Lulua 2005)"
1100-00-0000-0009,"S2 Ilmu Politik FISIP Universitas Indonesia, Kampus UI Salemba, (Tahun Lulus 2012)"
1100-00-0000-0010,"Madrasah Ibtidayah Nereri (MIN) Beurenuen,1964 s/d 1971"
1100-00-0000-0010,"Pendidikan Guru Agama Negeri (PGAN) Beurenuen, 1971 s/d 1975"
1100-00-0000-0010,"Sekolah Menengah Atas (SMA) Lhokseumawe, 1975 s/d 1978"
1100-00-0000-0010,"Universitas Cut Nyak Dhin Medaaan, 2013"
1100-00-0000-0011,"MIN Pondok Sayur, Bener Meriah Tamat tahun 1985"
1100-00-0000-0011,"MTSN Simpang Tiga, Bener Meriah Tamat tahun 1988"
1100-00-0000-0011,"MAN 3 Jakarta, Tamat Tahun 1991"
1100-00-0000-0012,"SD MUHAMMADIXAH LANGSA, 1976"
1100-00-0000-0012,"ST NEGERT LANGSA, 1979"
1100-00-0000-0012,"SMA PGRT LANGSA, 1983"
1100-00-0000-0013,"MIN Kembang Tanjong, tamat tahun 1965"
1100-00-0000-0013,"MTSN Kembang Tanjong, tamat tahun 1968"
1100-00-0000-0013,"SP IAIN Sigli, tamat tahun 1971"
1100-00-0000-0013,"Fakultas Syariah PTIQ Jakarta (Sarjana Muda, Tamat Tahun 1977"
1100-00-0000-0013,"Fakultas Syariah Jurusan Pidana dan Perdata Islam (Muamalah) Fakultas Syariah IAIN Syarif Hidayatullah Jakarta (Sarjana Lengkap), Tamat tahun 1985."
1100-00-0000-0014,"Sekolah Dasar Negeri (SDN) Alue Pisang, Kuala Batee Aceh Barat Daya tamat tahun 2000."
1100-00-0000-0014,"Madrasah Tsanawiyah Negeri (MTsN) Kuala Batee Aceh Barat Daya, tamat tahun 2003."
1100-00-0000-0014,"Madrasah Aliyah Negeri (MAN) Blangpidie Aceh Barat Daya, tamat tahun 2006."
1100-00-0000-0014,"FKIP Universitas Almuslim Bireuen Bireuen (S-1), Prodi Pendidikan Matematika, tamat tahun 2011."
1100-00-0000-0014,"Program Magister (S-2) jurusan Administasi Pemerintahan Daerah, Universitas Pembangunan Masyarakat Indonesia (UPIM) Tahun 2012-Sekarang."
1100-00-0000-0015,SD Negeri 5 Kab. Pidie Tahun 1977
1100-00-0000-0015,SMP Negeri 1 Kab. Pidie Tahun 1981
1100-00-0000-0015,SMA Negeri Sigli Tahun 1984
1100-00-0000-0015,S 1 Universitas Iskandarmuda Tahun 1990
1100-00-0000-0016,Sekolah Dasar Negeri Simpang Layang (1980-1986)
1100-00-0000-0016,Sekolah Menengah Pertama Negeri Lampahan (1986-1989)
1100-00-0000-0016,SMT Teknologi Pertanian Takengon (1989-1992)
1100-00-0000-0016,Fak. Pertanian Univ Sjakhakirti Palembang (1999-2006)
1100-00-0000-0017,MIN BANDA ACEH-1.
1100-00-0000-0017,MTsN BANDA ACEH-1
1100-00-0000-0017,SMA DWI WARNA BOARDING SCHOOL BOGIR
1100-00-0000-0017,Sarjana Kedokteran Umum Universitas Abulyatama
1100-00-0000-0018,"S-1 Universitas Jabal Ghafur, tamat 1987"
1100-00-0000-0018,"SPG Banda Aceh, tamat 1974"
1100-00-0000-0018,"SMPN Meureudu, tamat 1971"
1100-00-0000-0018,"SDN Ulim, tamat 1968"
1100-00-0000-0019,Sarjana Agama IAIN Ar-Raniry Banda Aceh
1100-00-0000-0019,Sarjana HUKUM UNIGHA ACEH
1100-00-0000-0019,Magister Kenotariatan USU
1100-00-0000-0020,"Madrasah Ibtidaiyah Negeri (MIN) Leung Putu, 1980/1981"
1100-00-0000-0020,"MTSN Glumpang Minyek, 1983/1984"
1100-00-0000-0020,"SLTA Leung Putu, 1986/1987"
1100-00-0000-0020,"STIE Bumi Persada Lhokseumawe, 2008."
1100-00-0000-0020,Sedang Kuliah S2 di UNIMA Lhokseumawe.
1100-00-0000-0021,SD Negeri Kembang Tanjung TamatTahun 1976
1100-00-0000-0021,SMP Negeri Kembang Tanjung Tamat Tahun 1979
1100-00-0000-0021,SMA Negeri Beureuneun TamatTahun 1982
1100-00-0000-0021,STIES Sabang Banda Aceh Tamat Tahun 1996
1100-00-0000-0022,"SD Tamansiswa, Lhokseumawe 1980"
1100-00-0000-0022,"SMP Tamansiswa, Lhokseumawe 1984"
1100-00-0000-0022,"SMA Tamansiswa, Lhokseumawe 1987"
1100-00-0000-0022,"Insinyur Pertanian Universitas Syiah Kuala, Banda Aceh 1993"
1100-00-0000-0023,SD Negeri 1 Jeuram Tahun 1985
1100-00-0000-0023,SMP Negeri Alue Bilie Tahun 1988
1100-00-0000-0023,SMA Negeri 2 Meulaboh Tahun 1991
1100-00-0000-0023,S 1 Fakultas Ekonomi Universitas Jabar Ghafur Tahun 2010
1100-00-0000-0024,"Madrasah Ibtidaiyah Negeri Di Samalanga, 1975"
1100-00-0000-0024,"Sekolah Menengah Pertama Negeri, di Samalanga, 1979"
1100-00-0000-0024,"Sekolah Menengah Atas Negeri di Bireuen, 1982"
1100-00-0000-0024,"Fakultas Ekonomi Unsyiah, banda Aceh, 1992"
1100-00-0000-0024,"Magister Manajemen di IMI Jakarta, 2009"
1100-00-0000-0025,SD
1100-00-0000-0025,MEC AIR SIALANC
1100-00-0000-0025,SMI NEC 1 SAMAP
1100-00-0000-0025,SMK NEC. 1 T. TUAN
1100-00-0000-0026,"Sekolah Dasar: SD Negeri No. 2 Gigieng, tamat 23 - 12 - 1972"
1100-00-0000-0026,"Sekolah Menengah Pertama: SMP Negeri 1 Langsa, tamat 05 - 12 - 1975"
1100-00-0000-0026,"Sekolah Menengah Atas: SMP Negeri Sigli, tamat 08 - 05 - 1980"
1100-00-0000-0026,"Fakultas: Fakultas Hukum Unsyiah, tamat 27 - 08 - 1987"
1100-00-0000-0027,SD Negeri Pante Bahagia Aceh Utara. Tahun 1987
1100-00-0000-0027,"SMP Paket B, Kab. Bireuen. Tahun 2007"
1100-00-0000-0027,"SMU Paket C, Kota Lhokseumawe. Tahun 2010"
1100-00-0000-0028,"Fakultas Pertanian Universitas Syiah Kuala, lulus tahun 2002"
1100-00-0000-0028,"SMA Negeri 1 Lhokseumawe, lulus tahun 1997"
1100-00-0000-0028,"SMP Negeri Keuramat, Aceh Utata, lulus tahun 1994"
1100-00-0000-0028,"SD Negeri Keuramat, Aceh Utata, lulus tahun 1990"
1100-00-0000-0029,Sekolah Dasar Negeri Garot Tamat Tahun 1972
1100-00-0000-0029,SMP Negeri Garot Tamat Tahun 1975
1100-00-0000-0029,SMA Negeri Sigli Tamat Tahun 1979
1100-00-0000-0029,Fakultas Teknik Sipil Unsyiah Tidak Tamat
1100-00-0000-0029,Fakultas Hukum UIA Jakarta Tamat Tahun 1989
1100-00-0000-0030,SD Tahun 1967 di Sibreh
1100-00-0000-0030,SMP Tahun 1979 di Sibreh
1100-00-0000-0030,SMA Tahun 1977 di Banda Aceh
1100-00-0000-0031,SDN 2 Jeuram Tahun 1976
1100-00-0000-0031,SMP N 1 Jeuram Tahun 1980
1100-00-0000-0031,SMA N 1 Jeuram Tahun 1983
1100-00-0000-0031,D3 Ekonomi Unsyiah Tahun 1986
1100-00-0000-0031,STIM Banda Aceh Tahun 1998
1100-00-0000-0031,S-2 Ekonomi Unsyiah Tahun 2003
1100-00-0000-0032,S2 ILMULINCKUNGAN
1100-00-0000-0032,PASCA SARJANA UI TAHUN 199
1100-00-0000-0033,"MIN Kutablag, Gandapura, Aceh Utara. Tamat 1994"
1100-00-0000-0033,"MTs Bustanul Ulum, Langsa, Aceh Timur. Tamat 1997"
1100-00-0000-0033,SMU Negeri 1 Lokseumawe. Tamat 2000
1100-00-0000-0033,Fak. Syartah IAIN Ar Raniry. Banda Aceh. Tamtat 2005
1100-00-0000-0033,"Magister Perdamaian dan Resolusi Konflik (MPRK) Universitas Gadjah Mada, Yogyakarta. Tamat 2008"
1100-00-0000-0034,"Sekolah Dasar Negeri No. Lhokseumawe, Berijazah (1966-1972)"
1100-00-0000-0034,"Sekolah Menengah Pertama Negeri 1 Lhokseumawe, Berijazah (1973-1976)"
1100-00-0000-0034,"Sekolah Menengah Atas Negeri 1 Bireun, Berijazah (1977-1981)"
