lembaga,tahun,id_provinsi,nama_provinsi,id_dapil,nama_dapil,id_partai,nama_partai,urutan,id,nama,jenis_kelamin,domisili,foto_url,agama,tempat_lahir,tanggal_lahir
DPR,2014,11,ACEH,1101,ACEH I,1,PARTAI NasDem,1,DPR11010101,"PROF. DR. BACHTIAR ALY, MA",L,KOTA TANGERANG SELATAN,http://dct.kpu.go.id/images/foto/DPR/1101.%20ACEH%20I/01.%20NASDEM/01.%20PROF.%20DR.%20BACHTIAR%20ALY%2C%20MA.jpg,,,
DPR,2014,11,ACEH,1101,ACEH I,1,PARTAI NasDem,2,DPR11010102,Drs. H. T. PRIBADI,L,KOTA BANDA ACEH,http://dct.kpu.go.id/images/foto/DPR/1101.%20ACEH%20I/01.%20NASDEM/02.%20DRS.%20H.T.%20PRIBADI.JPG,,,
DPR,2014,11,ACEH,1101,ACEH I,1,PARTAI NasDem,3,DPR11010103,"DESI   FITRIANI, S.Sos.",P,KOTA DEPOK,http://dct.kpu.go.id/images/foto/DPR/1101.%20ACEH%20I/01.%20NASDEM/03.%20DESI%20FITRIANI%2C%20S.SOS.JPG,,,
DPR,2014,11,ACEH,1101,ACEH I,1,PARTAI NasDem,4,DPR11010104,TAF HAIKAL,L,ACEH JAYA,http://dct.kpu.go.id/images/foto/DPR/1101.%20ACEH%20I/01.%20NASDEM/04.TAF%20HAIKAL.jpg,,,
DPR,2014,11,ACEH,1101,ACEH I,1,PARTAI NasDem,5,DPR11010105,IR. H. FAISAL RY,L,JAKARTA  TIMUR,http://dct.kpu.go.id/images/foto/DPR/1101.%20ACEH%20I/01.%20NASDEM/05.%20IR.%20H.%20FAISAL%20RY.jpg,,,
DPR,2014,11,ACEH,1101,ACEH I,1,PARTAI NasDem,6,DPR11010106,"Hj. FAHMIWATI, SE., M.Si",P,KOTA BANDA ACEH,http://dct.kpu.go.id/images/foto/DPR/1101.%20ACEH%20I/01.%20NASDEM/06.%20FAHMIWATI%2C%20SE%2C%20M.SI.jpg,,,
DPR,2014,11,ACEH,1101,ACEH I,1,PARTAI NasDem,7,DPR11010107,NURHAYATI,P,ACEH  BESAR,http://dct.kpu.go.id/images/foto/DPR/1101.%20ACEH%20I/01.%20NASDEM/07.%20MURHAYATI.JPG,,,
DPR,2014,11,ACEH,1101,ACEH I,5,PARTAI GOLONGAN KARYA,1,DPR11010501,"H. SAYED FUAD ZAKARIA, SE",L,KOTA TANGERANG SELATAN,http://dct.kpu.go.id/images/foto/DPR/1101.%20ACEH%20I/05.GOLKAR/01SAYED%20FUAD.jpg,,,
DPR,2014,11,ACEH,1101,ACEH I,5,PARTAI GOLONGAN KARYA,2,DPR11010502,ANDI HS,L,JAKARTA TIMUR,http://dct.kpu.go.id/images/foto/DPR/1101.%20ACEH%20I/05.GOLKAR/02ANDI%20HARIANTO%20SINULINGGA.jpg,,,
DPR,2014,11,ACEH,1101,ACEH I,5,PARTAI GOLONGAN KARYA,3,DPR11010503,ASRIDA,P,KOTA BANDA ACEH,http://dct.kpu.go.id/images/foto/DPR/1101.%20ACEH%20I/05.GOLKAR/03ASRIDA.jpg,,,
