id_calon,ringkasan
1101-00-0000-0101,"2013-SEKARANG, PARTAI NASDEM, KETUA DEWAN PAKAR DPP PARTAI NASDEM, JAKARTA"
1101-00-0000-0101,"2010-SEKARANG, ORMAS NASIONAL DEMOKRAT, ANGGOTA DEWAN PERTIMBANGAN, JAKARTA"
1101-00-0000-0101,"2007-SEKARANG, PENGURUS FORUM DUTA BESAR RI, JAKARTA"
1101-00-0000-0101,"2009-2013, FISIP UI, KETUA DEWAN GURU BESAR JAKARTA"
1101-00-0000-0101,"2010-2013, KOMITE PROFESOR UNTUK PERPUSTAKAAN UI, KETUA, JAKARTA"
1101-00-0000-0101,"2011-2014, PERHIMPUNAN ALUMNI JERMAN, WAKIL KETUA DEWAN KEHORMATAN"
1101-00-0000-0102,"1991-1991, GM KOSGORO, WAKIL KETUA DPD, ACEH"
1101-00-0000-0102,"2009-2002, SOKSI, WAKIL KETUA, ACEH"
1101-00-0000-0102,"2010-2013, NASIONAL DEMOKRAT, KETUA DPW, ACEH"
1101-00-0000-0102,"2011-2013, PARTAI NASDEM, KETUA DEWAN PERTIMBANGAN, ACEH"
1101-00-0000-0106,"1988-1988, KOSGORO, ANGGOTA, BANDA ACEH"
1101-00-0000-0106,"1989-2013, ORGANISASI PERLINDUNGAN KONSUMEN, -, BANDA ACEH"
1101-00-0000-0203,"2008-SEKARANG, SEKRETARIS DPD WANITA SYAUFIAH PPTL PROV.ACEH"
1101-00-0000-0203,"2010-2013, WAKIL KETUA DPP PARTAI PEMERSATU BANGSA PROV. ACEH"
1101-00-0000-0204,"KORPRI, PGRI, JIWASRAYA"
1101-00-0000-0301,HIMPUNAN MAHASISWA ISLAM
1101-00-0000-0301,IKATAN CENDIKIAWAN MUSLIM INDONESIA
1101-00-0000-0301,ORGANISASI POLITIK PARTAI KEADILAN SEJAHTERA
1101-00-0000-0303,FORDIMA POLITEKNIK NEGERI LHOKSEUMAWE
1101-00-0000-0303,BEM POLITEKNIK NEGERI LHOKSEUMAWE
1101-00-0000-0303,KAMMI ACEH
1101-00-0000-0303,NASHIATUL AISYIAH KOTA BANDA ACEH
1101-00-0000-0303,JSIT ACEH
1101-00-0000-0304,2007-2012 KETUA BNK ACEH JAYA
1101-00-0000-0304,2007-2012 KETUA KOMINDA KAB. ACEH JAYA
1101-00-0000-0304,2008-2013 KA. KWARCAB PRAMUKA ACEH JAYA
1101-00-0000-0304,KETUA MAJELIS TAKLIM KAB. ACEH JAYA
1101-00-0000-0304,KETUA YAYASAN RUMOH MEURUMOH DAYA KAB. ACEH JAYA
1101-00-0000-0305,"1994, HMI"
1101-00-0000-0305,"1999, PK"
1101-00-0000-0306,"2010-2014, KETUA UMUM JSIT ACEH"
1101-00-0000-0401,"2010-SEKARANG, KETUA POKJA DPP BPEK KAB. BOGOR PDI PERJUANGAN"
1101-00-0000-0401,"2000-2004, MAJELIS EKONOMI, KETUA BIDANG PENGEMBANGAN JASA KONSULTAN PP MUHAMMADIYAH"
1101-00-0000-0401,"1983-1985, WAKIL KETUA PELAJAR ISLAM INDONESIA CAB. ACEH UTARA"
1101-00-0000-0401,"2009-SEKARANG, SEKJEN FORUM PERJUANGAN KEADILAN RAKYAT ACEH"
1101-00-0000-0401,"2010-2014, WAKIL KETUA BADAN ADVOKASI DAN MEDIASI INKINDO DPP DKI"
1101-00-0000-0401,"2002-SEKARANG, BENDAHARA UMUM ANGKATAN MUDA ISKANDAR MUDA"
1101-00-0000-0401,"2001-SEKARANG, KETUA DEWAN PEMBINA PESANTREN MANBAUL ULUM KUTA BATEE ACEH UTARA"
1101-00-0000-0402,"2008-2013, WAKIL KETUA LBH NU PROV. ACEH"
1101-00-0000-0402,"1996-2001, WAKIL KETUA LBH KUKMI PROV. ACEH"
1101-00-0000-0404,"2008-SEKARANG, KETUA KADIN KOTA LHOKSEUMAWE"
1101-00-0000-0404,"2003-2006, KETUA HIMPI KOTA LHOKSEUMAWE"
1101-00-0000-0404,"2004-SEKARANG, KETUA ASPEKINDO KOTA LHOKSEUMAWE"
1101-00-0000-0404,"2005-2010,BENDAHARA PENGURUS GOLF ACEH"
1101-00-0000-0404,"2005-2010, BENDAHARA PERBAKIN ACEH"
1101-00-0000-0404,"2008-SEKARANG, PEMBINA PERSATUAN BECAK MESIN KOTA LHOKSEUMAWE"
1101-00-0000-0404,"2011-SEKARANG, KETUA ORGANDA ACEH UTARA"
1101-00-0000-0404,"2011-SEKARANG, KETUA II PERBAKIN KOTA LHOKSEUMAWE"
1101-00-0000-0404,"2011-SEKARANG, DEWAN PENASIHAT IPPKINDO KOTA LHOKSEUMAWE"
1101-00-0000-0404,"2010-SEKARANG, WAKIL KETUA DEWAN PENYANTUN KONI KOTA LHOKSEUMAWE"
1101-00-0000-0404,"2012-SEKARANG, WAKIL KOORDINATOR IMI KOTA LHOKSEUMAWE"
1101-00-0000-0404,"2010-SEKARANG, KETUA PANGCAB POBSI KOTA LHOKSEUMAWE"
1101-00-0000-0404,KETUA DEWAN PENASEHAT AIRA & DKA KOTA LHOKSEUMAWE
1101-00-0000-0404,KETUA DEWAN PEMBINA PEDAGANG KAKI LIMA KOTA LHOKSEUMAWE
1101-00-0000-0404,ANGGOTA TIM ASISTENSI PENGGERAK PELABUHAN KRUENG GUEKEUH
1101-00-0000-0404,ANGGOTA TIM ASISTENSI PEMKO LHOKSEUMAWE
1101-00-0000-0404,DEWAN PENASIHAT MEDIA ANP (ACEH NATIONAL-POST)
1101-00-0000-0404,KETUA PENASEHAT TIONGHOA LHOKSEUMAWE/ACEH UTARA
1101-00-0000-0404,KETUA KOMITE SEKOLAH SMA 1 LHOKSEUMAWE
1101-00-0000-0404,KETUA PEMUDA PANCASILA KOTA LHOKSEUMAWE 2012-2014
1101-00-0000-0404,KETUA ASOSIASI KONTRAKTOR ACEH KAB. ACEH UTARA 2012-2015
1101-00-0000-0405,"1999-2004, KETUA DPD PIB ACEH"
1101-00-0000-0406,KETUA KOPERASI KRPS
1101-00-0000-0406,KETUA PERWAKILAN ACEH (TRAN AKTO)
1101-00-0000-0406,STAF REDAKSI ACEH NEWS
1101-00-0000-0406,PERWAKILAN ACEH - ICW
1101-00-0000-0406,AKTIVIS PEREMPUAN ACEH
1101-00-0000-0407,SEKERTARIS PK. KNPI SUSOH
1101-00-0000-0407,PENGURUS HIZBUT TAHRIR MEULABOH
1101-00-0000-0501,"2002, KETUA DPD-1 PARTAI GOLKAR, PROV. NAD"
1101-00-0000-0501,"2006-2013, KETUA PANGDA IPSI ACEH"
1101-00-0000-0501,"2013, PENASEHAT FKPPI ACEH"
1101-00-0000-0501,"2012-2013, PENGURUS BESAR IPSI"
1101-00-0000-0502,"2010-2015, ANGGOTA PP AMPG, JAKARTA"
1101-00-0000-0502,"2010-2015, ANGGOTA DPP PARTAL GOLKAR, JAKARTA"
1101-00-0000-0503,"2009-2015, KETUA KESATUAN PEREMPUAN PARTAI GOLKAR,"
1101-00-0000-0503,"2010-2014, KETUA PERWARI, ACEH"
1101-00-0000-0503,"2009-2014, WAKIL KETUA BKOW. ACEH"
1101-00-0000-0504,"2003-2009, DEWAN PENASEHAT AMPG, SEKRETARIS DEWAN, BANDA ACEH"
1101-00-0000-0504,"2007-2011, KETUA MAJELIS PERTIMBANGAN ORGANISASI (MPO) PEMUDA PANCASILA, ACEH TENGGARA"
1101-00-0000-0504,"2012-2015, KETUA PALANG MERAH INDONESIA KAB. ACEH TENGGARA"
1101-00-0000-0504,"2012-2013, DEWAN PENASEHAT BADAN NARKOTIKA KAB. ACEH TENGGARA"
1101-00-0000-0506,"2007-2013, ANGGOTA ALSA"
1101-00-0000-0506,"2013-2018, PENGURUS PEMUDA PANCASILA ACEH"
1101-00-0000-0507,"2013-2018, PENGURUS HIMPUNAN WANITA KARYA (HWK) ACEH"
1101-00-0000-0601,"1971-1975, WAKIL KETUA GEMA MKGR PROV. DISTA"
1101-00-0000-0601,"1994-1998, PENGDA GABSI PROV. DISTA"
1101-00-0000-0601,"2000-2007, KETUA IKABA BANDA ACEH"
1101-00-0000-0601,"2008-2013, KETUA DPD PARTAI GERINDRA ACEH"
1101-00-0000-0602,"1990, KETUA IPHI JAKARTA BARAT"
1101-00-0000-0602,"1995, KETUA DPP IPHI"
1101-00-0000-0602,"1999, KETUA DEWAN KEHORMATAN IPHI"
1101-00-0000-0602,"2006, KETUA 1 DPP PERTI"
1101-00-0000-0602,"2010, WAKIL KETUA DEWAN PIMPINAN PUSAT KONGRES ADVOKAT"
1101-00-0000-0603,DHARMA WANITA
1101-00-0000-0603,GERINDRA
1101-00-0000-0603,ORMAS PUTRI ACEH
1101-00-0000-0604,YAYASAN PEDANG INDONESIA
1101-00-0000-0606,"1995, KETUA SANTRI DAYAH JUEMALA AMAL"
1101-00-0000-0606,"2011-2016, WAKIL KETUA KADINDA PIDIE"
1101-00-0000-0606,"1999-2004, PANGLIMA KOMANDO OPERASI GAM WILAYAH PIDIE"
1101-00-0000-0606,"2009-SEKARANG, HIMPUNAN PENGUSAHA MIGAS ACEH"
1101-00-0000-0606,"2010-2012, BENDAHARA OKP MAHASISWA PANCASILA KAB PIDIE"
1101-00-0000-0606,"2010-2016, KETUA KNPI KABUPATEN PIDIE"
1101-00-0000-0606,"2005-SEKARANG, WAKIL KETUA DPW PIDIE PARTAI ACEH"
1101-00-0000-0607,"2002-2004, WAKIL KETUA GAPENSI KOTA LHOKSEUMAWE"
1101-00-0000-0607,"2004-2007, PENASEHAT GAPENSI KOTA LHOKSEUMAWE"
1101-00-0000-0607,"2005-SEKARANG, WAKIL KETUA PERTI LHOKSEUMAWE"
1101-00-0000-0607,"2005-2007, PENASEHAT BSMI LHOKSEUMAWE"
1101-00-0000-0607,"2005-2007, PENASEHAT IKADI LHOKSEUMAWE"
1101-00-0000-0607,"2005-2010, PENASEHAT RADA LHOKSEUMAWE"
1101-00-0000-0607,"2005-2010, PENASEHAT THALIBIN LHOKSEUMAWE"
1101-00-0000-0607,"2005-2007, KETUA UMUM PORDA LHOKSEUMAWE"
1101-00-0000-0607,"2003-2010, KETUA PBR LHOKSEUMAWE"
1101-00-0000-0701,"2010-SEKARANG, KETUA DEPARTEMEN ENERGI DAN SUMBER DAYA ALAM DPP PARTAI DEMOKRAT"
1101-00-0000-0701,"2003-SEKARANG, KETUA UMUM ORMAS IMDI (INSAN MUDA DEMOKRAT INDONESIA)"
1101-00-0000-0701,"2007-SEKARANG, DEWAN PEMBINA KELUARGA OLAHRAGA TARUNG DERAJAT PROVINSI ACEH"
1101-00-0000-0701,"2005-2010, KETUA BIDANG HUBUNGAN LUAR NEGERI ICMI KORWIL DKI JAKARTA"
1101-00-0000-0701,"2004-2009, KETUA UMUM SAVE ACEH FOUNDATION"
1101-00-0000-0701,"2005-2010, ANGGOTA INTERNATIONAL STUDENT ASSOCIATION, NORWICH UNIVERSITY, US"
1101-00-0000-0701,"1995-1998, KOORDINATOR KAMPANYE GERAKAN DISIPLIN NASIONAL KANTOR MENKO POLHUKAM"
1101-00-0000-0701,"2011-SEKARANG, WAKIL KETUA KOMITE TETAP HULU MIGAS"
1101-00-0000-0701,"2004-2009, KETUA BIDANG PENGEMBANGAN USAHA PERSATUAN HOTEL & RESTORAN RI"
1101-00-0000-0701,"2000-2001, PENDIRI DAN WAKIL KETUA KOPERASI TEKNOLOGI INFORMASI INDONESIA"
1101-00-0000-0701,"1997-1999, ANGGOTA ASOSIASI PERUSAHAAN JASA INTERNET INDONESIA"
1101-00-0000-0702,"2012-2017, DEWAN PEMBINA DPP PERSATUAN KONSULTAN INDONESIA,"
1101-00-0000-0702,"2012-2017, DEWAN PENYANTUN PENGURUS PROVINSI IKATAN MOTOR INDONESIA (IMI) ACEH,"
1101-00-0000-0702,"2010-2015, KETUA DEPARTEMEN PERINDUSTRIAN DPP PARTAI DEMOKRAT,"
1101-00-0000-0702,"2009, KETUA TIMKAMDA SBY-BOEDIONO, PROVINSI NAD PILPRES 2009"
1101-00-0000-0702,"2008-2013, KOMITE JASA KONSTRUKSI KADIN INDONESIA"
1101-00-0000-0702,"2004-2012, KETUA UMUM LEMBAGA PENGEMBANGAN JASA KONSTRUKSI DAERAH PROVINSI NAD2006-20"
1101-00-0000-0702,"2006-2011, KETUA DPD PARTAI DEMOKRAT NAD"
1101-00-0000-0702,"2004, KETUA TIMKADA SBY-JK, PROVINSI NAD PILPRES 2004"
1101-00-0000-0702,"2004, KOORDINATOR LSM SAVE ACEH PROVINSI NAD"
1101-00-0000-0702,"2004, KOORDINATOR POSKO KEMANUSIAAN PARTAI DEMOKRAT PROV. NAD"
1101-00-0000-0702,"2003-2008, WAKIL KETUA SERIKAT DAGANG INDONESIA PROV. NAD"
1101-00-0000-0702,"2002-2005, ANGGOTA PENGURUS HIMPUNAN PENGEMBANG JALAN JEMBATAN"
1101-00-0000-0702,"2001-2004, KETUA DPP IKATAN NASIONAL KONSULTAN INDONESIA"
1101-00-0000-0702,"1992-1999, SEKRETARIS IKATAN ARSITEK INDONESIA"
1101-00-0000-0702,"1986-1988, KETUA PELAJAR MAHASISWA KELUARGA TANAH RENCONG"
1101-00-0000-0702,"1985, KETUA TEMU KARYA ILMIAH -5 MAHASISWA ARSITEK INDONESIA"
1101-00-0000-0703,"KETUA DHARMA WANITA BAPELDA, PERKIM"
1101-00-0000-0703,KETUA PKK BANDA ACEH
1101-00-0000-0703,KETUA DEKRANASDA
1101-00-0000-0703,2010-2014 KETUA DEWAN PEMBERDAYAAN PEREMPUAN PARTAI DEMOKRAT
1101-00-0000-0703,KETUA DEWAN PEMBINA PDRI
1101-00-0000-0704,"2012-SEKARANG, KETUA DEPARTEMENT RISTEK DPP PARTAI DEMOKRAT"
1101-00-0000-0704,"2010-2012, KETUA BAPILLU DPD PARTAI DEMOKRAT PROV. ACEH"
1101-00-0000-0704,"2002-2005, WAKIL KETUA 1 DPD PD ACEH"
1101-00-0000-0704,"2005-2010, KETUA COMPARTEMENT LUAR NEGERI KADIN - ACEH"
1101-00-0000-0704,"1983-1987, KETUA PERMIAS"
1101-00-0000-0705,KETUA SHARE FOUNDATION
1101-00-0000-0705,WAKA SEKJEN HIMPUNAN CINTA BUNGA NUSANTARA
1101-00-0000-0705,SEKUM BEM FKG UI
1101-00-0000-0705,WAKA SEKJEN GIAM JAKARTA
1101-00-0000-0705,PENDIRI ALIANSI ORANG MUDA ACEH BARAT
1101-00-0000-0705,PENGURUS ILUNI UI
1101-00-0000-0705,PENGURUS IKORTI KOMDA JAYA
1101-00-0000-0706,2012-2016 KETUA IKATAN MOTOR INDONESIA (IMI) ACEH
1101-00-0000-0706,2012-2017 WAKIL KETUA MPW PEMUDA PANCASILA PROVINSI ACEH
1101-00-0000-0706,2012-2014 PENASEHAT KOMITE NASIONAL PEMUDA DEMOKRAT (KNPD) ACEH
1101-00-0000-0706,2012-2017 PENASEHAT INSAN MUDA DEMOKRAT (IMDI) ACEH
1101-00-0000-0706,1990-1991 KETUA I SENAT FAKULTAS EKONOMI UNIVERSITAS SYIAH KUALA BANDA ACEH
1101-00-0000-0707,2000-SEKARANG ANGGOTA PERHIMPUNAN AHLI PANGAN INDONESIA
1101-00-0000-0707,"2013, PENGURUS PUSAT PERSATUAN INSINYUR INDONESIA"
1101-00-0000-0707,"2012, PENGURUS FORUM KOMUNIKASI KJK DKI JAKARTA"
1101-00-0000-0707,"1995-SEKARANG, ANGGOTA IKATAN ALUMNI SE-IPB"
1101-00-0000-0707,"2012, PENGURUS IKATAN ALUMNI IPB"
1101-00-0000-0707,"2008-SEKARANG, PENGURUS IKATAN AKUMNI SMUN 8 MEDAN"
1101-00-0000-0707,"2000-SEKARANG, KETUA RT 07/01 TEBET TIMUR,"
1101-00-0000-0801,"2010-2015, KETUA DPW PAN PROVINSI ACEH"
1101-00-0000-0801,"2010-2014, WAKIL KETUA IKATAN AKUNTAN INDONESIA WILAYAH ACEH"
1101-00-0000-0801,"2010-2014, PENGURUS CABANG PSSI ACEH BESAR"
1101-00-0000-0801,"2008-2013, KETUA KWARCAB PRAMUKA ACEH BESAR"
1101-00-0000-0801,"2007-2012, KETUA BADAN NARKOTIKA KAB ACEH BESAR"
1101-00-0000-0801,"2007-2012, KETUA KOMUNITAS INTELIJEN DAERAH ACEH BESAR"
1101-00-0000-0801,"2001-2011, KETUA HARIAN KONI KAB ACEH BESAR"
1101-00-0000-0801,"1999-2005, WAKIL KETUA PEMUDA PANCASILA KAB ACEH BESAR"
1101-00-0000-0802,"2012-2017, KETUA GARDA MUDA NASIONAL ACEH"
1101-00-0000-0802,"2012-2017, KETUA PRSI ACEH"
1101-00-0000-0802,"2010-2015, WAKIL KETUA DPW PAN ACEH"
1101-00-0000-0802,"2009-2012, WAKIL KETUA DPP KNPI ACEH"
1101-00-0000-0802,"2007-2012, KETUA PERBASASI ACEH"
1101-00-0000-0802,"1995-2000, KETUA GKJI ACEH TENGGARA"
1101-00-0000-0803,"2003-2007, KETUA SANGGAR GERNALA JAKARTA"
1101-00-0000-0803,"1984-1988, BENDAHARA KNPI ACEH"
1101-00-0000-0803,"1983-1987, YAYASAN JANTUNG SEHAT ACEH"
1101-00-0000-0804,"2008-SEKARANG, ANGGOTA PARTAI AMANAH NASIONAL"
1101-00-0000-0804,"1999-2004, KOORDINATOR GERAKAN ACEH MERDEKA"
1101-00-0000-0804,"1986, ANGGOTA MAJELIS PEMUDA MAHASISWA ACEH"
1101-00-0000-0805,"2005-2011, ANGGOTA DEWAN NASIONAL ALIANSI ORGANIS INDONESIA"
1101-00-0000-0805,"2005-2008, WAKIL KETUA DEWAN NASIONAL WAHANA LINGKUNGAN HIDUP INDONESIA"
1101-00-0000-0805,"2000-2004, WAKIL SEKERTARIS DPW PARTAI AMANAT NASIONAL JAWA TIMUR"
1101-00-0000-0805,"1980-1981, BENDAHARA HIMPUNAN MAHASISWA ISLAM CABANG BANDA ACEH"
1101-00-0000-0805,"1977-1980, KETUA I PW IKATAN PELAJAR MUHAMMADIYAH"
1101-00-0000-0806,"2000-2002, SEKERTARIS PIMPINAN WILAYAH NASYIAH,BANDA ACEH"
1101-00-0000-0806,"1992-2000, PIMPINAN WILAYAH LKATAN REMAJA MUHAMMADIYAH.BANDA ACEH"
1101-00-0000-0806,"1994-1995, ANGGOTA KESENIAN BEM UNIVERSITAS SYIAH KUALA KOPELMA DARUSSALAM"
1101-00-0000-0901,KETUA GMPI KAB ACEH BESAR
1101-00-0000-0901,2011-SEKARANG KETUA UMUM PERTI
1101-00-0000-0901,2006-SEKARANG KETUA DPW PPP
1101-00-0000-0901,WAKIL KETUA PB INSHAFUDDIN NAD
1101-00-0000-0901,WAKIL KETUA DPC KNPI NAD
1101-00-0000-0902,"2011-2016, WAKIL KETUA DPW PPP ACEH"
1101-00-0000-0902,"2009-2014, BIDANG PELATIHAN DAN PENGEMBANGAN USAHA, KADIN ACEH,"
1101-00-0000-0902,"2007-2012, WAKIL SEKRETARIS, IKATAN SARJANA EKONOMI INDONESIA CABANG ACEH"
1101-00-0000-0902,"2001-2004, WAKIL KETUA DPD KNPI ACEH"
1101-00-0000-0902,"1997-1998, KETUA UMUM SENAT MAHASISWA UNIVERSITAS SYIAH KUALA"
1101-00-0000-0902,"1993-1996, HMI CABANG BANDA ACEH"
1101-00-0000-0903,"2001-SEKARANG, PRESIDUM BALE SYURA URENG INO ACEH"
1101-00-0000-0903,"2000-SEKARANG, WAKIL KETUA BKOW NAD"
1101-00-0000-0903,"2003-SEKARANG, KETUA KAUKUS PEREMPUAN POLITIK INDONESIA ACEH"
1101-00-0000-0903,"2002-SEKARANG, PENASEHAT PW. WPP NANGROE ACEH DARUSSALAM"
1101-00-0000-0903,"1999-2004, BENDAHARA DPW PPP NANGRE ACEH DARUSSALAM"
