lembaga,tahun,id_provinsi,nama_provinsi,id_dapil,nama_dapil,id_partai,nama_partai,urutan,id,nama,jenis_kelamin,domisili,foto_url,agama,tempat_lahir,tanggal_lahir
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6101p,KALIMANTAN BARAT 1,7,PARTAI DEMOKRAT,1,DPRDKALBAR616101p0701,"SETYO GUNAWAN, S.E., M.M., M.Si.",L,KOTA PONTIANAK,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6101p,KALIMANTAN BARAT 1,7,PARTAI DEMOKRAT,2,DPRDKALBAR616101p0702,"ARY PUDYANTI, S.E.",P,KOTA PONTIANAK,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6101p,KALIMANTAN BARAT 1,7,PARTAI DEMOKRAT,3,DPRDKALBAR616101p0703,"F. A. AFTARIN LANYO, S.H.",L,KOTA PONTIANAK,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6101p,KALIMANTAN BARAT 1,7,PARTAI DEMOKRAT,4,DPRDKALBAR616101p0704,"BUYUNG BUNARDI, S.H.",L,KOTA PONTIANAK,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6101p,KALIMANTAN BARAT 1,7,PARTAI DEMOKRAT,5,DPRDKALBAR616101p0705,"SRI CAHYAWATI, S.H.",P,KABUPATEN KUBU RAYA,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6101p,KALIMANTAN BARAT 1,7,PARTAI DEMOKRAT,6,DPRDKALBAR616101p0706,"H. SY. TOTO THAHA ALKADRIE, S.Sos.",L,KOTA PONTIANAK,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6101p,KALIMANTAN BARAT 1,7,PARTAI DEMOKRAT,7,DPRDKALBAR616101p0707,"SUBHAN NOVIAR, S.E.",L,KOTA PONTIANAK,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6101p,KALIMANTAN BARAT 1,7,PARTAI DEMOKRAT,8,DPRDKALBAR616101p0708,"HENNY PUSPITA, S.E.",P,KOTA PONTIANAK,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6102p,KALIMANTAN BARAT 2,7,PARTAI DEMOKRAT,1,DPRDKALBAR616102p0701,Drs. H. HERMAN FAUZIE,L,KOTA PONTIANAK,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6102p,KALIMANTAN BARAT 2,7,PARTAI DEMOKRAT,2,DPRDKALBAR616102p0702,"ERMIN ELVIANI, S.H.",P,KABUPATEN PONTIANAK,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6102p,KALIMANTAN BARAT 2,7,PARTAI DEMOKRAT,3,DPRDKALBAR616102p0703,Drs. H. AFFANDIE AR,L,KOTA PONTIANAK,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6102p,KALIMANTAN BARAT 2,7,PARTAI DEMOKRAT,4,DPRDKALBAR616102p0704,"SABLI AWALUDIN, S.E.",L,KABUPATEN PONTIANAK,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6102p,KALIMANTAN BARAT 2,7,PARTAI DEMOKRAT,5,DPRDKALBAR616102p0705,"STIVENES TJIN SIAM, S.E., M.M.",L,KABUPATEN KUBU RAYA,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6102p,KALIMANTAN BARAT 2,7,PARTAI DEMOKRAT,6,DPRDKALBAR616102p0706,"TERESA RANTE MECER, S.H.",P,KOTA PONTIANAK,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6102p,KALIMANTAN BARAT 2,7,PARTAI DEMOKRAT,7,DPRDKALBAR616102p0707,"SABINUS SALEM, S.Pd.",L,KOTA PONTIANAK,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6102p,KALIMANTAN BARAT 2,7,PARTAI DEMOKRAT,8,DPRDKALBAR616102p0708,"MUHAMAD NASIR, S.Kom.I.",L,KOTA PONTIANAK,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6102p,KALIMANTAN BARAT 2,7,PARTAI DEMOKRAT,9,DPRDKALBAR616102p0709,THAMY APRIANI,P,KABUPATEN KUBU RAYA,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6102p,KALIMANTAN BARAT 2,7,PARTAI DEMOKRAT,10,DPRDKALBAR616102p0710,"SYAMSUARDI, S.E.",L,KABUPATEN PONTIANAK,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6102p,KALIMANTAN BARAT 2,7,PARTAI DEMOKRAT,11,DPRDKALBAR616102p0711,LINDA LESTARI,P,KABUPATEN KUBU RAYA,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6103p,KALIMANTAN BARAT 3,7,PARTAI DEMOKRAT,1,DPRDKALBAR616103p0701,"Drs. HERMAN IVO, M.Pd.",L,KOTA PONTIANAK,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6103p,KALIMANTAN BARAT 3,7,PARTAI DEMOKRAT,2,DPRDKALBAR616103p0702,Drs. H. BUANG PRAHTO WIBOWO,L,KOTA PONTIANAK,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6103p,KALIMANTAN BARAT 3,7,PARTAI DEMOKRAT,3,DPRDKALBAR616103p0703,"ANSELA IIB SIO, S.T.P.",P,KOTA SINGKAWANG,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6103p,KALIMANTAN BARAT 3,7,PARTAI DEMOKRAT,4,DPRDKALBAR616103p0704,"ZULKARNAIN, S.Sos.",L,KOTA SINGKAWANG,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6103p,KALIMANTAN BARAT 3,7,PARTAI DEMOKRAT,5,DPRDKALBAR616103p0705,"TEGUH SUKENDAR, S.H.",L,KOTA PONTIANAK,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6103p,KALIMANTAN BARAT 3,7,PARTAI DEMOKRAT,6,DPRDKALBAR616103p0706,"NENENG, S.Sos.",P,KABUPATEN BENGKAYANG,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6104p,KALIMANTAN BARAT 4,7,PARTAI DEMOKRAT,1,DPRDKALBAR616104p0701,"MUHAMMAD ISYA, S.H.",L,KOTA PONTIANAK,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6104p,KALIMANTAN BARAT 4,7,PARTAI DEMOKRAT,2,DPRDKALBAR616104p0702,"TASNIA, S.E.",P,KOTA PONTIANAK,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6104p,KALIMANTAN BARAT 4,7,PARTAI DEMOKRAT,3,DPRDKALBAR616104p0703,"Drs. PATRICE, M.M.",L,KABUPATEN KUBU RAYA,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6104p,KALIMANTAN BARAT 4,7,PARTAI DEMOKRAT,4,DPRDKALBAR616104p0704,HENDRI,L,KABUPATEN SAMBAS,,,,
