id_calon,ringkasan
1101-00-0000-0101,"1998-1998, FKP DPR RI, ANGGOTA TIM AHLI, JAKARTA"
1101-00-0000-0101,"1998-1998, MPR RI, TIM AHLI, JAKARTA"
1101-00-0000-0101,"2000-2005, TIM PENASEHAT PRESIDEN URUSAN ACEH ANGGOTA, JAKARTA"
1101-00-0000-0101,"2000-2002, KEMENTRIAN POLKAM, PENASEHAT, JAKARTA"
1101-00-0000-0101,"2005-2007, PEMERINTAHAN, TIM AHLI DPR RI, JAKARTA"
1101-00-0000-0101,"2002-2005, PEMERINTAHAN, DUTA BESAR MESIR, MESIR"
1101-00-0000-0102,"2006-2007, PEMERINTAHAN, PEJABAT BUPATI ACEH UTARA"
1101-00-0000-0103,"1998-1998, LAMPUNG POST, WARTAWAN, LAMPUNG"
1101-00-0000-0103,"1998-2001, MEDIA INDONESIA, WARTAWAN, JAKARTA"
1101-00-0000-0103,"2001-2013, METRO TV, REPORTER, JAKARTA"
1101-00-0000-0105,"2009 - 2014, WAKIL KETUA PUSAT PENGKAJIAN DAN PENGEMBANGAN ACEH DI JAKARTA"
1101-00-0000-0105,"2009-SEKARANG, KOMISARIS PT. SABANG ACEH INVESMENT & DEVELOPMENT"
1101-00-0000-0105,"2007 - 2008, SEKRETARIS TIM ASISTENSI PEMERINTAH ACEH DI JAKARTA"
1101-00-0000-0105,"1998 - 2003 DAN 2007 - 2008, KETUA TIM PENILAI / EVALUASI LAPORAN PERTANGGUNGJAWABAN PENGURUS ASOSIASI PENGUSAHAAN HUTAN INDONESIA (APLLL)"
1101-00-0000-0105,"2002 - 2004, DIREKTUR UTAMA PT. ALAS HELAU"
1101-00-0000-0105,"2002 - 2004, PJ. DIEKTUR UTAMA PT. TUSAM HUTANI LESTARI"
1101-00-0000-0105,"1999 - 2002, ASISTEN DIREKSI PT. ALAS HELAU DAN PT. TUSAM HUTANI LESTARI"
1101-00-0000-0105,"1989 -1991, RESEARCH, NURSERY AND PLANTATION DEPT. HEAD PT. KIANI SAKTI / PT. KERTAS KRAFT ACEH PERSERO"
1101-00-0000-0106,"1998-2013, TENAGA PENGAJAR,"
1101-00-0000-0106,"2005-2010, GTZ- GERMAN"
1101-00-0000-0106,"1989-2013, ORGANISASI KONSUMEN,"
1101-00-0000-0202,"2003-SEKARANG, KETUA HARIAN OLAHRAGA TARUNG DRAJAT PROV. NAD"
