id_calon,ringkasan
1101-00-0000-0101,"1957-1963, SD, SEKOLAH RAKYAT NEGERI, ACEH"
1101-00-0000-0101,"1963-1966, SLTP, SMP NEGERI 1, BANDA ACEH"
1101-00-0000-0101,1963-1966 SLTP I NEGERI 1 BANDA ACEH
1101-00-0000-0101,"1966-1967, SMA NEGERI I BANDA ACEH"
1101-00-0000-0101,"1967-1968, SLTA, SMA YPU, BANDUNG"
1101-00-0000-0101,"1969-1971, FAKULTAS PUBLISTIK UNIVERSITAS PADJAJARAN, BANDUNG"
1101-00-0000-0101,"1972-1984 STUDI ILMU KOMUNIKASI, ILMU POLITIK DAN SOSIOLOGI, WESTFAELISCHE - WILHELMS-UNIVERSITAET, MUENSTER, REP. FEDERAL JERMAN"
1101-00-0000-0101,"1983 S3, DR. PHIL. UNIVERSITAET, MUENSTER, REP. FEDERAL JERMAN"
1101-00-0000-0102,"1982-1983, S1, UNIVERSITAS ISKANDAR MUDA, BANDA ACEH"
1101-00-0000-0103,"1977-1982, SD, KARTIKA CHANDRA BALI, BALI"
1101-00-0000-0103,"1982-1986, SLTP, SMP NEGERI I SOLOK, SOLOK"
1101-00-0000-0103,"1986-1988, SLTA, SMA NEGERI I SOLOK, SOLOK"
1101-00-0000-0103,"1990-1994, S1, INSTITUT ILMU SOSIAL DAN POLITIK"
1101-00-0000-0104,"1983, SD, BANDA ACEH"
1101-00-0000-0104,"1986, SMP, BANDA ACEH"
1101-00-0000-0104,"1989, SMA, BANDA ACEH"
1101-00-0000-0104,"1989, SPAG (SEKOLAH PERAWAT GIGI)"
1101-00-0000-0104,"2000, EKSTENSI HUKUM UNSYIAH"
1101-00-0000-0105,"1971-1974, SLIP, SMP NEGRI I SUSOH, BLANG PIDIE"
1101-00-0000-0105,"1974-1977, SLTA, SPMA, BANDA ACEH"
1101-00-0000-0105,"1977-1983, S1, UNIV. DARUSSALAM, BANDA ACEH"
1101-00-0000-0106,"1969-1974, SD, SD, ACEH"
1101-00-0000-0106,"1974-1977, SLTP, SMP, ACEH"
1101-00-0000-0106,"1977-1982, SLTA, SMA, ACEH"
1101-00-0000-0106,"1983-1987, S1, UNIVERSITAS ISLAM INDONESIA YOGYAKARTA"
1101-00-0000-0106,"2009-2011, S2, UNIVERSITAS SYIAH KUALA, ACEH"
1101-00-0000-0107,"1952-1957, SD, SRI, BANDAR DUA"
1101-00-0000-0107,"1957-1960, SLTP, SMP, BANDARDUA"
1101-00-0000-0107,"1940-1964, SLTA, SMA, LANGSA"
1101-00-0000-0201,"1980, SD, SD NEGERI REMA BARU"
1101-00-0000-0201,"1983, SMP, SMP NEGERI 1 BLANG KEUJEREN"
1101-00-0000-0201,"1986, SMA, SMA NEGERI 1 BLANG KEUJEREN"
1101-00-0000-0201,"2000, S1, SI UNIVERSITAS MEDAN AREA"
1101-00-0000-0201,"2003, S2, S2 UNIVERSITAS GANESA"
1101-00-0000-0202,"1960, SEKOLAH RAKYAT"
1101-00-0000-0202,"1963, SMPN 2 BANDA ACEH"
1101-00-0000-0202,"1966, SMAN 1 BANDA ACEH"
1101-00-0000-0202,"S1, UNIVERSITAS ABULYATAMA"
1101-00-0000-0203,"1984-1990, SD, MIN LHOONG ACEH BESAR"
1101-00-0000-0203,"1990-1993, SMP, MTSN LHOONG ACEH BESAR"
1101-00-0000-0203,"1993-1996, SMA, SMAN 1 LHOONG ACEH BESAR"
1101-00-0000-0203,"S1, STI KEHUTANAN BANDA ACEH"
1101-00-0000-0204,"1970, SD, MJN PAUH PADANG SUSOB,"
1101-00-0000-0204,"1972, MTSAIN, PGAN, 1973, PGAN 1975"
1101-00-0000-0204,"2009, UNMUHA FAKULTAS PENDIDIKAN AGAMA ISLAM"
1101-00-0000-0205,"1984, SD NEGERI 4 BIREUEN"
1101-00-0000-0205,"1987, SMP NEGERI 2 BIREUEN"
1101-00-0000-0205,"1991, SMA NEGERI BIREUEN"
1101-00-0000-0205,"1991, UNIVERSITAS GADJAH MADA FAKULTAS PETERNAKAN"
1101-00-0000-0206,"1984, SD NEGERI 3 SIGLI"
1101-00-0000-0206,"1987, SMP NEGERI 2 SIDIKALANG"
1101-00-0000-0206,"1990, SMEA SIDIKALANG"
1101-00-0000-0206,"2012, S1 UT BANDA ACEH"
1101-00-0000-0207,"1972, SDN NGAGELREJO 1 SURABAYA"
1101-00-0000-0207,"1975, SMP MUHAMMADIYAH V SURABAYA"
1101-00-0000-0207,"1979, SMAN 4 SURABAYA"
1101-00-0000-0207,"1985, INSTITUTE KEGURUAN DAN ILMU PENDIDIKAN SURABAYA"
1101-00-0000-0301,"1982, SDN 45 MEDAN"
1101-00-0000-0301,"1985, SMPN 01 LANGSA ACEH TIMUR"
1101-00-0000-0301,"1988, SMAN 01 LANGSA ACEH"
1101-00-0000-0301,"1996, IAIN AR RANIRY ACEH"
1101-00-0000-0301,"2009-SEKARANG, KANDIDAT MASTER, S2, ILMU POLITIK, UNIVERSITAS NASIONAL"
1101-00-0000-0302,SDN 02 TANAH TINGGI JAKARTA PUSAT
1101-00-0000-0302,SMPN 78 PERUNGGU JAKARTA PUSAT
1101-00-0000-0302,SMAN 20 PASAR BARU JAKARTA PUSAT
1101-00-0000-0302,IAIN SYARIF HIDAYATULLAH JAKARTA
1101-00-0000-0303,"1990, MIN MANGGENG ABDYA"
1101-00-0000-0303,"1993, MTSN MANGGENG ABDYA"
1101-00-0000-0303,"1996, MAN MANGGENG ABDYA"
1101-00-0000-0303,"2000, POLITEKNIK NEGERI LHOKSEUMAWE"
1101-00-0000-0304,SDN LAMNO
1101-00-0000-0304,MTSN LAMNO
1101-00-0000-0304,MA MESJID SABANG LAMNO
1101-00-0000-0304,S1 FISIP UNIVERSITAS ISKANDAR MUDA
1101-00-0000-0304,LEMHANAS RI FKPPD ANGKATAN IV 2010
1101-00-0000-0305,"1993, SMAN 3 BANDA ACEH"
1101-00-0000-0305,FMIPA UNSYIAH
1101-00-0000-0306,"1981, SDN 1 TANGERANG"
1101-00-0000-0306,"1984, SMPN 1 TANGERANG"
1101-00-0000-0306,"1987, SMAN 1 TANGERANG"
1101-00-0000-0401,"1984, SMA NEGERI LHOKSEUMAWE"
1101-00-0000-0401,"1994, UNIVERSITAS GUNADARMA JAKARTA"
1101-00-0000-0402,"1980, SD NEGERI 1 MEREUDU"
1101-00-0000-0402,"1984, SMP NEGERI 1 MEREUDU"
1101-00-0000-0402,"1987, SMA NEGERI 419 MEREUDU"
1101-00-0000-0402,"1993, FAKULTAS HUKUM UNIV. SYIAH KUALA"
1101-00-0000-0403,SD NEGERI MEULABOH
1101-00-0000-0403,SMP NEGERI MEULABOH
1101-00-0000-0403,"2003, SMA NEGERI 1 MEULABOH"
1101-00-0000-0403,"2010, FAKULTAS EKONOMI UNIVERSITAS SYIAH KUALA"
1101-00-0000-0404,"1974-1980, SD NEGERI 1 JEUNIB KAB. BIREUN"
1101-00-0000-0404,"1980-1983, SMPN 1 JEUNIB KAB. BIREUN"
1101-00-0000-0404,"1983-1986, SMAN 1 LHOKSEUMAWE"
1101-00-0000-0404,"1986-1991, S1, JURUSAN EKONOMI UNIRA MEDAN"
1101-00-0000-0404,"2000-2003, S2, MBA AMERICAN WORLD UNIVERSITY"
1101-00-0000-0405,"1971, MIN BLANG PIDIE"
1101-00-0000-0405,"1974, SMPN SUSOH"
1101-00-0000-0405,"1979, SMAN 1 BANDA ACEH"
1101-00-0000-0405,"1988, FAKULTAS TEKNIK SIPIL UNIVERSITAS SYIAH KUALA"
1101-00-0000-0406,"1973-1980, SD"
1101-00-0000-0406,"1980-1983, SMP"
1101-00-0000-0406,"1983-1986, SMA"
1101-00-0000-0406,"1987-1993, S1"
1101-00-0000-0407,"1990, MIN MEULABOH"
1101-00-0000-0407,"1993, MTSN MODEL MEULABOH"
1101-00-0000-0407,"1997, SMAN 3 LAPANG MEULABOH"
1101-00-0000-0407,"2001, UNIVERSITAS ABULYATAMA ACEH"
1101-00-0000-0501,"1968-1974. SD. SD PERSIT I, BANDA ACEH"
1101-00-0000-0501,"1975-1977. SLTP, SMP NEGERI I. BANDA ACEH"
1101-00-0000-0501,"1978-1981. SLTA, SMA NEGERI III. BANDA ACEH"
1101-00-0000-0501,"1981-1987, S1, UNSYIAH FAKULTAS EKONOMI, BANDA ACEH"
1101-00-0000-0502,"1987-1990, SLTA, SMA PERSIT II MEDAN, MEDAN"
1101-00-0000-0502,"1991-1996, S1. UNIVERSITAS JAYABAYA, JAKARTA"
1101-00-0000-0503,"1976-1979, SLTA, SMA NEGERI I, BANDA ACEH"
1101-00-0000-0503,"2000-2005, S1, STIE DUTA NUSANTARA, MEDAN"
1101-00-0000-0504,"1985-1987, SLTA, SMA NEGERL 5, BANDA ACEH"
1101-00-0000-0504,"1987-1992, S1, UPMI, MEDAN"
1101-00-0000-0504,"2001-2003, S2, SEKOLAH TINGGI ILMU EKONOMI GANESHA"
1101-00-0000-0506,"2004-2007, SLTA I DEWANTARA, ACEH UTARA"
1101-00-0000-0506,"2007-2013, S1, UNIV. SYIAH KUALA, BANDA ACEH"
1101-00-0000-0507,"2000-2003, SLTA, MAN 2, BANDA ACEH"
1101-00-0000-0507,"2004-2009, S1. USM FAKULTAS EKONOMI BANDA ACEH"
1101-00-0000-0601,"1963, SR NEGERI 2 MEULABOH"
1101-00-0000-0601,"1966, SMP NEGERI 1 BANDA ACEH"
1101-00-0000-0601,"1969, SMEA NEGERI MEULABOH"
1101-00-0000-0601,"1978, STIA LAN-RI JAKARTA"
1101-00-0000-0601,"2000, MAGISTER MANAGEMEN UNSYIAH BANDA ACEH"
1101-00-0000-0601,"1991, SPADYA"
1101-00-0000-0601,"2000, SPAMEN"
1101-00-0000-0602,"1969, SD ACEH"
1101-00-0000-0602,"1972, SMP ACEH"
1101-00-0000-0602,"1975, SMA ACEH"
1101-00-0000-0602,"1982, S1 FAKULTAS HUKUM UNSYIAH"
1101-00-0000-0602,"2008, S2 FAKULTAS HUKUM UNPAD"
1101-00-0000-0603,"1964-1970, SDN 2 SIGLI ACEH PIDIE"
1101-00-0000-0603,"1970-1973, SMPN 73, TEBET JAKARTA"
1101-00-0000-0603,"1973-1976, SMAN 26, TEBET JAKARTA"
1101-00-0000-0604,"1985-1988, SD NEGERI 4"
1101-00-0000-0604,"1989-1992, SMP NEGERI 1"
1101-00-0000-0604,"1993-1996, SMA SEJAHTERA 1"
1101-00-0000-0604,"2000, STBA LIA"
1101-00-0000-0605,"1974, SD CIBONO MANGGARAI"
1101-00-0000-0605,"1977, SMPN 3 JAKARTA"
1101-00-0000-0605,"1982, SMA TRISULA PERWARI JAKARTA"
1101-00-0000-0606,"1987-1993, SEKOLAH DASAR (SD) ARON, KEC. GLUMPANG TIGA. PIDIE"
1101-00-0000-0606,"1993-1996, MTS ISLAMIC BOARDLL'LG SCHOOL, JELLMALA AMAL. PIDLE JAYA"
1101-00-0000-0606,"2008, MADRASAH ALIYAH DARUSSALAH GLUMPANG 3 PIDIE"
1101-00-0000-0607,"1977-1983, SEKOLAH DASAR (SD) NEGERI 05 IDI RAYEUK"
1101-00-0000-0607,"1983-1986, SEKOLAH LANJUTAN PERTAMA (SLTP) TANJUNGAN"
1101-00-0000-0607,"1986-1989, SEKOLAH LANJUTAN ATAS(SLTA) NEGERI I LHOKSEUMAWE"
1101-00-0000-0607,1989-1991.S1 UNIVERSITAS ABULYATAMA BANDA ACEH
1101-00-0000-0607,"2004, SEKOLAH TINGGI MANAJEMEN"
1101-00-0000-0701,"1978-1984, SD AL-AZHAR PUSAT"
1101-00-0000-0701,"1984-1987, SMP MUHAMMADIYAH IX"
1101-00-0000-0701,"1987-1990, SMA NEGERI 6 JAKARTA"
1101-00-0000-0701,"1994, S1, NORWICH UNIVERSITY, USA MASS COMMUNICATION"
1101-00-0000-0701,"2013, S2, FAKULTAS TEKNIK UNIVERSITAS INDONESIA"
1101-00-0000-0702,"1969, TK PERSIT KCK BANDA ACEH"
1101-00-0000-0702,"1975, SD NEGERI 3 TAKENGON"
1101-00-0000-0702,"1979, SMP NEGERI 1 BANDA ACEH"
1101-00-0000-0702,"1982, SMA NEGERI 1 BANDA ACEH"
1101-00-0000-0702,"1988, S1, SARJANA TEKNIK ARSITEKTUR, ITS SURABAYA"
1101-00-0000-0702,"1999, S2 MAGISTER TEKNIK ARSITEKTUR, ITB BANDUNG"
1101-00-0000-0703,1967-1968 TK PANCASILA BANDA ACEH
1101-00-0000-0703,1967-1974 SD NEGERI TELADAN LAMYONG
1101-00-0000-0703,1975-1978 SMP NEGERI 1
1101-00-0000-0703,1979-1981 SMA NEGERI 3
1101-00-0000-0703,1981-1991 FAKULTAS PERTANIAN UNSYIAH
1101-00-0000-0704,"1966, SDN 2 LHOKSEUKON"
1101-00-0000-0704,"1969, SMPN 1 LHOKSEUKON"
1101-00-0000-0704,"1973, SMAN DARUSSALAM"
1101-00-0000-0704,"2011, FAKULTAS HUKUM UNIVERSITAS AZZAHRA"
1101-00-0000-0705,"1987-1993, SDN 1 CIPINANG"
1101-00-0000-0705,"1993-1996, SLTP LAB SCHOOL"
1101-00-0000-0705,"1996-1999, SMUN 8 JAKARTA"
1101-00-0000-0705,"2009-2012, FAKULTAS KEDOKTERAN GIGI UNIVERSITAS INDONESIA"
1101-00-0000-0706,"1980, SD NEGERI 01 BANDA ACEH"
1101-00-0000-0706,"1983, SMP NEGERI 01 BANDA ACEH"
1101-00-0000-0706,"1986, SMA NEGERI 03 BANDA ACEH"
1101-00-0000-0706,"1993, FAKULTAS EKONOMI UNSYIAH BANDA ACEH"
1101-00-0000-0707,"1978, SD ISLAM PAB MEDAN"
1101-00-0000-0707,"1981, SMPN 14 MEDAN"
1101-00-0000-0707,"1984, SMAN 3 MEDAN"
1101-00-0000-0707,"1994, INTERSTUDI SCHOOL OF PUBLIC RELATION"
1101-00-0000-0707,"2000, PASCASARJANA IPB"
1101-00-0000-0801,"1966-1972, SDN LAMPUUK"
1101-00-0000-0801,"1973-1976, MTSN LHOKNGA"
