id,id_provinsi,name,kind
7293,12,KAB. TAPANULI SELATAN,KABUPATEN
7560,12,KAB. NIAS,KABUPATEN
8042,12,KAB. KARO,KABUPATEN
8742,12,KAB. SIMALUNGUN,KABUPATEN
9187,12,KAB. ASAHAN,KABUPATEN
9417,12,KAB. LABUHANBATU,KABUPATEN
9683,12,KAB. TOBA SAMOSIR,KABUPATEN
9943,12,KAB. MANDAILING NATAL,KABUPATEN
10371,12,KAB. NIAS SELATAN,KABUPATEN
10864,12,KAB. PAKPAK BHARAT,KABUPATEN
10925,12,KAB. HUMBANG HASUNDUTAN,KABUPATEN
11090,12,KAB. SAMOSIR,KABUPATEN
11234,12,KAB. SERDANG BEDAGAI,KABUPATEN
12368,12,KAB. LABUHANBATU SELATAN,KABUPATEN
12428,12,KAB. LABUHANBATU UTARA,KABUPATEN
12527,12,KAB. NIAS UTARA,KABUPATEN
12652,12,KAB. NIAS BARAT,KABUPATEN
12766,12,KOTA MEDAN,KOTA
12939,12,KOTA PEMATANG SIANTAR,KOTA
13000,12,KOTA SIBOLGA,KOTA
13022,12,KOTA TANJUNG BALAI,KOTA
13060,12,KOTA BINJAI,KOTA
13103,12,KOTA TEBING TINGGI,KOTA
13144,12,KOTA PADANGSIDIMPUAN,KOTA
13230,12,KOTA GUNUNGSITOLI,KOTA
13339,13,KAB. PESISIR SELATAN,KABUPATEN
13537,13,KAB. SOLOK,KABUPATEN
13626,13,KAB. SIJUNJUNG,KABUPATEN
13696,13,KAB. TANAH DATAR,KABUPATEN
13786,13,KAB. PADANG PARIAMAN,KABUPATEN
13864,13,KAB. AGAM,KABUPATEN
13963,13,KAB. LIMA PULUH KOTA,KABUPATEN
14056,13,KAB. PASAMAN,KABUPATEN
14101,13,KAB. KEPULAUAN MENTAWAI,KABUPATEN
14155,13,KAB. DHARMASRAYA,KABUPATEN
14219,13,KAB. SOLOK SELATAN,KABUPATEN
14266,13,KAB. PASAMAN BARAT,KABUPATEN
14297,13,KOTA PADANG,KOTA
14413,13,KOTA SOLOK,KOTA
14429,13,KOTA SAWAHLUNTO,KOTA
14471,13,KOTA PADANG PANJANG,KOTA
14490,13,KOTA BUKITTINGGI,KOTA
14518,13,KOTA PAYAKUMBUH,KOTA
14600,13,KOTA PARIAMAN,KOTA
14949,14,KAB. INDRAGIRI HULU,KABUPATEN
15158,14,KAB. BENGKALIS,KABUPATEN
15580,14,KAB.  PELALAWAN,KABUPATEN
15711,14,KAB.  ROKAN HULU,KABUPATEN
15873,14,KAB.  ROKAN HILIR,KABUPATEN
16073,14,KAB.  SIAK,KABUPATEN
16219,14,KAB. KUANTAN SINGINGI,KABUPATEN
16464,14,KAB. KEPULAUAN MERANTI,KABUPATEN
16646,14,KOTA DUMAI,KOTA
16688,15,KAB.  KERINCI,KABUPATEN
16992,15,KAB.  MERANGIN,KABUPATEN
17232,15,KAB. SAROLANGUN,KABUPATEN
17401,15,KAB. BATANGHARI,KABUPATEN
17533,15,KAB.  MUARO JAMBI,KABUPATEN
17700,15,KAB. TANJUNG JABUNG BARAT,KABUPATEN
17848,15,KAB. TANJUNG JABUNG TIMUR,KABUPATEN
17953,15,KAB. BUNGO,KABUPATEN
18124,15,KAB. TEBO,KABUPATEN
18249,15,KOTA JAMBI,KOTA
18320,15,KOTA SUNGAI PENUH,KOTA
18399,16,KAB. OGAN KOMERING ULU,KABUPATEN
19563,16,KAB. MUSI RAWAS,KABUPATEN
20352,16,KAB. OGAN KOMERING ULU TIMUR,KABUPATEN
20685,16,KAB. OGAN KOMERING ULU SELATAN,KABUPATEN
20964,16,KAB. OGAN ILIR,KABUPATEN
21386,16,KAB. PENUKAL ABAB LEMATANG ILIR,KABUPATEN
21454,16,KAB. MUSI RAWAS UTARA,KABUPATEN
21842,17,KAB. BENGKULU SELATAN,KABUPATEN
22012,17,KAB. REJANG LEBONG,KABUPATEN
22184,17,KAB. BENGKULU UTARA,KABUPATEN
22422,17,KAB. KAUR,KABUPATEN
22633,17,KAB. SELUMA,KABUPATEN
22850,17,KAB. MUKO MUKO,KABUPATEN
23017,17,KAB. LEBONG,KABUPATEN
23134,17,KAB. KEPAHIANG,KABUPATEN
23260,17,KAB. BENGKULU TENGAH,KABUPATEN
23414,17,KOTA BENGKULU,KOTA
23492,18,KAB. LAMPUNG SELATAN,KABUPATEN
23770,18,KAB. LAMPUNG TENGAH,KABUPATEN
25023,18,KAB. LAMPUNG TIMUR,KABUPATEN
25312,18,KAB. WAY KANAN,KABUPATEN
25554,18,KAB. PESAWARAN,KABUPATEN
26067,18,KAB. PESISIR BARAT,KABUPATEN
26197,18,KOTA BANDAR LAMPUNG,KOTA
26344,18,KOTA METRO,KOTA
26514,19,KAB. BANGKA SELATAN,KABUPATEN
26576,19,KAB. BANGKA TENGAH,KABUPATEN
26646,19,KAB. BANGKA BARAT,KABUPATEN
26717,19,KAB. BELITUNG TIMUR,KABUPATEN
26815,21,KAB. BINTAN,KABUPATEN
26877,21,KAB. KARIMUN,KABUPATEN
26961,21,KAB. NATUNA,KABUPATEN
27050,21,KAB. LINGGA,KABUPATEN
27142,21,KAB. KEPULAUAN ANAMBAS,KABUPATEN
27204,21,KOTA BATAM,KOTA
27281,21,KOTA TANJUNG PINANG,KOTA
28098,32,KAB. SUKABUMI,KABUPATEN
28532,32,KAB. CIANJUR,KABUPATEN
28924,32,KAB. BANDUNG,KABUPATEN
29721,32,KAB. TASIKMALAYA,KABUPATEN
31958,32,KAB. INDRAMAYU,KABUPATEN
32800,32,KAB. KARAWANG,KABUPATEN
33533,32,KAB. PANGANDARAN,KABUPATEN
34032,32,KOTA DEPOK,KOTA
34905,33,KAB. PURBALINGGA,KABUPATEN
35462,33,KAB. KEBUMEN,KABUPATEN
35949,33,KAB. PURWOREJO,KABUPATEN
36460,33,KAB. WONOSOBO,KABUPATEN
37135,33,KAB. BOYOLALI,KABUPATEN
37422,33,KAB. KLATEN,KABUPATEN
37850,33,KAB. SUKOHARJO,KABUPATEN
