id,nama,nama_lengkap,nama_lembaga,id_provinsi,nama_provinsi,jumlah_kursi,jumlah_penduduk
1100-00-0000,Aceh,Aceh,DPD,11,Aceh,13,5015234
1200-00-0000,Sumut,Sumatera Utara,DPD,12,Sumut,30,15227719
1300-00-0000,Sumbar,Sumatera Barat,DPD,13,Sumbar,14,5617977
1400-00-0000,Riau,Riau,DPD,14,Riau,11,6456322
1500-00-0000,Jambi,Jambi,DPD,15,Jambi,7,3532126
1600-00-0000,Sumsel,Sumatera Selatan,DPD,16,Sumsel,17,8528719
1700-00-0000,Bengkulu,Bengkulu,DPD,17,Bengkulu,4,1996538
1800-00-0000,Lampung,Lampung,DPD,18,Lampung,18,9586492
1900-00-0000,Babel,Kepulauan Bangka Belitung,DPD,19,Babel,3,1349199
2100-00-0000,Kepri,Kepulauan Riau,DPD,21,Kepri,3,1895590
3100-00-0000,DKI Jakarta,Daerah Khusus Ibukota Jakarta,DPD,31,DKI Jakarta,21,9603417
3200-00-0000,Jabar,Jawa Barat,DPD,32,Jabar,91,39910274
3300-00-0000,Jateng,Jawa Tengah,DPD,33,Jateng,77,32578357
3400-00-0000,DIY,Daerah Isimewa Yogyakarta,DPD,34,DIY,8,3458029
3500-00-0000,Jatim,Jawa Timur,DPD,35,Jatim,87,37269885
3600-00-0000,Banten,Banten,DPD,36,Banten,22,9938820
5100-00-0000,Bali,Bali,DPD,51,Bali,9,4227705
5200-00-0000,NTB,Nusa Tenggara Barat,DPD,52,NTB,10,5398573
5300-00-0000,NTT,Nusa Tenggara Timur,DPD,53,NTT,13,5343902
6100-00-0000,Kalbar,Kalimantan Barat,DPD,61,Kalbar,10,5193272
6200-00-0000,Kalteng,Kalimantan Tengah,DPD,62,Kalteng,6,2640070
6300-00-0000,Kalsel,Kalimantan Selatan,DPD,63,Kalsel,11,4145843
6400-00-0000,Kaltim,Kalimantan Timur,DPD,64,Kaltim,8,4154954
7100-00-0000,Sulut,Sulawesi Utara,DPD,71,Sulut,6,2617155
7200-00-0000,Sulteng,Sulawesi Tengah,DPD,72,Sulteng,6,2935343
7300-00-0000,Sulsel,Sulawesi Selatan,DPD,73,Sulsel,24,9368107
7400-00-0000,Sultra,Sulawesi Tenggara,DPD,74,Sultra,5,2691623
7500-00-0000,Gorontalo,Gorontalo,DPD,75,Gorontalo,3,1147528
7600-00-0000,Sulbar,Sulawesi Barat,DPD,76,Sulbar,3,1589162
8100-00-0000,Maluku,Maluku,DPD,81,Maluku,4,1866248
8200-00-0000,Malut,Maluku Utara,DPD,82,Malut,3,1258354
9100-00-0000,Papua,Papua,DPD,91,Papua,10,4224232
9200-00-0000,Pabar,Papua Barat,DPD,92,Pabar,3,1091171
1101-00-0000,Aceh I,Aceh I,DPR,11,Aceh,7,2642760
1102-00-0000,Aceh II,Aceh II,DPR,11,Aceh,6,2372474
1201-00-0000,Sumut I,Sumatera Utara I,DPR,12,Sumut,10,2686316
1202-00-0000,Sumut II,Sumatera Utara II,DPR,12,Sumut,10,4909164
1203-00-0000,Sumut III,Sumatera Utara III,DPR,12,Sumut,10,7632239
1301-00-0000,Sumbar I,Sumatera Barat I,DPR,13,Sumbar,8,3110185
1302-00-0000,Sumbar II,Sumatera Barat II,DPR,13,Sumbar,6,2507792
1401-00-0000,Riau I,Riau I,DPR,14,Riau,6,3728536
1402-00-0000,Riau II,Riau II,DPR,14,Riau,5,2727786
1501-00-0000,Jambi,Jambi,DPR,15,Jambi,7,3532126
1601-00-0000,Sumsel I,Sumatera Selatan I,DPR,16,Sumsel,8,3915976
1602-00-0000,Sumsel II,Sumatera Selatan II,DPR,16,Sumsel,9,4612743
1701-00-0000,Bengkulu,Bengkulu,DPR,17,Bengkulu,4,1996538
1801-00-0000,Lampung I,Lampung I,DPR,18,Lampung,9,4678107
1802-00-0000,Lampung II,Lampung II,DPR,18,Lampung,9,4908385
1901-00-0000,Babel,Bangka Belitung,DPR,19,Babel,3,1349199
2101-00-0000,Kepri,Kepulauan Riau,DPR,21,Kepri,3,1895590
3101-00-0000,DKI I,DKI Jakarta I,DPR,31,DKI Jakarta,6,2721996
3102-00-0000,DKI II,DKI Jakarta II,DPR,31,DKI Jakarta,7,3076389
3103-00-0000,DKI III,DKI Jakarta III,DPR,31,DKI Jakarta,8,3805032
3201-00-0000,Jabar I,Jawa Barat I,DPR,32,Jabar,7,2728679
3202-00-0000,Jabar II,Jawa Barat II,DPR,32,Jabar,10,4512574
3203-00-0000,Jabar III,Jawa Barat III,DPR,32,Jabar,9,2908979
3204-00-0000,Jabar IV,Jawa Barat IV,DPR,32,Jabar,6,2192819
3205-00-0000,Jabar V,Jawa Barat V,DPR,32,Jabar,9,3489223
3206-00-0000,Jabar VI,Jawa Barat VI,DPR,32,Jabar,6,3691500
3207-00-0000,Jabar VII,Jawa Barat VII,DPR,32,Jabar,10,5182247
3208-00-0000,Jabar VIII,Jawa Barat VIII,DPR,32,Jabar,9,4355716
3209-00-0000,Jabar IX,Jawa Barat IX,DPR,32,Jabar,8,3837116
3210-00-0000,Jabar X,Jawa Barat X,DPR,32,Jabar,7,2749479
3211-00-0000,Jabar XI,Jawa Barat XI,DPR,32,Jabar,10,4261942
3301-00-0000,Jateng I,Jawa Tengah I,DPR,33,Jateng,8,3588609
3302-00-0000,Jateng II,Jawa Tengah II,DPR,33,Jateng,7,2945374
3303-00-0000,Jateng III,Jawa Tengah III,DPR,33,Jateng,9,3630795
3304-00-0000,Jateng IV,Jawa Tengah IV,DPR,33,Jateng,7,2328815
3305-00-0000,Jateng V,Jawa Tengah V,DPR,33,Jateng,8,3357939
3306-00-0000,Jateng VI,Jawa Tengah VI,DPR,33,Jateng,8,3516302
3307-00-0000,Jateng VII,Jawa Tengah VII,DPR,33,Jateng,7,3133087
3308-00-0000,Jateng VIII,Jawa Tengah VIII,DPR,33,Jateng,8,3216662
3309-00-0000,Jateng IX,Jawa Tengah IX,DPR,33,Jateng,8,3397980
3310-00-0000,Jateng X,Jawa Tengah X,DPR,33,Jateng,7,3462794
3401-00-0000,DIY,Daerah Istimewa Yogyakarta,DPR,34,DIY,8,3458029
3501-00-0000,Jatim I,Jawa Timur I,DPR,35,Jatim,10,4468134
3502-00-0000,Jatim II,Jawa Timur II,DPR,35,Jatim,7,2906153
3503-00-0000,Jatim III,Jawa Timur III,DPR,35,Jatim,7,3089416
3504-00-0000,Jatim IV,Jawa Timur IV,DPR,35,Jatim,8,3380900
3505-00-0000,Jatim V,Jawa Timur V,DPR,35,Jatim,8,3278797
3506-00-0000,Jatim VI,Jawa Timur VI,DPR,35,Jatim,9,4074531
3507-00-0000,Jatim VII,Jawa Timur VII,DPR,35,Jatim,8,3213896
