id,event_record_number,event_title,geographic,initial_date,final_date
1,yfAeNO/event/1009,Penganiayaan Seorang Warga di Bireuen,Aceh,2012-04-28,
2,yfAeNO/event/1054,Penembakan Seorang Tersangka Kasus Peredaran Ganja di Aceh Timur,Aceh,2014-01-12,2014-01-12
3,yfAeNO/event/1089,Penembakan Seorang Warga di Aceh Besar,Aceh,2012-10-14,
4,yfAeNO/event/11,Pengaiayaan 2 Angota TNI di Aceh Utara,Aceh,2013-01-21,2013-01-21
5,yfAeNO/event/1109,Penembakan Seorang Tersangka Kasus Peredaran Ganja di Medan,Aceh,2014-01-16,2014-01-16
6,yfAeNO/event/1174,Intimidasi Wartawan di Aceh Utara,Aceh,2013-04-07,
7,yfAeNO/event/1175,Penangkapan Sewenang-wenang 3 Orang Aktifis di Banda Aceh,Aceh,2013-04-16,
8,yfAeNO/event/1208,Penembakan dan Rekayasa Kasus Atas Seorang Warga Oleh Anggota Polisi di Aceh Besar,Aceh,2013-12-21,2013-12-21
9,yfAeNO/event/1228,Pembubaran Paksa Aksi Demonstrasi Menagih Bantuan di Kantor Gubernur Aceh,Aceh,2013-12-27,2013-12-27
10,yfAeNO/event/1231,Perampasan Kamera Milik Seorang Wartawan Saat Akan Melakukan Peliputan Pembubaran Paksa Aksi Demonstrasi di Depan Kantor Gubernur Aceh,Aceh,2013-12-27,2013-12-27
11,yfAeNO/event/1234,Intimidasi Wartawan di Banda Aceh,Aceh,2013-06-03,
12,yfAeNO/event/1252,Penganiayaan Wartawan di Aceh Utara,Aceh,2013-08-04,
13,yfAeNO/event/1262,Penyerangan Kantor redaksi Tabloid Mingguan Modus Aceh di Banda Aceh,Aceh,2013-09-07,
14,yfAeNO/event/1266,Intimidasi Wartawan di Aceh Utara,Aceh,2013-10-03,
15,yfAeNO/event/1267,Intimidasi Wartawan di Aceh Barat,Aceh,2013-10-06,
16,yfAeNO/event/127,Pemerasan Bermodus Penggerebekan Ganja oleh Anggota Polisi di Langsa,Aceh,2013-05-09,2013-05-09
17,yfAeNO/event/1281,Penganiayaan Wartawan di Subulussalam,Aceh,2013-11-01,
18,yfAeNO/event/1282,Intimidasi Wartawan di Bireuen,Aceh,2013-11-09,
19,yfAeNO/event/129,Penembakan Seorang Tersangka Curanmor di Aceh Barat,Aceh,2013-05-09,2013-05-09
20,yfAeNO/event/1325,Pembantaian Massal di Simpang KKA,Aceh,1999-05-03,
21,yfAeNO/event/1336,Kekerasan Penegakan Syariah,Aceh,2013-12-20,2013-12-20
22,yfAeNO/event/1344,Penyerangan Warga di Jambo Keupok,Aceh,2003-05-17,
23,yfAeNO/event/1363,Penyiksaan Seorang Tahanan di Langsa,Aceh,2012-02-20,
24,yfAeNO/event/1377,Penyiksaan Seorang Tahanan di Aceh Barat,Aceh,2012-05-15,
25,yfAeNO/event/1380,Penyiksaan Seorang Tahanan di Aceh Barat,Aceh,2012-07-04,
26,yfAeNO/event/139,Penangkapan Abdullah Bin Ismail di Aceh,Aceh,2012-01-16,0000-00-00
27,yfAeNO/event/140,Penangkapan Zulfadli di Aceh,Aceh,2012-01-17,0000-00-00
28,yfAeNO/event/1471,Penganiayaan Kepala Dinas Perhubungan di Banda Aceh,Aceh,2014-02-04,
29,yfAeNO/event/1488,Penganiayaan Rusli di Nagan Raya,Aceh,2014-02-02,
30,yfAeNO/event/1504,Penembakan Nelayan Pembom Ikan Oleh Anggota Polisi di Aceh Singkil,Aceh,2014-01-24,2014-01-24
31,yfAeNO/event/1505,Penembakan Andre alias Vietnam di Aceh Teumieng,Aceh,,
32,yfAeNO/event/1568,Penembakan Seorang Warga Oleh Anggota Polisi di Aceh Jaya,Aceh,2014-03-02,2014-03-02
33,yfAeNO/event/1573,Bentrokan Mahasiswa Dan Polisi Dalam Aksi Demonstrasi di Banda Aceh,Aceh,2014-03-03,2014-03-03
34,yfAeNO/event/1579,Penyekapan Seorang Guru SD Oleh Anggota Polisi di Banda Aceh,Aceh,2014-03-03,2014-03-03
35,yfAeNO/event/160,Penangkapan Aktivis Mahasiswa Universitas Malikussaleh Aceh,Aceh,2012-02-13,0000-00-00
36,yfAeNO/event/1600,Penembakan Seorang Pemilik Senjata Api Oleh Anggota Polisi di Aceh Timur,Aceh,2014-03-09,2014-03-09
37,yfAeNO/event/1631,Penembakan 3 Orang Warga Oleh Anggota Polisi di Aceh Besar,Aceh,2014-03-13,2014-03-13
38,yfAeNO/event/1642,Penembakan Seorang Pelaku Pembunuhan di Aceh Tengah,Aceh,2014-03-17,2014-03-17
39,yfAeNO/event/169,Penembakan Ikhsan di Aceh,Aceh,2012-02-25,0000-00-00
40,yfAeNO/event/1730,Penganiayaan Dolli Sahputra di Aceh Singkil,Aceh,2011-06-26,
41,yfAeNO/event/1732,Bentrokan Warga di Langkat,Aceh,2011-06-27,
42,yfAeNO/event/1781,Tragedi Trisakti,Aceh,1998-05-01,1998-05-14
43,yfAeNO/event/1791,Pennganiayaan Warga di Subulussalam,Aceh,2014-04-06,
