id,anggaran_id,code,description,anggaran_keterkaitan_id,volume,satuan,nilai
1,1,|076.01.01|,"Program Dukungan Manajemen dan Pelaksanaan Tugas Teknis Lainnya KPU
Meningkatnya Kualitas Dukungan Manajemen dan Pelaksanaan Tugas Teknis Lainnya
""01 Persentase (0/0) Penyelenggaraan Dukungan Manajemen yang Profesional, Akuntabel (Sesuai Dengan Peraturan Perundangan),
Efisien (Tepat Sasaran), dan Efektif (Tepat Guna)""",,,,|5.702.085.606|
2,1,|3355|,"Pelaksanaan Akuntabilitas Pengelolaan Administrasi Keuangan di Lingkungan Setjen KPU
- Ketepatan dan Kepatuhan Dalam Pelayanan Pelaksanaan Keuangan
- Opini BPK Terhadap Laporan Keuangan KPU
- Ketepatan Pembayaran Gaji/Honor/Tunjangan Pegawai",,,,|562.593.611|
3,1,|3355.002|,Layanan pembinaan perbendaharaan,|KL0|,"|12,0000|",Kali,|1.178.173|
4,1,|3355.003|,Laporan sistem akuntansi dan pelaporan keuangan.,|KL0|,"|532,0000|",Laporan,|37.538.978|
5,1,|3355.004|,Pengelolaan Keuangan dan Pertanggungjawaban Tahapan Pemilu 2014,,"|1.593,0000|",Dokumen,|66.370.067|
6,1,|3355.994|,Layanan Perkantoran,|KL0|,"|12,0000|",Bulan Layanan,|457.506.393|
7,1,|3356|,"Pengelolaan Data, Dokumentasi, Pengadaan, Pendistribusian, dan Inventarisasi Sarana dan Pra Sarana Pemilu
- Tingkat Ketepatan Pengelolaan Informasi Kebutuhan Pemilu
- Tingkat Ketepatan Pengadaan dan Distribusi Logistik Pemilu
- Tingkat Ketepatan Standar Mutu Barang/Jasa Administrasi Pengadaan dan Dokumentasi Pengadaan Kebutuhan Pemilu
- Persentase (%) Kemajuan Penyusunan Peta Distribusi Logistik Pemilu
- Tingkat Keberhasilan Pemeliharaan Sarana dan Pra Sarana Pemilu",,,,|3.708.630.317|
8,1,|3356.001|,Dokumen perencanaan dan database logistik pemilu.,|B 06|,"|531,0000|",Dokumen,|3.876.843|
9,1,|3356.002|,Laporan pelaksanaan kegiatan,|B 06|,"|1,0000|",Laporan,|461.149|
10,1,|3356.003|,Peta distribusi logistik pemilu,|B 06|,"|1,0000|",Dokumen,|238.860|
11,1,|3356.004|,"Standar mutu, administrasi, dan pengadaan logistik pemilu",|B 06|,"|1,0000|",Dokumen,|158.438|
12,1,|3356.005|,Layanan informasi logistik pemilu,|B 06|,"|12,0000|",Bulan Layanan,|265.250|
13,1,|3356.006|,Pedoman pengadaan barang dan jasa keperluan Pemilu 2014,,"|4.241,0000|",Dokumen,|136.505.160|
14,1,|3356.007|,Sarana dan Prasarana Keperluan Pemilu 2014,,"|2.651,0000|",Unit,|3.567.124.617|
