no_anggota,nama,foto_url,daerah_pemilihan,fraksi,jabatan,alat_kelengkapan,page_url
444,"Dr. BENNY K. HARMAN, SH","http://dpr.go.id/doksigota/photo/472_DR._BENNY_KABUR_HARMAN,_SH.jpg",NUSA TENGGARA TIMUR I,Fraksi Partai Demokrat,Wakil Ketua,Badan Musyawarah,http://dpr.go.id/blog/index/id/472
489,"H. TOTOK DARYANTO, S.E.",http://dpr.go.id/doksigota/photo/5.jpg,JAWA TIMUR V,Fraksi Partai Amanat Nasional,Anggota,Badan Musyawarah,http://dpr.go.id/blog/index/id/5
464,"H. A. BAKRI H.M., S.E.",http://dpr.go.id/doksigota/photo/7.jpg,JAMBI,Fraksi Partai Amanat Nasional,Anggota,Badan Musyawarah,http://dpr.go.id/blog/index/id/7
484,"Ir. H. TEGUH JUWARNO, M.Si.",http://dpr.go.id/doksigota/photo/14.jpg,JAWA TENGAH IX,Fraksi Partai Amanat Nasional,Anggota,Badan Musyawarah,http://dpr.go.id/blog/index/id/14
268,"FERDIANSYAH, S.E., M.M.","http://dpr.go.id/doksigota/photo/117_FERDIANSYAH,_S.E.,_M.M..jpg",JAWA BARAT XI,Fraksi Partai Golongan Karya,Anggota,Badan Musyawarah,http://dpr.go.id/blog/index/id/117
273,"FIRMAN SOEBAGYO, S.E., M.H.",http://dpr.go.id/doksigota/photo/121.jpg,JAWA TENGAH III,Fraksi Partai Golongan Karya,Anggota,Badan Musyawarah,http://dpr.go.id/blog/index/id/121
300,"Drs. SETYA NOVANTO, Ak.",http://dpr.go.id/doksigota/photo/163_Drs._SETYA_NOVANTO.jpg,NUSA TENGGARA TIMUR II,Fraksi Partai Golongan Karya,Anggota,Badan Musyawarah,http://dpr.go.id/blog/index/id/163
237,Dr. CAPT. ANTHON SIHOMBING,http://dpr.go.id/doksigota/photo/199_Dr._Capt._ANTHON_SIHOMBING.jpg,SUMATERA UTARA III,Fraksi Partai Golongan Karya,Anggota,Badan Musyawarah,http://dpr.go.id/blog/index/id/199
523,H. MUHAMAD ARWANI THOMAFI,http://dpr.go.id/doksigota/photo/220.jpg,JAWA TENGAH III,Fraksi Partai Persatuan Pembangunan,Anggota,Badan Musyawarah,http://dpr.go.id/blog/index/id/220
507,"Drs. H. HASRUL AZWAR, MM",http://dpr.go.id/doksigota/photo/230.jpg,SUMATERA UTARA I,Fraksi Partai Persatuan Pembangunan,Anggota,Badan Musyawarah,http://dpr.go.id/blog/index/id/230
381,"Ir. FARY DJEMY FRANCIS, MMA",http://dpr.go.id/doksigota/photo/323_FARY_DJEMY_FRANCIS.jpg,NUSA TENGGARA TIMUR II,Fraksi Partai Gerakan Indonesia Raya,Anggota,Badan Musyawarah,http://dpr.go.id/blog/index/id/323
117,"H. JAZULI JUWAINI, Lc., M.A.",http://dpr.go.id/doksigota/photo/390.jpg,BANTEN III,Fraksi Partai Keadilan Sejahtera,Anggota,Badan Musyawarah,http://dpr.go.id/blog/index/id/390
434,"EDHIE BASKORO YUDHOYONO, B.Com, M.SC",http://dpr.go.id/doksigota/photo/437.jpg,JAWA TIMUR VII,Fraksi Partai Demokrat,Anggota,Badan Musyawarah,http://dpr.go.id/blog/index/id/437
115,"H. ROFI' MUNAWAR, Lc.","http://dpr.go.id/doksigota/photo/533_H._ROFI__MUNAWAR,_Lc..jpg",JAWA TIMUR VII,Fraksi Partai Keadilan Sejahtera,Anggota,Badan Musyawarah,http://dpr.go.id/blog/index/id/533
249,"Ir. AZHAR ROMLI, M.Si.","http://dpr.go.id/doksigota/photo/904_Ir._AZHAR_ROMLI,_M.Si..jpg",BANGKA BELITUNG,Fraksi Partai Golongan Karya,Anggota,Badan Musyawarah,http://dpr.go.id/blog/index/id/904
494,"H. YANDRI SUSANTO, S.Pt",http://dpr.go.id/doksigota/photo/918.jpg,BANTEN II,Fraksi Partai Amanat Nasional,Anggota,Badan Musyawarah,http://dpr.go.id/blog/index/id/918
248,"DR. HM. AZIS SYAMSUDDIN, SH.",http://dpr.go.id/doksigota/photo/1047.jpg,LAMPUNG II,Fraksi Partai Golongan Karya,Anggota,Badan Musyawarah,http://dpr.go.id/blog/index/id/1047
325,Tgk. KHAIDIR,http://dpr.go.id/doksigota/photo/1327.jpg,ACEH II,Fraksi Partai Gerakan Indonesia Raya,Anggota,Badan Musyawarah,http://dpr.go.id/blog/index/id/1327
126,dr. SOFYAN TAN,http://dpr.go.id/doksigota/photo/1330.jpg,SUMATERA UTARA I,Fraksi Partai Demokrasi Indonesia Perjuangan,Anggota,Badan Musyawarah,http://dpr.go.id/blog/index/id/1330
333,"H. NURZAHEDI, SE",http://dpr.go.id/doksigota/photo/1358.jpg,RIAU II,Fraksi Partai Gerakan Indonesia Raya,Anggota,Badan Musyawarah,http://dpr.go.id/blog/index/id/1358
272,"BOWO SIDIK PANGARSO, SE",http://dpr.go.id/doksigota/photo/1446.jpg,JAWA TENGAH II,Fraksi Partai Golongan Karya,Anggota,Badan Musyawarah,http://dpr.go.id/blog/index/id/1446
57,"SITI MUKAROMAH, S.Ag",http://dpr.go.id/doksigota/photo/1465.jpg,JAWA TENGAH VIII,Fraksi Partai Kebangkitan Bangsa,Anggota,Badan Musyawarah,http://dpr.go.id/blog/index/id/1465
113,"H. SUKAMTA, Ph. D.",http://dpr.go.id/doksigota/photo/1475.jpg,D.I. YOGYAKARTA,Fraksi Partai Keadilan Sejahtera,Anggota,Badan Musyawarah,http://dpr.go.id/blog/index/id/1475
486,"H. A. HANAFI RAIS, S.IP, MPP",http://dpr.go.id/doksigota/photo/1480.jpg,D.I. YOGYAKARTA,Fraksi Partai Amanat Nasional,Anggota,Badan Musyawarah,http://dpr.go.id/blog/index/id/1480
282,"Ir. H. ADIES KADIR, SH, M. Hum",http://dpr.go.id/doksigota/photo/1483.jpg,JAWA TIMUR I,Fraksi Partai Golongan Karya,Anggota,Badan Musyawarah,http://dpr.go.id/blog/index/id/1483
366,Ir. SUMAIL ABDULLAH,http://dpr.go.id/doksigota/photo/1492.jpg,JAWA TIMUR III,Fraksi Partai Gerakan Indonesia Raya,Anggota,Badan Musyawarah,http://dpr.go.id/blog/index/id/1492
367,"BAMBANG HARYADI, SE",http://dpr.go.id/doksigota/photo/1499.jpg,JAWA TIMUR IV,Fraksi Partai Gerakan Indonesia Raya,Anggota,Badan Musyawarah,http://dpr.go.id/blog/index/id/1499
369,"Ir. ENDRO HERMONO, MBA",http://dpr.go.id/doksigota/photo/1512.jpg,JAWA TIMUR VI,Fraksi Partai Gerakan Indonesia Raya,Anggota,Badan Musyawarah,http://dpr.go.id/blog/index/id/1512
437,"DIDIK MUKRIANTO, SH",http://dpr.go.id/doksigota/photo/1523.jpg,JAWA TIMUR IX,Fraksi Partai Demokrat,Anggota,Badan Musyawarah,http://dpr.go.id/blog/index/id/1523
119,"HABIB ABOE BAKAR ALHABSYI, SE",http://dpr.go.id/doksigota/photo/1567.jpg,KALIMANTAN SELATAN I,Fraksi Partai Keadilan Sejahtera,Anggota,Badan Musyawarah,http://dpr.go.id/blog/index/id/1567
392,"HAERUL SALEH, SH",http://dpr.go.id/doksigota/photo/1599.jpg,SULAWESI TENGGARA,Fraksi Partai Gerakan Indonesia Raya,Anggota,Badan Musyawarah,http://dpr.go.id/blog/index/id/1599
388,"SUPRATMAN ANDI AGTAS, SH, MH",http://dpr.go.id/doksigota/photo/1583.jpg,SULAWESI TENGAH,Fraksi Partai Gerakan Indonesia Raya,Ketua,Badan Legislasi,http://dpr.go.id/blog/index/id/1583
489,"H. TOTOK DARYANTO, S.E.",http://dpr.go.id/doksigota/photo/5.jpg,JAWA TIMUR V,Fraksi Partai Amanat Nasional,Wakil Ketua,Badan Legislasi,http://dpr.go.id/blog/index/id/5
273,"FIRMAN SOEBAGYO, S.E., M.H.",http://dpr.go.id/doksigota/photo/121.jpg,JAWA TENGAH III,Fraksi Partai Golongan Karya,Wakil Ketua,Badan Legislasi,http://dpr.go.id/blog/index/id/121
64,"ABDUL MALIK HARAMAIN, M.Si.",http://dpr.go.id/doksigota/photo/61.jpg,JAWA TIMUR II,Fraksi Partai Kebangkitan Bangsa,Anggota,Badan Legislasi,http://dpr.go.id/blog/index/id/61
39,"Ir. H.M. LUKMAN EDY, M.Si.",http://dpr.go.id/doksigota/photo/63.jpg,RIAU II,Fraksi Partai Kebangkitan Bangsa,Anggota,Badan Legislasi,http://dpr.go.id/blog/index/id/63
71,Drs. H. IBNU MULTAZAM,http://dpr.go.id/doksigota/photo/75.jpg,JAWA TIMUR VII,Fraksi Partai Kebangkitan Bangsa,Anggota,Badan Legislasi,http://dpr.go.id/blog/index/id/75
268,"FERDIANSYAH, S.E., M.M.","http://dpr.go.id/doksigota/photo/117_FERDIANSYAH,_S.E.,_M.M..jpg",JAWA BARAT XI,Fraksi Partai Golongan Karya,Anggota,Badan Legislasi,http://dpr.go.id/blog/index/id/117
349,drg. PUTIH SARI,http://dpr.go.id/doksigota/photo/168.jpg,JAWA BARAT VII,Fraksi Partai Gerakan Indonesia Raya,Anggota,Badan Legislasi,http://dpr.go.id/blog/index/id/168
313,"ANDI RIO IDRIS PADJALANGI, SH, M.Kn","http://dpr.go.id/doksigota/photo/176_ANDI_RIO_IDRIS_PADJALANGI,_SH,_M.Kn.jpg",SULAWESI SELATAN II,Fraksi Partai Golongan Karya,Anggota,Badan Legislasi,http://dpr.go.id/blog/index/id/176
354,ABDUL WACHID,http://dpr.go.id/doksigota/photo/190_ABDUL_WACHID.jpg,JAWA TENGAH II,Fraksi Partai Gerakan Indonesia Raya,Anggota,Badan Legislasi,http://dpr.go.id/blog/index/id/190
246,"BOBBY ADHITYO RIZALDI, S.E., M.B.A., C.F.E.","http://dpr.go.id/doksigota/photo/194_BOBBY_ADHITYO_RIZALDI,_S.E.,_M.B.A.,_C.F.E..jpg",SUMATERA SELATAN II,Fraksi Partai Golongan Karya,Anggota,Badan Legislasi,http://dpr.go.id/blog/index/id/194
518,Dra. Hj. WARDATUL ASRIAH,http://dpr.go.id/doksigota/photo/215.jpg,JAWA BARAT VII,Fraksi Partai Persatuan Pembangunan,Anggota,Badan Legislasi,http://dpr.go.id/blog/index/id/215
523,H. MUHAMAD ARWANI THOMAFI,http://dpr.go.id/doksigota/photo/220.jpg,JAWA TENGAH III,Fraksi Partai Persatuan Pembangunan,Anggota,Badan Legislasi,http://dpr.go.id/blog/index/id/220
527,"Drs. H. ZAINUT TAUHID SA'ADI, M.Si",http://dpr.go.id/doksigota/photo/221.jpg,JAWA TENGAH IX,Fraksi Partai Persatuan Pembangunan,Anggota,Badan Legislasi,http://dpr.go.id/blog/index/id/221
539,"H.M. ADITYA MUFTI ARIFFIN, SH, MH.","http://dpr.go.id/doksigota/photo/233_H._M._ADITYA_MUFTI_ARIFFIN,_SH.jpg",KALIMANTAN SELATAN II,Fraksi Partai Persatuan Pembangunan,Anggota,Badan Legislasi,http://dpr.go.id/blog/index/id/233
160,"RIEKE DIAH PITALOKA, M. Hum",http://dpr.go.id/doksigota/photo/262.jpg,JAWA BARAT VII,Fraksi Partai Demokrasi Indonesia Perjuangan,Anggota,Badan Legislasi,http://dpr.go.id/blog/index/id/262
185,PROF. Dr. HENDRAWAN SUPRATIKNO,http://dpr.go.id/doksigota/photo/298_PROF._DR._HENDRAWAN_SUPRATIKNO.jpg,JAWA TENGAH X,Fraksi Partai Demokrasi Indonesia Perjuangan,Anggota,Badan Legislasi,http://dpr.go.id/blog/index/id/298
192,NURSUHUD,http://dpr.go.id/doksigota/photo/304.jpg,JAWA TIMUR III,Fraksi Partai Demokrasi Indonesia Perjuangan,Anggota,Badan Legislasi,http://dpr.go.id/blog/index/id/304
193,ARIF WIBOWO,http://dpr.go.id/doksigota/photo/305.jpg,JAWA TIMUR IV,Fraksi Partai Demokrasi Indonesia Perjuangan,Anggota,Badan Legislasi,http://dpr.go.id/blog/index/id/305
329,MARTIN HUTABARAT,http://dpr.go.id/doksigota/photo/357_MARTIN_HUTABARAT.jpg,SUMATERA UTARA III,Fraksi Partai Gerakan Indonesia Raya,Anggota,Badan Legislasi,http://dpr.go.id/blog/index/id/357
452,"Dr. Ir. BAHRUM DAIDO, M.Si","http://dpr.go.id/doksigota/photo/A-550_IR._BAHRUM_DAIDO,_MSI.jpg",SULAWESI SELATAN III,Fraksi Partai Demokrat,Anggota,Badan Legislasi,http://dpr.go.id/blog/index/id/484
399,"RUHUT POLTAK SITOMPUL, SH",http://dpr.go.id/doksigota/photo/507.jpg,SUMATERA UTARA I,Fraksi Partai Demokrat,Anggota,Badan Legislasi,http://dpr.go.id/blog/index/id/507
114,Ir. H. SIGIT SOSIANTOMO,http://dpr.go.id/doksigota/photo/530_Ir._H._SIGIT_SOSIANTOMO.jpg,JAWA TIMUR I,Fraksi Partai Keadilan Sejahtera,Anggota,Badan Legislasi,http://dpr.go.id/blog/index/id/530
283,"H. MUKHAMAD MISBAKHUN, S.E.","http://dpr.go.id/doksigota/photo/531_H._MUKHAMAD_MISBAKHUN,_S.E..jpg",JAWA TIMUR II,Fraksi Partai Golongan Karya,Anggota,Badan Legislasi,http://dpr.go.id/blog/index/id/531
90,"Drs. CHAIRUL ANWAR, Apt.",http://dpr.go.id/doksigota/photo/547.jpg,RIAU I,Fraksi Partai Keadilan Sejahtera,Anggota,Badan Legislasi,http://dpr.go.id/blog/index/id/547
542,"H. ANDI MUHAMMAD GHALIB, SH, MH","http://dpr.go.id/doksigota/photo/668_H.Andi_Muhammad_Ghalib,SH.MH.jpg",SULAWESI SELATAN II,Fraksi Partai Persatuan Pembangunan,Anggota,Badan Legislasi,http://dpr.go.id/blog/index/id/668
85,Ir. H. TIFATUL SEMBIRING,http://dpr.go.id/doksigota/photo/781_Ir._H._Tifatul_Sembiring.jpg,SUMATERA UTARA I,Fraksi Partai Keadilan Sejahtera,Anggota,Badan Legislasi,http://dpr.go.id/blog/index/id/781
125,H. IRMADI LUBIS,http://dpr.go.id/doksigota/photo/913.jpg,SUMATERA UTARA I,Fraksi Partai Demokrasi Indonesia Perjuangan,Anggota,Badan Legislasi,http://dpr.go.id/blog/index/id/913
494,"H. YANDRI SUSANTO, S.Pt",http://dpr.go.id/doksigota/photo/918.jpg,BANTEN II,Fraksi Partai Amanat Nasional,Anggota,Badan Legislasi,http://dpr.go.id/blog/index/id/918
202,"ABIDIN FIKRI, S.H.",http://dpr.go.id/doksigota/photo/928.jpg,JAWA TIMUR IX,Fraksi Partai Demokrasi Indonesia Perjuangan,Anggota,Badan Legislasi,http://dpr.go.id/blog/index/id/928
362,RAMSON SIAGIAN,http://dpr.go.id/doksigota/photo/1114_Ramson_Sigian.jpg,JAWA TENGAH X,Fraksi Partai Gerakan Indonesia Raya,Anggota,Badan Legislasi,http://dpr.go.id/blog/index/id/1114
1,"PROF. DR. BACHTIAR ALY, MA",http://dpr.go.id/doksigota/photo/1319.jpg,ACEH I,Fraksi Partai NasDem,Anggota,Badan Legislasi,http://dpr.go.id/blog/index/id/1319
37,"H. IRMAWAN, S.Sos., M.M.",http://dpr.go.id/doksigota/photo/1320.jpg,ACEH I,Fraksi Partai Kebangkitan Bangsa,Anggota,Badan Legislasi,http://dpr.go.id/blog/index/id/1320
458,"H. MUSLIM AYUB, SH, MM",http://dpr.go.id/doksigota/photo/1323.jpg,ACEH I,Fraksi Partai Amanat Nasional,Anggota,Badan Legislasi,http://dpr.go.id/blog/index/id/1323
400,ROOSLYNDA MARPAUNG,http://dpr.go.id/doksigota/photo/1336.jpg,SUMATERA UTARA II,Fraksi Partai Demokrat,Anggota,Badan Legislasi,http://dpr.go.id/blog/index/id/1336
