no_anggota,no_anggota_lengkap,nama,fraksi,daerah_pemilihan,foto_url,agama,tempat_lahir,tanggal_lahir,riwayat_pendidikan,riwayat_pekerjaan,riwayat_organisasi,riwayat_pergerakan,riwayat_penghargaan,riwayat_kunjungan_luar_negri,page_url
1,A-001,"PROF. DR. BACHTIAR ALY, MA",Fraksi Partai NasDem,ACEH I,http://dpr.go.id/doksigota/photo/1319.jpg,Islam,Banda Aceh,21 Desember 1949,", Sekolah Rakyat. Tahun: - 1963; , SMPN 1 Banda Aceh. Tahun: - 1965; IPS, SMA YPU Bandung. Tahun: - 1968; Fakultas Publistik, UNPAD. Tahun: 1969 - 1971; Komunikasi, Westfaelishe Wilhemlins. Tahun: 1974 -; Philosophische, Universitas Westfalischen Jerman. Tahun: - 1984","Pokja Pengaduan Dewan Pers, Sebagai: Anggota. Tahun: 2003 - 2006; Anggota Dewan Pers, Sebagai: Anggota. Tahun: 2000 - 2003; Penasehat Ahli Kapolri, Sebagai: Penasehat. Tahun: 1999 - 2014; Konsultan PT Arun, Sebagai: . Tahun: 1989 - 1994; Kadin Indonesia Komite Cina, Sebagai: Staf Ahli. Tahun: 1985 - 1986; Penasehat Presiden Urusan Aceh, Sebagai: Penasehat. Tahun: -","BAKOM PKB, Sebagai: Ketua. Tahun: 1990 - 1995; PPI & IASI Jerman, Sebagai: Ketua. Tahun: 1976 - 1982; Ketua Warga SMP & Ketua Osis SMA, Sebagai: . Tahun: 1965 - 1968; KAPPI Daerah Itimewa Aceh, Sebagai: Ketua. Tahun: - 1968",KAPPI Aceh - Ketua. Tahun: - 1968,"Satyalencana Karya Satya, Dari: Presiden RI, Tahun: 2010; Jurnalis Asia-Afrika, Dari: Perhimpunan Jurnalis Mesir, Tahun: 2005; Satyalancana Dwidyasistha, Dari: Panglima Abri, Tahun: 1996; Penghargaan Mendagri, Dari: Mentri Dalam Negri, Tahun: 1988; Penghargaan Kyoto, Dari: Gubrnur Direktorat Tokyo, Tahun: 1986; Anugerah Istimewa Univ Monster Jerman Predikat , Dari: Univ Monster Jerman, Tahun: 1983; Besondere Auszeichnung, Dari: , Tahun:; Pujian Terrtissi Doktor, Dari: , Tahun:",Data tidak ditemukan.,http://dpr.go.id/blog/profil/id/1319
2,A-002,ZULFAN LINDAN,Fraksi Partai NasDem,ACEH II,http://dpr.go.id/doksigota/photo/1324.jpg,Islam,Banda Aceh,01 Oktober 1956,"Ilmu Politik, . Tahun: - 1982; Ilmu Politik, . Tahun: - 2003",Data tidak ditemukan.,"Ormas Nasdem, Sebagai: Ketua. Tahun: 2010 -; PB HMI, Sebagai: Ketua. Tahun: 1983 -; Ketua HMI Jkt, Sebagai: Ketua Umum. Tahun: 1977 -",Data tidak ditemukan.,Data tidak ditemukan.,Data tidak ditemukan.; Data tidak ditemukan.; Data tidak ditemukan.; Data tidak ditemukan.,http://dpr.go.id/blog/profil/id/1324
3,A-003,PRANANDA SURYA PALOH,Fraksi Partai NasDem,SUMATERA UTARA I,http://dpr.go.id/doksigota/photo/1329.jpg,Islam,Singapura,21 September 1988,", Pelita Harapan. Tahun: 1994 - 2000; , United World College Of South East Asia Singapore. Tahun: 2000 - 2002; , ISS Internasional School Singapore. Tahun: 2002 - 2007; Politics, Monash University. Tahun: 2008 - 2012","PT Citragraha Nugratama, Sebagai: Commisioner. Tahun: 2013 -; PT Citra Jimbaran Indah Hotel, Sebagai: Commisioner. Tahun: 2013 -; PT Media Property Indonesia, Sebagai: Commisioner. Tahun: 2010 -; PT Surya Jaya Capital, Sebagai: Director. Tahun: 2010 -","Liga Mahasiswa Nasdem, Sebagai: Wakil Ketua Umum. Tahun: 2011 - 2013; Model United Nations (MUN), Sebagai: Anggota Delegasi. Tahun: 2005 - 2006; Senat Internasional School Singapore, Sebagai: Ketua. Tahun: 2004 - 2006",Data tidak ditemukan.,Data tidak ditemukan.,Data tidak ditemukan.; Data tidak ditemukan.; Data tidak ditemukan.,http://dpr.go.id/blog/profil/id/1329
4,A-004,SAHAT SILABAN,Fraksi Partai NasDem,SUMATERA UTARA II,http://dpr.go.id/doksigota/photo/1332.jpg,Islam,Tapanali Utara,19 Januari 1960,", SD Sopobutar Kec. Lintong Ni Huta. Tahun: 1967 - 1972; , SD Sopobutar Kec. Lintong Ni Huta. Tahun: 1973 - 1975; , STM Negeri Dolok Sanggul Humbanghas. Tahun: 1976 - 1978","PT Tobas Tegarindo, Sebagai: Direktur Utama. Tahun: 1989 - 2012; PT Aria Lomak Perdana, Sebagai: Proyek Manager. Tahun: 1986 - 1988; PT Ruhut Sakti, Sebagai: Manager. Tahun: 1983 - 1985; PT Saeti Enggineering, Sebagai: Pelaksana Proyek. Tahun: 1981 - 1982; PT Mercubuana, Sebagai: Staff. Tahun: 1980 - 1981",Data tidak ditemukan.,Data tidak ditemukan.,Data tidak ditemukan.,Data tidak ditemukan.; Data tidak ditemukan.; Data tidak ditemukan.; Data tidak ditemukan.,http://dpr.go.id/blog/profil/id/1332
5,A-005,"H. M. ALI UMRI, SH, M.Kn",Fraksi Partai NasDem,SUMATERA UTARA III,http://dpr.go.id/doksigota/photo/1339.jpg,Islam,"R,Parapat",09 April 1966,", SD TAMAN SISWA . Tahun: - 1979; , SMP N.1 BINJAI. Tahun: - 1982; IPS, SMA N.1 BINJAI. Tahun: - 1985; HUKUM KEPERDA TAAN, UNIVERSITAS DARMA AGUNG MEDAN. Tahun: - 1991; NOTARIAT, UNIVERSITAS SUMATERA UTARA. Tahun: - 2001","DPR RI, Sebagai: Anggota. Tahun: 2014 - 2019; Notaris, Sebagai: Notaris. Tahun: 2011 - 2013; DPRD Prov Sumut, Sebagai: Wkl.Ketua. Tahun: 2009 -; Walikota Binjai, Sebagai: Walikota. Tahun: 2005 - 2010; DPRD Kota Binjai, Sebagai: Ketua Fraksi. Tahun: 1999 -; Praktek pengacara 9 AU Kota Binjai, Sebagai: . Tahun: 1997 -",Data tidak ditemukan.,Data tidak ditemukan.,Data tidak ditemukan.,Data tidak ditemukan.; Data tidak ditemukan.; Data tidak ditemukan.; Data tidak ditemukan.,http://dpr.go.id/blog/profil/id/1339
6,A-006,H. ENDRE SAIFOEL,Fraksi Partai NasDem,SUMATERA BARAT I,http://dpr.go.id/doksigota/photo/1345.jpg,Islam,Muara Kalaban,29 Juli 1972,", SD Santalucia. Tahun: 1980 - 1986; , SMP 5 Padang. Tahun: 1986 - 1988; , SMA 3 Padang. Tahun: 1988 - 1991","Centra Buana Group, Sebagai: CEO. Tahun: -","LKAAM, Sebagai: Pembina. Tahun: 2012 -; HIPMI Sumbar, Sebagai: Pembina. Tahun: 2000 -; Gapens 1, Sebagai: Wakil Ketua. Tahun: 1995 -",Data tidak ditemukan.,Data tidak ditemukan.,Data tidak ditemukan.; Data tidak ditemukan.; Data tidak ditemukan.,http://dpr.go.id/blog/profil/id/1345
7,A-007,IRMA SURYANI,Fraksi Partai NasDem,SUMATERA SELATAN II,http://dpr.go.id/doksigota/photo/1366.jpg,Islam,Metro,06 Nopember 1965,", Tauladan. Tahun: -; , Negeri III. Tahun: -; , Negeri III. Tahun: -; Manajemen, AMP/YKPN. Tahun: 1986 - 1990; Manajemen, STIE. Tahun: 1999 - 2001","PT Jakarta Intl Container Terminal Tj Priok, Sebagai: Manager. Tahun: 1998 - 2014; PT Pelindo, Sebagai: Senior Staff. Tahun: 1992 - 1998","Ormas Nasional Demokrat, Sebagai: Wakil Sekjen. Tahun: 2012 -; Partai Nasdem, Sebagai: Wakil Ketua DPP. Tahun: 2012 -; Indonesia Satu Women Club, Sebagai: Ketua Umum. Tahun: 2005 -; Solidaritas Buruh Maritim Dan Nelayan Indonesia, Sebagai: Sekjen. Tahun: 2004 -; DPP Partai Nasional Benteng Kerakyatan Indonesia, Sebagai: Ketua Bidang DPP. Tahun: 2004 - 2009",Data tidak ditemukan.,"Kader Terbaik, Dari: Partai PNBK, Tahun:",Data tidak ditemukan.; Data tidak ditemukan.,http://dpr.go.id/blog/profil/id/1366
8,A-008,dr. ANARULITA MUCHTAR,Fraksi Partai NasDem,BENGKULU,http://dpr.go.id/doksigota/photo/,Islam,Jakarta,09 Juni 1969,"Fakultas Kedokteran, UKI Jakarta. Tahun: 1988 - 1999","Anggota DPRRI Partai NasDem, Sebagai: Anggota. Tahun: 2015 -; Anggota DPRD Kota Bengkulu, Sebagai: Anggota. Tahun: 2009 - 2014; Klinik dr.Ana, Sebagai: Pimpinan. Tahun: 2004 - 2009; Dokter Umum Puskesmas Bengkulu, Sebagai: Kepala Puskesmas. Tahun: 2001 - 2004","Partai PNBKI Cab.Kota Bengkulu, Sebagai: Anggota. Tahun: 2009 - 2013; IDI Cab.Kota Bengkulu, Sebagai: Pengurus. Tahun: 2001 - 2015; IDI Cabang Bekasi, Sebagai: Anggota. Tahun: 1999 - 2001",Data tidak ditemukan.,Data tidak ditemukan.,Data tidak ditemukan.; Data tidak ditemukan.; Data tidak ditemukan.,http://dpr.go.id/blog/profil/id/1645
9,A-009,"Drs. H.TAMANURI, MM",Fraksi Partai NasDem,LAMPUNG II,http://dpr.go.id/doksigota/photo/1378.jpg,Islam,Tanah Abang,08 Agustus 1952,", SD Negeri 6. Tahun: - 1965; , SMP Negeri 2. Tahun: - 1967; SASTRA, SMA N 1. Tahun: - 1970; Ilmu Pemerintahan, APDN. Tahun: - 1976; Adm Negara, STIA LAN. Tahun: - 1983; MANAJEMEN, STIE JAYAKARTA. Tahun: - 2001","Bupati Waykanan, Sebagai: Bupati. Tahun: 2005 - 2010; Bupati Waykanan, Sebagai: Bupati. Tahun: 2000 - 2005; PJ. Bupati TK II, Sebagai: PJ Bupati. Tahun: 1999 - 2000; PJ. Setwilda TK II Tanggamus, Sebagai: Setwilda. Tahun: 1998 - 1999; Asst Tata PrajaTK II Tanggamus, Sebagai: Asisten. Tahun: 1997 - 1998; Pembantu Bupati LU., Bl.Umpu, Sebagai: Pembantu Bupati. Tahun: 1996 - 1997; PJ. Pembnatu Bupati LU., Sebagai: Pembantu Bupati. Tahun: 1996 - 1997; Asisten Administrasi Pembangunan Setwilda, Sebagai: Asisten. Tahun: 1995 - 1996; PJ Pembantu Bupati LU. Manggala, Sebagai: Pembantu Bupati. Tahun: 1994 - 1995; Camat Bukit Kemuning, Sebagai: Camat. Tahun: 1992 - 1994","Pengurus APKASI Pusat, Sebagai: Kabid Operasional Daerah. Tahun: 2001 - 2010; Deklarator APKASI Pusat, Sebagai: Anggota. Tahun: 2001 -; Korwil APKASI Lampung, Sebagai: Koordinator . Tahun: 2001 - 2010",Data tidak ditemukan.,"Satya Lencana Pembangunan, Dari: Keputusan Presiden, Tahun: 2009; Bintang Legiun Veteran RI, Dari: Legium Veteran RI, Tahun: 2009; Satya Lencana Karya Sastra, Dari: Keputusan Presiden, Tahun: 2007; Lencana Melati, Dari: Kwarnas Pramuka, Tahun: 2007; Satya Lencana Pembangunan, Dari: Keputusan Presiden, Tahun: 2006; Satya Lencana Wirakarya, Dari: Menteri Koperasi RI, Tahun: 2004; Satya Lencana Satya, Dari: Keputusan Presiden, Tahun: 2004; Satya Lencana Wirakarya, Dari: Keputusan Presiden, Tahun: 2004; Manggala Karya Kencana, Dari: Kepala BKKBN, Tahun: 2002",Data tidak ditemukan.; Data tidak ditemukan.,http://dpr.go.id/blog/profil/id/1378
10,A-010,Drs. H. NYAT KADIR,Fraksi Partai NasDem,KEPULAUAN RIAU,http://dpr.go.id/doksigota/photo/1383.jpg,Islam,Panggak Lant,18 Maret 1949,", . Tahun: - 1963; , SMP N 1 Limba. Tahun: - 1965; , Sekolah Pendidikan Guru. Tahun: -; Administrasi Pendidikan, Universitas Riau. Tahun: - 1984","Pemerintah Kota Batam, Sebagai: Walikota Batam. Tahun: 2001 - 2005; Dinas Pendidikan, Sebagai: Kepala Dinas. Tahun: 2000 - 2001; Dinas P dan K, Sebagai: Kepala Cabang. Tahun: 1991 - 2000; Dinas P dan K, Sebagai: Kepala Urusan. Tahun: 1984 - 1991","Lembaga Adat Melayu, Sebagai: Ketua Umum. Tahun: 2012 - 2015; PKB, Sebagai: Ketua DPW Kepri. Tahun: 2007 - 2009; KKBM, Sebagai: Ketua Umum. Tahun: 2001 - 2002; Pramuka, Sebagai: Wakil. Tahun: 1988 - 1991; KNPI Kepri, Sebagai: Wakil Ketua. Tahun: 1987 - 1991",Data tidak ditemukan.,Data tidak ditemukan.,Data tidak ditemukan.; Data tidak ditemukan.; Data tidak ditemukan.,http://dpr.go.id/blog/profil/id/1383
