kategori,tanggal,judul,deskripsi,page_url,,,
KOMISI XI,5/23/2016,Legislator Usulkan Bentuk Panja Utang,Anggota Komisi XI DPR RI Hendrawan Supratikno mengusulkan agar dibentuk panitia kerja (panja) utang untuk menghadapi dinamika utang Indonesia yang...,http://dpr.go.id/berita/detail/id/13165,,,
KOMISI VIII,5/23/2016,Komisi VIII Alokasikan Tujuh Ribu Calhaj Lansia Diberangkatkan,Komisi VIII DPR RI mendesak Kantor Wilayah Kementerian Agama Jambi agar mengutamakan calon jamaah haji lansia untuk bisa segera diberangkatkan....,http://dpr.go.id/berita/detail/id/13164,,,
PIMPINAN,5/23/2016,Ketua DPR Beri Penghargaan Pada Polisi Jujur,"Ketua DPR RI Ade Komarudin memberikan penghargaan kepada Bripka Seladi, di Ruang Pimpinan DPR, Senin (23/5). Menurutnya, ini merupakan wujud...",http://dpr.go.id/berita/detail/id/13163,,,
PIMPINAN,5/23/2016,Fadli Zon Dapat Dua Penghargaan dari Pura Agung Negara Jembrana,"Dalam rangka memperingati hari lahir Puri Agung Negara Jembrana yang ke 186, Penglesir (Raja) Puri Agung Negara Jembrana, Anak Agung...",http://dpr.go.id/berita/detail/id/13162,,,
KOMISI VIII,5/23/2016,DPR Usulkan Perubahan Kurikulum Manasik Haji,Tim Komisi VIII DPR RI yang dipimpin Wakil Ketua Sodik Mudjahid didampingi 12 anggota melakukan kunjungan kerja ke Kantor Wilayah...,http://dpr.go.id/berita/detail/id/13161,,,
KOMISI X,5/20/2016,Komisi X Dorong PSSI Selesaikan PR dari FIFA,Komisi X DPR RI mendorong Persatuan Sepakbola Seluruh Indonesia (PSSI) untuk fokus menyelesaikan lima pekerjaan rumah dari Federasi Asosiasi Sepakbola...,http://dpr.go.id/berita/detail/id/13160,,,
KOMISI X,5/20/2016,Museum Jangan Sampai Dimuseumkan,"Kondisi museum kian memprihatinkan, karena minimnya perhatian dari Pemerintah. Padahal, museum adalah tempat disimpannya warisan budaya bangsa Indonesia yang harus...",http://dpr.go.id/berita/detail/id/13159,,,
PIMPINAN,5/20/2016,"Masuki Usia 51 Tahun, Ketua DPR Tetap Akan Bekerja Lebih Maksimal","Ketua DPR RI Ade Komarudin berulang tahun ke 51, dirayakan secara sederhana di lantai II Gedung Nusantara III dihadiri rekan-rekan...",http://dpr.go.id/berita/detail/id/13158,,,
KOMISI VIII,5/20/2016,Proses Pembayaran Haji Perlu Dibuat Satu Atap,Anggota Komisi VIII DPR Choirul Muna meminta agar dalam proses pembayaran ibadah haji dibuat dengan sederhana dalam sistem satu atap. “Saya...,http://dpr.go.id/berita/detail/id/13157,,,
SEKRETARIAT JENDERAL,5/20/2016,DPRD Banyumas Konsultasi Sistem Kerja Bamus dan Banggar,Sekretariat Jenderal DPR Winantuningtyas Titi Swasanany menerima sejumlah anggota DPRD Kabupaten Banyumas. Kedatangan anggota DPRD Banyumas kali ini untuk melakukan...,http://dpr.go.id/berita/detail/id/13156,,,
BADAN LEGISLASI,5/20/2016,Baleg Bahas RUU Jabatan Hakim,"Badan Legislasi (Baleg) DPR mulai membahas Rancangan Undang-Undang (RUU) tentang Jabatan Hakim. RUU yang merupakan usulan inisiatif Komisi III ini,...",http://dpr.go.id/berita/detail/id/13155,,,
PIMPINAN,5/20/2016,Ketua DPR Himbau Semua Komponen Bangsa Wujudkan Kebangkitan Nasional Sesungguhnya,"Mengenang spirit Hari Kebangkitan Nasional (Harkitnas) yang diperingati pada Jum’at (20/5/2016), Ketua DPR RI Ade Komarudin mengajak seluruh pihak agar...",http://dpr.go.id/berita/detail/id/13154,,,
PIMPINAN,5/20/2016,Fadli Zon Dorong Diplomasi Kebudayaan,"Wakil Ketua DPR RI Fadli Zon mendorong diplomasi kebudayaan yang efektif karena Indonesia memilki kebudayaan yang sangat elok, beragam dan...",http://dpr.go.id/berita/detail/id/13153,,,
PARIPURNA,5/20/2016,Pemerintah Sampaikan KEM-PPKF 2017,Kerangka ekonomi makro dan pokok-pokok kebijakan fiskal (KEM-PPKF) untuk tahun anggaran 2017 telah disampaikan pemerintah pada Rapat Paripurna DPR. Rencana...,http://dpr.go.id/berita/detail/id/13152,,,
PIMPINAN,5/20/2016,Ketua DPR dan PIM Bahas Kemajuan Bangsa dan Pentingnya Literasi,"Ketua DPR RI Ade Komarudin menyambut baik kedatangan Dewan Nasional Pergerakan Indonesia Maju (PIM) di Gedung DPR, Jumat (20/5/2016). Dalam...",http://dpr.go.id/berita/detail/id/13151,,,
KOMISI IV,5/20/2016,Komisi IV Dorong Pembentukan Badan Pangan Nasional,Wakil Ketua Komisi IV DPR RI Daniel Johan mendorong pemerintah agar segera membentuk Badan Pangan sesuai dengan amanah UU tentang...,http://dpr.go.id/berita/detail/id/13150,,,
SEKRETARIAT JENDERAL,5/20/2016,Peringatan Harkitnas Jangan Hanya Sekedar Seremonial,"Hari kebangkitan nasional yang diperingati setiap tanggal 20 Mei bukan hanya sekadar kegiatan seremonial semata, namun lebih kepada sebuah kebangkitan...",http://dpr.go.id/berita/detail/id/13149,,,
KOMISI X,5/20/2016,"Anggota DPR Muslim Terima 122 Kepala Desa Bireun, Aceh","Anggota Komis X DPR, Muslim menerima kunjungan kepala desa (Keuchik) Kabupaten Bireuen, Aceh, di ruang operasional, Gedung Nusantara, Senayan, Jakarta,...",http://dpr.go.id/berita/detail/id/13148,,,
