kategori,tahun,judul,pengusul,page_url
PROLEGNAS PRIORITAS,2015,RUU tentang Perubahan atas Undang-Undang Nomor 32 Tahun 2002 tentang Penyiaran,DPR,http://dpr.go.id/prolegnas/index/id/1
PROLEGNAS PRIORITAS,2015,RUU tentang Radio Televisi Republik Indonesia,DPR,http://dpr.go.id/prolegnas/index/id/2
PROLEGNAS PRIORITAS,2015,RUU tentang Perubahan atas Undang - Undang Nomor 11 Tahun 2008 tentang Informasi dan Transaksi Elektronik (ITE),PEMERINTAH,http://dpr.go.id/prolegnas/index/id/3
PROLEGNAS PRIORITAS,2015,RUU tentang Wawasan Nusantara,DPD,http://dpr.go.id/prolegnas/index/id/4
PROLEGNAS PRIORITAS,2015,RUU tentang Pertanahan,DPR,http://dpr.go.id/prolegnas/index/id/5
PROLEGNAS PRIORITAS,2015,RUU tentang Perubahan atas Undang-Undang Nomor 30 Tahun 2002 tentang Komisi Pemberantasan Tindak Pidana Korupsi,DPR,http://dpr.go.id/prolegnas/index/id/88
PROLEGNAS PRIORITAS,2015,"RUU tentang Perubahan atas Undang - Undang Nomor 1 Tahun 2015 tentang Penetapan Peraturan Pemerintah Pengganti UU Nomor 1 Tahun 2014 tentang Pemilihan Gubernur, Bupati, dan Walikota Menjadi UU",DPR,http://dpr.go.id/prolegnas/index/id/7
PROLEGNAS PRIORITAS,2015,RUU tentang Perubahan Kedua Atas UU Nomor 23 Tahun 2014 tentang Pemerintahan Daerah,DPR,http://dpr.go.id/prolegnas/index/id/8
PROLEGNAS PRIORITAS,2015,RUU tentang Peningkatan Pendapatan Asli Daerah,DPR,http://dpr.go.id/prolegnas/index/id/9
PROLEGNAS PRIORITAS,2015,RUU tentang Kitab Undang - Undang Hukum Pidana,PEMERINTAH,http://dpr.go.id/prolegnas/index/id/10
PROLEGNAS PRIORITAS,2015,RUU tentang Merek,PEMERINTAH,http://dpr.go.id/prolegnas/index/id/11
PROLEGNAS PRIORITAS,2015,RUU tentang Paten,PEMERINTAH,http://dpr.go.id/prolegnas/index/id/12
PROLEGNAS PRIORITAS,2015,RUU tentang Komisi Kebenaran dan Rekonsiliasi,PEMERINTAH,http://dpr.go.id/prolegnas/index/id/13
PROLEGNAS PRIORITAS,2015,RUU tentang Perlindungan dan Pemberdayaan Nelayan,DPR,http://dpr.go.id/prolegnas/index/id/14
PROLEGNAS PRIORITAS,2015,"RUU tentang Perubahan atas Undang-Undang Nomor 16 Tahun 1992 tentang Karantina Hewan, Ikan dan Tumbuhan",DPR,http://dpr.go.id/prolegnas/index/id/98
PROLEGNAS PRIORITAS,2015,RUU tentang Jasa Konstruksi,DPR,http://dpr.go.id/prolegnas/index/id/16
PROLEGNAS PRIORITAS,2015,RUU tentang Arsitek,DPR,http://dpr.go.id/prolegnas/index/id/17
PROLEGNAS PRIORITAS,2015,RUU tentang Tabungan Perumahan Rakyat,DPR,http://dpr.go.id/prolegnas/index/id/18
PROLEGNAS PRIORITAS,2015,RUU tentang Perubahan atas UU Nomor 19 Tahun 2003 tentang BUMN,DPR,http://dpr.go.id/prolegnas/index/id/19
PROLEGNAS PRIORITAS,2015,RUU tentang Perubahan atas UU Nomor 5 Tahun 1999 tentang Larangan Praktik Monopoli dan Persaingan Usaha Tidak Sehat,DPR,http://dpr.go.id/prolegnas/index/id/20
