nama_fraksi,singkatan,jumlah_anggota,presentase
Fraksi Partai Demokrasi Indonesia Perjuangan,FPDIP,109,"19,46"
Fraksi Partai Golongan Karya,FPG,91,"16,25"
Fraksi Partai Gerakan Indonesia Raya,FGERINDRA,73,"13,04"
Fraksi Partai Demokrat,FPD,61,"10,89"
Fraksi Partai Amanat Nasional,FPAN,48,"8,57"
Fraksi Partai Kebangkitan Bangsa,FPKB,47,"8,39"
Fraksi Partai Keadilan Sejahtera,FPKS,40,"7,14"
Fraksi Partai Persatuan Pembangunan,FPPP,39,"6,96"
Fraksi Partai Nasdem,FNASDEM,36,"6,43"
Fraksi Partai Hati Nurani Rakyat,FHANURA,16,"2,86"
