id,nama,tugas
1,PIMPINAN DPR,"KETUA  : H. SETYA NOVANTO, S.E.
Mempunyai tugas bersifat umum dan mencakup semua Bidang Koordinasi. 
 
WAKIL KETUA  : FADLI ZON, S.S., M.Sc.
Bidang Politik dan Keamanan ( KORPOLKAM ) yang membidangi ruang lingkup tugas Komisi I, Komisi II dan Komisi III, Badan Kerjasama Antar Parlemen, dan Badan Legislasi.  
 
WAKIL KETUA  : Dr. AGUS HERMANTO
Koordinator Bidang Industri dan Pembangunan ( KORINBANG )  yang membidangi ruang lingkup tugas Komisi IV, Komisi V, Komisi VI dan Komsi VII.
 
WAKIL KETUA  : Ir. TAUFIK KURNIAWAN, MM
Koordinator Bidang Ekonomi dan Keuangan ( KOREKKU ) yang membidangi ruang lingkup tugas Komisi XI dan Badan Anggaran.
 
WAKIL KETUA  : FAHRI HAMZAH, SE.
Koordinator Bidang Kesejahteraan Rakyat ( KORKESRA ) yang membidangi ruang lingkup tugas Komisi VIII, Komisi IX,  Komisi X dan Mahkamah Kehormatan Dewan."
2,BADAN MUSYAWARAH,"Badan Musyawarah bertugas
1. menetapkan agenda DPR untuk 1 (satu) tahun sidang, 1 (satu) masa persidangan, atau sebagian dari suatu masa sidang, perkiraan waktu penyelesaian suatu masalah, dan jangka waktu penyelesaian rancangan undang-undang, dengan tidak mengurangi kewenangan rapat paripurna untuk mengubahnya;
2. memberikan pendapat kepada pimpinan DPR dalam menentukan garis kebijakan yang menyangkut pelaksanaan tugas dan wewenang DPR;
3. meminta dan/atau memberikan kesempatan kepada alat kelengkapan DPR yang lain untuk memberikan keterangan/penjelasan mengenai pelaksanaan tugas masing-masing;
4. mengatur lebih lanjut penanganan suatu masalah dalam hal undang-undang mengharuskan Pemerintah atau pihak lainnya melakukan konsultasi dan koordinasi dengan DPR;
5. menentukan penanganan suatu rancangan undang-undang atau pelaksanaan tugas DPR lainnya oleh alat kelengkapan DPR;
6. mengusulkan kepada rapat paripurna mengenai jumlah komisi, ruang lingkup tugas komisi, dan mitra kerja komisi yang telah dibahas dalam konsultasi pada awal masa keanggotaan DPR; dan
7. melaksanakan tugas lain yang diserahkan oleh rapat paripurna kepada Badan Musyawarah."
3,KOMISI I,"Tugas Komisi dalam pembentukan undang-undang adalah mengadakan persiapan, penyusunan, pembahasan, dan penyempurnaan Rancangan Undang-Undang yang termasuk dalam ruang lingkup tugasnya.
 
Tugas Komisi di bidang anggaran lain:
- mengadakan Pembicaraan Pendahuluan mengenai penyusunan Rancangan Anggaran Pendapatan dan Belanja Negara yang termasuk dalam ruang lingkup tugasnya bersama-sama dengan Pemerintah; dan
- mengadakan pembahasan dan mengajukan usul penyempurnaan Rancangan Anggaran Pendapatan dan Belanja Negara yang termasuk dalam ruang lingkup tugasnya bersama-sama dengan pemerintah.
 
Tugas komisi di bidang pengawasan antara lain:
- melakukan pengawasan terhadap pelaksanaan undang-undang, termasuk APBN, serta peraturan pelaksanaannya;
- membahas dan menindaklanjuti hasil pemeriksaan Badan Pemeriksa Keuangan yang terkait dengan ruang lingkup tugasnya;
- melakukan pengawasan terhadap kebijakan Pemerintah; serta
membahas dan menindklanjuti usulan DPD."
4,KOMISI II,"Tugas Komisi dalam pembentukan undang-undang adalah mengadakan persiapan, penyusunan, pembahasan, dan penyempurnaan Rancangan Undang-Undang yang termasuk dalam ruang lingkup tugasnya.
 
Tugas Komisi di bidang anggaran lain:
- mengadakan Pembicaraan Pendahuluan mengenai penyusunan Rancangan Anggaran Pendapatan dan Belanja Negara yang termasuk dalam ruang lingkup tugasnya bersama-sama dengan Pemerintah; dan
- mengadakan pembahasan dan mengajukan usul penyempurnaan Rancangan Anggaran Pendapatan dan Belanja Negara yang termasuk dalam ruang lingkup tugasnya bersama-sama dengan pemerintah.
 
Tugas komisi di bidang pengawasan antara lain:
- melakukan pengawasan terhadap pelaksanaan undang-undang, termasuk APBN, serta peraturan pelaksanaannya;
- membahas dan menindaklanjuti hasil pemeriksaan Badan Pemeriksa Keuangan yang terkait dengan ruang lingkup tugasnya;
- melakukan pengawasan terhadap kebijakan Pemerintah; serta
membahas dan menindklanjuti usulan DPD."
5,KOMISI III,"Tugas Komisi dalam pembentukan undang-undang adalah mengadakan persiapan, penyusunan, pembahasan, dan penyempurnaan Rancangan Undang-Undang yang termasuk dalam ruang lingkup tugasnya.
 
Tugas Komisi di bidang anggaran lain:
- mengadakan Pembicaraan Pendahuluan mengenai penyusunan Rancangan Anggaran Pendapatan dan Belanja Negara yang termasuk dalam ruang lingkup tugasnya bersama-sama dengan Pemerintah; dan
- mengadakan pembahasan dan mengajukan usul penyempurnaan Rancangan Anggaran Pendapatan dan Belanja Negara yang termasuk dalam ruang lingkup tugasnya bersama-sama dengan pemerintah.
 
Tugas komisi di bidang pengawasan antara lain:
- melakukan pengawasan terhadap pelaksanaan undang-undang, termasuk APBN, serta peraturan pelaksanaannya;
- membahas dan menindaklanjuti hasil pemeriksaan Badan Pemeriksa Keuangan yang terkait dengan ruang lingkup tugasnya;
- melakukan pengawasan terhadap kebijakan Pemerintah; serta
membahas dan menindklanjuti usulan DPD."
6,KOMISI IV,"Tugas Komisi dalam pembentukan undang-undang adalah mengadakan persiapan, penyusunan, pembahasan, dan penyempurnaan Rancangan Undang-Undang yang termasuk dalam ruang lingkup tugasnya.
 
Tugas Komisi di bidang anggaran lain:
- mengadakan Pembicaraan Pendahuluan mengenai penyusunan Rancangan Anggaran Pendapatan dan Belanja Negara yang termasuk dalam ruang lingkup tugasnya bersama-sama dengan Pemerintah; dan
- mengadakan pembahasan dan mengajukan usul penyempurnaan Rancangan Anggaran Pendapatan dan Belanja Negara yang termasuk dalam ruang lingkup tugasnya bersama-sama dengan pemerintah.
 
Tugas komisi di bidang pengawasan antara lain:
- melakukan pengawasan terhadap pelaksanaan undang-undang, termasuk APBN, serta peraturan pelaksanaannya;
- membahas dan menindaklanjuti hasil pemeriksaan Badan Pemeriksa Keuangan yang terkait dengan ruang lingkup tugasnya;
- melakukan pengawasan terhadap kebijakan Pemerintah; serta
membahas dan menindklanjuti usulan DPD."
7,KOMISI V,"Tugas Komisi dalam pembentukan undang-undang adalah mengadakan persiapan, penyusunan, pembahasan, dan penyempurnaan Rancangan Undang-Undang yang termasuk dalam ruang lingkup tugasnya.
 
Tugas Komisi di bidang anggaran lain:
- mengadakan Pembicaraan Pendahuluan mengenai penyusunan Rancangan Anggaran Pendapatan dan Belanja Negara yang termasuk dalam ruang lingkup tugasnya bersama-sama dengan Pemerintah; dan
- mengadakan pembahasan dan mengajukan usul penyempurnaan Rancangan Anggaran Pendapatan dan Belanja Negara yang termasuk dalam ruang lingkup tugasnya bersama-sama dengan pemerintah.
 
Tugas komisi di bidang pengawasan antara lain:
- melakukan pengawasan terhadap pelaksanaan undang-undang, termasuk APBN, serta peraturan pelaksanaannya;
- membahas dan menindaklanjuti hasil pemeriksaan Badan Pemeriksa Keuangan yang terkait dengan ruang lingkup tugasnya;
- melakukan pengawasan terhadap kebijakan Pemerintah; serta
membahas dan menindklanjuti usulan DPD."
8,KOMISI VI,"Tugas Komisi dalam pembentukan undang-undang adalah mengadakan persiapan, penyusunan, pembahasan, dan penyempurnaan Rancangan Undang-Undang yang termasuk dalam ruang lingkup tugasnya.
 
Tugas Komisi di bidang anggaran lain:
- mengadakan Pembicaraan Pendahuluan mengenai penyusunan Rancangan Anggaran Pendapatan dan Belanja Negara yang termasuk dalam ruang lingkup tugasnya bersama-sama dengan Pemerintah; dan
- mengadakan pembahasan dan mengajukan usul penyempurnaan Rancangan Anggaran Pendapatan dan Belanja Negara yang termasuk dalam ruang lingkup tugasnya bersama-sama dengan pemerintah.
 
Tugas komisi di bidang pengawasan antara lain:
- melakukan pengawasan terhadap pelaksanaan undang-undang, termasuk APBN, serta peraturan pelaksanaannya;
- membahas dan menindaklanjuti hasil pemeriksaan Badan Pemeriksa Keuangan yang terkait dengan ruang lingkup tugasnya;
- melakukan pengawasan terhadap kebijakan Pemerintah; serta
membahas dan menindklanjuti usulan DPD."
9,KOMISI VII,"Tugas Komisi dalam pembentukan undang-undang adalah mengadakan persiapan, penyusunan, pembahasan, dan penyempurnaan Rancangan Undang-Undang yang termasuk dalam ruang lingkup tugasnya.
 
Tugas Komisi di bidang anggaran lain:
- mengadakan Pembicaraan Pendahuluan mengenai penyusunan Rancangan Anggaran Pendapatan dan Belanja Negara yang termasuk dalam ruang lingkup tugasnya bersama-sama dengan Pemerintah; dan
- mengadakan pembahasan dan mengajukan usul penyempurnaan Rancangan Anggaran Pendapatan dan Belanja Negara yang termasuk dalam ruang lingkup tugasnya bersama-sama dengan pemerintah.
 
Tugas komisi di bidang pengawasan antara lain:
- melakukan pengawasan terhadap pelaksanaan undang-undang, termasuk APBN, serta peraturan pelaksanaannya;
- membahas dan menindaklanjuti hasil pemeriksaan Badan Pemeriksa Keuangan yang terkait dengan ruang lingkup tugasnya;
- melakukan pengawasan terhadap kebijakan Pemerintah; serta
membahas dan menindklanjuti usulan DPD."
10,KOMISI VIII,"Tugas Komisi dalam pembentukan undang-undang adalah mengadakan persiapan, penyusunan, pembahasan, dan penyempurnaan Rancangan Undang-Undang yang termasuk dalam ruang lingkup tugasnya.
 
Tugas Komisi di bidang anggaran lain:
- mengadakan Pembicaraan Pendahuluan mengenai penyusunan Rancangan Anggaran Pendapatan dan Belanja Negara yang termasuk dalam ruang lingkup tugasnya bersama-sama dengan Pemerintah; dan
- mengadakan pembahasan dan mengajukan usul penyempurnaan Rancangan Anggaran Pendapatan dan Belanja Negara yang termasuk dalam ruang lingkup tugasnya bersama-sama dengan pemerintah.
 
Tugas komisi di bidang pengawasan antara lain:
- melakukan pengawasan terhadap pelaksanaan undang-undang, termasuk APBN, serta peraturan pelaksanaannya;
- membahas dan menindaklanjuti hasil pemeriksaan Badan Pemeriksa Keuangan yang terkait dengan ruang lingkup tugasnya;
- melakukan pengawasan terhadap kebijakan Pemerintah; serta
membahas dan menindklanjuti usulan DPD."
11,KOMISI IX,"Tugas Komisi dalam pembentukan undang-undang adalah mengadakan persiapan, penyusunan, pembahasan, dan penyempurnaan Rancangan Undang-Undang yang termasuk dalam ruang lingkup tugasnya.
 
Tugas Komisi di bidang anggaran lain:
- mengadakan Pembicaraan Pendahuluan mengenai penyusunan Rancangan Anggaran Pendapatan dan Belanja Negara yang termasuk dalam ruang lingkup tugasnya bersama-sama dengan Pemerintah; dan
- mengadakan pembahasan dan mengajukan usul penyempurnaan Rancangan Anggaran Pendapatan dan Belanja Negara yang termasuk dalam ruang lingkup tugasnya bersama-sama dengan pemerintah.
 
Tugas komisi di bidang pengawasan antara lain:
- melakukan pengawasan terhadap pelaksanaan undang-undang, termasuk APBN, serta peraturan pelaksanaannya;
- membahas dan menindaklanjuti hasil pemeriksaan Badan Pemeriksa Keuangan yang terkait dengan ruang lingkup tugasnya;
- melakukan pengawasan terhadap kebijakan Pemerintah; serta
membahas dan menindklanjuti usulan DPD."
12,KOMISI X,"Tugas Komisi dalam pembentukan undang-undang adalah mengadakan persiapan, penyusunan, pembahasan, dan penyempurnaan Rancangan Undang-Undang yang termasuk dalam ruang lingkup tugasnya.
 
Tugas Komisi di bidang anggaran lain:
- mengadakan Pembicaraan Pendahuluan mengenai penyusunan Rancangan Anggaran Pendapatan dan Belanja Negara yang termasuk dalam ruang lingkup tugasnya bersama-sama dengan Pemerintah; dan
- mengadakan pembahasan dan mengajukan usul penyempurnaan Rancangan Anggaran Pendapatan dan Belanja Negara yang termasuk dalam ruang lingkup tugasnya bersama-sama dengan pemerintah.
 
Tugas komisi di bidang pengawasan antara lain:
- melakukan pengawasan terhadap pelaksanaan undang-undang, termasuk APBN, serta peraturan pelaksanaannya;
- membahas dan menindaklanjuti hasil pemeriksaan Badan Pemeriksa Keuangan yang terkait dengan ruang lingkup tugasnya;
- melakukan pengawasan terhadap kebijakan Pemerintah; serta
membahas dan menindklanjuti usulan DPD."
13,KOMISI XI,"Tugas Komisi dalam pembentukan undang-undang adalah mengadakan persiapan, penyusunan, pembahasan, dan penyempurnaan Rancangan Undang-Undang yang termasuk dalam ruang lingkup tugasnya.
 
Tugas Komisi di bidang anggaran lain:
- mengadakan Pembicaraan Pendahuluan mengenai penyusunan Rancangan Anggaran Pendapatan dan Belanja Negara yang termasuk dalam ruang lingkup tugasnya bersama-sama dengan Pemerintah; dan
- mengadakan pembahasan dan mengajukan usul penyempurnaan Rancangan Anggaran Pendapatan dan Belanja Negara yang termasuk dalam ruang lingkup tugasnya bersama-sama dengan pemerintah.
 
Tugas komisi di bidang pengawasan antara lain:
- melakukan pengawasan terhadap pelaksanaan undang-undang, termasuk APBN, serta peraturan pelaksanaannya;
- membahas dan menindaklanjuti hasil pemeriksaan Badan Pemeriksa Keuangan yang terkait dengan ruang lingkup tugasnya;
- melakukan pengawasan terhadap kebijakan Pemerintah; serta
membahas dan menindklanjuti usulan DPD."
14,BADAN LEGISLASI,"Badan Legislasi bertugas:
1. menyusun rancangan program legislasi nasional yang memuat daftar urutan  rancangan undang-undang beserta alasannya untuk 5 (lima) tahun dan prioritas tahunan di lingkungan DPR;
2. mengoordinasikan penyusunan program legislasi nasional yang memuat daftar urutan rancangan undang-undang beserta alasannya untuk 5 (lima) tahun dan Prioritas tahunan antara DPR,  Pemerintah dan DPD;
3. melakukan pengharmonisasian, pembulatan, dan pemantapan konsepsi rancangan undang-undang yang diajukan anggota, komisi, atau gabungan komisi,  sebelum rancangan undang-undang tersebut disampaikan kepada pimpinan DPR;
4. memberikan pertimbangan terhadap rancangan undang-undang yang diajukan oleh anggota, komisi, atau gabungan komisi di luar prioritas rancangan undang-undang atau di luar rancangan undang-undang yang terdaftar dalam program legislasi nasional;
5. melakukan pembahasan, pengubahan, dan/atau penyempurnaan rancangan undang-undang yang secara khusus ditugaskan oleh Badan Musyawarah;
6. melakukan pemantauan dan peninjauan terhadap undang-undang
7. menyusun, melakukan evaluasi, dan menyempurnakan peraturan DPR;
8. mengikuti perkembangan dan melakukan evaluasi terhadap pembahasan materi muatan rancangan undang-undang melalui koordinasi dengan komisi dan/atau panitia khusus;
9. Melakukan sosialisasi Prolegnas; dan
10. membuat laporan kinerja dan inventarisasi masalah di bidang perundang-undangan pada akhir masa keanggotaan DPR untuk dapat digunakan oleh Badan Legislasi pada masa keanggotaan berikutnya."
15,BADAN ANGGARAN,"Badan Anggaran bertugas:
1. membahas bersama Pemerintah yang diwakili oleh menteri untuk menentukan pokok-pokok kebijakan fiskal umum dan prioritas anggaran untuk dijadikan acuan bagi setiap kementerian/lembaga dalam menyusun usulan anggaran;
2. menetapkan pendapatan negara bersama Pemerintah dengan mengacu pada usulan komisi terkait;
3. membahas rancangan undang-undang tentang APBN bersama Presiden yang dapat diwakili oleh menteri dengan mengacu pada keputusan rapat kerja komisi dan Pemerintah mengenai alokasi anggaran untuk fungsi, program, dan kegiatan kementerian/lembaga;
4. melakukan sinkronisasi terhadap hasil pembahasan di komisi mengenai rencana kerja dan anggaran kementerian/lembaga;
5. membahas laporan realisasi dan prognosis yang berkaitan dengan APBN; dan
6. membahas pokok-pokok penjelasan atas rancangan undang-undang tentang pertanggungjawaban pelaksanaan APBN."
