id,anggota_id,nomor_anggota,jabatan,akd_id,institute
1,5302-00-0000-0501,300,Ketua,1,PIMPINAN
2,3307-00-0000-0801,482,Wakil Ketua,1,PIMPINAN
3,3301-00-0000-0701,423,Wakil Ketua,1,PIMPINAN
4,5201-00-0000-0301,118,Wakil Ketua,1,PIMPINAN
5,3205-00-0000-0601,347,Wakil Ketua,1,PIMPINAN
6,1501-00-0000-0802,464,Anggota,2,BADAN MUSYAWARAH
7,3207-00-0000-0501,262,Anggota,2,BADAN MUSYAWARAH
8,3307-00-0000-0501,277,Anggota,2,BADAN MUSYAWARAH
9,6301-00-0000-0501,304,Anggota,2,BADAN MUSYAWARAH
10,3507-00-0000-0701,434,Anggota,2,BADAN MUSYAWARAH
11,3509-00-0000-0701,437,Anggota,2,BADAN MUSYAWARAH
12,7401-00-0000-0603,392,Anggota,2,BADAN MUSYAWARAH
13,3306-00-0000-0801,481,undefined,2,BADAN MUSYAWARAH
14,3510-00-0000-0801,493,undefined,2,BADAN MUSYAWARAH
15,3211-00-0000-0501,268,undefined,2,BADAN MUSYAWARAH
16,3303-00-0000-0501,273,undefined,2,BADAN MUSYAWARAH
17,7303-00-0000-0501,314,undefined,2,BADAN MUSYAWARAH
18,7101-00-0000-0501,309,undefined,2,BADAN MUSYAWARAH
19,3302-00-0000-0601,354,undefined,2,BADAN MUSYAWARAH
20,1602-00-0000-0501,246,undefined,2,BADAN MUSYAWARAH
21,3102-00-0000-0901,513,undefined,2,BADAN MUSYAWARAH
22,3502-00-0000-0901,529,undefined,2,BADAN MUSYAWARAH
23,1301-00-0000-0901,509,undefined,2,BADAN MUSYAWARAH
24,3603-00-0000-0301,117,undefined,2,BADAN MUSYAWARAH
25,3208-00-0000-0701,419,undefined,2,BADAN MUSYAWARAH
26,1101-00-0000-0701,397,undefined,2,BADAN MUSYAWARAH
27,5301-00-0000-0701,444,undefined,2,BADAN MUSYAWARAH
28,3507-00-0000-0301,115,undefined,2,BADAN MUSYAWARAH
29,1802-00-0000-0301,94,undefined,2,BADAN MUSYAWARAH
30,3203-00-0000-0701,416,undefined,2,BADAN MUSYAWARAH
31,1501-00-0000-0901,511,undefined,2,BADAN MUSYAWARAH
32,3310-00-0000-0601,362,undefined,2,BADAN MUSYAWARAH
33,1102-00-0000-0605,325,undefined,2,BADAN MUSYAWARAH
34,3205-00-0000-0502,260,undefined,2,BADAN MUSYAWARAH
35,3207-00-0000-0804,475,undefined,2,BADAN MUSYAWARAH
36,3305-00-0000-0601,357,undefined,2,BADAN MUSYAWARAH
37,6301-00-0000-0301,119,undefined,2,BADAN MUSYAWARAH
38,6301-00-0000-0604,384,undefined,2,BADAN MUSYAWARAH
39,6401-00-0000-0601,386,undefined,2,BADAN MUSYAWARAH
