id,daerah_pemilihan,alokasi_kursi_dapil
1,ACEH I,7
2,ACEH II,6
3,SUMATERA UTARA I,10
4,SUMATERA UTARA II,10
5,SUMATERA UTARA III,10
6,SUMATERA BARAT I,8
7,SUMATERA BARAT II,6
8,RIAU I,6
9,RIAU II,5
10,JAMBI,7
11,SUMATERA SELATAN I,8
12,SUMATERA SELATAN II,9
13,BENGKULU,4
14,LAMPUNG I,9
15,LAMPUNG II,9
16,BANGKA BELITUNG,3
17,KEPULAUAN RIAU,3
18,DKI JAKARTA I,6
19,DKI JAKARTA II,7
20,DKI JAKARTA III,8
21,JAWA BARAT I,7
22,JAWA BARAT II,10
23,JAWA BARAT III,9
24,JAWA BARAT IV,6
25,JAWA BARAT V,9
26,JAWA BARAT VI,6
27,JAWA BARAT VII,10
28,JAWA BARAT VIII,9
29,JAWA BARAT IX,8
30,JAWA BARAT X,7
31,JAWA BARAT XI,10
32,JAWA TENGAH I,8
33,JAWA TENGAH II,7
34,JAWA TENGAH III,9
35,JAWA TENGAH IV,7
36,JAWA TENGAH V,8
37,JAWA TENGAH VI,8
38,JAWA TENGAH VII,7
39,JAWA TENGAH VIII,8
40,JAWA TENGAH IX,8
41,JAWA TENGAH X,7
42,DI YOGYAKARTA,8
43,JAWA TIMUR I,10
44,JAWA TIMUR II,7
45,JAWA TIMUR III,7
46,JAWA TIMUR IV,8
47,JAWA TIMUR V,8
48,JAWA TIMUR VI,9
49,JAWA TIMUR VII,8
50,JAWA TIMUR VIII,10
51,JAWA TIMUR IX,6
52,JAWA TIMUR X,6
53,JAWA TIMUR XI,8
54,BANTEN I,6
55,BANTEN II,6
56,BANTEN III,10
57,BALI,9
58,NUSA TENGGARA BARAT,10
59,NUSA TENGGARA TIMUR I,6
60,NUSA TENGGARA TIMUR II,7
61,KALIMANTAN BARAT,10
62,KALIMANTAN TENGAH,6
63,KALIMANTAN SELATAN I,6
64,KALIMANTAN SELATAN II,5
65,KALIMANTAN TIMUR,8
66,SULAWESI UTARA,6
67,SULAWESI TENGAH,6
68,SULAWESI SELATAN I,8
69,SULAWESI SELATAN II,9
70,SULAWESI SELATAN III,7
71,SULAWESI TENGGARA,5
72,GORONTALO,3
73,SULAWESI BARAT,3
74,MALUKU,4
75,MALUKU UTARA,3
76,PAPUA,10
77,PAPUA BARAT,3
