id,nama
1,"I - Pertahanan, Intelijen, Luar Negeri, Komunikasi dan Informatika"
2,"II - Pemerintahan Dalam Negeri & Otonomi Daerah, Aparatur & Reformasi Birokrasi, Kepemiluan, Pertahanan & Reforma Agraria"
3,"III - Hukum, HAM, Keamanan"
4,"IV - Pertanian, Perkebunan, Kehutanan, Kelautan, Perikanan, Pangan"
5,"V - Perhubungan, Pekerjaan Umum, Perumahan Rakyat, Pembangunan Pedesaan dan Kawasan Tertinggal, Meteorologi, Klimatologi & Geofisika"
6,"VI - Perdagangan, Perindustrian, Investasi, Koperasi, UKM & BUMN, Stadarisasi Nasional"
7,"VII - Energi Sumber Daya Mineral, Riset & Teknologi, Lingkungan Hidup"
8,"VIII - Agama, Sosial, Pemberdayaan Perempuan"
9,"IX - Tenaga Kerja & Transmigrasi, Kependudukan, Kesehatan"
10,"X - Pendidikan, Kebudayaan, Pariwisata, Ekonomi Kreatif, Pemuda, Olahraga, Perpustakaan"
11,"XI - Keuangan, Perencanaan Pembangunan, Perbankan"
