id_calon,pekerjaan,,
1101-00-0000-0101,"1998-1998, FKP DPR RI, ANGGOTA TIM AHLI, JAKARTA",,
1101-00-0000-0101,"1998-1998, MPR RI, TIM AHLI, JAKARTA",,
1101-00-0000-0101,"2000-2005, TIM PENASEHAT PRESIDEN URUSAN ACEH ANGGOTA, JAKARTA",,
1101-00-0000-0101,"2000-2002, KEMENTRIAN POLKAM, PENASEHAT, JAKARTA",,
1101-00-0000-0101,"2005-2007, PEMERINTAHAN, TIM AHLI DPR RI, JAKARTA",,
1101-00-0000-0101,"2002-2005, PEMERINTAHAN, DUTA BESAR MESIR, MESIR",,
1101-00-0000-0504,"1997-1999, ANGGOTA DPRD KAB. ACEH TENGGARA",,
1101-00-0000-0504,"1999-2004, KETUA FRAKSI/ WAKIL KETUA DPRD ACEH TENGGARA",,
1101-00-0000-0504,"2004-2009, WAKIL KETUA DPRD KAB ACEH TENGGARA",,
1101-00-0000-0504,"2009-2014, KETUA DPRK ACEH TENGGARA",,
1101-00-0000-0201,,,
1101-00-0000-0606,"2008-SEKARANG, DIREKTUR UTAMA PT KRUENG SIMPANG",,
1101-00-0000-0301,"2011-2014, ANGGOTA DPR FRAKSI PKS",,
1101-00-0000-0301,WAKIL KETUA KOMISI III DPR RI,,
1101-00-0000-0301,"2004-2009, ANGGOTA DPR RI FRAKSI PKS",,
1101-00-0000-0301,"1999-2004, ANGGOTA LEGISLATIF DPRD NAD",,
1101-00-0000-0301,"1996-1999, WARTAWAN",,
1101-00-0000-0701,"2009-2014, ANGGOTA DPR RI KOMISI VIII",,
1101-00-0000-0701,"2004-2009, ANGGOTA DPR RI KOMISI VII",,
1101-00-0000-0701,"1996-SEKARANG, KOMISARIS UNINET MEDIA SAKTI, DHARMALA GROUP",,
1101-00-0000-0701,"2003-2005, DIREKTUR UTAMA GRAND KEMANG HOTEL",,
1101-00-0000-0701,"2001-2002, KOMISARIS TH COMMUNICATION",,
1101-00-0000-0802,"2009-2014, WAKIL KETUA DPR ACEH",,
1101-00-0000-0802,"2004-2009, ANGGOTA DPR ACEH",,
1101-00-0000-0802,"2009, KETUA KONTINGEN ACEH INDONESIA DI ARAFURU GAMES AUSTRALIA",,
1101-00-0000-0802,TIM RANCANGAN QANUN NO.7 TAHUN 2012 ACEH TENTANG PILKADA GUBERNUR/WAKIL,,
