nama,periode
Komite Nasional Indonesia Pusat (KNIP),29 Aug 1945 – 15 Feb 1950
DPR dan Senat Republik Indonesia Serikat (RIS),15 Feb 1950 – 16 Aug 1950
Dewan Perwakilan Rakyat Sementara (DPRS),16 Aug 1950 – 26 Mar 1956
DPR hasil Pemilu Pertama ,26 Mar 1956 – 22 Jul 1959
DPR setelah Dekrit Presiden ,22 Jul 1959 – 26 Jun 1960
Dewan Perwakilan Rakyat Gotong Royong (DPR GR),26 Jun 1960 – 15 Nov 1965
DPR GR minus Partai Komunis Indonesia (PKI),15 Nov 1965 – 19 Nov 1966
DPR GR Orde Baru ,19 Nov 1966 – 28 Okt 1971
DPR hasil Pemilu ke-2 ,28 Okt 1971 – 1 Okt 1977
DPR hasil Pemilu ke-3 ,1 Okt 1977 – 1 Okt 1982
DPR hasil Pemilu ke-4 ,1 Okt 1982 – 1 Okt 1987
DPR hasil Pemilu ke-5 ,1 Okt 1987 – 1 Okt 1992
DPR hasil Pemilu ke-6 ,1 Okt 1992 – 1 Okt 1997
DPR hasil Pemilu ke-7 ,1 Okt 1997 – 1 Okt 1999
DPR hasil Pemilu ke-8 ,1 Okt 1999 – 1 Okt 2004
DPR hasil Pemilu ke-9 ,1 Okt 2004 – 1 Okt 2009
DPR hasil Pemilu ke-10 ,1 Okt 2009 – 1 Okt 2014
DPR hasil Pemilu ke-11 ,1 Okt 2014 – 1 Okt 2019
