id,id_partai,jumlah,daerah_pemilihan_id
1,1,1,1
2,1,1,2
3,1,1,3
4,1,1,4
5,1,1,5
6,1,1,6
7,1,0,7
8,1,0,8
9,1,0,9
10,1,0,10
11,1,0,11
12,1,1,12
13,1,1,13
14,1,0,14
15,1,1,15
16,1,0,16
17,1,1,17
18,1,0,18
19,1,0,19
20,1,1,20
21,1,0,21
22,1,0,22
23,1,0,23
24,1,0,24
25,1,0,25
26,1,0,26
27,1,0,27
28,1,0,28
29,1,0,29
30,1,0,30
31,1,1,31
32,1,1,32
33,1,1,33
34,1,1,34
35,1,0,35
36,1,0,36
37,1,1,37
38,1,1,38
39,1,0,39
40,1,0,40
41,1,0,41
42,1,0,42
43,1,0,43
44,1,1,44
45,1,0,45
46,1,1,46
47,1,1,47
48,1,1,48
49,1,1,49
50,1,1,50
51,1,0,51
52,1,0,52
53,1,1,53
54,1,1,54
55,1,0,55
56,1,0,56
57,1,0,57
58,1,1,58
59,1,1,59
60,1,1,60
61,1,1,61
62,1,1,62
63,1,0,63
64,1,0,64
65,1,1,65
66,1,0,66
67,1,1,67
68,1,0,68
69,1,1,69
70,1,1,70
71,1,0,71
72,1,0,72
73,1,0,73
74,1,0,74
75,1,0,75
76,1,1,76
77,1,0,77
78,2,1,1
79,2,0,2
80,2,0,3
81,2,1,4
82,2,0,5
83,2,0,6
84,2,0,7
85,2,0,8
86,2,1,9
87,2,1,10
88,2,0,11
89,2,1,12
90,2,0,13
91,2,1,14
92,2,1,15
93,2,0,16
94,2,0,17
95,2,0,18
96,2,0,19
97,2,0,20
98,2,0,21
99,2,1,22
100,2,1,23
101,2,0,24
102,2,0,25
103,2,0,26
104,2,1,27
105,2,1,28
106,2,1,29
107,2,1,30
108,2,1,31
109,2,1,32
110,2,1,33
111,2,1,34
112,2,0,35
113,2,1,36
114,2,1,37
115,2,1,38
116,2,1,39
117,2,1,40
118,2,2,41
119,2,1,42
120,2,2,43
121,2,1,44
122,2,2,45
123,2,2,46
124,2,1,47
125,2,1,48
126,2,1,49
127,2,2,50
128,2,1,51
129,2,1,52
130,2,1,53
131,2,0,54
132,2,0,55
133,2,1,56
134,2,0,57
135,2,1,58
136,2,0,59
137,2,0,60
138,2,1,61
139,2,0,62
140,2,1,63
141,2,1,64
142,2,0,65
143,2,0,66
144,2,0,67
145,2,0,68
146,2,0,69
147,2,0,70
148,2,0,71
149,2,0,72
150,2,0,73
151,2,1,74
152,2,0,75
153,2,1,76
154,2,0,77
155,3,1,1
156,3,0,2
157,3,1,3
158,3,1,4
159,3,1,5
160,3,1,6
161,3,1,7
162,3,1,8
163,3,0,9
164,3,0,10
165,3,1,11
166,3,1,12
167,3,0,13
168,3,1,14
169,3,1,15
170,3,0,16
171,3,0,17
172,3,1,18
173,3,1,19
174,3,1,20
175,3,1,21
176,3,1,22
177,3,1,23
178,3,1,24
179,3,1,25
180,3,1,26
181,3,1,27
182,3,1,28
183,3,1,29
184,3,1,30
185,3,1,31
186,3,0,32
187,3,0,33
188,3,1,34
189,3,1,35
190,3,1,36
191,3,0,37
192,3,0,38
193,3,0,39
194,3,1,40
195,3,0,41
196,3,1,42
197,3,1,43
198,3,0,44
199,3,0,45
200,3,0,46
201,3,0,47
202,3,0,48
203,3,1,49
204,3,0,50
205,3,0,51
206,3,0,52
207,3,0,53
208,3,0,54
209,3,1,55
210,3,1,56
211,3,0,57
212,3,1,58
213,3,0,59
214,3,0,60
215,3,0,61
216,3,0,62
217,3,1,63
218,3,0,64
219,3,1,65
220,3,0,66
221,3,0,67
222,3,1,68
223,3,1,69
224,3,0,70
225,3,0,71
226,3,0,72
227,3,0,73
228,3,0,74
229,3,0,75
230,3,1,76
231,3,0,77
232,4,0,1
233,4,1,2
234,4,2,3
235,4,1,4
236,4,1,5
237,4,1,6
238,4,1,7
239,4,1,8
240,4,1,9
241,4,1,10
242,4,1,11
243,4,2,12
244,4,1,13
245,4,2,14
246,4,2,15
247,4,1,16
248,4,1,17
249,4,1,18
250,4,2,19
251,4,3,20
252,4,2,21
253,4,2,22
254,4,1,23
255,4,1,24
256,4,2,25
257,4,2,26
258,4,2,27
259,4,2,28
260,4,2,29
261,4,1,30
262,4,1,31
263,4,2,32
264,4,1,33
265,4,2,34
266,4,2,35
267,4,3,36
268,4,2,37
269,4,1,38
270,4,2,39
271,4,2,40
272,4,1,41
273,4,2,42
274,4,3,43
275,4,1,44
276,4,1,45
277,4,1,46
278,4,2,47
279,4,3,48
280,4,1,49
281,4,2,50
282,4,1,51
283,4,1,52
284,4,1,53
285,4,1,54
286,4,1,55
287,4,2,56
288,4,4,57
289,4,1,58
290,4,1,59
291,4,1,60
292,4,3,61
293,4,2,62
294,4,0,63
295,4,1,64
296,4,1,65
297,4,2,66
298,4,1,67
299,4,1,68
300,4,1,69
301,4,0,70
302,4,0,71
303,4,0,72
304,4,0,73
305,4,1,74
306,4,1,75
307,4,2,76
308,4,1,77
309,5,1,1
310,5,1,2
311,5,1,3
312,5,1,4
313,5,2,5
314,5,1,6
315,5,1,7
316,5,1,8
317,5,1,9
318,5,1,10
319,5,2,11
320,5,1,12
321,5,0,13
322,5,1,14
323,5,1,15
324,5,1,16
325,5,0,17
326,5,1,18
327,5,1,19
328,5,1,20
329,5,1,21
330,5,2,22
331,5,2,23
332,5,1,24
333,5,2,25
334,5,1,26
335,5,2,27
336,5,2,28
337,5,1,29
338,5,1,30
339,5,2,31
340,5,1,32
341,5,2,33
342,5,1,34
343,5,1,35
344,5,1,36
345,5,1,37
346,5,1,38
347,5,1,39
348,5,1,40
349,5,1,41
350,5,1,42
351,5,1,43
352,5,1,44
353,5,1,45
354,5,1,46
355,5,1,47
356,5,1,48
357,5,1,49
358,5,1,50
359,5,1,51
360,5,1,52
361,5,1,53
362,5,1,54
363,5,1,55
364,5,1,56
365,5,2,57
366,5,1,58
367,5,1,59
368,5,2,60
369,5,1,61
370,5,1,62
371,5,2,63
372,5,1,64
373,5,2,65
374,5,1,66
375,5,1,67
376,5,1,68
377,5,2,69
378,5,2,70
379,5,1,71
380,5,2,72
381,5,1,73
382,5,1,74
383,5,1,75
384,5,1,76
385,5,1,77
386,6,1,1
387,6,1,2
388,6,1,3
389,6,2,4
390,6,1,5
391,6,1,6
392,6,1,7
393,6,1,8
394,6,1,9
395,6,1,10
396,6,1,11
397,6,1,12
398,6,1,13
399,6,1,14
400,6,1,15
401,6,0,16
402,6,0,17
403,6,1,18
404,6,1,19
405,6,1,20
406,6,1,21
407,6,1,22
408,6,1,23
409,6,1,24
410,6,1,25
411,6,1,26
412,6,1,27
413,6,1,28
414,6,1,29
415,6,0,30
416,6,1,31
417,6,1,32
418,6,1,33
419,6,1,34
420,6,1,35
421,6,1,36
422,6,1,37
423,6,1,38
424,6,1,39
425,6,1,40
426,6,1,41
427,6,1,42
428,6,1,43
429,6,1,44
430,6,1,45
431,6,1,46
432,6,1,47
433,6,1,48
434,6,1,49
435,6,1,50
436,6,1,51
437,6,1,52
438,6,1,53
439,6,1,54
440,6,1,55
441,6,1,56
442,6,1,57
443,6,1,58
444,6,1,59
445,6,1,60
446,6,1,61
447,6,1,62
448,6,1,63
449,6,1,64
450,6,1,65
451,6,1,66
452,6,1,67
453,6,1,68
454,6,1,69
455,6,1,70
456,6,1,71
457,6,1,72
458,6,1,73
459,6,1,74
460,6,0,75
461,6,1,76
462,6,0,77
463,7,1,1
464,7,1,2
465,7,1,3
466,7,1,4
467,7,1,5
468,7,1,6
469,7,1,7
470,7,1,8
471,7,1,9
472,7,1,10
473,7,1,11
474,7,1,12
475,7,0,13
476,7,1,14
477,7,1,15
478,7,1,16
479,7,0,17
480,7,1,18
481,7,1,19
482,7,0,20
483,7,1,21
484,7,1,22
485,7,1,23
486,7,0,24
487,7,1,25
488,7,0,26
489,7,1,27
490,7,1,28
491,7,1,29
492,7,1,30
493,7,1,31
494,7,1,32
495,7,0,33
496,7,1,34
497,7,1,35
498,7,0,36
499,7,0,37
500,7,0,38
501,7,1,39
502,7,0,40
503,7,0,41
504,7,1,42
505,7,1,43
506,7,1,44
507,7,1,45
508,7,1,46
509,7,1,47
510,7,1,48
511,7,2,49
512,7,1,50
513,7,1,51
514,7,0,52
515,7,1,53
516,7,1,54
517,7,0,55
518,7,1,56
519,7,2,57
520,7,1,58
521,7,1,59
522,7,1,60
523,7,1,61
524,7,0,62
525,7,0,63
526,7,0,64
527,7,1,65
528,7,1,66
529,7,1,67
530,7,1,68
531,7,1,69
532,7,1,70
533,7,1,71
534,7,0,72
535,7,1,73
536,7,0,74
537,7,0,75
538,7,2,76
539,7,1,77
540,8,1,1
541,8,0,2
542,8,1,3
543,8,1,4
544,8,1,5
545,8,1,6
546,8,0,7
547,8,1,8
548,8,0,9
549,8,1,10
550,8,1,11
551,8,1,12
552,8,1,13
553,8,1,14
554,8,1,15
555,8,0,16
556,8,1,17
557,8,0,18
558,8,0,19
559,8,0,20
560,8,0,21
561,8,1,22
562,8,0,23
563,8,1,24
564,8,1,25
565,8,1,26
566,8,1,27
567,8,0,28
568,8,0,29
569,8,1,30
570,8,1,31
571,8,1,32
572,8,0,33
573,8,0,34
574,8,1,35
575,8,1,36
576,8,1,37
577,8,1,38
578,8,1,39
579,8,1,40
580,8,1,41
581,8,1,42
582,8,1,43
583,8,0,44
584,8,0,45
585,8,1,46
586,8,1,47
587,8,1,48
588,8,0,49
589,8,1,50
590,8,1,51
591,8,1,52
592,8,0,53
593,8,0,54
594,8,1,55
595,8,1,56
596,8,0,57
597,8,1,58
598,8,1,59
599,8,0,60
600,8,1,61
601,8,1,62
602,8,0,63
603,8,0,64
604,8,0,65
605,8,1,66
606,8,0,67
607,8,1,68
608,8,1,69
609,8,1,70
610,8,1,71
611,8,0,72
612,8,0,73
613,8,0,74
614,8,1,75
615,8,1,76
616,8,0,77
617,9,0,1
618,9,1,2
619,9,1,3
620,9,0,4
621,9,1,5
622,9,1,6
623,9,1,7
624,9,0,8
625,9,0,9
626,9,1,10
627,9,0,11
628,9,0,12
629,9,0,13
630,9,0,14
631,9,0,15
632,9,0,16
633,9,0,17
634,9,1,18
635,9,1,19
636,9,1,20
637,9,0,21
638,9,0,22
639,9,1,23
640,9,1,24
641,9,1,25
642,9,0,26
643,9,1,27
644,9,0,28
645,9,1,29
646,9,1,30
647,9,1,31
648,9,0,32
649,9,1,33
650,9,1,34
651,9,0,35
652,9,0,36
653,9,1,37
654,9,1,38
655,9,1,39
656,9,1,40
657,9,1,41
658,9,0,42
659,9,0,43
660,9,1,44
661,9,1,45
662,9,0,46
663,9,0,47
664,9,0,48
665,9,0,49
666,9,0,50
667,9,0,51
668,9,1,52
669,9,1,53
670,9,1,54
671,9,1,55
672,9,1,56
673,9,0,57
674,9,1,58
675,9,0,59
676,9,0,60
677,9,1,61
678,9,0,62
679,9,1,63
680,9,1,64
681,9,1,65
682,9,0,66
683,9,0,67
684,9,1,68
685,9,1,69
686,9,1,70
687,9,1,71
688,9,0,72
689,9,0,73
690,9,0,74
691,9,0,75
692,9,0,76
693,9,0,77
694,10,0,1
695,10,0,2
696,10,1,3
697,10,1,4
698,10,1,5
699,10,0,6
700,10,0,7
701,10,0,8
702,10,0,9
703,10,0,10
704,10,1,11
705,10,0,12
706,10,0,13
707,10,1,14
708,10,0,15
709,10,0,16
710,10,0,17
711,10,0,18
712,10,0,19
713,10,0,20
714,10,1,21
715,10,1,22
716,10,1,23
717,10,0,24
718,10,0,25
719,10,0,26
720,10,0,27
721,10,1,28
722,10,0,29
723,10,0,30
724,10,0,31
725,10,0,32
726,10,0,33
727,10,0,34
728,10,0,35
729,10,0,36
730,10,0,37
731,10,0,38
732,10,0,39
733,10,0,40
734,10,0,41
735,10,0,42
736,10,0,43
737,10,0,44
738,10,0,45
739,10,0,46
740,10,0,47
741,10,0,48
742,10,0,49
743,10,1,50
744,10,0,51
745,10,0,52
746,10,1,53
747,10,0,54
748,10,0,55
749,10,1,56
750,10,0,57
751,10,1,58
752,10,0,59
753,10,1,60
754,10,0,61
755,10,0,62
756,10,0,63
757,10,0,64
758,10,0,65
759,10,0,66
760,10,1,67
761,10,1,68
762,10,0,69
763,10,0,70
764,10,0,71
765,10,0,72
766,10,0,73
767,10,0,74
768,10,0,75
769,10,0,76
770,10,0,77
771,14,0,1
772,14,0,2
773,14,0,3
774,14,0,4
775,14,0,5
776,14,0,6
777,14,0,7
778,14,0,8
779,14,0,9
780,14,0,10
781,14,0,11
782,14,0,12
783,14,0,13
784,14,0,14
785,14,0,15
786,14,0,16
787,14,0,17
788,14,0,18
789,14,0,19
790,14,0,20
791,14,0,21
792,14,0,22
793,14,0,23
794,14,0,24
795,14,0,25
796,14,0,26
797,14,0,27
798,14,0,28
799,14,0,29
800,14,0,30
801,14,0,31
802,14,0,32
803,14,0,33
804,14,0,34
805,14,0,35
806,14,0,36
807,14,0,37
808,14,0,38
809,14,0,39
810,14,0,40
811,14,0,41
812,14,0,42
813,14,0,43
814,14,0,44
815,14,0,45
816,14,0,46
817,14,0,47
818,14,0,48
819,14,0,49
820,14,0,50
821,14,0,51
822,14,0,52
823,14,0,53
824,14,0,54
825,14,0,55
826,14,0,56
827,14,0,57
828,14,0,58
829,14,0,59
830,14,0,60
831,14,0,61
832,14,0,62
833,14,0,63
834,14,0,64
835,14,0,65
836,14,0,66
837,14,0,67
838,14,0,68
839,14,0,69
840,14,0,70
841,14,0,71
842,14,0,72
843,14,0,73
844,14,0,74
845,14,0,75
846,14,0,76
847,14,0,77
848,15,0,1
