id_calon,riwayat_organisasi,
1101-00-0000-0101,"2013-SEKARANG, PARTAI NASDEM, KETUA DEWAN PAKAR DPP PARTAI NASDEM, JAKARTA",
1101-00-0000-0101,"2010-SEKARANG, ORMAS NASIONAL DEMOKRAT, ANGGOTA DEWAN PERTIMBANGAN, JAKARTA",
1101-00-0000-0101,"2007-SEKARANG, PENGURUS FORUM DUTA BESAR RI, JAKARTA",
1101-00-0000-0101,"2009-2013, FISIP UI, KETUA DEWAN GURU BESAR JAKARTA",
1101-00-0000-0101,"2010-2013, KOMITE PROFESOR UNTUK PERPUSTAKAAN UI, KETUA, JAKARTA",
1101-00-0000-0101,"2011-2014, PERHIMPUNAN ALUMNI JERMAN, WAKIL KETUA DEWAN KEHORMATAN",
1101-00-0000-0504,"2003-2009, DEWAN PENASEHAT AMPG, SEKRETARIS DEWAN, BANDA ACEH",
1101-00-0000-0504,"2007-2011, KETUA MAJELIS PERTIMBANGAN ORGANISASI (MPO) PEMUDA PANCASILA, ACEH TENGGARA",
1101-00-0000-0504,"2012-2015, KETUA PALANG MERAH INDONESIA KAB. ACEH TENGGARA",
1101-00-0000-0504,"2012-2013, DEWAN PENASEHAT BADAN NARKOTIKA KAB. ACEH TENGGARA",
1101-00-0000-0606,"1995, KETUA SANTRI DAYAH JUEMALA AMAL",
1101-00-0000-0606,"2011-2016, WAKIL KETUA KADINDA PIDIE",
1101-00-0000-0606,"1999-2004, PANGLIMA KOMANDO OPERASI GAM WILAYAH PIDIE",
1101-00-0000-0606,"2009-SEKARANG, HIMPUNAN PENGUSAHA MIGAS ACEH",
1101-00-0000-0606,"2010-2012, BENDAHARA OKP MAHASISWA PANCASILA KAB PIDIE",
1101-00-0000-0606,"2010-2016, KETUA KNPI KABUPATEN PIDIE",
1101-00-0000-0606,"2005-SEKARANG, WAKIL KETUA DPW PIDIE PARTAI ACEH",
1101-00-0000-0301,HIMPUNAN MAHASISWA ISLAM,
1101-00-0000-0301,IKATAN CENDIKIAWAN MUSLIM INDONESIA,
1101-00-0000-0301,ORGANISASI POLITIK PARTAI KEADILAN SEJAHTERA,
1101-00-0000-0701,"2010-SEKARANG, KETUA DEPARTEMEN ENERGI DAN SUMBER DAYA ALAM DPP PARTAI DEMOKRAT",
1101-00-0000-0701,"2003-SEKARANG, KETUA UMUM ORMAS IMDI (INSAN MUDA DEMOKRAT INDONESIA)",
1101-00-0000-0701,"2007-SEKARANG, DEWAN PEMBINA KELUARGA OLAHRAGA TARUNG DERAJAT PROVINSI ACEH",
1101-00-0000-0701,"2005-2010, KETUA BIDANG HUBUNGAN LUAR NEGERI ICMI KORWIL DKI JAKARTA",
1101-00-0000-0701,"2004-2009, KETUA UMUM SAVE ACEH FOUNDATION",
1101-00-0000-0701,"2005-2010, ANGGOTA INTERNATIONAL STUDENT ASSOCIATION, NORWICH UNIVERSITY, US",
1101-00-0000-0701,"1995-1998, KOORDINATOR KAMPANYE GERAKAN DISIPLIN NASIONAL KANTOR MENKO POLHUKAM",
1101-00-0000-0701,"2011-SEKARANG, WAKIL KETUA KOMITE TETAP HULU MIGAS",
1101-00-0000-0701,"2004-2009, KETUA BIDANG PENGEMBANGAN USAHA PERSATUAN HOTEL & RESTORAN RI",
1101-00-0000-0701,"2000-2001, PENDIRI DAN WAKIL KETUA KOPERASI TEKNOLOGI INFORMASI INDONESIA",
1101-00-0000-0701,"1997-1999, ANGGOTA ASOSIASI PERUSAHAAN JASA INTERNET INDONESIA",
1101-00-0000-0802,"2012-2017, KETUA GARDA MUDA NASIONAL ACEH",
1101-00-0000-0802,"2012-2017, KETUA PRSI ACEH",
1101-00-0000-0802,"2010-2015, WAKIL KETUA DPW PAN ACEH",
1101-00-0000-0802,"2009-2012, WAKIL KETUA DPP KNPI ACEH",
1101-00-0000-0802,"2007-2012, KETUA PERBASASI ACEH",
1101-00-0000-0802,"1995-2000, KETUA GKJI ACEH TENGGARA",
1102-00-0000-0101,"2013-2013, PARTAI NASDEM, KETUA DPP BIDANG ORGANISASI & INDUSTRI TENAGAKERJA, JAKARTA",
1102-00-0000-0502,"1985-1990, ANGGOTA PAKAR DPD GOLKAR",
1102-00-0000-0502,"1993-1996, KETUA UMUM BPD HIPMI ACEH",
1102-00-0000-0502,"2008-2013, KETUA UMUM KADIN ACEH",
1102-00-0000-0502,"2003-2008, KETUA UMUM KADIN ACEH",
1102-00-0000-0502,"2013-2017, KETUA UMUM DPP ASPEKINDO ACEH",
1102-00-0000-0502,"2009-2013, KETUA UMUM DPP ASPEKINDO ACEH",
1102-00-0000-0901,2011-SEKARANG. BENDAHARA DPW PPP PROV ACEH,
1102-00-0000-0901,"2007, KETUA PMI CABANG BIREUEN",
1102-00-0000-0901,2006-2010. KETUA DPC PPP BIREUEN,
1102-00-0000-0901,BENDAHARA PAC PPP KEC. PEUSANGAN,
1102-00-0000-0901,WAKIL KETUA PAC PP KEC PEUSANGAN,
1102-00-0000-0901,KETUA GMPI,
1102-00-0000-0605,"1997, KETUA OSATO (ASSOCIATION OF ASIAN PACIFIC AGRICULTURE MANAGEMENT TRAINING GRADUATE)",
1102-00-0000-0605,"2001, KETUA PERMASA KOTA BATAM",
1102-00-0000-0605,"2005, KEPALA PERWAKILAN KANTOR KOORDINASI OISCA INTERNASIONAL JEPANG DI BANDA ACEH",
1102-00-0000-0701,"2012-2017, WAKIL SEKJEN PETINA PUSAT",
1102-00-0000-0701,"2010-2015, WAKIL KETUA PENGURUS PUSAT LEMBAGA PENGUSAHA PEMUDA PANCASILA",
1102-00-0000-0701,"2012-2015, KOMDIS PSSI",
1102-00-0000-0701,"2009-2014, SEKRETARIS FORBES ANGGOTA DPR/DPD RI ASAL ACEH",
1102-00-0000-0701,"2011-2016, KETUA KOMITE KEBIJAKAN PUBLIK WILAYAH BARAT KADIN",
1102-00-0000-0701,2008-SEKARANG. PENGURUS MAJLIS DZIKIR SBY PROV. NAD,
1102-00-0000-0701,"2008-2011, KETUA DPP KNPI",
1102-00-0000-0701,"2008-2011, WAKIL SEKJEN PEMUDA LIRA",
1102-00-0000-0701,"2009-2012, PENGURUS BPP HIPMI",
1102-00-0000-0701,"2005-2010, KETUA DEPT. SENI BUDAYA DAN PARIWISATA PARTAI DEMOKRAT",
1102-00-0000-0701,"2003-2008, KETUA SATGAS ANTI NARKOBA JAKARTA PUSAT",
1102-00-0000-0701,"2002-2008, KETUA SEKJEN SATMA PEMUDA PANCASILA",
1102-00-0000-0701,"2006, SINGAPORE ASEAN YOUTH COMMUNITY PROJECT",
1102-00-0000-0701,"1998-2002, WAKIL SEKRETARIS FORUM KOMUNIKASI INDONESIA SATU",
1102-00-0000-0701,"1994-1997, KETUA KARANG TARUNA KELURAHAN KEBON KOSONG",
1102-00-0000-0406,1993-1998 KETUA DPD II GOLKAR ACEH TENGAH,
1102-00-0000-0407,1998-2003 KETUA DPD II GOLKAR ACEH TEGAH,
1102-00-0000-0408,2003-2013 KETUA DPD II KABUTAPEN BENER MERIAH,
1201-00-0000-0101,"2004-2006, SENAT INTERNATIONAL SCHOOL OF SINGAPORE, KETUA, SINGAPURA",
1201-00-0000-0101,"2005-2006, MODEL UNITED NATIONS (MUN), ANGGOTA DELEGASI",
1201-00-0000-0101,"2011-2013, LIGA MAHASISWA NASDEM, WAKIL KETUA UMUM, DKI JAKARTA",
1201-00-0000-0502,"2001-2013, BENDAHARA UMUM MASYRAKAT MELAYU BARU INDONESIA",
1201-00-0000-0502,"2007-2013, LEADERS FORUM ASIA 21 YOUNG",
1201-00-0000-0502,"2001-2013, ANGGOTA PERHIMPUNAN ALUMNI AUSTRALIA INDONESIA",
1201-00-0000-0502,"2001-2013, ANGGOTA PERHIMPUNAN INDONESIA JEPANG",
1201-00-0000-0901,"Anggota Ikatan PelajarMuhammadiyah (IPM) Pesantren K.H. Ahmad Dahlan Muhammadiyah di Sipirok, Tapanuli Selatan, Sumatera Utara Tahun 1969",
1201-00-0000-0901,Anggota Himpunan Mahasiswa Islam (HMI) Tahun 1972diMedan,
1201-00-0000-0901,Bcndahara meranngkap Pejabat Ketua IV HMI Cabang Medan tahun 1976 di Medan,
1201-00-0000-0901,"Wakil Sekretaris Muslimin Indonesia Cabang Medan, tahun 1985",
1201-00-0000-0901,Anggota Pengurus DPC PPP Kotamdya Medan Tahun 1980,
1201-00-0000-0901,"Ketua Ikatan Alumni Pesantren KH. Ahmad Dahlan Cabang Medan, tahun 1985",
1201-00-0000-0901,Anggota Pengurus Komda PErsatuan Sepakbola Seluruh Indonesia (PSS1) Sumatera Utara Bidang Perserikatan dan Galatama tahun 1988 s.d. 1992 dan tahun 1992 s.d. 1996,
1201-00-0000-0901,Kelua Bidang Umum Komda Persatuan Sepakbola Seluruh Indonesia (PSSI) tahun 1996 s.d. 2000,
1201-00-0000-0901,Anggota Pengurus Ikatan Alumni lndonesia-Amerika Serikat Sumatera Utara tahun 1989,
1201-00-0000-0901,Sekretaris BAKOM PKB Kodya Medan tahun 1992 s.d. 1997,
1201-00-0000-0901,Sekretaris DPW Partai Persatuan Pembangunan Sumatera Utara tahun 1985 s.d. 1990,
1201-00-0000-0901,Wakil Ketua DPW Partai Persatuan Pembangunan Sumatera Utara tahun 1990 s.d. 1995,
1201-00-0000-0901,Ketua DPW PPP Sumatera Utara Periode 1995 s.d. 2000,
1201-00-0000-0901,Ketua DPW PPP Sumatera Utara Periode 1999 s.d. 2004,
1201-00-0000-0901,Penasehat PSSI Sumatera Utara Tahun 2002 s.d. 2005,
1201-00-0000-0901,Ketua KONI Sumatera Utara Tahun 2003 s.d. 2008,
1201-00-0000-0901,Ketua KONI Sumatera Utara Tahun 2008 s.d. 2013,
1201-00-0000-0901,Ketua DPW Parmusi Sumatera Utara Tahun 2003 s.d. 2004,
1201-00-0000-0901,Ketua DPP Partai Persatuan Pembangunan Masa Bakti 2003 s.d. 2007,
1201-00-0000-0901,Wakil Ketua Bidang Kesra Fraksi Partai Persatuan Pembangunan DPR RI tahun 2007 s.d. 2009,
1201-00-0000-0901,Pengurus Forum Parlemen Indonesia untuk Kependudukan dan Pembangunan (IFPPD) Tahun 2009 s.d. 2014,
1201-00-0000-0901,"Pembina Yayasan Pendidikan Islam ""Khairul Imam'' Medan, Tahun 2006 s.d. Sekarang",
1201-00-0000-0901,Ketua DPP Partai Persatuan Pembangunan Masa Bakti 2007 s.d. 2011,
1201-00-0000-0901,Wakil Ketua Umum DPP Partai Persatuan Pembangunan Masa Bakti 2011 s.d. 2015,
1201-00-0000-0901,Pembina Club Sepakbola Bintang Johor Medan tahun 2013 s.d. sekarang,
1201-00-0000-0901,Manager PSSI Timnas U-21 tahun 2012 s.d. sekarang.,
1201-00-0000-0601,"Ketua Pengajian Remaja Mesjia Al-Ikhlas (PERMAI) Medam, 1980-1985",
1201-00-0000-0601,Ketua Bidang Dakwah HMI Komisariat Fak. Hukum USU Sematera Utara 1983-1984,
1201-00-0000-0601,"Biro Pemberdayaan Umat KAHMI SUMUT, 2002-2007",
1201-00-0000-0601,"Ketua Umum Dewan Presidium Pusat Paguyuban Jawa Rembug (PAJAR), SUMUT 2005-Sekarang",
1201-00-0000-0601,"Komisi Perundang-undangan MUI Sumatera Utara, 2006-2011",
1201-00-0000-0601,"Dewan Penasehat Wadoryu Karate-Do Indonesia (WADOKAI) Medan, 2007-2012",
1201-00-0000-0601,"Dewan Penasehat DPP Pujakesuma, SUMUT, 2006-2016",
1201-00-0000-0601,"Ketua Harian Ikatan Alumni Fakultas Hukum USU, 2007-2011",
1201-00-0000-0601,Ketua Umun Pimpinan Majelis Wilayah KAHMI SUMUT 2007-2011,
1201-00-0000-0601,"Pimpinan Majelis Wilayah KAHMI SUMUT, 2011-2016",
1201-00-0000-1001,2010 - SEKARANG: KETUA DPP PARTAI HANURA,
1201-00-0000-1001,2010 - SEKARANG: WAKIL KETUA KAMAR DAGANG DAN INDUSTRI INDONESIA (KADIN PUSAT,
1201-00-0000-1001,2010 - SEKARANG: ANGGOTA DEWAN PAKAR PERSATUAN INSINYUR INDONESIA (PII),
1201-00-0000-1001,2006 - SEKARANG: BENDAHARA PERSATUAN AHLI TEHNIK INDONESIA (PATI),
1201-00-0000-1001,2012 - 2017: KETUA UMUM IKATAN ALUMNI - FAKULTAS TEKNIK USU,
1201-00-0000-1001,2012 - 2017: KETUA UMUM PENGURUS BESAR KARATE -DO TAKO INDONESIA,
1201-00-0000-1001,2004 - SEKARANG: KETUA UMUM SAPALATUA TAMPUK NABOLON SEDUNIA,
1201-00-0000-0301,AKTIVIS PII,
1201-00-0000-0301,AKTIVIS KOPRS MUBALIGH KHAIRU UMMAH,
1201-00-0000-0301,AKTIVIS YAYASAN PENDIDIKAN NURUL FIKRI,
1201-00-0000-0301,PENDIRI PARTAI KEADILAN,
1201-00-0000-0301,HUMAS PARTAI KEADILAN,
1201-00-0000-0701,Ketua Alumni Pertukaran Luar Negeri (Periode 1985 s/d 1987) Alamat: Depdikbud DKI Jakarta,
1201-00-0000-0701,Ketua DPP KNPI (Periode 1990 s/d 1996) Alamat: JI. Rasuna Said Jaksel,
1201-00-0000-0701,Ketua PP FKPPI (Periode 1997 s/d 1999) Alamat: JI. Kebon Sirit Jakpus,
1201-00-0000-0701,Ketua PP Pemuda Pancasila (Periode 1993 s/d 2002) Alamat: JI. Irian No.5 Jakpus,
1201-00-0000-0701,Ketum KTPI (Komisi Tinju Profesional Indonesia) (Periode 2007 s/d sekarang) Alamat: JI. Industri No.11 Jakpus,
1201-00-0000-0701,Ketua PP Wushu (Periode 2003 s/d 2007) Alamat: JI. Gelora Bung Karno Senayan,
1201-00-0000-0701,"DPD Golkar Tingkat II Jakarta Selatan (Periode 1982 s/d 1987) Alamat: Dekat pasar Taman Puring Mayestik, Kebayoran Baru",
1201-00-0000-0701,"DPD Golkar Tingkat I DKI Jakarta Raya (Periode 1987 s/d 1997) Alamat: JI. Pegangsaan Barat Cikini, Jakpus",
1201-00-0000-0701,DPD Golkar Lembaga Cendekiawan (Periode 1997 s/d 2002) Alamat: JI. Anggre Murni Slipi,
1201-00-0000-0701,DPD Ikadin Komisaris (Periode 1983 s/d 1988) Alamat: JI. Lombok No.2 Jakpus,
1201-00-0000-0701,Ketua Departemen Pendidikan Dan Pembinaan Politik dPP Partai Demokrat (Periode 2005 s/d 2010) Alamat: JI. Pemuda Rawamangun,
1201-00-0000-0701,Ketua Departemen Kominfo DPP Partai Demokrat (Periode 2010 s/d 2015) Alamat: DPP PD Gd. Graha Kramat 7 JI. Kramat Raya No.146 Jakpus,
1201-00-0000-0401,"1996-SEKARANG, ANGGOTA PDI PERJUANGAN",
1201-00-0000-0402,KETUA YAYASAN BIDANG PERGURUAN TINGGI SULTAN ISKANDAR MUDA BIDANG PENDIDIKAN,
1201-00-0000-0402,KETUA ORGANISASI EKOSISTEM LESTARI BIDANG PELESTARIAN LINGKUNGAN HIDUP DAN BENCANA ALAM,
1201-00-0000-0402,"2001-2007, PENASEHAT PAGUYUBAN SOSIAL MARGA TIONGHOA INDONESIA SUMATERA UTARA",
1201-00-0000-0402,"2006-2009, SEKRETARIS UMUM IKATAN ALUMNI SMA SUTOMO",
1201-00-0000-0402,"2002-SEKARANG, KETUA DEWAN PENASEHAT YAYASAN HANGKAWG SUNGOST",
1201-00-0000-0402,KETUA PEMBINA YAYASAN PAT TI HU COU,
1201-00-0000-0402,KETUA DEWAN KEHORMATAN MAJELIS AGAMA KONG HU CU INDONESIA SUMATERA UTARA,
1201-00-0000-0402,"1998-2000, KETUA FORDSA UKM SUMUT",
1201-00-0000-0402,"2000-2004, KETUA PRESIDIUM FORNAS UKM (2 PERIODE)",
1201-00-0000-0402,"2002-2007, ANGGOTA KPEN",
1201-00-0000-0402,"2007-2010, PENGURUS IKATAN DOKTER INDONESIA",
1201-00-0000-0402,"2006-2011, ANGGOTA DEWAN PENDIDIKAN PROV. SUMUT",
1201-00-0000-0402,"2008-2011, PENASEHAT IKATAN ANAK GURU INDONESIA",
1201-00-0000-0402,"2004-2008, KETUA PENGCAB PERBASI MEDAN",
1201-00-0000-0402,"2007-2011, KETUA DEWAN PENASEHAT PERBASI SUMUT",
1201-00-0000-0402,"2001-2008, KETUA CLUB BOLA BASKET GELORA SUNGGAL",
1201-00-0000-0402,"2010-2015, WAKIL KETUA DPD PDI PERJUANGAN PROV. SUMUT",
1201-00-0000-0801,"Ikatan Advokat Indonesia (IKADIN),Anggota, 2003 - Sekarang",
1201-00-0000-0801,"Pengurus Pimpinan Pusat Perguruan Tapak Suci Putera Muhammadiyah,Anggota, 2004-",
1201-00-0000-0801,"DPP Partai Amanat Nasional, Wakil Ketua, 2010-2015",
1201-00-0000-0801,"DPP Partai Amanat Nasional, Ketua Departemen, 2000-2005",
1201-00-0000-0801,"Asosiasi Advokat Indonesia (AAI),Anggota, 1992-2003",
1201-00-0000-0801,"DPP Partai Amanat Nasional,Anggota, 1998- 2000",
1202-00-0000-0102,Ketua III Panitia Pemekaran Kabupaten Humbang Hasundutan,
1202-00-0000-0102,Ketua Panitia Pembangunan Gereja HKBP Pamulang Kotamadya Tangerang Selatan,
1202-00-0000-0102,2000 - 2010: Sekretaris Paguyupan Silaban Sej abotabek,
1202-00-0000-0102,2001 - 2006: Ketua Bidang Humas GAPENSI Jaksel,
1202-00-0000-0102,2006 - 2011: Wakil Ketua GAPEKSINDO Jakse,
1202-00-0000-0102,2011 - skrg: Ketua Dewan Pertimbangan GAPEKSINDO Jaksel,
1202-00-0000-0102,2010 - 2015: Wkl. Ketua Paguyuban Silaban Sejabotabek,
1202-00-0000-0102,2010 - 2015: Ketua Umum Paguyuban Silaban Indonesia - Dunia,
1202-00-0000-0501,"1988-2004, DPP PARTAI GOLKAR, KETUA, JAKARTA",
1202-00-0000-0501,"2009-2015, DPP PARTAI GOLKAR BID.KERJASAMA DENGAN ORMAS, KETUA, JAKARTA",
1202-00-0000-0201,"Ketaa Cabang PMII Kota Medan, 1988-1989",
1202-00-0000-0201,"Sekretaris PW GP Ansor Sumut, 1990-1995",
1202-00-0000-0201,"Wakil Ketua KNPI Sumut, 1992-1994",
1202-00-0000-0201,"Sekretaris PW PW NU Sumut, 1995-1999",
1202-00-0000-0201,"Sekretaris DPW PKB Sumut, 1999-2004",
1202-00-0000-0601,"Ketua Umum Persatuan Atletik Seluruh Indonesia (PASI) Kota Tebing Tinggi, periode 1996-2000.",
1202-00-0000-0601,"Ketua Umum Persatuan Atletik Seluruh Indonesia (PASI) Propinsi Sumatera Utara, periode 2002-2007.",
1202-00-0000-0601,"Ketua Umum Persatuan Atletik Seluruh Indonesia (IAI) Sumatera Utara, periode 2004-2009, 2011-2016",
1202-00-0000-0601,"Ketua Umum Badan Pengurus Cabang Perhimpunan Hubungan Masyarakat (PERHUMAS) Medan, periode 2007-2009.",
1202-00-0000-0601,"Wakil Ketua Asosisasi Bank Daerah (ASBANDA) Bidang Pengembangan Bisnis, periode 2004-2008.",
1202-00-0000-0601,"Wakil Ketua Asosisasi Bank Daerah (ASBANDA) Bidang Informasi Tenknologi, periode 2008-2012.",
1202-00-0000-0601,"Wakil Sekretaris Komisi Pengawas Pengurus BAZDA Propinsi Sumatera Utara, periode 2007-2009.",
1202-00-0000-0601,"Ketua Umum Masyarakat Ekonomi Syariah (MES) Sumatera Utara, periode 2007-2009, 2011-2013",
1202-00-0000-0601,"Ketua Umum Komite Olahraga Nasional (KONI) Propinsi Sumatera Utara, periode 2007-2011, 2011-2014",
1202-00-0000-0601,"Anggota Dewan Pimpinan Pusat Ikatan Bankir Indonesia (IBI) Bidang Komunikasi, periode 2007-2011.",
1202-00-0000-0601,"Penasehat Dewan Pimpinan Daerah Ikatan Bankir Indonesia (IBI) Komisariat Medan, periode 2008-2012.",
