id_calon,riwayat_pendidikan
1101-00-0000-0101,"1957-1963, SD, SEKOLAH RAKYAT NEGERI, ACEH"
1101-00-0000-0101,"1963-1966, SLTP, SMP NEGERI 1, BANDA ACEH"
1101-00-0000-0101,1963-1966 SLTP I NEGERI 1 BANDA ACEH
1101-00-0000-0101,"1966-1967, SMA NEGERI I BANDA ACEH"
1101-00-0000-0101,"1967-1968, SLTA, SMA YPU, BANDUNG"
1101-00-0000-0101,"1969-1971, FAKULTAS PUBLISTIK UNIVERSITAS PADJAJARAN, BANDUNG"
1101-00-0000-0101,"1972-1984 STUDI ILMU KOMUNIKASI, ILMU POLITIK DAN SOSIOLOGI, WESTFAELISCHE - WILHELMS-UNIVERSITAET, MUENSTER, REP. FEDERAL JERMAN"
1101-00-0000-0101,"1983 S3, DR. PHIL. UNIVERSITAET, MUENSTER, REP. FEDERAL JERMAN"
1101-00-0000-0504,"1985-1987, SLTA, SMA NEGERL 5, BANDA ACEH"
1101-00-0000-0504,"1987-1992, S1, UPMI, MEDAN"
1101-00-0000-0504,"2001-2003, S2, SEKOLAH TINGGI ILMU EKONOMI GANESHA"
1101-00-0000-0201,"1980, SD, SD NEGERI REMA BARU"
1101-00-0000-0201,"1983, SMP, SMP NEGERI 1 BLANG KEUJEREN"
1101-00-0000-0201,"1986, SMA, SMA NEGERI 1 BLANG KEUJEREN"
1101-00-0000-0201,"2000, S1, SI UNIVERSITAS MEDAN AREA"
1101-00-0000-0201,"2003, S2, S2 UNIVERSITAS GANESA"
1101-00-0000-0606,"1987-1993, SEKOLAH DASAR (SD) ARON, KEC. GLUMPANG TIGA. PIDIE"
1101-00-0000-0606,"1993-1996, MTS ISLAMIC BOARDLL'LG SCHOOL, JELLMALA AMAL. PIDLE JAYA"
1101-00-0000-0606,"2008, MADRASAH ALIYAH DARUSSALAH GLUMPANG 3 PIDIE"
1101-00-0000-0301,"1982, SDN 45 MEDAN"
1101-00-0000-0301,"1985, SMPN 01 LANGSA ACEH TIMUR"
1101-00-0000-0301,"1988, SMAN 01 LANGSA ACEH"
1101-00-0000-0301,"1996, IAIN AR RANIRY ACEH"
1101-00-0000-0301,"2009-SEKARANG, KANDIDAT MASTER, S2, ILMU POLITIK, UNIVERSITAS NASIONAL"
1101-00-0000-0701,"1978-1984, SD AL-AZHAR PUSAT"
1101-00-0000-0701,"1984-1987, SMP MUHAMMADIYAH IX"
1101-00-0000-0701,"1987-1990, SMA NEGERI 6 JAKARTA"
1101-00-0000-0701,"1994, S1, NORWICH UNIVERSITY, USA MASS COMMUNICATION"
1101-00-0000-0701,"2013, S2, FAKULTAS TEKNIK UNIVERSITAS INDONESIA"
1101-00-0000-0802,"1980, SDN 4 KUTA CANE"
1101-00-0000-0802,"1983, SLTP NEGERI 1 KUTA CANE"
1101-00-0000-0802,"1986, SLTA NEGERI 1 KUTA CANE"
1101-00-0000-0802,"1988, S1 UNIVERSITAS SAMUDERA LANGSA"
1101-00-0000-0802,"2001, S2 GANESHA JAKARTA"
1101-00-0000-0802,"2012, LEMHANAS RI ANGKATAN XXIX"
1102-00-0000-0101,"1964-1969, SD, SD MUHAMMADIYAH, ACEH"
1102-00-0000-0101,"1969-1971, SLTP, SMP ACEH, ACEH"
1102-00-0000-0101,"1973-1976, SLTA, SMA ACEH, ACEH"
1102-00-0000-0502,"1966-1972, SD NEGERI WIH PASEM"
1102-00-0000-0502,"1972-1975, SMP NEGERI 2 TAKENGON"
1102-00-0000-0502,"1975-1979, SMA NEGERI 5 TAKENGON"
1102-00-0000-0502,"1985-1989, S1 FAKULTAS EKONOMI UNSYIAH"
1102-00-0000-0901,"1965, MIN TANOH MIRAH"
1102-00-0000-0901,"1974, PGA NEGERI 4"
1102-00-0000-0901,"1976, PGA NEGERI 6"
1102-00-0000-0901,"2001, S1 STAI ALMUSLIM MATANGGLUMPANG DUA"
1102-00-0000-0605,SD NEGERI MATANG PANYANG
1102-00-0000-0605,SMP NEGERI BAKTIYA
1102-00-0000-0605,SMTI BANDA ACEH
1102-00-0000-0605,UNIVERSITAS MALIKUSSALEH
1102-00-0000-0701,SMA NEGERI 29 JAKARTA
1102-00-0000-0701,S1 HUKUM ISLAM AL-AQIDAH JAKARTA
1102-00-0000-0701,"S2 MANAJEMEN SDM, UNKRIS JAKARTA"
1102-00-0000-0406,SARJANA PERKEBUNAN JURUSAN BERCOCOK TANAM 1983
1102-00-0000-0406,SARJANA MUDA LENGKAP FAKULTAS PERTANIAN USU JURUSAN PRODUKSI PERKEBUNAN 1977
1201-00-0000-0101,"1994-2000, SD PELITA HARAPAN, DKI JAKARTA"
1201-00-0000-0101,"2000-2003, SLTP, UNITED WORLD COLLEGE OF SOUTH EAST ASIA, SINGAPURA"
1201-00-0000-0101,"2004-2007, SLTA, INTERNATIONAL SCHOOL OF SINGAPORE, SINGAPURA"
1201-00-0000-0101,"2007-2012, S1, MONASH UNIVERSITY, AUSTRALIA"
1201-00-0000-0502,"1994-1996, SLTA CRESCENT GIRL SCHOOL SINGAPORE"
1201-00-0000-0502,"1997-2000, S1 UNIVERSITY OF NEW SOUTH WALES"
1201-00-0000-0901,"SD Muhammadiyah di Medan, Tamat tahun 1966"
1201-00-0000-0901,"MI Muhammadiyah di Medan, Tamat tahun 1966"
1201-00-0000-0901,"Pesantren KH. Ahmad Dahlan Muhammadiyah di Sipirok, Tamat tahun 1969"
1201-00-0000-0901,"Pendidikan Guru Agama Negeri (PGAN) 6 Tahun di Medan, Tamat tahun 1971"
1201-00-0000-0601,"SD NEGERI NO.88 KOTA MEDAN, 1972"
1201-00-0000-0601,"SMP NEGERI 12 KOTA MEDAN, 1975"
1201-00-0000-0601,"SMA JOSHUA MEDAN, 1979"
1201-00-0000-0601,"S-1 FAKULTAS HUKUM USU, MEDAN,1988"
1201-00-0000-0601,"S-2 MAGISTER ILMU HUKUM USU, MEDAN, 2008"
1201-00-0000-1001,LULUS TAHUN 1967 SD N I PEMATANG SIANTAR
1201-00-0000-1001,LULUS TAHUN 1970 SMP N I PEMATANG SIANTAR
1201-00-0000-1001,LULUS TAHUN 1973 SMP N I PEMATANG SIANTAR
1201-00-0000-1001,LULUS TAHUN 1981 TEKNIK MESIN UNIVERSITAS SUMATERA UTARA
1201-00-0000-0301,SEKOLAH TINGGI ILMU MANAJEMEN INFORMATIKA DAN KOMPUTER JAKARTA
1201-00-0000-0301,INTERNATIONAL POLITIC CENTRE FOR ASIAN STUDIES STRATEGIC
1201-00-0000-0701,SD Khatolik (Lulus Tahun 1967) Alamat: JI. Sutomo Pusar Central
1201-00-0000-0701,SMP Immanuel (Lulus Tahun 1970) Alamat: JI. Sudirman di depan Gereja HKBP Medan
1201-00-0000-0701,SMA Swasta Josua Medan (Lulus Tahun 1972)Alamat: JI. GB. Josua No.30 Medan 20232
1201-00-0000-0701,Universitas Padjajaran (Lulus Tahun 1979) Alamat: JI. Dipati Ukur No.35 Bandung 40132
1201-00-0000-0401,"1963, SR 15 PEMATANG SIANTAR"
1201-00-0000-0401,"1964-1968, SLTP 2 PEMATANG SIANTAR"
1201-00-0000-0401,"1968-1971, SLTA TAMAN SISWA PEMATANG SIANTAR"
1201-00-0000-0402,"1965-1971, SD JAYA LAMA"
1201-00-0000-0402,"1971-1974, SMP JAYA LAMA"
1201-00-0000-0402,"1974-1977, SMA SUTOMO MEDAN"
1201-00-0000-0402,"1990, FAKULTAS KEDOKTERAN UNIVERSITAS METHODIST INDONESIA"
1201-00-0000-0801,"S-1, Univ. Krisnadwipayana Fak. Hukum, DKI Jakarta, 1984-1990"
1201-00-0000-0801,"SMA Muhammadiyah III Kebayron Baru, Jakarta Selatan, DKI Jakarta, 1981-1984"
1201-00-0000-0801,"SMP Muhammadiyah IV Cawang, Jakarta Timur, DKI Jakarta, 1978-1981"
1201-00-0000-0801,"SD Negeri 01 Pengadegan Jakarta Selatan, DKI Jakarta, 1972-1978"
1202-00-0000-0102,1967 - 1972: SD Sopobutar Kec. Lintong nihuta
1202-00-0000-0102,1972 - 1975:SMP Lintong nihuta Kec. Lintong nihuta
1202-00-0000-0102,1975 - 1978: STM Negeri Dolok Sanggul Humbahas
1202-00-0000-0501,"1971-1974. SLTA, SMA NEGERI III, MEDAN"
1202-00-0000-0501,"2010-2012, S2, STIE KUSUMA NEGARA,JAKARTA"
1202-00-0000-0201,"SD Negeri Readaman. Padang Lawas Utara, 1976"
1202-00-0000-0201,"MTS Tsanaviyah Al-Muhktidiyah Sei Dua Protibi Padang Lawas Utara, 1980"
1202-00-0000-0201,"Aliyah Al-Muhktidiyah Sei Dua Protibi Padang Lawas Utara, 1983"
1202-00-0000-0201,Strain Sl IAIN-SU Medan Tamat 1990
1202-00-0000-0601,"Program Studi Magister Manajemen, Sekolah Pascasarjana Universitas Sumatera Utara Medan, tahun 2009."
1202-00-0000-0601,"Fakultas Ekonomi/Akuntansi, Universitas Syah Kuala Banda Aceh, tahun 1988."
1202-00-0000-0601,"SMA Negeri 1 Medan, tahun 1983."
1202-00-0000-0601,"SMP Negeri 1 Medan, tahun 1980."
1202-00-0000-0601,"SD Negeri 7 Padang Sidimpuan, tahun 1976"
1202-00-0000-0604,SHIA NEGERI G PADANG - SUNIBAR
1202-00-0000-0604,SARJANA HUKUM BERIHAZAH
1202-00-0000-1010,"1960 -1966: SDK CINTA RAKYAT, P. SIANTAR, SUMUT"
1202-00-0000-1010,"1966-1969: SMPK CINTA RAKYAT, P. SIANTAR, SUMUT"
1202-00-0000-1010,"1969-1972: SMAK BINA MULIA, P. SIANTAR, SUMUT"
1202-00-0000-1010,"1982-1986: SARJANA (S-1) HUKUM, UI DEPOK"
1202-00-0000-1010,"1994-1996: PASCA SARJANA (S-2) MM, UNKRIS"
1202-00-0000-1010,"2003-2005: PASCA SARJANA (S-2) HUKUM, UNPAD"
1202-00-0000-1010,"2005-2007: DOKTOR (S-3) HUKUM, UNPAD"
1202-00-0000-0301,Madrasah Ibtidaiyah Lulus Tahun 1976
1202-00-0000-0301,Tsanawiyah (SLTP) Lulus Tahun 1979
1202-00-0000-0301,Aliyah (SMA) Lulus Tahun 1981
1202-00-0000-0301,Fakultas Ushuhuludin Univ. Al-Azhar Mesir 1987
1202-00-0000-0302,"MAGISTER ISLAMIC STUDIES PUNJAB LAHORE, PAKASITAN 1991"
1202-00-0000-0706,SLTA TAHUN 1987 (LULUS)
1202-00-0000-0706,FAKULTAS TEKNIK USU (1987-1991
1202-00-0000-0401,"SD HKBP MEDAN, SUMIT, 1978"
1202-00-0000-0401,"SLTPN 5 MEDAN, SUMUT, 1982"
1202-00-0000-0401,"SMAN 30 JAKARTA, 1985"
1202-00-0000-0401,"UNIVERSITAS PANCASILA JAKARTA, FAK HUKUM (S1), 1991"
1202-00-0000-0401,"UNIVERSITAS PADJADJARAN, BANDUNG PROGRAM STUDI MAGISTER HUKUM (S2), 2008"
1202-00-0000-0801,"S2, Prodi Philosophy, cColorado State University, USA, 2007-2009"
1202-00-0000-0801,"S3, Prodi Pemikiran Politik Islam, UIN Syarif Hidayatullah, Jakarta, 2002-2007"
1202-00-0000-0801,"S2, Prodi Ilmu Filsafat, Universitas Indonesia, Jakarta, 1999-2002"
1202-00-0000-0801,"S2, Prodi SPI, UIN Syarif Hidayatullah, Jakarta, 1998-2000"
1202-00-0000-0801,"S1, Fak. Sastra, Univeristas Sumatera Utara, Medan, 1993-1997"
1202-00-0000-0801,"MAN I, Medan, 1990-1993"
1202-00-0000-0801,"MTsS YAPI, Sibuhuan, 19871990"
1203-00-0000-0101,1973 - 1979: SD Taman Siswa Binjai
1203-00-0000-0101,1979 - 1982: SMP Negeri I Binjai
1203-00-0000-0101,1982 - 1985: SMA Negeri I Binjai
1203-00-0000-0101,1986 - 1991: Univ. Darma Agung Medan
1203-00-0000-0101,2000 - 2002: S2 Notariat USU
1203-00-0000-0101,2002 - 2004: Pasca Sarjana Magister Kenotariatan USU
1203-00-0000-0501,"1965- 1969, SALT, SMA PEMATANG SIANTAR, PEMATANG SIANTAR"
1203-00-0000-0501,"2002-2005, S2, UNIVERSITAS SUROPATI GELAR MM. JAKARTA"
1203-00-0000-0501,"2006-2008, S3, UNIVERSITAS SATYAGAMA, JAKARTA"
1203-00-0000-0501,"1970-1982, S1, AKADEMI ILMU PELAYARAN(MPB III,II,I) JAKARTA"
1203-00-0000-0503,"1994-2000, SD, SD SWASTA AHMAD YANI, BINJAI"
1203-00-0000-0503,"2000-2003, SLTP, SMP SWASTA AHMAD YANi, BINJAI"
1203-00-0000-0503,"2003-2006, SLTA, SMA AL AZHAR, MEDAN"
1203-00-0000-0503,"2006-2010, S1, UMSU MEDAN FAK.HUKUM,MEDAN"
1203-00-0000-0901,"SD 05 Tanjung Balai, 1984"
1203-00-0000-0901,"SMP Negeri Sijambi Tanjung Balai, 1987"
1203-00-0000-0901,"Madrasah Tsanawiyah YMPI Tanjung Balai, 1987"
1203-00-0000-0901,"Madrasah Aliyah Pesantren Modern Daar al Ulum Kisaran, 1990"
1203-00-0000-0901,"SI Fak. Syari'ah IAIN Sumatera Utara, 1996"
1203-00-0000-0601,SD Negeri 7 P. Sinatar 1957 - 1963
1203-00-0000-0601,SMP Negeri 1 p. sinatar 1964 - 1967
1203-00-0000-0601,SMA Negeri VI Bulungan Jakarta 1968-1970
1203-00-0000-0601,Fakultas Hukum Umum Todonesia 1971 - 1977
1203-00-0000-1005,SDN 06 Perdagangan Kab. Simalungun 1982
1203-00-0000-1005,SMPN 1 Perdagangan Kab. Simalungun 1985
1203-00-0000-1005,SMAN 1 Perdagangan Kab. Simalungun 1988
1203-00-0000-1005,"S1, Hukum, Universitas Darma Agung, Medan 1993"
1203-00-0000-0301,"SD Nagasaribu, Padang lawas utara"
1203-00-0000-0301,"SMP Lumut, Tapanuli Tengah"
1203-00-0000-0301,Pondok Pesantren Darussalam Gontor Ponorogo
1203-00-0000-0301,Universitas Damaskud Syria
1203-00-0000-0708,"SD Swasta Ahmad yani Binjai,1989"
