id_calon,ringkasan,program_kerja
1101-00-0000-0101,,
1101-00-0000-0504,,
1101-00-0000-0201,,
1101-00-0000-0606,,
1101-00-0000-0301,POLITISI MUDA YANG PERNAH MENOLAK LAPORAN PERTANGGUNGJAWABAN (LPJ) GUBERNUT NANGGROE ACEH DARUSALAM ABDULLAH PATEH,
1101-00-0000-0701,,
1101-00-0000-0802,,
1102-00-0000-0101,,
1102-00-0000-0502,,
1102-00-0000-0901,,
1102-00-0000-0605,"KHAIDIR SEORANG MANATAN AKTVIS GAM YANG MENOLAK JIKA ACEH DIMEKARKAN MENJADI BEBERAPA PROVINSI KARENA MENURUTNYA ITU BUKAN SOLUSI MUMPUNI, DIA AKAN BERJUANG MENGENAI REGULASI TURUNAN UNDANG-UNDANG PEMERINTAHAN ACEH (UUPA) TENTANG PEMBAGIAN HASIL SUMBER DAYA ALAM MINYAK DAN GAS BUMI 70% ACEH/PEMERINTAH DAERAH DAN 30% PEMERINTAH PUSAT YANG BELUM TEREALISASI SAMPAI SEKARANG",
1102-00-0000-0701,,
1102-00-0000-0406,MEMPERJUANGKAN KESEJAHTERAAN MASYARAKAT ACEH TENGAH TERUTAMA KABUPATEN BENER MERIAH,
1201-00-0000-0101,SALAH SATU PENDIRI PARTAI NASDEM,
1201-00-0000-0502,"SAAT BERADA DI KOMISI XI MEUTYA MENGKRITISI PROSE IPO (INTIAL PUBLIC OFFERING) PT KRAKATAU STEEL YANG DIANGGAP MEMBINGUNGKAN DAN ADA YANG DITUTUPI, SELAIN ITU SEJAK AWAL MEUTYA JUGA TERMASUK ANGGOTA DPR YANG MEMPERTANYAKAN KURANG PROFESIONALNYA DIREKSI MERPATI YANG TERBELIT HUTA DAN PROBLEM PENGADAAN PESAWAT, SAAT DI KOMISI MEUTYA JAUH LEBIH AKTIF MENYIKAPI BERBAGAI GUGUS KERJA KOMISI S1 DAN IKUT BERPERAN AKTIF MENGAWAL RUU VETERAN MENJADI UU, SELAIN ITU PADA SAAT PERTEMUAN TAHUNAN PARLEMEN ASEAN (APRIL 12), DIRINYA MENGKRITISI DELEGASI PARLEMEN MALAYSIA YANG TIDAK KUNJUNG MERATIFIKASI BERBAGAI KONVENSI INTERNASIONAL YANG MEMBERIKAN KEWAJIBAN NEGARA RATIFIKATORNYA UNTUK LEBIH PEDULI TERHADAP NASIB BURUH MIGRAN DAN MENDESAK PARLEMEN MALAYSIA UNTUK LEBIH AKTIF MENEKAN PEMERINTAH MALAYSIA UNTUK MEMPERLAKUKAN TKI YANG BEKERJA DI MALAYSIA DENGAN LEBIH MANUSIAWI",
1201-00-0000-0901,,
1201-00-0000-0601,,
1201-00-0000-1001,,
1201-00-0000-0301,TIFATUL SALAH SATU ELIT PKS SEJAK PARTAI TERSEBUT MASIH BERNAMA PARTAI KEADILAN,
1201-00-0000-0701,"DALAM PEMILIHAN PRESIDEN 2014 RUHUT MEMILIH SIKAP UNTUK MENDUKUNG PASANGAN JOKOWIDODO-JUSUF KALLA YANG BERBEDA PENDAPAT DENGAN GARIS KEBIJAKAN PARTAI DEMOKRAT, MESKI DEMIKIAN BELUM ADA KEPUTUSAN AKHIR ATAU SANKSI YANG DIBERIKAN KEPADA DIRINYA OLEH PARTAI DEMOKRAT",
1201-00-0000-0401,"MEMINTA PEMERINTAH DAN DPR RI UNTUK SECARA LANGSUNG MENINJAU ULANG MEKANISME PILKADA. MENURUTNYAJIKA MEKANISME PILKADA YANG BERLAKU SAAT INI TIDAK SEGERA DIAMANDEMEN, MAKA PARA CALON KEPALA DAERAH AKAN TETAP SALING SIKUT DALAM PROSES KAMPANYE DAN PEMILIHANNYA NANTI. BEBERAPA WAKTU YANG LALU, IRMADJUGA MENDESAK SUPAYA PEMBAHASAN RUU PEMILU SEGERA DITUNTASKAN. HAL INI BERKAITAN DENGAN PEMBAHASAN RUU TERSEBUT YANG SAMPAI SEKARANG MASIH BELUM MENCAPAI KATA SEPAKAT DI EMPAT POIN UTAMA, YAITU BATAS PEROLEHAN KURSI DI PARLEMEN, DAPIL, SISTEM PEMILU, DAN KONVERSI SUARA MENJADI KURSI. MENURUT IRMADI, PENYELESAIAN RUU PEMILU AKAN MENJADI ANGIN SEGAR BAGI PERPOLITIKAN DAN PEMERINTAHAN INDONESIA. IRMADI MENDESAK PEMERINTAH DAN PERTAMINA SEGERA MEMBATALKAN KEPUTUSAN MENAIKKAN HARGA ECERAN ELPIJI 12 KG, KARENA KENAIKAN HARGA TERSEBUT MENAMBAH KESULITAN MASYARAKAT. SEPAK TERJANG : 1. MENGUSULKAN AGAR YANG DIPILIH DALAM PEMILIHAN KEPALA DAERAH LANGSUNG HANYA KEPALA DAERAH, SEMENTARA WAKILNYA PEJABAT KARIER 2. MENGUSULKAN AMANDEMEN UUD UNTUK MEMPERKUAT KEMBALI LEMBAGA PRESIDEN 3. PERNAH MENJADI KETUA PANSUS RUU KAWASAN EKONOMI KHUSUS 4. MEMINTA DPR MENYELIDIKI KESEKJENAN DPR YANG SERING MENGAJUKAN PROYEK KONTROVERSIAL (2012) 5. SESEORANG MENGUNDURKAN DIRI DARI JABATANNYA TIDAK HARUS MENUNGGU SETELAH TERDAKWA, SAAT JADI TERSANGKA SAJA SUDAH HARUS MUNDUR.",
1201-00-0000-0402,"SEKTOR PERTAMA YANG INGIN IA BANGUN ADALAH SEKTOR PENDIDIKAN. SEBAGAI PRAKTISI DI BIDANG PENDIDIKAN SELAMA 33 TAHUN, IA MENGAKU SUDAH MEMILIKI BANYAK SOLUSI ATAS CARUT MARUTNYA DUNIA PENDIDIKAN SELAMA INI. IA BAHKAN BERCITA-CITA UNTUK BISA DUDUK DI KOMISI X DPR RI, AGAR BISA TERKAIT LANGSUNG UNTUK MEMBAHAS PENDIDIKAN ANAK BANGSA. “PENDIDIKAN INI KAN BUKAN SOAL ANGGARAN 20 PERSEN DARI APBN YANG ITU-ITU SAJA. PENDIDIKAN INI ADALAH PROGRAM. BUKAN SOAL ANGGARAN YANG MENJADI ISU UTAMA. ORANG DI SUMUT INI KAN BANYAK YANG PINTAR. TAPI PENDIDIKAN MEMANG HARUS DIBENAHI,” TEGASNYA. SELAIN PENDIDIKAN, MASALAH DUNIA USAHA, KHUSUSNYA UKM DAN KELESTARIAN LINGKUNGAN JUGA AKAN MENJADI KONSENTRASI MANTAN CALON WALIKOTA MEDAN 2010-2015 INI.IA MENGAKU MIRIS MELIHAT KONDISI LINGKUNGAN SAAT INI, DITENGAH MARAKNYA AKSI ILLEGAL LOGGING, TERKESAN DILAKUKAN PEMBIARAN. NAMUN JIKA HARUS MEMILIH, CALEG DPR RI DARI PDIP DENGAN NOMOR URUT 2 DAPIL MEDAN, TEBINGTINGGI, DELISERDANG DAN SERDANGBEDAGAI INI MENGAKU LEBIH MENYENANGI KOMISI BIDANG PENDIDIKAN KARENA BASIC FUNDAMENTALNYA.",
1201-00-0000-0801,,
1202-00-0000-0102,"SAAT INI, SAHAT SILABAN SERING MENGATAKAN ""SALAM RESTORASI"", NAMUN BELUM DITEMUKAN PENJELASAN DARI KATA-KATA INI.",
1202-00-0000-0501,,
1202-00-0000-0201,,
1202-00-0000-0601,,
1202-00-0000-0604,,
1202-00-0000-1010,,
