id,provinsi_id,nama,tempat_lahir,tanggal_lahir,jabatan,fraksi,alamat,keterangan
1,11,"Ramli,SE",Pasie Teungoh,14 Juni 1965,Ketua DPRK Aceh Barat,-,Sekretariat Dewan Perwakilan Rakyat Kabupaten Aceh Barat Jln. Iskandar Muda. No. 01 Meulaboh - Aceh Barat Telp. (0655) 7551164,
2,11,"H. Ramli, MS.S.Pd.M.Si",Kajeung,15 Mei 1964,Wakil Ketua I,-,Sekretariat Dewan Perwakilan Rakyat Kabupaten Aceh Barat Jln. Iskandar Muda. No. 01 Meulaboh - Aceh Barat Telp. (0655) 7551164,
3,11,"H. Kamaruddin, SE",Keude Tanjong,04 Pebruari 1966,Wakil Ketua II,-,Sekretariat Dewan Perwakilan Rakyat Kabupaten Aceh Barat Jln. Iskandar Muda. No. 01 Meulaboh - Aceh Barat Telp. (0655) 7551164,
4,11,"Said Mahdani, SE, M.Si.Ak",Rundeng,11 April 1969,Ketua,PAN,Sekretariat Dewan Perwakilan Rakyat Kabupaten Aceh Barat Jln. Iskandar Muda. No. 01 Meulaboh - Aceh Barat Telp. (0655) 7551164,
5,11,Tata Irfan,Meulaboh,10 Oktober 1972,Wakil Ketua,PAN,Sekretariat Dewan Perwakilan Rakyat Kabupaten Aceh Barat Jln. Iskandar Muda. No. 01 Meulaboh - Aceh Barat Telp. (0655) 7551164,
6,11,"Ilyas Yusuf, S.Pd.I",Kuala Bhee,22 April 1969,Sekretaris,PAN,Sekretariat Dewan Perwakilan Rakyat Kabupaten Aceh Barat Jln. Iskandar Muda. No. 01 Meulaboh - Aceh Barat Telp. (0655) 7551164,
7,11,"Abdul Rauf, SE",Ranub Dong,10 Pebruari 1980,Anggota,PAN,Sekretariat Dewan Perwakilan Rakyat Kabupaten Aceh Barat Jln. Iskandar Muda. No. 01 Meulaboh - Aceh Barat Telp. (0655) 7551164,
8,11,Nasruddin,Gunung Panah,12 Nopember 1971,Anggota,PAN,Sekretariat Dewan Perwakilan Rakyat Kabupaten Aceh Barat Jln. Iskandar Muda. No. 01 Meulaboh - Aceh Barat Telp. (0655) 7551164,
9,11,Sahurdi MS,Tapak Tuan,08 Agustus 1972,Anggota,PAN,Sekretariat Dewan Perwakilan Rakyat Kabupaten Aceh Barat Jln. Iskandar Muda. No. 01 Meulaboh - Aceh Barat Telp. (0655) 7551164,
10,11,Samsi Barmi,Jeuram,09 Juni 1980,Ketua,PA,Sekretariat Dewan Perwakilan Rakyat Kabupaten Aceh Barat Jln. Iskandar Muda. No. 01 Meulaboh - Aceh Barat Telp. (0655) 7551164,
11,11,"Banta Lidan, S.Pd.I",Reudeup,31 Agustus 1970,Wakil Ketua,PA,Sekretariat Dewan Perwakilan Rakyat Kabupaten Aceh Barat Jln. Iskandar Muda. No. 01 Meulaboh - Aceh Barat Telp. (0655) 7551164,
12,11,"Nurhayati, S.Pd",Pante Ceureumen,14 Juni 1975,Sekretaris,PA,Sekretariat Dewan Perwakilan Rakyat Kabupaten Aceh Barat Jln. Iskandar Muda. No. 01 Meulaboh - Aceh Barat Telp. (0655) 7551164,
13,11,Dahlan,Suak Seumaseh,21 Desember 1967,Anggota,PA,Sekretariat Dewan Perwakilan Rakyat Kabupaten Aceh Barat Jln. Iskandar Muda. No. 01 Meulaboh - Aceh Barat Telp. (0655) 7551164,
