id,jumlah_laki_laki,jumlah_perempuan,jumlah_nihil,total,provinsi_id
1,6459,5550,0,12009,11
2,1427,1462,0,2889,51
3,21294,19694,0,40988,36
4,4646,4061,0,8707,17
5,1448,1433,1 (0.03),2882,34
6,11035,10094,0,21129,31
7,1090,1097,0,2187,75
8,16407,13149,1 (0.00),29557,15
9,68003,60912,2 (0.00),128917,32
10,13491,13554,12 (0.04),27057,33
11,20473,18119,0,38592,35
12,7354,5669,0,13023,61
13,8303,6258,0,14561,63
14,12247,8805,0,21052,62
15,29593,19889,0,49482,64
16,3188,2269,0,5457,19
17,20942,16750,0,37692,21
18,11429,10909,0,22338,18
19,11101,10011,14 (0.07),21126,81
20,7361,6217,0,13578,82
21,11665,11245,0,22910,52
22,31820,33785,0,65605,53
23,13760,9815,2 (0.01),23577,91
24,1916,1082,0,2998,92
25,34977,29359,0,64336,14
26,6821,5864,0,12685,76
27,11150,10086,0,21236,73
28,7683,7084,0,14767,72
29,5861,5135,0,10996,74
30,8833,7766,20 (0.12),16619,71
31,12357,10088,0,22445,13
32,19314,16001,0,35315,16
33,40827,41873,11 (0.01),82711,12
