id,jumlah_tps,jumlah_laki_laki,jumlah_perempuan,jumlah_nihil,total,jumlah_tanggal_lahir_nihil,jumlah_status_kawin_nihil,jumlah_dibawah_umur,provinsi_id,tipe
1,10839,1635174,1679590,0,3314764,0,0,5 (0.00),11,legislatif
2,8095,1455832,1480404,0,2936236,0,0,0,51,legislatif
3,20641,3992404,3868660,0,7861064,438 (0.01),0,0,36,legislatif
4,4285,692871,665640,0,1358511,0,0,1 (0.00),17,legislatif
5,8523,1320460,1403161,0,2723621,0,0,0,34,legislatif
6,17045,3547034,3454510,0,7001544,0,0,0,31,legislatif
7,2322,397363,400259,0,797622,0,0,0,75,legislatif
8,8228,1244163,1200027,0,2444190,0,0,0,15,legislatif
9,90918,16376331,16182089,0,32558420,3 (0.00),5 (0.00),12 (0.00),32,legislatif
10,77687,13479477,13635113,0,27114590,38 (0.00),0,24 (0.00),33,legislatif
11,86389,14957258,15441513,0,30398771,1.555 (0.01),1.312 (0.00),4 (0.00),35,legislatif
12,12195,1779666,1699702,0,3479368,0,0,0,61,legislatif
13,8933,1399610,1385920,0,2785530,0,0,0,63,legislatif
14,5947,935091,844555,0,1779646,0,0,0,62,legislatif
15,8651,1512702,1332135,0,2844837,0,0,0,64,legislatif
16,2741,471639,447174,0,918813,0,0,1 (0.00),19,legislatif
17,3745,654875,623794,0,1278669,2 (0.00),0,4 (0.00),21,legislatif
18,16492,3016020,2861194,0,5877214,0,0,0,18,legislatif
19,3805,583706,597359,0,1181065,0,0,0,81,legislatif
20,2396,415842,402882,0,818724,0,0,0,82,legislatif
21,12020,1679878,1788373,0,3468251,0,0,0,52,legislatif
22,11028,1502603,1592245,0,3094848,0,0,0,53,legislatif
23,9358,1758618,1513499,10 (0.00),3272127,180 (0.01),20 (0.00),352 (0.01),91,legislatif
24,2707,376812,332134,0,708946,0,0,1 (0.00),92,legislatif
25,12469,2098080,1980974,0,4079054,4 (0.00),0,0,14,legislatif
26,2820,436985,434646,0,871631,0,0,6 (0.00),76,legislatif
27,18036,3033069,3225863,0,6258932,26 (0.00),0,1 (0.00),73,legislatif
28,6008,968653,933137,0,1901790,0,0,0,72,legislatif
29,5421,886893,880038,0,1766931,0,0,0,74,legislatif
30,5302,944028,915287,0,1859315,0,0,1 (0.00),71,legislatif
31,12548,1797481,1824495,0,3621976,0,0,0,13,legislatif
32,17906,2913652,2850626,0,5764278,0,0,0,16,legislatif
33,30281,4822424,4914323,0,9736747,0,0,0,12,legislatif
34,9508,1642352,1688367,0,3330719,0,0,0,11,eksekutif
35,5939,146008,1482202,0,2942282,0,0,0,51,eksekutif
36,17693,405753,3928069,0,7985599,0,0,0,36,eksekutif
37,422,702759,676308,0,1379067,0,0,"1 (0,00)",17,eksekutif
38,8354,1333925,141835,0,2752275,"1 (0,00)","6 (0,00)",0,34,eksekutif
39,12408,3581723,3488752,0,7070475,0,0,0,31,eksekutif
40,1932,395853,398597,0,79445,0,0,0,75,eksekutif
41,7523,126255,1218377,0,2480927,0,0,0,15,eksekutif
42,75151,16630978,16414123,0,33045101,0,0,0,32,eksekutif
43,6785,13613861,13771352,0,27385213,"185 (0,00)",0,"45 (0,00)",33,eksekutif
44,75977,15079594,15559388,0,30638982,"1.989 (0,01)","1.512 (0,00)","9 (0,00)",35,eksekutif
45,11703,179375,1712527,0,3506277,0,0,0,61,eksekutif
46,8728,1418071,1402233,0,2820304,0,0,0,63,eksekutif
47,5856,956662,863293,0,1819955,0,0,0,62,eksekutif
48,7262,1330925,1168685,0,249961,"163 (0,01)",0,0,64,eksekutif
49,2741,474647,450103,0,92475,0,0,0,19,eksekutif
50,3129,680012,643615,0,1323627,0,0,0,21,eksekutif
51,1501,3065193,2911018,0,5976211,0,0,0,18,eksekutif
52,3251,601586,61471,0,1216296,0,0,"1 (0,00)",81,eksekutif
53,2123,426742,413511,0,840253,0,0,0,82,eksekutif
54,8552,1704909,181777,0,3522679,0,0,0,52,eksekutif
55,9605,1544613,1640508,0,3185121,0,0,0,53,eksekutif
56,9113,1733988,1488438,0,3222426,"803 (0,02)","308 (0,01)","163 (0,01)",91,eksekutif
57,2612,380249,335111,0,71536,"121 (0,02)","26 (0,00)","22 (0,00)",92,eksekutif
58,12166,2165406,20429,0,4208306,0,0,0,14,eksekutif
59,2767,445212,442365,0,887577,0,0,0,76,eksekutif
60,16757,3065094,3258617,0,6323711,0,0,0,73,eksekutif
61,5857,985608,950038,0,1935646,0,0,0,72,eksekutif
62,4849,903178,895554,0,1798732,0,0,0,74,eksekutif
63,4166,957779,929276,0,1887055,0,0,0,71,eksekutif
64,11001,1789091,182246,0,3611551,0,0,0,13,eksekutif
65,16361,2964245,290078,0,5865025,0,0,0,16,eksekutif
66,27378,4904338,4998541,0,9902879,"1.323 (0,01)","24 (0,00)","34 (0,00)",12,eksekutif
