id,question_text,relevant_laws_regulations,relevant_text,question_answer,tags,category
1,Siapa  saja yang dapat menjadi peserta  / calon dalam pilkada,UU No 8 Tahun 2015 Pasal 1 Ayat 3 dan 4,"Calon Gubernur dan Calon Wakil Gubernur adalah peserta Pemilihan yang diusulkan oleh partai politik, gabungan partai politik, atau perseorangan yang didaftarkan atau mendaftar di Komisi Pemilihan Umum Provinsi ; Calon Bupati dan Calon Wakil Bupati, Calon Walikota dan Calon Wakil Walikota adalah peserta Pemilihan yang diusulkan oleh partai politik, gabungan partai politik, atau perseorangan yang didaftarkan atau mendaftar di Komisi Pemilihan Umum Kabupaten/Kota","Yang dapat mengikuti pencalonan tersebut adalah peserta yang diusulkan oleh partai politik, gabungan partai politik atau perseorangan yang didaftarkan atau mendaftar di Komisi pemilihan Umum berdasarkan tingkat admiinistrasi mencalonkan",CalonPilkada,
2,Siapa saja yang dapat memilih dalam Pemilukada?,UU No 8 Tahun 2015 Pasal 1 Ayat 6,Pemilih adalah penduduk yang berusia paling rendah 17 (tujuh belas) tahun atau sudah/pernah kawin yang terdaftar dalam Pemilihan,Yang dapat memilih telah berusia  17  tahun atau sudah/pernah kawin yang terdaftar dalam pemilihan,PemilihPemilukada,
3,Apa saja persyaratan untuk dicalonkan dalam Pemilukada ?,UU No 8 Tahun 2015 Pasal 7,"Warga negara Indonesia yang dapat menjadi Calon Gubernur dan Calon Wakil Gubernur, Calon Bupati dan Calon Wakil Bupati, serta Calon Walikota dan Calon Wakil Walikota adalah yang memenuhi persyaratan sebagai berikut:
a. bertakwa kepada Tuhan Yang Maha Esa;
b. setia kepada Pancasila, Undang-Undang Dasar Negara Republik Indonesia Tahun 1945, cita-cita Proklamasi Kemerdekaan 17 Agustus 1945, dan Negara Kesatuan Republik Indonesia;
c. berpendidikan paling rendah sekolah lanjutan tingkat atas atau sederajat;
d. Dihapus.
e. Berusia paling rendah 30 (tiga puluh) tahun untuk Calon Gubernur dan Calon Wakil Gubernur serta 25 (dua puluh lima) tahun untuk Calon Bupati dan Calon Wakil Bupati serta Calon Walikota dan Calon Wakil Walikota;
f. mampu secara jasmani dan rohani berdasarkan hasil pemeriksaan kesehatan menyeluruh dari tim dokter;
g. tidak pernah dijatuhi pidana penjara berdasarkan putusan pengadilan yang telah memperoleh kekuatan hukum tetap karena melakukan tindak pidana yang diancam dengan pidana penjara 5 (lima) tahun atau lebih;
h. tidak sedang dicabut hak pilihnya berdasarkan putusan pengadilan yang telah mempunyai kekuatan hukum tetap;
i. tidak pernah melakukan perbuatan tercela yang dibuktikan dengan surat keterangan catatan kepolisian;
j. menyerahkan daftar kekayaan pribadi;
k. tidak sedang memiliki tanggungan utang secara perseorangan dan/atau secara badan hukum yang menjadi tanggung jawabnya yang merugikan keuangan negara;
l. tidak sedang dinyatakan pailit berdasarkan putusan pengadilan yang telah mempunyai kekuatan hukum tetap;
m. memiliki Nomor Pokok Wajib Pajak dan memiliki laporan pajak pribadi; n. belum pernah menjabat sebagai Gubernur, Bupati, dan Walikota selama 2 (dua) kali masa jabatan dalam jabatan yang sama untuk Calon Gubernur, Calon Bupati, dan Calon Walikota;
o. belum pernah menjabat sebagai Gubernur, Bupati, dan Walikota untuk Calon Wakil Gubernur, Calon Wakil Bupati, dan Calon Wakil Walikota;
p. berhenti dari jabatannya bagi Gubernur, Wakil Gubernur, Bupati, Wakil Bupati, Walikota, dan Wakil Walikota yang mencalonkan diri di daerah lain sejak ditetapkan sebagai calon;
q. tidak berstatus sebagai penjabat Gubernur, penjabat Bupati, dan penjabat Walikota;
r. tidak memiliki konflik kepentingan dengan petahana;
s. memberitahukan pencalonannya sebagai Gubernur, Wakil Gubernur, Bupati, Wakil Bupati, Walikota, dan Wakil Walikota kepada Pimpinan Dewan Perwakilan Rakyat bagi anggota Dewan Perwakilan Rakyat, kepada Pimpinan Dewan Perwakilan Daerah bagi anggota Dewan Perwakilan Daerah, atau kepada Pimpinan Dewan Perwakilan Rakyat Daerah bagi anggota Dewan Perwakilan Rakyat Daerah;
t. mengundurkan diri sebagai anggota Tentara Nasional Indonesia, Kepolisian Negara Republik Indonesia, dan Pegawai Negeri Sipil sejak mendaftarkan diri sebagai calon; dan
u. berhenti dari jabatan pada badan usaha milik negara atau badan usaha milik daerah sejak ditetapkan sebagai calon.","Persyaratan tersebut adalah Warga negara Indonesia yang dapat menjadi Calon Gubernur dan Calon Wakil Gubernur, Calon Bupati dan Calon Wakil Bupati, serta Calon Walikota dan Calon Wakil Walikota adalah yang memenuhi persyaratan sebagai berikut:
a. bertakwa kepada Tuhan Yang Maha Esa;
b. setia kepada Pancasila, Undang-Undang Dasar Negara Republik Indonesia Tahun 1945, cita-cita Proklamasi Kemerdekaan 17 Agustus 1945, dan Negara Kesatuan Republik Indonesia;
c. berpendidikan paling rendah sekolah lanjutan tingkat atas atau sederajat;
d. Dihapus.
e. Berusia paling rendah 30 (tiga puluh) tahun untuk Calon Gubernur dan Calon Wakil Gubernur serta 25 (dua puluh lima) tahun untuk Calon Bupati dan Calon Wakil Bupati serta Calon Walikota dan Calon Wakil Walikota;
f. mampu secara jasmani dan rohani berdasarkan hasil pemeriksaan kesehatan menyeluruh dari tim dokter;
g. tidak pernah dijatuhi pidana penjara berdasarkan putusan pengadilan yang telah memperoleh kekuatan hukum tetap karena melakukan tindak pidana yang diancam dengan pidana penjara 5 (lima) tahun atau lebih;
h. tidak sedang dicabut hak pilihnya berdasarkan putusan pengadilan yang telah mempunyai kekuatan hukum tetap;
i. tidak pernah melakukan perbuatan tercela yang dibuktikan dengan surat keterangan catatan kepolisian;
j. menyerahkan daftar kekayaan pribadi;
k. tidak sedang memiliki tanggungan utang secara perseorangan dan/atau secara badan hukum yang menjadi tanggung jawabnya yang merugikan keuangan negara;
l. tidak sedang dinyatakan pailit berdasarkan putusan pengadilan yang telah mempunyai kekuatan hukum tetap;
m. memiliki Nomor Pokok Wajib Pajak dan memiliki laporan pajak pribadi; n. belum pernah menjabat sebagai Gubernur, Bupati, dan Walikota selama 2 (dua) kali masa jabatan dalam jabatan yang sama untuk Calon Gubernur, Calon Bupati, dan Calon Walikota;
o. belum pernah menjabat sebagai Gubernur, Bupati, dan Walikota untuk Calon Wakil Gubernur, Calon Wakil Bupati, dan Calon Wakil Walikota;
p. berhenti dari jabatannya bagi Gubernur, Wakil Gubernur, Bupati, Wakil Bupati, Walikota, dan Wakil Walikota yang mencalonkan diri di daerah lain sejak ditetapkan sebagai calon;
q. tidak berstatus sebagai penjabat Gubernur, penjabat Bupati, dan penjabat Walikota;
r. tidak memiliki konflik kepentingan dengan petahana;
s. memberitahukan pencalonannya sebagai Gubernur, Wakil Gubernur, Bupati, Wakil Bupati, Walikota, dan Wakil Walikota kepada Pimpinan Dewan Perwakilan Rakyat bagi anggota Dewan Perwakilan Rakyat, kepada Pimpinan Dewan Perwakilan Daerah bagi anggota Dewan Perwakilan Daerah, atau kepada Pimpinan Dewan Perwakilan Rakyat Daerah bagi anggota Dewan Perwakilan Rakyat Daerah;
t. mengundurkan diri sebagai anggota Tentara Nasional Indonesia, Kepolisian Negara Republik Indonesia, dan Pegawai Negeri Sipil sejak mendaftarkan diri sebagai calon; dan
u. berhenti dari jabatan pada badan usaha milik negara atau badan usaha milik daerah sejak ditetapkan sebagai calon.",SyaratCalon,
4,Lembaga yang menjadi penyelenggara Pemilukada ?,UU No 8 Tahun 2015 Pasal 8,"(1) Penyelenggaraan Pemilihan menjadi tanggung jawab bersama KPU, KPU Provinsi, dan KPU Kabupaten/Kota.
(2) Pemilihan Gubernur dan Wakil Gubernur dilaksanakan oleh KPU Provinsi.
(3) Pemilihan Bupati dan Wakil Bupati serta Pemilihan Walikota dan Wakil Walikota dilaksanakan oleh KPU Kabupaten/Kota.","Lembaga yang menjadi penyelenggara pemilukada ada KPU, dalam penyelenggaran pemilukada sesuai dengan tingkatan administrasi KPU tersebut dan KPU RI menjadi penanggungjawab akhir dari kegiatan KPU Daerah.",PenyelenggaraPilkada,
5,Siapa yang akan mengawasi penyelenggaran Pemilukada?,UU No 8 Tahun 2015 Pasal 1 Ayat 10 dan Pasal 22B,"Badan Pengawas Pemilihan Umum yang selanjutnya disebut Bawaslu adalah lembaga penyelenggara pemilihan umum yang bertugas mengawasi penyelenggaraan pemilihan umum di seluruh wilayah Negara Kesatuan Republik Indonesia sebagaimana dimaksud dalam undang-undang yang mengatur mengenai penyelenggara pemilihan umum yang diberikan tugas dan wewenang dalam pengawasan penyelenggaraan Pemilihan berdasarkan ketentuan yang diatur dalam Undang-Undang ini. Tugas dan wewenang Bawaslu dalam pengawasan penyelenggaraan Pemilihan meliputi:
a. menyusun dan menetapkan pedoman teknis untuk setiap tahapan pengawasan penyelenggaraan Pemilihan setelah berkonsultasi dengan Dewan Perwakilan Rakyat dan Pemerintah;
b. mengoordinasikan dan memantau tahapan pengawasan penyelenggaraan Pemilihan;
c. melakukan evaluasi pengawasan penyelenggaraan Pemilihan;
d. menerima laporan hasil pengawasan penyelenggaraan Pemilihan dari Bawaslu Provinsi dan Bawaslu Kabupaten/Kota;
e. memfasilitasi pelaksanaan tugas Bawaslu Provinsi dan Panwas Kabupaten/Kota dalam melanjutkan tahapan pelaksanaan pengawasan penyelenggaraan Pemilihan jika Provinsi, Kabupaten, dan Kota tidak dapat melanjutkan tahapan pelaksanaan pengawasan penyelenggaraan Pemilihan secara berjenjang; dan
f. melaksanakan tugas dan wewenang lain yang diberikan oleh peraturan perundang-undangan.",Lembaga yang mengawasi jalannya penyelenggaraan pemilu adalah Bawaslu,PengawasPemilu,
6,Kapankah calon dapat mendaftar ke KPU?,UU No 8 Tahun 2015 Pasal 44,"Masa pendaftaran pasangan Calon Gubernur dan Calon Wakil Gubernur, pasangan Calon Bupati dan Calon Wakil Bupati, serta pasangan Calon Walikota dan Calon Wakil Walikota paling lama 3 (tiga) hari terhitung sejak pengumuman pendaftaran pasangan Calon Gubernur dan Calon Wakil Gubernur, pasangan Calon Bupati dan Calon Wakil Bupati, serta pasangan Calon Walikota dan Calon Wakil Walikota.",Calon dalam mendaftar 3 hari setelah pengumuman pembukaan pendaftaran pasangan calon KPU,PendaftaranPaslon,
7,Lembaga apa yang menangani pelanggaran oleh Penyelenggara Pemilu,UU No 8 Tahun 2015 Pasal 1 Ayat 11,Dewan Kehormatan Penyelenggara Pemilihan Umum yang selanjutnya disingkat DKPP adalah lembaga yang bertugas menangani pelanggaran kode etik penyelenggara pemilihan umum dan merupakan satu kesatuan fungsi penyelenggaraan pemilihan umum sebagaimana dimaksud dalam undang-undang yang mengatur mengenai penyelenggara pemilihan umum yang diberikan tugas dan wewenang dalam menangani pelanggaran kode etik penyelenggara Pemilihan berdasarkan ketentuan yang diatur dalam Undang-Undang ini.,"Apabil  terjadi pelanggaran oelh Penyelenggara Pemilu, maka dilaporkan kepada DKPP untuk menentukan sanksi yang diberikan kepada Penyelenggara Pemilu",DKPP,
8,Bagaimana struktur Penyelenggara Pemilu dari yang terendah hingga paling atas,UU No 8 Tahun 2015 Pasal 1,1. Kelompok Penyelenggara Pemungutan Suara yang selanjutnya disingkat KPPS adalah kelompok yang dibentuk oleh PPS untuk menyelenggarakan pemungutan suara di tempat pemungutan suara 2. Panitia Pemungutan Suara yang selanjutnya disingkat PPS adalah panitia yang dibentuk oleh KPU Kabupaten/Kota untuk menyelenggarakan Pemilihan di tingkat Desa atau sebutan lain/Kelurahan. 3. Panitia Pemilihan Kecamatan yang selanjutnya disingkat PPK adalah panitia yang dibentuk oleh KPU Kabupaten/Kota untuk menyelenggarakan Pemilihan di tingkat Kecamatan atau nama lain. 4. KPU Kabupaten/Kota adalah lembaga penyelenggara pemilihan umum sebagaimana dimaksud dalam undang-undang yang mengatur mengenai penyelenggara pemilihan umum yang diberikan tugas menyelenggarakan Pemilihan Bupati dan Wakil Bupati serta Walikota dan Wakil Walikota berdasarkan ketentuan yang diatur dalam Undang-Undang ini. 5. KPU Provinsi adalah lembaga penyelenggara pemilihan umum sebagaimana dimaksud dalam undang-undang yang mengatur mengenai penyelenggara pemilihan umum yang diberikan tugas menyelenggarakan Pemilihan Gubernur dan Wakil Gubernur berdasarkan ketentuan yang diatur dalam Undang-Undang ini. 6. Komisi Pemilihan Umum yang selanjutnya disingkat KPU adalah lembaga penyelenggara pemilihan umum sebagaimana dimaksud dalam undang-undang yang mengatur mengenai penyelenggara pemilihan umum yang diberikan tugas dan wewenang dalam penyelenggaraan Pemilihan berdasarkan ketentuan yang diatur dalam Undang-Undang ini.,"Tingkat terendah adalah KPPS, kemudia PPS, PPK, Kpu Kab Kota, KPU Provinsi, dan KPU RI",TingkatPenyelenggara,
9,Bagaimana dengan calon yang tidak didukung oleh Partai Politik?,UU No 8 Tahun 2015 Pasal 39,Pasangan calon perseorangan yang didukung oleh sejumlah orang,Jika tidak didukung oleh partai politik maka Calon dapat maju melalui jalur perseorangan,CalonPerseorangan,
10,Apakah ada syaratnya jika seseorang ingin maju melalui calon perseorangan?,UU No 8 Tahun 2015 Pasal 41,"(1) Calon perseorangan dapat mendaftarkan diri sebagai Calon Gubernur dan Calon Wakil Gubernur jika memenuhi syarat dukungan dengan ketentuan:
a. Provinsi dengan jumlah penduduk sampai dengan 2.000.000 (dua juta) jiwa harus didukung paling sedikit 10% (sepuluh persen);
b. Provinsi dengan jumlah penduduk lebih dari 2.000.000 (dua juta) jiwa sampai dengan 6.000.000 (enam juta) jiwa harus didukung paling sedikit 8,5% (delapan setengah persen);
c. Provinsi dengan jumlah penduduk lebih dari 6.000.000 (enam juta) jiwa sampai dengan 12.000.000 (dua belas juta) jiwa harus didukung paling sedikit 7,5% (tujuh setengah persen);
d. Provinsi dengan jumlah penduduk lebih dari 12.000.000 (dua belas juta) jiwa harus didukung paling sedikit 6,5% (enam setengah persen); dan
e. jumlah dukungan sebagaimana dimaksud pada huruf a, huruf b, huruf c dan huruf d tersebar di lebih dari 50% (lima puluh persen) jumlah kabupaten/kota di Provinsi dimaksud. (2) Calon perseorangan dapat mendaftarkan diri sebagai Calon Bupati dan Calon Wakil Bupati serta Calon Walikota dan Calon Wakil Walikota, jika memenuhi syarat dukungan dengan ketentuan:
a. Kabupaten/kota dengan jumlah penduduk sampai dengan 250.000 (dua ratus lima puluh ribu) jiwa harus didukung paling sedikit 10% (sepuluh persen); b. Kabupaten/kota dengan jumlah penduduk lebih dari 250.000 (dua ratus lima puluh ribu) sampai dengan 500.000 (lima ratus ribu) jiwa harus didukung paling sedikit 8,5% (delapan setengah persen);
c. Kabupaten/kota dengan jumlah penduduk lebih dari 500.000 (lima ratus ribu) sampai dengan 1.000.000 (satu juta) jiwa harus didukung paling sedikit 7,5% (tujuh setengah persen);
d. Kabupaten/kota dengan jumlah penduduk lebih dari 1.000.000 (satu juta) jiwa harus didukung paling sedikit 6,5% (enam setengah persen); dan
e. Jumlah dukungan sebagaimana dimaksud pada huruf a, huruf b, huruf c, dan huruf d tersebar di lebih dari 50% (lima puluh persen) jumlah kecamatan di kabupaten/kota dimaksud.
(3) Dukungan sebagaimana dimaksud pada ayat (1) dan ayat (2) dibuat dalam bentuk surat dukungan yang disertai dengan fotokopi Kartu Tanda Penduduk Elektronik, kartu keluarga, paspor, dan/atau identitas lain sesuai dengan ketentuan peraturan perundang-undangan.
(4) Dukungan sebagaimana dimaksud pada ayat (3) hanya diberikan kepada 1 (satu) pasangan calon perseorangan.","Untuk maju sebagai calon perseorangan,  calon tersebut harus mengumpulkan syarat dukungan berdasarkan tingkat administrasi pemilihan yang dia inginkan. Dimana calon tersebut harus mengumpulkan surat dukungan yang disertai dengan bukti fotokopi pendukung calon tersebut seperti fotokopi ktp maupun lainnya",CalonPerseorangan,
