id,question,answer,reference_law,excerpt_law
001,Siapakah yang dapat mengajukan Calon Presiden?,Yang berhak mengajukan Bakal Calon Presiden adalah Partai Politik maupun gabungan Partai Politik,PKPU No 15 tahun 2014 Pasal 4,Pengusulan Bakal Pasangan Calon oleh Partai Politik dan / atau Gabungan Partai Politik wajib memenuhi : a) persyaratan pencalonan b) persyaratan calon
002,Apakah yang dimaksud Gabungan Partai Politik?,Gabungan Partai Politik adalah Gabungan 2 (dua) Partai Politik atau lebih yang bersama-sama bersepakat mencalonkan 1 (satu) Pasangan Calon Presiden dan Wakil Presiden.,PKPU No 15 tahun 2014 Pasal 1,Gabungan Partai Politik adalah Gabungan 2 (dua) Partai Politik atau lebih yang bersama-sama bersepakat mencalonkan 1 (satu) Pasangan Calon Presiden dan Wakil Presiden.
003,Apa saja persyaratan Partai Politik dan/atau Gabungan Partai Politik dapat mengajukan Bakal Calon Presiden?,Partai politik yang mendapat suara paling sedikit 20% dari jumlah kursi DPR ataupun 25% jumlah suara sah nasional dalam pemilu anggota DPR,PKPU No 15 tahun 2014 Pasal 5 ayat 1,Partai Politik dan/atau Gabungan Partai Politik yang dapat mengusulkan Bakal Pasangan Calon sebagaimana dimaksud dalam Pasal 4 huruf a harus memenuhi persyaratan: (a.) memperoleh kursi di DPR paling sedikit 20% (dua puluh persen) dari jumlah kursi DPR; atau (b.) memperoleh suara sah paling sedikit 25% (dua puluh lima persen) dari jumlah suara sah nasional dalam Pemilu Anggota DPR.
004,Bagaimana jika Partai Politik tidak mendapat suara sampai 25%?,Partai Politik dapat melakukan koalisi sehingga suara nasionalnya mencapat Ambang Batas Presidential (Presidential Threshold),PKPU No 15 Tahun 2014,Partai Politik dan/atau Gabungan Partai Politik yang dapat mengusulkan Bakal Pasangan Calon sebagaimana dimaksud dalam Pasal 4 huruf a harus memenuhi persyaratan: (a.) memperoleh kursi di DPR paling sedikit 20% (dua puluh persen) dari jumlah kursi DPR; atau (b.) memperoleh suara sah paling sedikit 25% (dua puluh lima persen) dari jumlah suara sah nasional dalam Pemilu Anggota DPR.
005,Apa saja syarat menjadi Calon Presiden dan Wakil Presiden?,"Persyaratan menjadi calon Presiden dan Wakil Presiden adalah: (a.) bertakwa kepada Tuhan Yang Maha Esa; (b.) Warga Negara Indonesia sejak kelahirannya dan tidak pernah menerima kewarganegaraan lain karena kehendaknya sendiri; (c.) tidak pernah mengkhianati negara, serta tidak pernah melakukan tindak pidana korupsi dan tindak pidana berat lainnya; (d.) mampu secara rohani dan jasmani untuk melaksanakan tugas dan kewajiban sebagai Presiden dan Wakil Presiden; (e.) bertempat tinggal di wilayah Negara Kesatuan Republik Indonesia; (f.) telah melaporkan kekayaannya kepada instansi yang berwenang memeriksa laporan kekayaan penyelenggara negara; (g.) tidak sedang memiliki tanggungan utang secara perseorangan dan/atau secara badan hukum yang menjadi tanggung jawabnya yang merugikan keuangan negara; (h.) tidak sedang dinyatakan pailit berdasarkan putusan pengadilan; (i.) tidak pernah melakukan perbuatan tercela; (j.) terdaftar sebagai Pemilih; (k.) memiliki Nomor Pokok Wajib Pajak (NPWP) dan telah melaksanakan kewajiban membayar pajak selama 5 (lima) tahun terakhir yang dibuktikan dengan Surat Pemberitahuan Tahunan Pajak Penghasilan Wajib Pajak Orang Pribadi; (l.) belum pernah menjabat sebagai Presiden atau Wakil Presiden selama 2 (dua) kali masa jabatan dalam jabatan yang sama; (m.) setia kepada Pancasila sebagai Dasar Negara, Undang- Undang Dasar Negara Republik Indonesia Tahun 1945, dan cita-cita Proklamasi Kemerdekaan 17 Agustus 1945; (n.) tidak pernah dijatuhi pidana penjara berdasarkan putusan pengadilan yang telah mempunyai kekuatan hukum tetap karena melakukan tindak pidana yang diancam dengan pidana penjara 5 (lima) tahun atau lebih; (o.) berusia sekurang-kurangnya 35 (tiga puluh lima) tahun; (p.) berpendidikan paling rendah tamat Sekolah Menengah Atas (SMA), Madrasah Aliyah (MA), Sekolah Menengah Kejuruan (SMK), Madrasah Aliyah Kejuruan (MAK), atau bentuk lain yang sederajat; (q.) bukan bekas anggota organisasi terlarang Partai Komunis Indonesia, termasuk organisasi massanya, atau bukan orang yang terlibat langsung dalam G.30.S/PKI; dan (r.) memiliki visi, misi, dan program dalam melaksanakan pemerintahan Negara Republik Indonesia.",PKPU No 15 Tahun 2014,"Persyaratan menjadi calon Presiden dan Wakil Presiden adalah: (a.) bertakwa kepada Tuhan Yang Maha Esa; (b.) Warga Negara Indonesia sejak kelahirannya dan tidak pernah menerima kewarganegaraan lain karena kehendaknya sendiri; (c.) tidak pernah mengkhianati negara, serta tidak pernah melakukan tindak pidana korupsi dan tindak pidana berat lainnya; (d.) mampu secara rohani dan jasmani untuk melaksanakan tugas dan kewajiban sebagai Presiden dan Wakil Presiden; (e.) bertempat tinggal di wilayah Negara Kesatuan Republik Indonesia; (f.) telah melaporkan kekayaannya kepada instansi yang berwenang memeriksa laporan kekayaan penyelenggara negara; (g.) tidak sedang memiliki tanggungan utang secara perseorangan dan/atau secara badan hukum yang menjadi tanggung jawabnya yang merugikan keuangan negara; (h.) tidak sedang dinyatakan pailit berdasarkan putusan pengadilan; (i.) tidak pernah melakukan perbuatan tercela; (j.) terdaftar sebagai Pemilih; (k.) memiliki Nomor Pokok Wajib Pajak (NPWP) dan telah melaksanakan kewajiban membayar pajak selama 5 (lima) tahun terakhir yang dibuktikan dengan Surat Pemberitahuan Tahunan Pajak Penghasilan Wajib Pajak Orang Pribadi; (l.) belum pernah menjabat sebagai Presiden atau Wakil Presiden selama 2 (dua) kali masa jabatan dalam jabatan yang sama; (m.) setia kepada Pancasila sebagai Dasar Negara, Undang- Undang Dasar Negara Republik Indonesia Tahun 1945, dan cita-cita Proklamasi Kemerdekaan 17 Agustus 1945; (n.) tidak pernah dijatuhi pidana penjara berdasarkan putusan pengadilan yang telah mempunyai kekuatan hukum tetap karena melakukan tindak pidana yang diancam dengan pidana penjara 5 (lima) tahun atau lebih; (o.) berusia sekurang-kurangnya 35 (tiga puluh lima) tahun; (p.) berpendidikan paling rendah tamat Sekolah Menengah Atas (SMA), Madrasah Aliyah (MA), Sekolah Menengah Kejuruan (SMK), Madrasah Aliyah Kejuruan (MAK), atau bentuk lain yang sederajat; (q.) bukan bekas anggota organisasi terlarang Partai Komunis Indonesia, termasuk organisasi massanya, atau bukan orang yang terlibat langsung dalam G.30.S/PKI; dan (r.) memiliki visi, misi, dan program dalam melaksanakan pemerintahan Negara Republik Indonesia."
006,Berapa lama masa Jabatan Presiden?,Masa Jabatan Presiden adalah 5 tahun,,
007,Apakah Presiden dapat dipilih kembali pada pemilu selanjutnya?,"Presiden dapat dipilih untuk kedua kali, namn batas masa Jabatan adalah 10 tahun berarti dapat dipilih dua kali",PKPU No 15 Tahun 2014 pasal 10,belum pernah menjabat sebagai Presiden atau Wakil Presiden selama 2 (dua) kali masa jabatan dalam jabatan yang sama;
008,Apakah pejabat negara dapat menjadi Calon Presiden?,Pejabat negara saat akan dicalonkan menjadi Capres atau Cawapres harus terlebih dahulu mengajukan pengunduran diri kepada instansi terkait,PKPU No 15 tahun 2014 Pasal 8,"Pejabat negara yang dicalonkan oleh Partai Politik atau Gabungan Partai Politik sebagai calon Presiden atau calon Wakil Presiden, harus mengundurkan diri dari jabatannya"
009,Apakah ada batasan umur untuk menjadi Calon Presiden?,Hanya terdapat batas minimal yaitu 35 Tahun sedangkan Maksimal belum ada,PKPU No 15 Tahun 2014 pasal 10,"Persyaratan menjadi calon Presiden dan Wakil Presiden adalah: (a.) bertakwa kepada Tuhan Yang Maha Esa; (b.) Warga Negara Indonesia sejak kelahirannya dan tidak pernah menerima kewarganegaraan lain karena kehendaknya sendiri; (c.) tidak pernah mengkhianati negara, serta tidak pernah melakukan tindak pidana korupsi dan tindak pidana berat lainnya; (d.) mampu secara rohani dan jasmani untuk melaksanakan tugas dan kewajiban sebagai Presiden dan Wakil Presiden; (e.) bertempat tinggal di wilayah Negara Kesatuan Republik Indonesia; (f.) telah melaporkan kekayaannya kepada instansi yang berwenang memeriksa laporan kekayaan penyelenggara negara; (g.) tidak sedang memiliki tanggungan utang secara perseorangan dan/atau secara badan hukum yang menjadi tanggung jawabnya yang merugikan keuangan negara; (h.) tidak sedang dinyatakan pailit berdasarkan putusan pengadilan; (i.) tidak pernah melakukan perbuatan tercela; (j.) terdaftar sebagai Pemilih; (k.) memiliki Nomor Pokok Wajib Pajak (NPWP) dan telah melaksanakan kewajiban membayar pajak selama 5 (lima) tahun terakhir yang dibuktikan dengan Surat Pemberitahuan Tahunan Pajak Penghasilan Wajib Pajak Orang Pribadi; (l.) belum pernah menjabat sebagai Presiden atau Wakil Presiden selama 2 (dua) kali masa jabatan dalam jabatan yang sama; (m.) setia kepada Pancasila sebagai Dasar Negara, Undang- Undang Dasar Negara Republik Indonesia Tahun 1945, dan cita-cita Proklamasi Kemerdekaan 17 Agustus 1945; (n.) tidak pernah dijatuhi pidana penjara berdasarkan putusan pengadilan yang telah mempunyai kekuatan hukum tetap karena melakukan tindak pidana yang diancam dengan pidana penjara 5 (lima) tahun atau lebih; (o.) berusia sekurang-kurangnya 35 (tiga puluh lima) tahun; (p.) berpendidikan paling rendah tamat Sekolah Menengah Atas (SMA), Madrasah Aliyah (MA), Sekolah Menengah Kejuruan (SMK), Madrasah Aliyah Kejuruan (MAK), atau bentuk lain yang sederajat; (q.) bukan bekas anggota organisasi terlarang Partai Komunis Indonesia, termasuk organisasi massanya, atau bukan orang yang terlibat langsung dalam G.30.S/PKI; dan (r.) memiliki visi, misi, dan program dalam melaksanakan pemerintahan Negara Republik Indonesia."
010,Apakah perlu dilakukan tes kesehatan bagi bakal capres?,Capres dan Cawapres harus terlebih dahulu melaksanakan tes kesehatan di Rumah Sakit yang telah ditunjuk KPU dan IDI,PKPU No 15 tahun 2014 Pasal 14,surat keterangan hasil pemeriksaan jasmani dan rohani Bakal Pasangan Calon dari rumah sakit yang ditunjuk oleh KPU;
