lembaga,tahun,id_provinsi,nama_provinsi,id_dapil,nama_dapil,id_partai,nama_partai,urutan,id,nama,suara_sah,peringkat_suara_sah_calon,terpilih
DPD,2014,11,ACEH,1100-00-0000,ACEH,,,1,1100-00-0000-0001,ADNAN N.S,75821,11,False
DPD,2014,11,ACEH,1100-00-0000,ACEH,,,2,1100-00-0000-0002,"Dr. AHMAD FARHAN HAMID, M.S.",114010,5,False
DPD,2014,11,ACEH,1100-00-0000,ACEH,,,3,1100-00-0000-0003,"Drs. H. ANHARUDDIN, S.E., M.M.",45415,13,False
DPD,2014,11,ACEH,1100-00-0000,ACEH,,,4,1100-00-0000-0004,ANWAR,27525,28,False
DPD,2014,11,ACEH,1100-00-0000,ACEH,,,5,1100-00-0000-0005,"H. ASY'ARI, S.Pd.I.",87750,8,False
DPD,2014,11,ACEH,1100-00-0000,ACEH,,,6,1100-00-0000-0006,"Drs. AZHARI USMAN, M.Si.",89360,7,False
DPD,2014,11,ACEH,1100-00-0000,ACEH,,,7,1100-00-0000-0007,DASLELIATY,30631,23,False
DPD,2014,11,ACEH,1100-00-0000,ACEH,,,8,1100-00-0000-0008,"ERDARINA, S.P.",52946,12,False
DPD,2014,11,ACEH,1100-00-0000,ACEH,,,9,1100-00-0000-0009,"FACHRUL RAZI, M.I.P.",345915,1,True
DPD,2014,11,ACEH,1100-00-0000,ACEH,,,10,1100-00-0000-0010,"H. FACHRURRAZI, S.E.",42841,16,False
DPD,2014,11,ACEH,1100-00-0000,ACEH,,,11,1100-00-0000-0011,FAUZAN AZIMA S,38502,21,False
DPD,2014,11,ACEH,1100-00-0000,ACEH,,,12,1100-00-0000-0012,FAZLUN HASAN,79916,10,False
DPD,2014,11,ACEH,1100-00-0000,ACEH,,,13,1100-00-0000-0013,Drs. H. GHAZALI ABBAS ADAN,144505,2,True
DPD,2014,11,ACEH,1100-00-0000,ACEH,,,14,1100-00-0000-0014,HERIANTO,40952,19,False
DPD,2014,11,ACEH,1100-00-0000,ACEH,,,15,1100-00-0000-0015,Drs. IBRAHIM SALEH,24242,30,False
DPD,2014,11,ACEH,1100-00-0000,ACEH,,,16,1100-00-0000-0016,"IDHAM, S.P.",29361,25,False
DPD,2014,11,ACEH,1100-00-0000,ACEH,,,17,1100-00-0000-0017,"IRSALINA HUSNA AZWIR, S.Ked.",41598,18,False
DPD,2014,11,ACEH,1100-00-0000,ACEH,,,18,1100-00-0000-0018,Drs. H. M. YUSUF ISHAQ,38688,20,False
DPD,2014,11,ACEH,1100-00-0000,ACEH,,,19,1100-00-0000-0019,"Dra. Hj. MEDIATI HAFNI HANUM, SH., M.Kn.",42628,17,False
DPD,2014,11,ACEH,1100-00-0000,ACEH,,,20,1100-00-0000-0020,"MUHAMMAD YUSUF, S.E.",25442,29,False
DPD,2014,11,ACEH,1100-00-0000,ACEH,,,21,1100-00-0000-0021,"MUKHTAR, S.E.",8154,40,False
DPD,2014,11,ACEH,1100-00-0000,ACEH,,,22,1100-00-0000-0022,MURSYID,83857,9,False
DPD,2014,11,ACEH,1100-00-0000,ACEH,,,23,1100-00-0000-0023,"MUSLIM, S.E.",13998,36,False
DPD,2014,11,ACEH,1100-00-0000,ACEH,,,24,1100-00-0000-0024,"NAZIR ADAM, S.E., M.M.",103928,6,False
DPD,2014,11,ACEH,1100-00-0000,ACEH,,,25,1100-00-0000-0025,RAFLI,134509,4,True
DPD,2014,11,ACEH,1100-00-0000,ACEH,,,26,1100-00-0000-0026,"SAIFUDDIN GANI, S.H.",11320,39,False
DPD,2014,11,ACEH,1100-00-0000,ACEH,,,27,1100-00-0000-0027,SUDIRMAN,136964,3,True
DPD,2014,11,ACEH,1100-00-0000,ACEH,,,28,1100-00-0000-0028,"SUPARNO, S.T.P.",31030,22,False
DPD,2014,11,ACEH,1100-00-0000,ACEH,,,29,1100-00-0000-0029,"SYAMSUDDIN A JALIL, S.H.",21433,31,False
DPD,2014,11,ACEH,1100-00-0000,ACEH,,,30,1100-00-0000-0030,H. T. BACHRUM MANYAK,43539,15,False
DPD,2014,11,ACEH,1100-00-0000,ACEH,,,32,1100-00-0000-0032,"Ir. H. T. SURIANSYAH, M.Si.",13813,37,False
DPD,2014,11,ACEH,1100-00-0000,ACEH,,,31,1100-00-0000-0031,"TARMILIN USMAN, SE, M.Si.",18281,34,False
DPD,2014,11,ACEH,1100-00-0000,ACEH,,,33,1100-00-0000-0033,"TEUKU EDDY FAISAL RUSYDI, S.H.I., M.Sc.",18190,35,False
DPD,2014,11,ACEH,1100-00-0000,ACEH,,,34,1100-00-0000-0034,"TEUKU KAMARUZZAMAN, S.H.",44283,14,False
DPD,2014,11,ACEH,1100-00-0000,ACEH,,,35,1100-00-0000-0035,H. TEUKU MUKHTAR ANSHARI Z.A,19161,32,False
DPD,2014,11,ACEH,1100-00-0000,ACEH,,,36,1100-00-0000-0036,TGK. T. ABDUL MUTHALIB,29354,26,False
DPD,2014,11,ACEH,1100-00-0000,ACEH,,,37,1100-00-0000-0037,TGK. H. ABDURRAHMAN B.T.M,30091,24,False
DPD,2014,11,ACEH,1100-00-0000,ACEH,,,38,1100-00-0000-0038,TGK. H. RASYIDIN ABDULLAH,28443,27,False
DPD,2014,11,ACEH,1100-00-0000,ACEH,,,39,1100-00-0000-0039,"Ir. TGK. H. SUBKI EL MADNY, M.T.",12918,38,False
DPD,2014,11,ACEH,1100-00-0000,ACEH,,,40,1100-00-0000-0040,H. WAISUL QARANI ALY,18810,33,False
DPD,2014,12,SUMATERA UTARA,1200-00-0000,SUMATERA UTARA,,,1,1200-00-0000-0001,"Dr. BADIKENITA B.R SITEPU, S.E., M. Si.",383569,5,False
DPD,2014,12,SUMATERA UTARA,1200-00-0000,SUMATERA UTARA,,,2,1200-00-0000-0002,"Dr. Ir. BENNY PASARIBU, M.Ec.",345444,8,False
DPD,2014,12,SUMATERA UTARA,1200-00-0000,SUMATERA UTARA,,,3,1200-00-0000-0003,Drs. BINROT RAJAGUKGUK,94997,17,False
DPD,2014,12,SUMATERA UTARA,1200-00-0000,SUMATERA UTARA,,,4,1200-00-0000-0004,Prof. Dr. Ir. Hj. DARMAYANTI LUBIS,622168,1,True
DPD,2014,12,SUMATERA UTARA,1200-00-0000,SUMATERA UTARA,,,5,1200-00-0000-0005,DARWIN HAMONANGAN LUBIS,129928,15,False
DPD,2014,12,SUMATERA UTARA,1200-00-0000,SUMATERA UTARA,,,6,1200-00-0000-0006,"DEDI ISKANDAR BATUBARA, S.Sos., S.H., M.S.P.",430516,4,True
DPD,2014,12,SUMATERA UTARA,1200-00-0000,SUMATERA UTARA,,,7,1200-00-0000-0007,"Drs. E.B. SINAGA, M.M.",183182,13,False
DPD,2014,12,SUMATERA UTARA,1200-00-0000,SUMATERA UTARA,,,8,1200-00-0000-0008,EDDY G.P MANURUNG,143943,14,False
DPD,2014,12,SUMATERA UTARA,1200-00-0000,SUMATERA UTARA,,,9,1200-00-0000-0009,Ir. EDISON SIANTURI,,,False
DPD,2014,12,SUMATERA UTARA,1200-00-0000,SUMATERA UTARA,,,10,1200-00-0000-0010,"EKA DHARMAYANTO, S.E.",97768,16,False
DPD,2014,12,SUMATERA UTARA,1200-00-0000,SUMATERA UTARA,,,11,1200-00-0000-0011,"Ir. ERICK SITOMPUL, M.H.",75879,21,False
DPD,2014,12,SUMATERA UTARA,1200-00-0000,SUMATERA UTARA,,,12,1200-00-0000-0012,Drs. HARIS,81675,20,False
DPD,2014,12,SUMATERA UTARA,1200-00-0000,SUMATERA UTARA,,,13,1200-00-0000-0013,IBRAHIM SAKTY BATUBARA,274519,10,False
DPD,2014,12,SUMATERA UTARA,1200-00-0000,SUMATERA UTARA,,,14,1200-00-0000-0014,"MANANDUS SITANGGANG, S.Sos.",92156,18,False
DPD,2014,12,SUMATERA UTARA,1200-00-0000,SUMATERA UTARA,,,15,1200-00-0000-0015,"MUHAMMAD NUH, M.S.P.",378657,6,False
DPD,2014,12,SUMATERA UTARA,1200-00-0000,SUMATERA UTARA,,,16,1200-00-0000-0016,Drs. Ir. NAGASAKTI PERANGIN-ANGIN,66912,22,False
DPD,2014,12,SUMATERA UTARA,1200-00-0000,SUMATERA UTARA,,,17,1200-00-0000-0017,"PARLINDUNGAN PURBA, S.H., M.M.",440032,3,True
DPD,2014,12,SUMATERA UTARA,1200-00-0000,SUMATERA UTARA,,,18,1200-00-0000-0018,"RAFDINAL, S.Sos., M.A.P.",83739,19,False
DPD,2014,12,SUMATERA UTARA,1200-00-0000,SUMATERA UTARA,,,19,1200-00-0000-0019,"RAHMAT HIDAYAT, S.E.",183678,12,False
DPD,2014,12,SUMATERA UTARA,1200-00-0000,SUMATERA UTARA,,,20,1200-00-0000-0020,Drs. H. RIJAL SIRAIT,445059,2,True
DPD,2014,12,SUMATERA UTARA,1200-00-0000,SUMATERA UTARA,,,21,1200-00-0000-0021,RUDOLF MAZUOKA PARDEDE,226487,11,False
DPD,2014,12,SUMATERA UTARA,1200-00-0000,SUMATERA UTARA,,,22,1200-00-0000-0022,"Drs. H. SYARIFUL MAHYA BANDAR, M.A.P.",364662,7,False
DPD,2014,12,SUMATERA UTARA,1200-00-0000,SUMATERA UTARA,,,23,1200-00-0000-0023,"Dr. TOGU HARLEN LBN. RAJA, S.E., M.Si.",43421,23,False
DPD,2014,12,SUMATERA UTARA,1200-00-0000,SUMATERA UTARA,,,24,1200-00-0000-0024,"TURUNAN GULO, S.P., M.S.P.",295889,9,False
DPD,2014,13,SUMATERA BARAT,1300-00-0000,SUMATERA BARAT,,,1,1300-00-0000-0001,"Hj. AFRIZALTY, S.H",70987,10,False
DPD,2014,13,SUMATERA BARAT,1300-00-0000,SUMATERA BARAT,,,2,1300-00-0000-0002,"H. ALIRMAN SORI, S.H., M.Hum., M.M.",123140,7,False
DPD,2014,13,SUMATERA BARAT,1300-00-0000,SUMATERA BARAT,,,3,1300-00-0000-0003,"Ir. H. ANDI HARMAINI, M.M",67457,11,False
DPD,2014,13,SUMATERA BARAT,1300-00-0000,SUMATERA BARAT,,,4,1300-00-0000-0004,"DAVIP MALDIAN, S.Sos",46613,16,False
DPD,2014,13,SUMATERA BARAT,1300-00-0000,SUMATERA BARAT,,,5,1300-00-0000-0005,Hj. EMMA YOHANNA,314053,2,True
DPD,2014,13,SUMATERA BARAT,1300-00-0000,SUMATERA BARAT,,,6,1300-00-0000-0006,"Dr. Ir. H. HERMAN DARNEL IBRAHIM, M.Sc",135787,6,False
DPD,2014,13,SUMATERA BARAT,1300-00-0000,SUMATERA BARAT,,,7,1300-00-0000-0007,Drs. H. IRDINANSYAH TARMIZI,,,False
DPD,2014,13,SUMATERA BARAT,1300-00-0000,SUMATERA BARAT,,,8,1300-00-0000-0008,IRMAN GUSMAN,407443,1,True
DPD,2014,13,SUMATERA BARAT,1300-00-0000,SUMATERA BARAT,,,9,1300-00-0000-0009,JEFFRIE GEOVANIE,195930,3,True
DPD,2014,13,SUMATERA BARAT,1300-00-0000,SUMATERA BARAT,,,10,1300-00-0000-0010,Drs. JHONI AFRIZAL,51657,14,False
DPD,2014,13,SUMATERA BARAT,1300-00-0000,SUMATERA BARAT,,,11,1300-00-0000-0011,"H. LEONARDY HARMAINY Dt. BANDARO BASA, S.I.P., M.H.",146466,5,False
DPD,2014,13,SUMATERA BARAT,1300-00-0000,SUMATERA BARAT,,,12,1300-00-0000-0012,"Drs. M. SAYUTI, M.Pd",29501,19,False
DPD,2014,13,SUMATERA BARAT,1300-00-0000,SUMATERA BARAT,,,13,1300-00-0000-0013,"H. M. YAMIN FERRIANTO TARA, S.E",39150,17,False
DPD,2014,13,SUMATERA BARAT,1300-00-0000,SUMATERA BARAT,,,14,1300-00-0000-0014,"Drs. H. MARDINAS N. SYAIR, M.M., M.H",58130,12,False
DPD,2014,13,SUMATERA BARAT,1300-00-0000,SUMATERA BARAT,,,15,1300-00-0000-0015,"MASRIZAL MUNAF, S.T., M.M",81595,9,False
DPD,2014,13,SUMATERA BARAT,1300-00-0000,SUMATERA BARAT,,,16,1300-00-0000-0016,H. MIZWAR ABBAS,53503,13,False
DPD,2014,13,SUMATERA BARAT,1300-00-0000,SUMATERA BARAT,,,17,1300-00-0000-0017,MUHAMMAD RAHMAD,107656,8,False
DPD,2014,13,SUMATERA BARAT,1300-00-0000,SUMATERA BARAT,,,18,1300-00-0000-0018,"H. NOFI CANDRA, S.E",169268,4,True
DPD,2014,13,SUMATERA BARAT,1300-00-0000,SUMATERA BARAT,,,19,1300-00-0000-0019,RAHMAD HIDAYAT,17311,23,False
DPD,2014,13,SUMATERA BARAT,1300-00-0000,SUMATERA BARAT,,,20,1300-00-0000-0020,"H. SANI MARIKO, S.H., M.Hum",30006,18,False
DPD,2014,13,SUMATERA BARAT,1300-00-0000,SUMATERA BARAT,,,21,1300-00-0000-0021,S.T. KHAIRUL AZMI Dt. BIJO DIRAJO,24373,21,False
DPD,2014,13,SUMATERA BARAT,1300-00-0000,SUMATERA BARAT,,,22,1300-00-0000-0022,SYAFWAN Dt. SAMPONO ALAM,12604,24,False
DPD,2014,13,SUMATERA BARAT,1300-00-0000,SUMATERA BARAT,,,23,1300-00-0000-0023,"YONG HENDRI, S.H",18022,22,False
DPD,2014,13,SUMATERA BARAT,1300-00-0000,SUMATERA BARAT,,,24,1300-00-0000-0024,"ZULHERMAN, S.Pd., M.M",50644,15,False
