lembaga,tahun,id_provinsi,nama_provinsi,id_dapil,nama_dapil,id_partai,nama_partai,urutan,id,nama,jenis_kelamin,agama,tempat_lahir,tanggal_lahir,status_perkawinan,nama_pasangan,jumlah_anak,kelurahan_tinggal,kecamatan_tinggal,kab_kota_tinggal,provinsi_tinggal,foto_url,tanggal_mulai,tanggal_berakhir,keterangan
DPD,2009,11,ACEH,1100-00-0000,ACEH,,,1,DPD001,Tgk. Abdurrahman,L,Islam,Buket Bata,1962-06-19,Kawin,,,,,,,,,,
DPD,2009,11,ACEH,1100-00-0000,ACEH,,,3,DPD002,"Dr. Ahmad Farhan Hamid, MS",L,Islam,Aceh,1953-01-21,Kawin,"Ir. Ferry Soraya, M.SIE",5,,,,,,,,
DPD,2009,11,ACEH,1100-00-0000,ACEH,,,20,DPD003,Mursyid,L,Islam,Aceh Tengah,1967-10-14,,,,,,,,,,,
DPD,2009,12,SUMATERA UTARA,1200-00-0000,SUMATERA UTARA,,,28,DPD004,Drs. Rudolf M. Pardede,L,Kristen,Baliage,1942-04-04,Kawin,Vera Natarida Br. Tambunan,4,,,,,,,,
DPD,2009,12,SUMATERA UTARA,1200-00-0000,SUMATERA UTARA,,,22,DPD005,"Parlindungan Purba, SH., MM",L,Kristen Katolik,Medan,1963-10-22,Kawin,"Dr. Maria Betty S, SPKK",3,,,,,,,,
DPD,2009,12,SUMATERA UTARA,1200-00-0000,SUMATERA UTARA,,,24,DPD006,Dr. H. Rahmat Shah,L,Islam,Perdagangan,1950-10-23,Kawin,,3,,,,,,,,
DPD,2009,12,SUMATERA UTARA,1200-00-0000,SUMATERA UTARA,,,8,DPD007,Prof. Dr. Ir. Hj. Darmayanti Lubis,P,Islam,Binjai,1951-05-06,Kawin,"Prof. Dr. Ir. H. Chalilullah Rangkuti, M.Sc.",3,,,,,,,,
DPD,2009,13,SUMATERA BARAT,1300-00-0000,SUMATERA BARAT,,,19,DPD008,"H. Irman Gusman, SE., MBA",L,Islam,Padang Panjang,1962-02-11,Kawin,,3,,,,,,,,
DPD,2009,13,SUMATERA BARAT,1300-00-0000,SUMATERA BARAT,,,13,DPD009,Hj. Emma Yohanna,P,Islam,Pasaman,1955-01-22,Kawin,"H. Hariadi, BE",4,,,,,,,,
DPD,2009,13,SUMATERA BARAT,1300-00-0000,SUMATERA BARAT,,,31,DPD010,"Riza Falepi, ST. MT",L,Islam,Payakumbuh,1970-06-17,Kawin,"Henny Yusnita, B.Sc., MT",3,,,,,,,,"Riza Falepi, ST. MT digantikan oleh H. AFRIZAL SE., MBA melalui Pergantian Antar Waktu pada Oktober 2012"
DPD,2009,13,SUMATERA BARAT,1300-00-0000,SUMATERA BARAT,,,3,DPD011,"Alirman Sori, SH., M.HUM., MM",L,Islam,Pesisir Selatan,1969-05-14,Kawin,Elfina,3,,,,,,,,
