lembaga,tahun,id_provinsi,nama_provinsi,id_dapil,nama_dapil,id_partai,nama_partai,urutan,id,nama,jenis_kelamin,agama,tempat_lahir,tanggal_lahir,status_perkawinan,nama_pasangan,jumlah_anak,kelurahan_tinggal,kecamatan_tinggal,kab_kota_tinggal,provinsi_tinggal,foto_url,tanggal_mulai,tanggal_berakhir,keterangan
DPR,2009,19,Babel,1901-00-0000,Babel,7,PARTAI DEMOKRAT,1,DPR001,H. Paiman,L,Islam,Bangka,1959-01-08,Kawin,"Maryati, SE",4,,,,,,,,
DPR,2009,19,Babel,1901-00-0000,Babel,4,PARTAI DEMOKRASI INDONESIA PERJUANGAN,1,DPR002,Ir. Rudianto Tjen,L,Kristen,Sungai Liat,1958-05-27,Kawin,Pryanti A. WIjaya,2,,,,,,,,
DPR,2009,19,Babel,1901-00-0000,Babel,5,PARTAI GOLONGAN KARYA,4,DPR003,"Ir. Basuki Tjahaya Purnama, MM",L,Kristen Protestan,Manggar,1966-06-29,Kawin,"Veronica, ST",3,,,,,,,,"Ir. Basuki Tjahaya Purnama, MM digantikan oleh Ir. H. AZHAR ROMLI, M.Si. pada Mei 2012"
DPR,2009,51,Bali,5101-00-0000,Bali,7,PARTAI DEMOKRAT,4,DPR004,"Gede Pasek Suardika, SH., MH",L,Hindu,"Singaraja, Bali",1969-07-21,Kawin,"Evie Lestari Andajani, SH",4,,,,,,,,"Gede Pasek Suardika, SH., MH. Pengganti Antar Waktu Ir. Jero Wacik (Menjadi Menteri Kebudayaan dan Pariwisata)"
DPR,2009,51,Bali,5101-00-0000,Bali,7,PARTAI DEMOKRAT,2,DPR005,"Drs. I Wayan Sugiana, MM",L,Hindu,Bali,1956-09-25,Kawin,Tri Kusatanti,3,,,,,,,,
DPR,2009,51,Bali,5101-00-0000,Bali,5,PARTAI GOLONGAN KARYA,1,DPR006,"Gde Sumarjaya Linggih, SE",L,Hindu,Buleleng,1965-10-22,Kawin,Ayu Onik Mindawati,4,,,,,,,,
DPR,2009,51,Bali,5101-00-0000,Bali,5,PARTAI GOLONGAN KARYA,3,DPR007,"I Gusti Ketut Adhiputra, SH",L,Hindu,Badung,1944-11-10,Kawin,Ida Ayu Ketut Mahendri,4,,,,,,,,
DPR,2009,51,Bali,5101-00-0000,Bali,4,PARTAI DEMOKRASI INDONESIA PERJUANGAN,1,DPR008,"Dr. Ir. Wayan Koster, MM",L,Hindu,Singaraja Bali,1962-10-20,Kawin,Ni Luh Putu Putri Swastini,2,,,,,,,,
DPR,2009,51,Bali,5101-00-0000,Bali,4,PARTAI DEMOKRASI INDONESIA PERJUANGAN,4,DPR009,"Drs. I Made Urip, M.Si",L,Hindu,Bra Cau,1959-12-31,Kawin,Ni Made Usmantari,2,,,,,,,,
DPR,2009,51,Bali,5101-00-0000,Bali,4,PARTAI DEMOKRASI INDONESIA PERJUANGAN,8,DPR010,I Nyoman Dhamantra,L,Hindu,Denpasar,1960-12-31,Kawin,Ni Made Putri Wardani,6,,,,,,,,
DPR,2009,51,Bali,5101-00-0000,Bali,4,PARTAI DEMOKRASI INDONESIA PERJUANGAN,2,DPR011,"I Gusti Agung Rai Wirajaya, SE., MM",L,Hindu,Denpasar,1965-12-16,Kawin,Anak Agung Sagung Yeni Ekawati,2,,,,,,,,
DPR,2009,51,Bali,5101-00-0000,Bali,6,PARTAI GERAKAN INDONESIA RAYA,1,DPR012,Agung Jelantik Sanjaya,L,Hindu,Denpasar,1952-04-24,Kawin,A.A. Ayu Masningsih,4,,,,,,,,
DPR,2009,36,Banten,3603-00-0000,Banten III,3,PARTAI KEADILAN SEJAHTERA,1,DPR013,"Hj. Yoyoh Yusroh, Spdi",P,Islam,Tangerang,1942-11-14,Kawin,H. Budi Darmawan,13,,,,,,,,"Hj. Yoyoh Yusroh, Spdi meninggal dunia dan digantikan oleh INDRA, SH pada Oktober 2011"
DPR,2009,36,Banten,3601-00-0000,Banten I,7,PARTAI DEMOKRAT,1,DPR014,"Dra. Hj. Ratu Siti Romlah, M.Ag",P,Islam,Pandeglang,1968-04-20,Kawin,Drs. H. Zainuddin,3,,,,,,,,
DPR,2009,36,Banten,3601-00-0000,Banten I,5,PARTAI GOLONGAN KARYA,1,DPR015,H. Mamat Rahayu Abdullah,L,Islam,Serang,1952-11-11,Kawin,Hj. Elly Warnelly,4,,,,,,,,"H. Mamat Rahayu Abdullah digantikan oleh TB. H. ACE HASAN SYADZILY, M.Si. melalui Pergantian Antar Waktu pada April 2013"
DPR,2009,36,Banten,3601-00-0000,Banten I,4,PARTAI DEMOKRASI INDONESIA PERJUANGAN,1,DPR016,TB. Dedi Suwandi Gumelar,L,Islam,Banten,1958-07-09,Kawin,Lisma Budhi Wahyuni,5,,,,,,,,
DPR,2009,36,Banten,3601-00-0000,Banten I,7,PARTAI DEMOKRAT,2,DPR017,"Hj. Iti Octavia Jayabaya, SE., MM",P,Islam,Lebak,1978-10-04,Belum Kawin,,,,,,,,,,
DPR,2009,36,Banten,3602-00-0000,Banten II,7,PARTAI DEMOKRAT,1,DPR018,"Laksda TNI (Purn) H. Adiyaman Amin Saputra, S.IP",L,Islam,Cirebon,1950-07-06,Kawin,Hj. Tanty Koestantina,3,,,,,,,,"Laksda TNI (Purn) H. Adiyaman Amin Saputra, S.IP digantikan oleh AHMAD RIFAI SUFTYADI, SE, SH melalui Pergantian Antar Waktu pada Oktober 2013"
DPR,2009,36,Banten,3602-00-0000,Banten II,5,PARTAI GOLONGAN KARYA,1,DPR019,Drs. H. Hikmat Tomet,L,Islam,Bandung,1955-06-05,Kawin,Hj. Rt. Atut Chosiyah,3,,,,,,,,
DPR,2009,36,Banten,3602-00-0000,Banten II,5,PARTAI GOLONGAN KARYA,2,DPR020,"H. Tubagus Iman Ariyadi, S.Ag., MM., M.Si",L,Islam,Serang,1974-07-10,Kawin,Hj. Ida Farida. S. Ag,1,,,,,,,,"H. Tubagus Iman Ariyadi, S.Ag., MM., M.Si mengundurkan diri karena menjadi wali kota cilegon periode 2010-2015"
DPR,2009,36,Banten,3602-00-0000,Banten II,4,PARTAI DEMOKRASI INDONESIA PERJUANGAN,2,DPR021,Ichsan Soelistio,L,Islam,Jakarta,1954-02-14,Kawin,Ike Herlina Soelistio,1,,,,,,,,Ichsan Soelistio Pengganti Antar Waktu Murdaya Widyawimarta Poo (Masalah Internal Partai)
DPR,2009,36,Banten,3602-00-0000,Banten II,3,PARTAI KEADILAN SEJAHTERA,1,DPR022,"Dr. Zulkieflimansyah, SE., M.Sc",L,Islam,Sumbawa,1972-05-18,Kawin,Niken Saptarini,5,,,,,,,,
DPR,2009,62,Kalteng,6201-00-0000,Kalteng,9,PARTAI PERSATUAN PEMBANGUNAN,1,DPR023,"Dra. Hj. Norhasanah, S.Ag, M.Si",P,Islam,Martapura,1962-11-09,Kawin,H. Rusnain Yahya,2,,,,,,,,
DPR,2009,36,Banten,3603-00-0000,Banten III,7,PARTAI DEMOKRAT,3,DPR024,"Hj. Himmatul Alyah Setiawaty, SH.,MH",P,Islam,Jakarta,1958-08-21,Kawin,"Suhartono, SE",2,,,,,,,,
DPR,2009,36,Banten,3603-00-0000,Banten III,7,PARTAI DEMOKRAT,2,DPR025,Ferrari Romawi,L,Islam,Semarang,1967-02-09,Kawin,"Nanda F Iwan, SH., MKn",1,,,,,,,,
DPR,2009,36,Banten,3603-00-0000,Banten III,5,PARTAI GOLONGAN KARYA,1,DPR026,"Ahmed Zaki Iskandar Zulkarnain, B.Bus",L,Islam,Tangerang,1973-12-14,Kawin,Tri Hesti Yulianti,2,,,,,,,,"Ahmed Zaki Iskandar Zulkarnain, B.Bus digantikan oleh Ebrown Lubuk melalui Pergantian Antar Waktu pada April 2013"
DPR,2009,36,Banten,3603-00-0000,Banten III,4,PARTAI DEMOKRASI INDONESIA PERJUANGAN,1,DPR027,"Irvansyah, S.IP",L,Islam,Jakarta,1976-07-02,Belum Kawin,,,,,,,,,,
DPR,2009,36,Banten,3603-00-0000,Banten III,3,PARTAI KEADILAN SEJAHTERA,2,DPR028,"H. Jajuli Juwaini, Lc., MA",L,Islam,Bekasi,1968-03-02,Kawin,Latipah,4,,,,,,,,
