id,participant_id,name,revenue,operating_expenses,capital_expenditures,other_expenses,balance,cash_special_account,cash_treasurer,goods
1,624,Sultan B Najamudin,99000000,0,0,,99000000,99000000,0,0
2,246,Ridwan Mukti,135000000,297850000,0,,-162850000,1131490981,-1294340,0
3,494,H. HASAN BASRI AGUS,110000000,0,0,,110000000,110000,0,0
4,441,"H. ZUMI ZOLA ZULKIFLI, S.TP, MA",2170000000,1763823135,105328000,,406176865,252588000,48260865,105328000
5,509,ZUKRI,1000000,0,0,,1000000,1000000,0,0
6,511,H. M. HARRIS,101000000,0,0,,101000000,0,0,0
7,537,H.SUYATNO,50000000,18000000,24900000,,7100000,5000000,2100000,0
8,749,H. SYAFRUDIN,500000,0,0,,500000,500000,,0
9,758,"H. HERMAN SANI, SH.,M.Si",30000000,6479000,0,,23521000,20000000,521000,0
10,775,Drs. H. WAN SYAMSIR YUS,106000000,4564000,0,,101436000,101000000,436000,0
11,661,"H. Syafaruddin Poti, SH",6000000,,,,,,6000000,
12,458,"Ir. H. Hafith Syukri, MM ",460100000,,,,,460100000,,
13,663,"H. Suparman, S.Sos, M.Si",27520000,17512500,,,487500,,,
14,583,"H. SUHARTONO, SH",100100000,,,,,100100000,,
15,983,"H.SYAMSUAR, M.Si",150200000,,,,150200000,,,
16,754,"Ir. H. INDRA CATRI, MSP., DT. MALAKO NAN PUTIAH",100100000,,,,,,100100000,
17,755,"IRWAN FIKRI, SH",1000000,,,,,,1000000,
18,1206,"Brigjen. TNI (Purn). Dr. Hj. Nurhajizah Marpaung, SH, MH",10000000,0,0,,10000000,0,0,0
19,729,"Drs. H. Taufan Gama Simatupang, M.AP",100100000,0,0,,100100000,0,0,0
20,546,"SILVESTER SIFORO, SH. MH",175000000,0,15000000,,0,160000000,0,0
21,947,"FRITS TOBO WAKASU, S.Pak, SH",500000,0,0,,0,0,0,0
22,547,SIMON DEWAR,1000000,0,0,,0,1000000,0,0
23,944,"ELISA KAMBU, S.Sos",30000000,0,0,,0,30000000,0,0
24,642,"I Nyoman Giri Prasta, S.Sos",Tidak diset,0,0,,0,0,0,0
25,646,"I Made Sudiana, SH., M.Si.",Tidak diset,0,0,,0,0,0,0
26,662,"Drs. H. ANSHARUDDIN, M.Si",151000000,58365000,7260000,,85375000,50990000,34385000,0
27,461,"DIMAS FEBRIANDIE, ST., MT",80000000,59852000,0,,20148000,1000000,19148000,0
28,22,"H. SUHARDI, SE",500000,90000,0,,1410000,1000000,410000,0
29,24,"Drs. H. M. RIDUAN DARLAN, M.SI",0,0,0,,50000000,0,0,0
30,349,K.H. SOFYAN YAHYA,1000000,1000000,0,,0,0,0,0
31,351,"H. DADANG MOH. NASER, SH., S.IP., M.I.Pol.",51000000,35902125,10500000,,15097875,995740,3602135,10500000
32,349,K.H. SOFYAN YAHYA,1000000,1000000,,,0,,,
33,1092,"Ir. H. HERWIN YATIM, MM",Tidak Diset,,,,,,,
34,1095,"H. M. SOPHIAN MILE, SE, MM",Tidak Diset,,,,,,,
35,1090,Drs. H. MA'MUN AMIR,Tidak Diset,,,,,,,
36,1142,"Sofyan Kaepa, SH",480000,445000,34750000,,Tidak diset,Tidak diset,Tidak diset,Tidak diset
37,1139,"Moh. Tanjung S, Dg. Pawara, SE",1000000,,,,1000000,,,
38,1140,Drs. H. Wenny Bukamo,10313224,7650000,,,2663224,2013224,650000,
39,1141,"H. Musir A. Madja, SH, MM",,,,,0,250000,-250000,
40,415,"H. SUKIRMAN, SH",3000000,,,,3000000,3000000,,
41,650,"Ust. H. ZUHRI M. SYAZALI, Lc., MA",103000000,,,,103000000,103000000,,
42,558,"Drs. H. PARHAN ALI, MM",500000000,,,,500000000,,500000000,
43,707,H. JAMRO H. JALIL,52000000,18500000,,,,,52000000,
44,708,"Drs. JUSTIAR NOER, ST, MM, M.Si",2000000,,,,2000000,2000000,,
45,430,"RINA TAROL, SE",27000000,,,,27000000,27000000,,
46,422,"H. ERZALDI ROSMAN, SE, MM",49000000,31070000,835000,,17095000,9000000,8095000,
47,423,Ir. H. PATRIANUSA SJAHRUN,5000000,,,,5000000,5000000,,
48,859,"I Made Gianyar,SH.,M.Hum",1000144,,,4000,996144,996144,,
49,861,"Drs. Ida Bagus Brahmaputra, S.Sos., MM",1000658,,,50000,950658,,,
50,452,KH. Khalilurrahman,1000000,250000,,,750000,,,
51,1245,"H. Gusti Abidinsyah, S.Sos, MM",5000000,212000,10140000,,4788000,4788000,,
52,207,"DR. H.A. Fauzan Saleh, M.AG",1000000,400000,,,600000,600000,,
53,519,"Drs. H. Pangeran Chairiansjah, MM",235431660,224291660,10140000,,1000000,11140000,1000000,10140000
54,276,Hj. Sri Surya Widati,500000,,,,500000,500000,,
55,961,Drs. H. Suharsono,4940000,,,,4940000,4940000,,
56,553,"H. Abdullah Azwar Anas, M.Si",5000000,,,,5000000,5000000,,
57,790,"Ir. SUMANTRI SOEDOMO, MP",500000,,,,500000,,500000,
58,1026,H. M. MALKAN AMIN,127000000,32500000,2500000,,92500000,50000000,42500000,
59,561,Drs. H. ANDI ANWAR AKSA,21000000,,,,21000000,,,
60,548,"Ir. H. ANDI IDRIS SYUKUR, MS",1000000,,,,1000000,1000000,,
61,318,"SINWAN, S.H",400300000,199448000,,,200852000,200300000,552000,
62,1032,"CAMELIA PUJI ASTUTI, S.Sn, MA",205000000,,,,205000000,55000000,150000000,
63,242,"H. ARDIAN FAISAL, S.E, M.Si",101000000,15058000,84952000,,990000,990000,84952000,
64,598,Ir. H. SYAHIRSAH. SY,10500000,,,,10500000,10500000,,
65,934,H. Usmandie A Andeska,Tidak Diset,,,,,,,
66,931,"dr. Basuri Tjahaja Purnama, M.Gizi Sp.GK",Tidak Diset,,,,,,,
67,1155,"Yuslih Ihza, SE",Tidak Diset,,,,,,,
68,857,"VENTJE JACOBUS ROMAN ABANIT, SE, Akt",308696500,307696500,,,1000000,,,
69,1159,"drg. VALENTINUS PAREIRA, MM",245000000,145000000,,,100000000,,,
70,855,"WILLYBRODUS LAY, SH",410000000,365120000,25200000,,19680000,10000000,9680000,
71,486,"AMRIL MUKMININ, SE., MM",15000000,,,,14963938,14963938,,
72,1187,"Ir. H. HERLIYAN SALEH, M.Sc",50000000,,,,50000000,,50000000,
73,1188,"DR. H. SULAIMAN ZAKARIA, Dipl.Ps",100000000,20003281,,,79996719,79996719,,
74,481,"Sebastianus Darwis, SE., MM.",500000,,,,500000,500000,,
75,464,"Suryadman Gidot, M.Pd",19000000,5400000,9707000,,13600000,3893000,9707000,
76,850,Drs. H. Zainal Abidin Merahli,100000,,,,100000,100000,,
77,851,"H. Dirwan Mahmud, SH",200000,,,,200000,200000,,
78,520,H. Reskan Effendi,200000000,,,,200000000,200000000,,
79,521,"Ir. H. Ramlan Saim, MM.",500000,,,,500000,500000,,
80,38,Ir. Mian,200000,5500,,,194500,194500,,
81,374,Gunadi,300000,,,,300000,300000,,
82,308,"H. Yurman Hamedi,S.IP",119000000,99400000,19500000,,19600000,100000,,19500000
83,666,"H, Ahmad Rifai, ST.MM",2000000,,,,2000000,,,
84,544,"H. Muharram, S.Pd, MM",393392500,392392500,,,1000000,1000000,,
85,309,"DRS. H. SYAFRUDIN H.M.NUR.,M.PD",104000000,500000,,5000000,98500000,5000000,98500000,
86,1033,HJ. INDAH DHAMAYANTI PUTRI,71271650,,,,71271650,,71271650,
87,209,ADY MAHYUDI,51000000,25000000,10000000,,26000000,1000000,15000000,10000000
88,67,"ABDUL KHAYIR, SH, MH",204700000,198900000,4800000,,5800000,1000000,,4800000
89,715,DRS.KHAZALIK,100000000,15428000,,,84572000,10000000,74572000,
90,722,"APRI SUJADI, S.Sos",616750000,15750000,,,601000000,51000000,550000000,
91,228,H. DJOKO NUGROHO,154769000,107769000,,,47000000,5100000,41900000,
92,1044,"H. M. KUSNANTO, SH",501000000,48950000,186200000,,452050000,1000000,264850000,186200000
93,482,"H. ABU NAFI, SH",174435000,153735000,,,20700000,1000000,19700000,
94,348,"H. HERSON MAYULU, S.IP",,,,,0,200000,-200000,
95,654,DRS. AZHAR YASIN,,,,,0,150000,-150000,
96,1201,CANDRA MODEONG,10000000,,,,10000000,,10000000,
97,1200,SEHAN S LANDJAR. SH,10000000,,,,10000000,,10000000,
98,1205,"SAM SACHRUL MAMONTO, S.Sos",200000,,,,200000,,200000,
99,1009,INRAWANTO HASAN,100200000,64343500,30000000,,35856500,,5856500,30000000
100,806,AZAN PIOLA,166750000,166750000,,,500000,500000,,
101,826,DRS.H. ISMET MILE,10000000,,,,10000000,10000000,,
102,1007,HAMIM POU,150000000,70700000,522000,,78778000,500000,78278000,522000
103,28,SYAMSIR DJAFAR KIAYI,50000000,49750000,,,250000,250000,,
104,815,"H. MOH. KRIS WARTABONE, S.AP",10100000,9873000,,,227008,97008,130000,
105,698,"YESAYA MERASI, S.IP",Tidak Diset ,,,,,,,
106,682,HELENA TABYAROP,Tidak Diset ,,,,,,,
107,1124,"BENEDIKTUS TAMBONOP,S.STP",Tidak Diset ,,,,,,,
108,692,"YUSAK YALUWO, SH.MSi",Tidak Diset ,,,,,,,
109,480,"Agus Purmanto, SH., M.Si",601000000,,,,,1000000,600000000,
110,257,Drs. Seno Samodro,100100000,,,,100100000,100100000,,
111,906,"Hj. Jumrana Salikki, SE",201000000,175000000,,,26006159,26006159,,
112,718,"IR. H. MASYKUR A. SULTAN, MS",,,,,1000000,1000000,,
113,1199,H. A. M. SUKRI A. SAPPEWALI,5000000,,,,85000000,5000000,,80000000
114,908,"H. Askar. HL, SE",1000000,,,,1000000,1000000,,
115,1022,KAB. BURU SELATAN,1150000,,,,1150000,1150000,,
116,609,"Dr.LIET INGAI, M.Si",500137,,,,500137,500137,,
117,613,Drh. Oni Aprianur,401000000,,,,401000000,401000000,,
118,322,"H.SUDJATI, SH",101000000,50000000,,,51000000,51000000,,
119,479,"H. MASHURI, SP, ME",151000000,,,,151000000,1000000,150000000,
120,1008,"H. SUDIRMAN ZAINI, SH, MH",75000000,,70000000,,75000000,,5000000,70000000
121,742,Tagog Soulisa,200000000,196500000,400000,,3100000,1600000,1500000,
122,740,Hakim Patsey,100000000,77250000,,,22750000,500000,22250000,
123,529,Ridwan zakariah,175200000,70000000,,,105200000,105200000,,
124,1000,La Ode Abdul Ganiun,20000000,,,,20000000,20000000,,
125,1003,"Drs. Abu Hasan, M.Pd",31000000,,,,30995130,30995130,,
126,589,"Deni Sunarya, SH",Tidak diset,,,,,,,
127,1143,"H. Irvan Rivano Muchtar, S.IP, SH., M.Si",Tidak diset,,,,,,,
128,497,"dr. H. Suranto, MM",Tidak diset,,,,,,,
129,380,"Drs. H. Moh. Dachirin Said, SH, M.Si",25000000,20475000,,,9525000,5000000,4525000,
130,230,Drs. Harwanto,100000000,81173000,3500000,,15327000,100000,15227000,3500000
131,938,"H.M NATSIR, A.Ma",50000000,,,,50000000,50000000,,
132,405,"SUTAN RISKA TUANKU KERAJAAN, SE",10000000,,,,10000000,,10000000,
133,1164,"Ir. H. ADI GUNAWAN, M.M",10000000,,,,10000000,10000000,,
134,314,Drs. H. BAMBANG M. YASIN,509000000,,,,509000000,509000000,,
135,382,"SYAFRUDDIN, S.A.P",119650000,,,,500000,500000,,
136,640,"H. ABUBAKAR AHMAD, SH",,,,,25500000,500000,25000000,
137,312,"H. MULYADIN, SH,MH",1000000,295921000,,,1095000,,,
138,1101,"Drs. Donatu Nimbitkendit, M.Tp",Tidak diset ,,,,,,,
139,1102,"Ivan Ismail Madu, S.Sos",Tidak diset ,,,,,,,
140,1100,"Drs. Mohammad Uswanas, M.Si",Tidak diset ,,,,,,,
141,64,"Sukri I. Moonti, SH., MH",317625000,317365200,,,,,259800,
142,400,H. Tonny S. Junus,250264075,228814315,10000000,,11449760,11249760,200000,
143,627,"PROF. DR. Ir. Hi. NELSON POMALINGO, M.Pd",502000000,143517946,3810000,10000,508482054,501988054,2684000,3810000
144,398,"Dr. Hi. Rustam Hs. Akili, SE, SH, MH",201887000,200887000,1000000,,1000000,,1000000,
145,69,"Zukri Harmain, SE., ME",147500000,93500000,,,54000000,1000000,53000000,
146,913,"Hj. TENRI OLLE YASIN LIMPO, SH, M.Si",Tidak diset,,,,,,,
147,106,"IR. DJAMALUDDIN MAKNUN, MP",,,,,250000,250000,,
148,1249,DRS. H. SJACHRIR SJAFRUDDIN DG. JARUNG,Tidak diset,,,,- ,,,
149,275,DRS. ANDI MADDUSILA ANDI IDJO,Tidak diset ,,,,- ,,,
150,104,"ADNAN PURICHTA ICHSAN YL, SH",111378888,102490000,,,8888888,8888888,,
151,1013,"Dr. H. HUSNUL KHULUQ, Drs. M.M",100000000,,,,,100000000,,
152,1014,"Dr. Ir. H. SAMBARI HALIM RADIANTO, S.T., M.Si.",2000000,,,,,2000000,,
153,1015,"AHMAD NURHAMIM, S.Pi., M.Si.",,,,,2000000,2000000,,
154,484,"SRI SUMARNI, SH, MM",93575000,93575000,,,,1000000,,
155,930,"H. ICEK BASKORO, SH, MH",,,,,,1000000,,
156,535,"H. Djangkung Sudjarwadi, SH., LLM.",300000000,166270000,,,,100000000,33730000,
157,260,"Benyamin Sudarmadi, S.H.,M.Si.",50000000,,,,,50000000,,
158,636,H. Subardi TS ,1215000000,190094000,92393000,,,917850000,,
159,536,"Hj. Badingah,S.Sos",20300000,,,,,20300000,,
160,652,James Uang,Tidak diset,,,,,,,
161,421,"Risno Sadonda, ST",183525000,52699450,2449450,,,10000000,15050550,
162,625,M. Syukur Mandar. SH. MM,36250000,,,,,,36250000,
163,476,Danny Missy,21000000,,,,,,21000000,
164,801,Bahrain Kasuba,150000000,125105000,,,24895000,,24895000,
165,798,"Rusihan Jafar, S.Pd",50500000,46500000,3400000,,,,600000,3400000
166,799,"H. Amin Ahmad S.IP, MM ",520000000,495300000,23300000,,1400000,,1400000,23300000
167,803,"H. Ponsen Sarfa, ST. MM",10000000,,,,,,,
168,186,"ANJAS TAHER, SE.M.SI",4950000,,,,,,4950000,
169,496,"H.RUDY ERAWAN, SE. M.SI",61000000,,,,,61000000,,
170,490,"Dr. Drs. Piet Hein Babua, M.Si",210000000,75400000,,,,10000000,200000000,
171,194,"John R. Pattiasina, STP. M.Si",275000000,249186000,,,,1500000,25814000,
172,644,Ir. Frans Manery,100000000,75000000,24000000,,,1000000,,24000000
173,487,Dr. Hi. Kasman Hi Ahmad M.Pd,150000000,145875000,,,,1000000,60850000,
174,489,"dr. Harianto Tantry, SpOg. KFER",121425000,120425000,,,,1000000,,
175,448,"DR.Ir.H.HARUN NURASID,MM.,MT",110000000,,,,110000000,110000000,,
176,449,"H. ABDUL LATIF,ST.SH.MH",70000000,60691000,,,9309000,1000000,8309000,
177,112,ANDI MAHMUDI ,11000000,,,,11000000,11000000,,
178,571,DOSMAR BANJARNAHOR,100000000,66706500,,,33283577,19990077,13293500,
179,43,RIMSO MARULI SINAGA,100000000,30266000,,,,19734510,,
180,45,MARGANTI MANULLANG,325000000,,,,350000000,350000000,,
181,1284,"PALBET SIBORO, SE",Tidak diset,,,,,,,
182,317,Drs. H. T. MUKHTARUDDIN,211800000,,,,,,211800000,
183,617,"H. YOPI ARIANTO, SE",500000,,,,500000,,,
184,160,"TOTO SUCARTONO, SE",100000000,47000000,,,,53000000,,
185,808,HJ. ANNA SOPHANAH,7985000000,7985000000,,,7985000000,,,
186,386,"H. Sugiarto, S.H",1000000,,,,,1000000,,
187,630,"dr. Hj. FAIDA, MMR",500000000,86283750,120592000,,,66974000,39150250,
188,848,"I Putu Artha, SE., MM",200000,,,,200000,200000,,
189,849,"I Komang Sinatra, SH I ",200000,,,,200000,,200000,
190,1112,"Drs. Hasan Achmad, M.Si",10000000,9037000,,,963000,,,
191,686,Freddy Thie,70000000,12100000,,,58100000,1000000,57100000,
192,469,"Fransiskus Diaan, S.H",1500000000,5000000,,,,1000000,100000000,
193,478,"A. M. Nasir, SH",10000000,,,,,10000000,,
194,620,"I Made Sukerana, SH",Tidak diset,,,,,,,
195,262,"I Gusti Ayu Mas Sumantri, S.sos, M.Ap",Tidak diset,,,,,,,
196,867,"I Wayan Sudirta, SH",Tidak diset,,,,,,,
197,42,"NACE PERMANA, SE., M.Ikom",1000000,,,,,,,
198,219,"H. SAAN MUSTOPA, S.IP.,M.Si.",2000000,,,,,2000000,,
199,44,"H. DADAY HUDAYA, SH., MH",,,,,,32964376,,
200,40,"NANAN TARYANA, S.Pd",,,,,,500000,,
201,501,dr. CELLICA NURRACHADIANA,10000000,,,,,10000000,,
202,356,H. AKHMAD MARJUKI,10000000,,,,10000000,10000000,,
203,475,"Agusriono, SE",35500000,,,,35500000,35500000,,
204,48,Drs. H. R. Usman Aziz,Tidak diset,,,,,,,
205,473,Aunur Rafiq,51000000,,,,51000000,51000000,,
206,970,"Heben Heser Ginting, A.Md. SE",Tidak diset,,,,,,,
207,967,"Cuaca Bangun, SE. Ak, M.Si, SH, MH, CLA",Tidak diset,,,,,,,
208,972,"Pt. Layari Sinukaban, SIP",Tidak diset,,,,,,,
209,513,"Ir. Ramon Bangun, MBA",Tidak diset,,,,,,,
210,1252,"Terkelin Brahmana, SH",Tidak diset,,,,,,,
211,973,Bangkit Sitepu,Tidak diset,,,,,,,
212,514,Sudarto Sitepu,Tidak diset,,,,,,,
213,1167,"Kolonel Inf. YAKRAMAN YAGUS, SH",1000000,,,,,,1000000,
214,299,"Gusril Pausi, S. Sos",21000000,,,,,,21000000,
215,1173,Hj. YENNITA FITRIANI. MH,160500000,160000000,,,55000000,55000000,105500000,
216,299,"Gusril Pausi, S. Sos",21000000,,,,,,21000000,
217,901,"H. KHAYUB MOHAMAD LUTFI, SE",45679750,19661000,21018750,,,5000000,,21018750
218,902,"Ir.H. MOHAMMAD YAHYA FUAD, SE",165310000,164810000,,,,,500000,
219,907,"H. BAMBANG WIDODO, SE, MM",58600000,58600000,,,,,,
220,1010,"ARI PURNOMO ADI, DR",,,,,,5000000,,
221,827,HARYANTI,,,,,,500500000,,
222,585,"JANSEN MONIM, ST, MM.",251000000,,,,,,251000000,
223,591,"BENNY SWENY, S.Sos",500000,,,,,500000,,
224,588,"DRS. CELSIUS WATAE, MH",20000000,,,,,,20000000,
225,597,"DR. YUSUF WALLY, SE, MM",5000000,,,,,,5000000,
226,953,dr. Hj. WIDYA KANDI SUSANTI MM,1050000,7500,,,1042500,1042500,,
227,955,"dr. MIRNA ANNISA, M.Si",100000,,,,,,,
228,766,Dr.Ir.HIDAYATTULLAH SJAHID MM,,,,,,2000000,,
229,737,"BAMBANG SUGIANTO, SH.MH",13710000,,,,13710000,13710000,,
230,814,Ir. FIRDAUS JAILANI,11000000,428000000,60000000,,,10997041,,
231,812,Abdul Haris.SH,30500000,6000000,4000000,,20500000,20475000,25000,4000000
232,813,Azhar,71000000,33750000,16750000,,71000000,41985000,29015000,16750000
233,451,"Welhelm Daniel Kurnala, SH",411000000,392243400,17075000,,,1000000,681600,
234,1066,"Drs. Godlief Ambrosius A. Gainau, MS., S.AP., SE., M.Si",Tidak diset,,,,,,,
235,1068,"Obed Barends, B. Sc, S.Sos., M.Si",Tidak diset,,,,,,,
236,450,dr. Johan Donga,Tidak diset,,,,,,,
237,1137,TENGKU MUSTAFA,25000000,,14265000,,25000000,5000000,20000000,14265000
238,1138,"Drs. H. IRWAN, M.Si",160000000,32645,,,159967355,85070580,74925000,
239,249,MUH. BASLI ALI,472950000,465274250,,,7675750,1000000,6675750,
240,251,"H. SAIFUL ARIF, S.H",1200584000,1166256000,8088000,,26240000,20000000,6240000,
241,819,"AJI SUMARNO, S.STP., M.M",210700000,110700000,,,100000000,100000000,,
242,499,Hendrata Thes,8000000,,,,,,,
243,503,"H. Safi Pauwah, SH",11000000,,9000000,,,2000000,,
244,502,Ir. Rusmin Latara,101000000,190000000,,,6000000,,,
245,467,"Drs. H. ANDI DJAMIRUDDIN, M.Si.",151000000,,,,151000000,,151000000,
