lembaga,provinsi_id,dapil_id,partai_id,calon_urutan,calon_id,nama,kelamin,tinggal,agama,tempat_lahir,tanggal_lahir
DPD,11,,,1,DPD1101,ADNAN N.S,L,KOTA BANDA ACEH,,,
DPD,11,,,2,DPD1102,"Dr. AHMAD FARHAN HAMID, M.S.",L,KOTA BANDA ACEH,,,
DPD,11,,,3,DPD1103,"Drs. H. ANHARUDDIN, S.E., M.M.",L,KOTA SUBULUSSALAM,,,
DPD,11,,,4,DPD1104,ANWAR,L,KOTA BANDA ACEH,,,
DPD,11,,,5,DPD1105,"H. ASY'ARI, S.Pd.I.",L,KOTA LANGSA,,,
DPD,11,,,6,DPD1106,"Drs. AZHARI USMAN, M.Si.",L,KOTA BANDA ACEH,,,
DPD,11,,,7,DPD1107,DASLELIATY,P,KOTA BANDA ACEH,,,
DPD,11,,,8,DPD1108,"ERDARINA, S.P.",P,ACEH TENGGARA,,,
DPD,11,,,9,DPD1109,"FACHRUL RAZI, M.I.P.",L,KOTA LHOKSEUMAWE,,,
DPD,11,,,10,DPD1110,"H. FACHRURRAZI, S.E.",L,KOTA BANDA ACEH,,,
DPD,11,,,11,DPD1111,FAUZAN AZIMA S,L,ACEH TENGAH,,,
DPD,11,,,12,DPD1112,FAZLUN HASAN,L,KOTA LANGSA,,,
DPD,11,,,13,DPD1113,Drs. H. GHAZALI ABBAS ADAN,L,KOTA BANDA ACEH,,,
DPD,11,,,14,DPD1114,HERIANTO,L,ACEH BARAT DAYA,,,
DPD,11,,,15,DPD1115,Drs. IBRAHIM SALEH,L,ACEH BESAR,,,
DPD,11,,,16,DPD1116,"IDHAM, S.P.",L,KOTA MEDAN,,,
DPD,11,,,17,DPD1117,"IRSALINA HUSNA AZWIR, S.Ked.",P,KOTA BANDA ACEH,,,
DPD,11,,,18,DPD1118,Drs. H. M. YUSUF ISHAQ,L,PIDIE,,,
DPD,11,,,19,DPD1119,"Dra. Hj. MEDIATI HAFNI HANUM, SH., M.Kn.",P,KOTA BANDA ACEH,,,
DPD,11,,,20,DPD1120,"MUHAMMAD YUSUF, S.E.",L,ACEH UTARA,,,
DPD,11,,,21,DPD1121,"MUKHTAR, S.E.",L,ACEH BESAR,,,
DPD,11,,,22,DPD1122,MURSYID,L,JAKARTA SELATAN,,,
DPD,11,,,23,DPD1123,"MUSLIM, S.E.",L,NAGAN RAYA,,,
DPD,11,,,24,DPD1124,"NAZIR ADAM, S.E., M.M.",L,PIDIE,,,
DPD,11,,,25,DPD1125,RAFLI,L,ACEH BESAR,,,
DPD,11,,,26,DPD1126,"SAIFUDDIN GANI, S.H.",L,BIREUEN,,,
DPD,11,,,27,DPD1127,SUDIRMAN,L,KOTA LHOKSEUMAWE,,,
DPD,11,,,28,DPD1128,"SUPARNO, S.T.P.",L,ACEH BESAR,,,
DPD,11,,,29,DPD1129,"SYAMSUDDIN A JALIL, S.H.",L,ACEH BESAR,,,
DPD,11,,,30,DPD1130,H. T. BACHRUM MANYAK,L,KOTA BANDA ACEH,,,
DPD,11,,,31,DPD1131,"TARMILIN USMAN, SE, M.Si.",L,KOTA BANDA ACEH,,,
DPD,11,,,32,DPD1132,"Ir. H. T. SURIANSYAH, M.Si.",L,KOTA LHOKSEUMAWE,,,
