periode,id_partai,nama_partai,role,nama,id_calon,mata_uang,uang,nilai_barang,unit_barang,nilai_jasa,bentuk_jasa,jumlah,keterangan
2,7,Partai Demokrat,calon anggota legislatif,"H. TEUKU RIEFKY HARSYA B.Sc, MT",1101-00-0000-0701,Rp,,,,182550000,,182550000,
2,7,Partai Demokrat,calon anggota legislatif,"Ir. NOVA IRIANSYAH, MT",1101-00-0000-0702,Rp,,,,256050000,,256050000,
2,7,Partai Demokrat,calon anggota legislatif,Ir. Hj. NURSHANTI ADNAN,1101-00-0000-0703,Rp,,,,60000000,,60000000,
2,7,Partai Demokrat,calon anggota legislatif,M. ALI YAKOB,1101-00-0000-0704,Rp,,,,182250000,,182250000,
2,7,Partai Demokrat,calon anggota legislatif,"drg. TJUT FADLUNA PARAMITA,Sp.Ort",1101-00-0000-0705,Rp,,,,80000000,,80000000,
2,7,Partai Demokrat,calon anggota legislatif,"H. IBNU RUSDI, SE",1101-00-0000-0706,Rp,,,,400000000,,400000000,
2,7,Partai Demokrat,calon anggota legislatif,"Ir. Hj. SRI REZEKI TAKARINA, M.Si",1101-00-0000-0707,Rp,,,,29395000,,29395000,
2,7,Partai Demokrat,calon anggota legislatif,"MUSLIM, SHI, MM",1102-00-0000-0701,Rp,,,,525070000,,525070000,
2,7,Partai Demokrat,calon anggota legislatif,"TEUKU IRWAN, SE",1102-00-0000-0702,Rp,,,,733376000,,733376000,
2,7,Partai Demokrat,calon anggota legislatif,MIRNAWATI,1102-00-0000-0703,Rp,,,,90734462,,90734462,
2,7,Partai Demokrat,calon anggota legislatif,MIRWAN AMIR,1102-00-0000-0704,Rp,,,,205000000,,205000000,
2,7,Partai Demokrat,calon anggota legislatif,"YUDHA JOHANSYAH, SH",1102-00-0000-0705,Rp,,,,288200000,,288200000,
2,7,Partai Demokrat,calon anggota legislatif,"HJ. NAIMAH HASAN, Dra, MA",1102-00-0000-0706,Rp,,,,109964000,,109964000,
2,7,Partai Demokrat,calon anggota legislatif,"Ir. JERO WACIK, SE",5101-00-0000-0701,Rp,,,,200000000,,200000000,
2,7,Partai Demokrat,calon anggota legislatif,"Drs. I WAYAN SUGIANA, MM",5101-00-0000-0702,Rp,,,,236700000,,236700000,
2,7,Partai Demokrat,calon anggota legislatif,"TUTIK KUSUMA WARDHANI, SE, MM, M.Kes",5101-00-0000-0703,Rp,,,,63000000,,63000000,
2,7,Partai Demokrat,calon anggota legislatif,PUTU SUPADMA RUDANA,5101-00-0000-0704,Rp,,,,275235000,,275235000,
2,7,Partai Demokrat,calon anggota legislatif,I NENGAH SUTISNA,5101-00-0000-0705,Rp,,,,78000000,,78000000,
2,7,Partai Demokrat,calon anggota legislatif,RENANDA LAKSITA,5101-00-0000-0706,Rp,,,,56000000,,56000000,
2,7,Partai Demokrat,calon anggota legislatif,I PUTU SUDIARTANA,5101-00-0000-0707,Rp,,,,278350000,,278350000,
2,7,Partai Demokrat,calon anggota legislatif,"PUTU TAMAN INDRAYANI, SH",5101-00-0000-0708,Rp,,,,0,,0,
2,7,Partai Demokrat,calon anggota legislatif,"I GUSTI PUTU EKA MULYAWAN WIRA SENAPATI, SE, Ak",5101-00-0000-0709,Rp,,,,125000000,,125000000,
2,7,Partai Demokrat,calon anggota legislatif,EKO WIJAYA,1901-00-0000-0701,Rp,,,,315000000,,315000000,
2,7,Partai Demokrat,calon anggota legislatif,H. PAIMAN,1901-00-0000-0702,Rp,,,,189140000,,189140000,
2,7,Partai Demokrat,calon anggota legislatif,"Ir. KARTINI TILAWATI, M.Hum",1901-00-0000-0703,Rp,,,,35000000,,35000000,
2,7,Partai Demokrat,calon anggota legislatif,"Hj. ITI OCTAVIA JAYABAYA, SE, MM",3601-00-0000-0701,Rp,,,,0,,0,
2,7,Partai Demokrat,calon anggota legislatif,RATU SITI ROMLAH,3601-00-0000-0702,Rp,,,,419250000,,419250000,
2,7,Partai Demokrat,calon anggota legislatif,"H. TAUFIQUROKHMAN, S.Sos, M.Si",3601-00-0000-0703,Rp,,,,80000000,,80000000,
2,7,Partai Demokrat,calon anggota legislatif,SULAIMAN HAIKAL,3601-00-0000-0704,Rp,,,,11900000,,11900000,
2,7,Partai Demokrat,calon anggota legislatif,"VIVI SUMANTRI JAYABAYA,S.Sos",3601-00-0000-0705,Rp,,,,15000000,,15000000,
2,7,Partai Demokrat,calon anggota legislatif,"H. MUHAMMAD HARIS, SE",3601-00-0000-0706,Rp,,,,125725000,,125725000,
2,7,Partai Demokrat,calon anggota legislatif,"AHMAD RIFAI SUFTIADI, SH",3602-00-0000-0701,Rp,,,,243650000,,243650000,
2,7,Partai Demokrat,calon anggota legislatif,H. A'ENG HAERUDIN,3602-00-0000-0702,Rp,,,,22000000,,22000000,
2,7,Partai Demokrat,calon anggota legislatif,Hj. UTARI SOEKANTO,3602-00-0000-0703,Rp,,,,92500000,,92500000,
2,7,Partai Demokrat,calon anggota legislatif,Drs. H. MACHYAR b MUSA,3602-00-0000-0704,Rp,,,,250000000,,250000000,
2,7,Partai Demokrat,calon anggota legislatif,"SON HAJI UJAJI, M.Si",3602-00-0000-0705,Rp,,,,325000000,,325000000,
2,7,Partai Demokrat,calon anggota legislatif,CEMINIA TINARI T,3602-00-0000-0706,Rp,,,,146500000,,146500000,
2,7,Partai Demokrat,calon anggota legislatif,HARTANTO EDHIE WIBOWO,3603-00-0000-0701,Rp,,,,679000000,,679000000,
2,7,Partai Demokrat,calon anggota legislatif,"Drs. H. WAHIDIN HALIM, M.Si",3603-00-0000-0702,Rp,,,,316000000,,316000000,
2,7,Partai Demokrat,calon anggota legislatif,"Hj. HIMMATUL ALYAH SETIAWATY, SH, MH",3603-00-0000-0703,Rp,,,,74955000,,74955000,
2,7,Partai Demokrat,calon anggota legislatif,FERRARI ROEMAWI,3603-00-0000-0704,Rp,,,,880500000,,880500000,
2,7,Partai Demokrat,calon anggota legislatif,HARLIATI ASTERLIN ESTININGSIH,3603-00-0000-0705,Rp,,,,64875000,,64875000,
2,7,Partai Demokrat,calon anggota legislatif,"DR. Dr. H. SARDJANA, Sp.OG-K,SH",3603-00-0000-0706,Rp,,,,705589763,,705589763,
2,7,Partai Demokrat,calon anggota legislatif,"TATYANA S. SUTARA, SE, M.Si",3603-00-0000-0707,Rp,,,,171801000,,171801000,
2,7,Partai Demokrat,calon anggota legislatif,"HARYONO EDI HERMAWAN ST, SE, MM",3603-00-0000-0708,Rp,,,,1415400000,,1415400000,
2,7,Partai Demokrat,calon anggota legislatif,HM. TRISNO SANTOSO,3603-00-0000-0709,Rp,,,,0,,0,
2,7,Partai Demokrat,calon anggota legislatif,BOYKE NOVRIZON,3603-00-0000-0710,Rp,,,,494775000,,494775000,
2,7,Partai Demokrat,calon anggota legislatif,dr. DIAN AGRILEODA SYAKHROZA,1701-00-0000-0701,Rp,,,,450716000,,450716000,
2,7,Partai Demokrat,calon anggota legislatif,"Ir. HR MUCHLIS YS., MM",1701-00-0000-0702,Rp,,,,71180000,,71180000,
2,7,Partai Demokrat,calon anggota legislatif,YURIEKA AJENG SEPTIRIANA,1701-00-0000-0703,Rp,,,,100000000,,100000000,
2,7,Partai Demokrat,calon anggota legislatif,"H. INDRA SUNANDAR, SE",1701-00-0000-0704,Rp,,,,170000000,,170000000,
2,7,Partai Demokrat,calon anggota legislatif,KRMT. ROY SURYO NOTODIPROJO,3401-00-0000-0701,Rp,,,,85000000,,85000000,
2,7,Partai Demokrat,calon anggota legislatif,"AGUS BASTIAN, SE, MM",3401-00-0000-0702,Rp,,,,381876400,,381876400,
2,7,Partai Demokrat,calon anggota legislatif,WAHYUTI LIMIANY RAHAYU,3401-00-0000-0703,Rp,,,,142500000,,142500000,
2,7,Partai Demokrat,calon anggota legislatif,AMBAR TJAHYONO,3401-00-0000-0704,Rp,,,,379800000,,379800000,
2,7,Partai Demokrat,calon anggota legislatif,LUCIA DESTINA KRISTIANTI,3401-00-0000-0705,Rp,,,,340000000,,340000000,
2,7,Partai Demokrat,calon anggota legislatif,LULUK PUJI RAHAYU,3401-00-0000-0706,Rp,,,,1000000000,,1000000000,
2,7,Partai Demokrat,calon anggota legislatif,JEMMY SETIAWAN,3401-00-0000-0707,Rp,,,,426000000,,426000000,
2,7,Partai Demokrat,calon anggota legislatif,PC PUTUT PRASETYO UJIANTO,3401-00-0000-0708,Rp,,,,97330000,,97330000,
2,7,Partai Demokrat,calon anggota legislatif,"HAYONO ISMAN, SIP",3101-00-0000-0701,Rp,,,,273300000,,273300000,
2,7,Partai Demokrat,calon anggota legislatif,"H. TRI YULIANTO, SH",3101-00-0000-0702,Rp,,,,390000000,,390000000,
2,7,Partai Demokrat,calon anggota legislatif,DWI ASTUTI WULANDARI,3101-00-0000-0703,Rp,,,,300000000,,300000000,
2,7,Partai Demokrat,calon anggota legislatif,"Letjen TNI (Purn) CORNEL SIMBOLON, M.Sc",3101-00-0000-0704,Rp,,,,257500000,,257500000,
2,7,Partai Demokrat,calon anggota legislatif,"EDWIN JANNERLI TANDJUNG, SE",3101-00-0000-0705,Rp,,,,0,,0,
2,7,Partai Demokrat,calon anggota legislatif,"Dra. Hj. LUKI WIDIASTUTI T,M.Hum",3101-00-0000-0706,Rp,,,,59500000,,59500000,
2,7,Partai Demokrat,calon anggota legislatif,Hj. MELANI LEIMENA SUHARLI,3102-00-0000-0701,Rp,,,,353000000,,353000000,
2,7,Partai Demokrat,calon anggota legislatif,DR. KASTORIUS SINAGA,3102-00-0000-0702,Rp,,,,161665800,,161665800,
2,7,Partai Demokrat,calon anggota legislatif,FADJAR SAMPURNO,3102-00-0000-0703,Rp,,,,153000000,,153000000,
2,7,Partai Demokrat,calon anggota legislatif,JENNY RACHMAN,3102-00-0000-0704,Rp,,,,203729010,,203729010,
2,7,Partai Demokrat,calon anggota legislatif,Ir. DARMIZAL MS,3102-00-0000-0705,Rp,,,,265278000,,265278000,
2,7,Partai Demokrat,calon anggota legislatif,LUKMANUL HAKIM,3102-00-0000-0706,Rp,,,,84200000,,84200000,
2,7,Partai Demokrat,calon anggota legislatif,"Hj. HASNAENI, SE, MM",3102-00-0000-0707,Rp,,,,117298200,,117298200,
2,7,Partai Demokrat,calon anggota legislatif,Dr. H. MARZUKI ALIE,3103-00-0000-0701,Rp,,,,570000000,,570000000,
