id,judul_laporan,tanggal_kejadian,alamat,kelurahan_desa,kecamatan,kab_kota,provinsi,keterangan,kategori,status
00001,Hanura Ada di Atas PKB,2014-04-09 22:32,,,,Kota Tangerang Selatan,Banten,"Caleg DPRD Kota Tangerang Selatan Dapil VI Pamulang ternyata masih ingin kampanye.\n\nDari dimulainya masa tenang hingga hari pemilu 9 April 2014, poster kampanye dari caleg bernomor urut 7 bernama H. Afrianto masih terpasang di pohon Perumahan Gria Jakarta, Pamulang, Tangerang Selatan.\n\nPoster dari caleg partai Hanura tersebut persis tepampang di atas poster kampanye dari partai PKB bernama Drs. H. Tobaroni.\n\nFoto diambil pada 17.11 WIB.",Dugaan Pelanggaran Pidana,
00002,PKB Masih Kampanye,2014-04-09 22:23,,,,Kota Tangerang Selatan,Banten,"PKB ikut terlibat dalam dugaan pelanggaran. Hal tersebut karena masih adanya atribut kampanye berupa poster yang ditemukan terpasang di salah satu pohon Perumahan Gria Jakarta, Pamulang, Tangerang Selatan.\n\nPoster yang dimaksud memperlihatkan calon DPRD 1 Provinsi Banten, Drs. H. Tobaroni dari PKB.\n\nFoto diambil hari ini, 9 April 2014 pada 17.11 WIB.",Dugaan Pelanggaran Pidana,
00003,Posting berbau kampanye di Facebook Prabowo,2014-04-09 19:57,,,,Jakarta,DKI Jakarta,"Pelanggaran dilakukan oleh Capres Prabowo Subianto dengan cara memasang Cover Picture bertuliskan ""COBLOS NOMOR.6 PRABOWO PRESIDEN"". Pemasangan ini dilakukan pada masa tenang.",Dugaan Pelanggara Pidana,
00004,"Kertas suara sudah dicoblos, satu desa di Bogor batal memilih",2014-04-09 19:15,,,Ciampea,Bogor,Jawa Barat,"Para pemilih di Desa Benteng, Kecamatan Ciampea, Kabupaten Bogor menerima surat suara yang sudah dicoblos. Ini terjadi di hampir sebagian besar Tempat Pemungutan Suara (TPS). Total TPS di desa Benteng sebanyak 22 TPS, sebanyak 17 TPS diindikasikan telah terjadi kecurangan fatal karena kertas suara telah dicoblos. Kini warga satu desa ini akan mengulang pencoblosan dalam sepuluh hari ke depan.\n\nDi TPS 2 yang saya ikuti, pukul 11 para pemilih protes karena kertas suara sudah dicoblos. Akhirnya pemilihan tidak jadi dilaksanakan. Diduga pelakunya adalah dari sebuah partai yang dekat dengan kekuasaan. KPU dan Bawaslu harus bertindak cepat dan tegas mengusut tuntas kasus ini. Sangat mungkin di berbagai daerah terjadi kecurangan berupa surat suara yang sudah dicoblos.",Dugaan Tindak Pidana Pemilu,
00005,Fahira Idris masih berkampanye di hari tenang,2014-04-09 19:00,,,,,DKI Jakarta,"Fahira Idris, Caleg DPD RI no.11 Dapil DKI Jakarta masih berkampanye melalui SMS dan broadcast BBM selama 2 hari terakhir sampai pagi hari ini pukul 07.42.\n\nSaya masih simpan BBM dan SMS nya. Semoga bisa ditindak lanjuti.\n\nTerima kasih",Dugaan Tindak Pidana Pemilu,
00006,"Kecurangan di kelurahan Cipulir, Kebayoran Lama",2014-04-09 18:34,,Cipulir,Kebayoran Lama,Jakarta Selatan,DKI Jakarta,"Diduga Pengawas Pemilu Lapangan (PPL) dapil 7 khususnya kecamatan Kebayoran lama kelurahan cipulir, dipermainkan oleh para ketua pelaksana dan panitia pemilu di masing2 RT dan RW di kelurahan cipulir yang jumlahnya 76 TPS.\n\nKhususnya di TPS 72,73, 4, 5, 6, 10 (ada kecenderungan pembelian suara). Dan masih banyak lagi. Kami melakukan pelaporan khusus dikarenakan ada indikasi kebohongan dan indikasi penipuan beberapa Parpol curang. Seperti PDIP,Golkar,Gerindra, Hanura. Demokrasi bagai pedang bermata dua. Akan menjadi alat yg sangat berguna ketika pengawasan dilakukan ketat dan tegas.",Dugaan Tindak Pidana Pemilu,
00007,PKS Vanganza Bagi Sembako Murah,2010-03-31 20:57,"Perum Korpri Griya Suradita Indah Blok F Suradita, Cisauk, Tangerang, Banten 15342, Indonesia",,Cisauk,Tangerang,Banten,"Telah ditemukan dugaan pelanggaran yang di lakukan oleh H. Agus Puji Raharjo, SE, Ak. Caleg DPR-RI Nomor Urut 9 untuk Dapil Kabupaten Kota Tangerang dan Tangerang Selatan; Idham Cholid, Caleg DPRD Provinsi Banten Nomor Urut 5 untuk Dapil Banten 3; serta Dendy Novyana Prawira Caleg DPRD Kabupaten Tangerang untuk Dapil Tangerang 6. Semua tersebut merupakan caleg dari PKS.\n\nMereka melakukan pembagian sembako murah dengan slogan ""PKS VAGANZA"". Sembako yang berisi mie instan rasa Soto 3 bungkus, Gula pasir lokal 1/2 kg, beras 1 liter dan minyak goreng 1 Cap Gelas, kalau di total nilainya lebih kurang Rp 25.000,-. Di dalam plastik sembako juga terdapat beberapa sticker, brosur - brosur serta gantungan kunci yang berisi ajakan untuk memilih caleg -caleg tersebut. Paket sembako ini bisa di tukar dengan uang sebesar Rp. 10.000,- (Sepuluh Ribu Rupiah). Sebelum dibagikan kepada warga Komplek Perum Korpri Griya Suradita Indah Blok F ini pada umumnya ibu-ibu diberi arahan salah satu caleg dan kader PKS untuk memilih Caleg-caleg yang ada di alat beraga. Peristiwa ini berlangsung pada hari Sabtu, 29 Maret 2014 sekitar pukul 10 pagi di rumah Kader PKS Nur Cahyo.",Dugaan Tindak Pidana Pemilu,
00008,Poster dalam Rumah Sakit Budhi Asih,2010-03-31 20:02,"Rumah Sakit Budhi Asih, Jalan Dewi Sartika No.200, Kramatjati, East Jakarta City 13630, Indonesia",,Kramat Jati,,Jakarta,"Telah ditemukan dugaan pelanggaran yang dilakukan oleh dr. Eddi Junaidi. Spog, SH. MKes, caleg untuk DPR-RI dapil Jakarta Nomor Urut 8. Temuan dugaan pelanggaran tersebut berupa sticker dan poster yang ditempatkan di pakiran basement dalam gedung dan di samping Rumah Sakit Budhi Asih, Jalan Dewi Sartika. Sampai dengan hari selasa, 1 April 2014, poster tersebut masih ditemukan.",Dugaan Tindak Pidana Pemilu,
00009,Poster dalam Rumah Sakit Budhi Asih,2010-03-31 20:02,"Rumah Sakit Budhi Asih, Jalan Dewi Sartika No.200, Kramatjati, East Jakarta City 13630, Indonesia",,Kramat Jati,,Jakarta,"Telah ditemukan dugaan pelanggaran yang dilakukan oleh dr. Eddi Junaidi. Spog, SH. MKes, caleg dari Lajur Independen dan profesi untuk DPD RI dapil Jakarta Nomor Urut 8.\n\nTemuan dugaan pelanggaran tersebut berupa sticker Poster di tempatkan di pakiran basement dalam gedung dan di samping Rumah Sakit Budhi Asih jalan Dewi Sartika.\n\nSampai dengan hari selasa, 1 April 2014, dugaan pelanggaran tersebut masih ditemukan.",Dugaan Tindak Pidana Pemilu,
00010,Sejumlah Caleg Diduga Langgar Aturan,2010-03-31 20:00,"Jalan Professor Doktor Supomo, South Jakarta City, Jakarta, Indonesia",,,,Jakarta,"Telah ditemukan dugaan pelanggaran yang dilakukan oleh sejumlah caleg.Dugaan pelanggaran berupa pemasangan alat peraga tidak sesuai dengan aturan KPU.\n\nPara caleg yang diduga melanggar adalag dua orang caleg dari PKS, Ahmad Yani, Sip dan Igo Ilham. Caleg dari Partai Demokrat Aswin Ali Nasutiona dan caleg dari Partai Gerindra, Sepallga Ahmad, SE\n\nDugaan pelanggaran ditemukan di Jalan Professor Dr Supomo, Jakarta Selatan.\n\nDugaan pelanggaran ditemukan pada hari Selasa, 1 April 2014.",Dugaan Pelanggaran Administratif,
00011,Calon Anggota DPD Diduga Langgar Aturan,2010-03-31 19:58,"Jalan Minangkabau, Setiabudi, South Jakarta City, Jakarta, Indonesia",,Setiabudi,,Jakarta,"Telah ditemukan dugaan pelanggaran yang dilakukan oleh Mohamad Sjohirin DPD nomor 18 .\n\nDugaan pelanggaran berupa pemasangan alat peraga tidak sesuai dengan aturan KPU yaitu dipasang di pohon.\n\nDugaan pelanggaran ditemukan di Jalan Minangkabau, Setiabudi, Jakarta Selatan,\n\nDugaan pelanggaran ditemukan pada hari Selasa, 1 April 2014.",Dugaan Pelanggaran Administratif,
00012,Caleg PKB Langgar Aturan Rombongan,2010-03-31 19:55,"Jalan Minangkabau, Setiabudi, South Jakarta City, Jakarta, Indonesia",,Setiabudi,,Jakarta,"Telah ditemukan dugaan pelanggaran yang dilakukan oleh caleg dari Partai Kebangkitan Bangsa yaitu Darussalam untuk DPRD DKI Jakarta dapil 8 Jakarta Selatan nomor urut 2 dan Muzaenah calon anggota DPR RI dapil DKI 2.\n\nDugaan pelanggaran berupa pemasangan alat peraga tidak sesuai dengan aturan KPU yaitu dipasang di pohon.\n\nDugaan pelanggaran ditemukan di Jalan Minangkabau, Setiabudi, Jakarta Selatan.\n\nDugaan pelanggaran ditemukan pada hari Selasa, 1 April 2014.",Dugaan Pelanggaran Administratif,
