id,nama,nama_lengkap,url_situs,url_facebook,url_twitter
1,Partai NasDem,Partai NasDem,http://www.partainasdem.org/,https://www.facebook.com/pages/Partai-Nasdem/135724689838285,https://twitter.com/NasDem
2,PKB,Partai Kebangkitan Bangsa,http://www.dpp.pkb.or.id/,https://www.facebook.com/pages/DPP-PKB/167600963307010,https://twitter.com/PKB_News_Online
3,PKS,Partai Keadilan Sejahtera,http://www.pks.or.id/,https://www.facebook.com/HumasPartaiKeadilanSejahtera,https://twitter.com/PKSejahtera
4,PDI-P,Partai Demokrasi Indonesia Perjuangan,http://www.pdiperjuangan.or.id/,https://www.facebook.com/DPP.PDI.Perjuangan,https://twitter.com/pdi_perjuangan
5,Partai Golkar,Partai Golongan Karya,http://www.golkar.or.id/,https://www.facebook.com/DPPPartaiGolkar,https://twitter.com/Golkar5
6,Partai GERINDRA,Partai Gerakan Indonesia Raya,http://www.partaigerindra.or.id/,https://www.facebook.com/gerindra,https://twitter.com/Gerindra
7,Dem,Partai Demokrat,http://www.demokrat.or.id/,https://www.facebook.com/pdemokrat,https://twitter.com/PDemokrat
8,PAN,Partai Amanat Nasional,http://www.pan.or.id/,https://www.facebook.com/amanatnasional,https://twitter.com/official_PAN
9,PPP,Partai Persatuan Pembangunan,http://www.ppp.or.id/,https://www.facebook.com/pppdpp,https://twitter.com/DPP_PPP
10,Partai Hanura,Partai Hati Nurani Rakyat,http://www.hanura.com/,https://www.facebook.com/hanura.official,https://twitter.com/hanura_official
11,PDA,Partai Damai Aceh,,,
12,PNA,Partai Nasional Aceh,http://partainasionalaceh.org/,https://www.facebook.com/PNAceh,https://twitter.com/infoPNA12
13,PA,Partai Aceh,http://www.partaiaceh.com/,,https://twitter.com/tweetpartaiaceh
14,PBB,Partai Bulan Bintang,http://www.bulan-bintang.org/,https://www.facebook.com/pages/DPP-Partai-Bulan-Bintang-wwwbulan-bintangorg/114716555303039,https://twitter.com/BulanBintangOrg
15,PKPI,Partai Keadilan dan Persatuan Indonesia,http://pkpi.or.id/,https://www.facebook.com/PKPI.MediaCenter,https://twitter.com/SobatBangYos
