id,party_id,vision,mission,program,adart,address_central_secretariat,structure_central_party,resource
1,1,"Mengembalikan tujuan bernegara yang termaktub dalam pembukaan Undang Undang Dasar 1945, yakni Negara yang Merdeka, Bersatu, Berdaulat, Adil dan Makmur.",Menggalang kesadaran dan kekuatan masyarakat untuk melakukan Gerakan Perubahan melalui Restorasi Indonesia.,"Restorasi Indonesia adalah gerakan memulihkan, mengembalikan, serta memajukan fungsi pemerintahan Indonesia kepada cita-cita Proklamasi 1945, yaitu melindungi segenap bangsa Indonesia, memajukan kesejahteraan umum, mencerdaskan kehidupan berbangsa, dan ikut melaksanakan ketertiban dunia.",,,,https://www.partainasdem.org/visi_misi
2,2,"Bagi Partai Kebangkitan Bangsa, wujud dari bangsa yang dicita-citakan itu adalah masyarakat yang terjamin hak asasi kemanusiaannya yang mengejawantahkan nilai-nilai kejujuran, kebenaran, kesungguhan dan keterbukaan bersumber pada hati nurani (as-shidqu), dapat dipercaya, setia dan tepat janji serta mampu memecahkan masalah-masalah sosial yang dihadapi (al-amanah wa al-wafa-u bi al-ahdli), bersikap dan bertindak adil dalam segala situasi (al-‘adalah), tolong menolong dalam kebajikan (al-ta’awun) serta konsisten menjalankan ketentuan yang telah disepakati bersama (al-istiqomah) musyawarah dalam menyelesaikan persoalan sosial (al-syuro) yang menempatkan demokrasi sebagai pilar utamanya dan persamaan kedudukan setiap warga negara didepan hukum (al-musawa) adalah prinsip dasar yang harus ditegakkan.","Dalam mewujudkan apa yang selalu dicita-citakan tersebut, misi utama yang dijalankan Partai Kebangkitan Bangsa adalah tatanan masyarakat beradab yang sejahtera lahir dan batin, yang setiap warganya mampu mengejawantahkan nilai-nilai kemanusiaannya. Yang meliputi, terpeliharanya jiwa raga, terpenuhinya kemerdekaan, terpenuhinya hak-hak dasar manusia seperti pangan, sandang, dan papan, hak atas penghidupan/perlindungan pekerjaan, hak mendapatkan keselamatan dan bebas dari penganiayaan (hifdzu al-Nafs), terpeliharanya agama dan larangan adanya pemaksaan agama (hifdzu al-din), terpeliharanya akal dan jaminan atas kebebasan berekspresi serta berpendapat (hifdzu al-Aql), terpeliharanya keturunan, jaminan atas perlindungan masa depan generasi penerus (hifdzu al-nasl) dan terpeliharanya harta benda (hifdzu al-mal). Misi ini ditempuh dengan pendekatan amar ma’ruf nahi munkar yakni menyerukan kebajikan serta mencegah segala kemungkinan dan kenyataan yang mengandung kemunkaran.","Partai Kebangkitan Bangsa bercirikan humanisme religius (insaniyah diniyah), amat peduli dengan nilai-nilai kemanusiaan yang agamis, yang berwawasan kebangsaan. Menjaga dan melestarikan tradisi yang baik serta mengambil hal-hal yang baru yang lebih baik untuk ditradisikan menjadi corak perjuangan yang ditempuh dengan cara-cara yang santun dan akhlak karimah. Partai adalah ladang persemaian untuk mewujudkan masyarakat beradab yang dicitakan, serta menjadi sarana dan wahana sekaligus sebagai wadah kaderisasi kepemimpinan bangsa. Partai dalam posisi ini berkehendak untuk menyerap, menampung, merumuskan, menyampaikan dan memperjuangkan aspirasi rakyat guna menegakkan hak-hak rakyat dan menjamin pelaksanaan ketatanegaraan yang jujur, adil dan demokratis.",,,,http://www.dpp.pkb.or.id/mabda-siyasi
3,3,"Terwujudnya Masyarakat madani yang adil, sejahtera, dan bermartabat","1.) Mempelopori reformasi sistem politik, pemerintahan dan birokrasi, peradilan, dan militer untuk berkomitmen terhadap penguatan demokrasi. Mendorong penyelenggaraan sistem ketatanegaraan yang sesuai dengan fungsi dan wewenang setiap lembaga agar terjadi proses saling mengawasi. Menumbuhkan kepemimpinan yang kuat, yang mempunyai kemampuan membangun solidaritas masyarakat untuk berpartisipasi dalam seluruh dinamika kehidupan berbangsa dan bernegara, yang memiliki keunggulan moral, kepribadian, dan intelektualitas. Melanjutkan reformasi birokrasi dan lembaga peradilan dengan memperbaiki sistem rekrutmen dan pemberian sanksi-penghargaan, serta penataan jumlah pegawai negeri dan memfokuskannya pada posisi fungsional, untuk membangun birokrasi yang bersih, kredibel, dan efisien. Penegakan hukum yang diawali dengan membersihkan aparat penegaknya dari perilaku bermasalah dan koruptif. Mewujudkan kemandirian dan pemberdayaan industry pertahanan nasional. Mengembangkan otonomi daerah yang terkendali serta berorientasi pada semangat keadilan dan proporsionalitas melalui musyawarah dalam lembagalembaga kenegaraan di tingkat pusat, provinsi dan daerah. Menegaskan kembali sikap bebas dan aktif dalam mengupayakan stabilitas kawasan dan perdamaian dunia berdasarkan prinsip kesetaraan, saling menghormati, saling menguntungkan, dan penghormatan terhadap martabat kemanusiaan. Menggalang solidaritas dunia demi mendukung bangsa-bangsa yang tertindas dalam merebut kemerdekaannya. 
2.) Mengentaskan kemiskinan, mengurangi pengangguran, dan meningkatkan kesejahteraan seluruh rakyat melalui strategi pemerataan pendapatan, pertumbuhan bernilai tambah tinggi, dan pembangunan berkelanjutan, yang dilaksanakan melalui langkah-langkah utama berupa pelipatgandaan produktifitas sektor pertanian, kehutanan, dan kelautan; peningkatan dayasaing industri nasional dgn pendalaman struktur & upgrading kemampuan teknologi; dan pembangunan sektor-sektor yang menjadi sumber pertumbuhan baru berbasis resources & knowledge. Semua itu dilaksanakan di atas landasan (filosofi) ekonomi egaliter yang akan menjamin kesetaraan atau valuasi yang sederajat antara (pemilik) modal dan (pelaku) usaha, dan menjamin pembatasan tindakan spekulasi, monopoli, dan segala bentuk kriminalitas ekonomi yang dilakukan oleh penguasa modal dan sumber-sumber ekonomi lain untuk menjamin terciptanya kesetaraan bagi seluruh pelaku usaha. 
3.) Menuju pendidikan yang berkeadilan dengan memberikan kesempatan yang seluas-luasnya bagi seluruh rakyat Indonesia. Membangun sistem pendidikan nasional yang terpadu, komprehensif dan bermutu untuk menumbuhkan SDM yang berdaya saing tinggi serta guru yang professional dan sejahtera. Menuju sehat paripurna untuk semua kelompok warga, dengan visi sehat badan, mental spiritual, dan sosial sehingga dapat beribadah kepada Allah SWT untuk membangun bangsa dan negara; dengan cara mengoptimalkan anggaran kesehatan dan seluruh potensi untuk mendukung pelayanan kesehatan berkualitas. Mengembangkan seni dan budaya yang bersifat etis dan relijius sebagai faktor penentu dalam membentuk karakter bangsa yang tangguh, disiplin kuat, etos kerja kokoh, serta daya inovasi dan kreativitas tinggi. Terciptanya masyarakat sejahtera, melalui pemberdayaan masyarakat yang dapat mewadahi dan membantu proses pembangunan berkelanjutan.",,,,,http://www.pks.or.id/content/visi-dan-misi
4,4,"Bahwa sesungguhnya cita-cita luhur untuk membangun dan mewujudkan Indonesia yang merdeka, berdaulat, bersatu, demokratis, adil, dan makmur serta berkeadaban dan berketuhanan sebagaimana termaktub dalam Pembukaan UUD 1945 merupakan cita-cita bersama dari seluruh rakyat Indonesia.
Sebagai Partai Ideologis berasaskan Pancasila 1 Juni 1945, PDI Perjuangan berperan aktif dalam usaha-usaha untuk mencapai cita-cita bersama di atas.Untuk itu, PDI Perjuangan berketetapan menjadi alat perjuangan dan pengorganisasian rakyat. Sebagai alat rakyat, PDI Perjuangan bertugas untuk:Pertama, mewujudkan amanat penderitaaan rakyat sebagaimana termaktub dalam cita-cita Negara Proklamasi 17 Agustus 1945.Kedua, menjaga dan melaksanakan Pancasila 1 Juni 1945 sebagai dasar dan arah berbangsa dan bernegara; sebagai sumber inspirasi dan harapan bagi rakyat; sebagai norma pengatur tingkah laku kebijakan, kelembagaan dan anggota partai; dan sebagai cermin dari keseluruhan jati diri partai.Ketiga, mengantarkan Indonesia untuk berdaulat dalam bidang politik, berdikari dalam bidang ekonomi, dan berkepribadian dalam kebudayaan sebagai syarat-syarat minimum bagi perwujudan cita-cita bersama bangsa di atas.","Dalam perjuangan mewujudkan cita-cita bersama bangsa, PDI Perjuangan melaksanakannya melalui pengorganisasian dan perjuangan rakyat untuk mencapai kekuasaan politik dan mempengaruhi kebijakan dengan cara-cara damai, demokratis, dan berdasarkan peraturan perundang-undangan yang berlaku. 

Mewujudkan cita-cita proklamasi kemerdekaan 17 Agustus 1945 sebagaimana dimaksud dalam Pembukaan Undang-Undang Dasar Negara Republik Indonesia Tahun 1945;
Membangun masyarakat Pancasila 1 Juni 1945 dalam Negara Kesatuan Republik Indonesia yang merdeka, berdaulat, bersatu, demokratis, adil, dan makmur;
Menghimpun dan membangun kekuatan politik rakyat;
Memperjuangkan kepentingan rakyat  di bidang politik, ekonomi, sosial, dan budaya secara demokratis; dan berjuang mendapatkan kekuasaan politik secara konstitusional guna mewujudkan pemerintahan yang melindungi segenap bangsa Indonesia dan seluruh tumpah darah Indonesia, memajukan kesejahteraan umum, mencerdaskan kehidupan bangsa, serta ikut melaksanakan ketertiban dunia yang berdasarkan kemerdekaan, perdamaian abadi, dankeadilan sosial.Menjadi alat perjuangan guna membentuk dan membangun karakter bangsa;
Mendidik dan mencerdaskan rakyat agar bertanggung jawab menggunakan hak dan kewajibannya sebagai warga negara;
Menghimpun, merumuskan, dan memperjuangkan aspirasi rakyat dalam merumuskan dan menetapkan kebijakan negara;
Menghimpun, membangun dan menggerakkan kekuatan rakyat guna membangun masyarakat Pancasila; dan
Melakukan komunikasi politik dan partisipasi politik warga negara.",,,,,http://www.pdiperjuangan.or.id/data/visi-misi
5,5,,,,,,,
6,6,,,,,,,
7,7,"PARTAI DEMOKRAT bersama masyarakat luas berperan mewujudkan keinginan luhur rakyat Indonesia agar mencapai pencerahan dalam kehidupan kebangsaan yang merdeka, bersatu, berdaulat adil dan makmur, menjunjung tinggi semangat Nasionalisme, Humanisme dan Internasionalisme, atas dasar ketakwaan kepada Tuhan yang maha Esa dalam tatanan dunia baru yang damai, demokratis dan sejahtera.","1. Memberikan garis yang jelas agar partai berfungsi secara optimal dengan peranan yang signifikan di dalam seluruh proses pembangunan Indonesia baru yang dijiwai oleh semangat reformasi serta pembaharuan dalam semua bidang kehidupan kemasyarakatan, kebangsaan dan kenegaraan kedalam formasi semula sebagaimana telah diikrarkan oleh para pejuang, pendiri pencetus Proklamasi kemerdekaan berdirinya Negara Kesatuan Republik Indonesia dengan titik berat kepada upaya mewujudkan perdamaian, demokrasi (Kedaulatan rakyat) dan kesejahteraaan. 
2. Meneruskan perjuangan bangsa dengan semangat kebangsaan baru dalam melanjutkan dan merevisi strategi pembangunan Nasional sebagai tumpuan sejarah bahwa kehadiran partai Demokrat adalah melanjutkan perjuangan generasi-generasi sebelumnya yang telah aktif sepanjang sejarah perjuangan bangsa Indonesia, sejak melawan penjajah merebut Kemerdekaan, merumuskan Pancasila dan UUD 1945, mengisi kemerdekaan secara berkesinambungan hingga memasuki era reformasi. 
3. Memperjuangkan tegaknya persamaan hak dan kewajiban Warganegara tanpa membedakan ras, agama, suku dan golongan dalam rangka menciptakan masyarakat sipil (civil society) yang kuat, otonomi daerah yang luas serta terwujudnya representasi kedaulatan rakyat pada struktur lebaga perwakilan dan permusyawaratan.",,,,,http://www.demokrat.or.id/visi-misi/
8,8,"Terwujudnya PAN sebagai partai politik terdepan dalam mewujudkan masyarakat madani yang adil dan makmur, pemerintahan yang baik dan bersih di dalam negara Indonesia yang demokratis dan berdaulat, serta diridhoi Allah SWT, Tuhan Yang Maha Esa.","1. Mewujudkan kader yang berkualitas. 
2. Mewujudkan PAN sebagai partai yang dekat dan membela rakyat 
3. Mewujudkan PAN sebagai partai yang modern berdasarkan sistem dan manajemen yang unggul serta budaya bangsa yang luhur. 
4. Mewujudkan Indonesia baru yang demokratis, makmur, maju, mandiri dan bermartabat. 
5. Mewujudkan tata pemerintahan Indonesia yang baik dan bersih, yang melindungi segenap bangsa Indonesia dan seluruh tumpah darah Indonesia dan memajukan kesejahteraan umum, serta mencerdaskan kehidupan bangsa. 
6. Mewujudkan negara Indonesia yang bersatu, berdaulat, bermartabat, ikut melaksanakan ketertiban dunia yang berdasarkan kemerdekaan, perdamaian abadi dan keadilan sosial, serta dihormati dalam pergaulan internasional.",,,,,http://www.pan.or.id/tentang-pan/
9,9,"Visi PPP
Berdasarkan sejarah perjuangan dan jati diri di atas, maka visi PPP adalah “Terwujudnya masyarakat yang bertaqwa kepada Allah SWT dan negara Indonesia yang adil, makmur, sejahtera, bermoral, demokratis, tegaknya supremasi hukum, penghormatan terhadap Hak Asasi Manusia (HAM), serta menjunjung tinggi harkat-martabat kemanusiaan dan keadilan sosial yang berlandaskan kepada nilai-nilai keislaman”. ","Misi PPP (Khidmat Perjuangan)
PPP berkhidmat untuk berjuang dalam mewujudkan dan membina manusia dan masyarakat yang beriman dan bertaqwa kepada Allah SWT, meningkatkan mutu kehidupan beragama, mengembangkan ukhuwah Islamiyah (persaudaraan sesama muslim). Dengan demikian PPP mencegah berkembangnya faham-faham atheisme, komunisme/marxisme/leninisme, serta sekularisme, dan pendangkalan agama dalam kehidupan bangsa Indonesia.

PPP berkhidmat untuk memperjuangkan hak-hak asasi manusia dan kewajiban dasar manusia sesuai harkat dan martabatnya dengan memperhatikan nilai-nilai agama terutama nilai-nilai ajaran Islam, dengan mengembangkan ukhuwah basyariyah (persaudaraan sesama manusia). Dengan demikian PPP mencegah dan menentang berkembangnya neo-feodalisme, faham-faham yang melecehkan martabat manusia, proses dehumanisasi, diskriminasi, dan budaya kekerasan.

PPP berkhidmat untuk berjuang memelihara rasa aman, mempertahankan dan memperkukuh persatuan dan kesatuan bangsa dengan mengembangkan ukhuwah wathaniyah (persaudaraan sebangsa). Dengan demikian PPP mencegah dan menentang proses disintegrasi, perpecahan dan konflik sosial yang membahayakan keutuhan bangsa Indonesia yang ber-bhineka tunggal mika.

PPP berkhidmat untuk berjuang melaksanakan dan mengembangkan kehidupan politik yang mencerminkan demokrasi dan kedaulatan rakyat yang sejati dengan prinsip musyawarah untuk mencapai mufakat. Dengan demikian PPP mencegah dan menentang setiap bentuk otoritarianisme, fasisme, kediktatoran, hegemoni, serta kesewenang-wenangan yang mendzalimi rakyat.

PPP berkhidmat untuk memperjuangkan berbagai upaya dalam rangka mewujudkan masyarakat adil dan makmur yang diridlai oleh Allah SWT, baldatun thayyibatun wa rabbun ghofur. Dengan demikian PPP mencegah berbagai bentuk kesenjangan sosial, kesenjangan ekonomi, kesenjangan budaya, pola kehidupan yang konsumeristis, materialistis, permisif, dan hedonistis di tengah-tengah kehidupan rakyat banyak yang masih hidup di bawah garis kemiskinan. ",,,,,http://ppp.or.id/page/visi-dan-misi-ppp/index/
10,10,"Partai Hanura mempunyai visi yang terbagi menjadi 2 bagian yakni Kemandirian Bangsa dan Kesejahteraan Rakyat. Dalam visi tersebut secara garis besar menjelaskan bahwa Bangsa Indonesia terasa tidak mandiri lagi dengan banyaknya campur tangan pihak asing yang dapat merugikan kehidupan bangsa sehingga diharapkan seluruh rakyat Indonesia mampu bangkit kembali demi menciptakan sebuah bangsa yang mandiri serta selalu menanamkan dan mewujudkan kesejahteraan bagi rakyat Indonesia. Partai Hanura terus menjunjung tinggi nilai-nilai dasar partai yang antara meliputi ketaqwa-an, kemandirian, kebersamaan, kerakyatan dan kesederhanaan.",,,,,,
