id,location_id,jumlah_pemilih_laki_laki,pengguna_hak_pilih_laki_laki,jumlah_pemilih_perempuan,pengguna_hak_pilih_perempuan,total_pemilih,total_pengguna_hak_pilih,jumlah_pemilih_disabilitas,pengguna_hak_pilih
1,1,722676,476274,700843,482690,1434099,970645,5468,1379
2,2,1228639,807545,1197567,830265,2449883,1660957,10097,1454
3,3,103415,71098,96037,67441,199452,138539,603,56
4,4,203750,121319,193553,118365,401091,244130,581,91
5,5,144163,102317,138306,100807,293332,212507,634,457
6,6,147128,85805,137935,82774,285063,168579,994,115
7,7,163671,81266,169845,102871,333972,184123,1395,42
8,8,257831,134530,258687,151784,516282,286500,1044,721
9,9,7.19,6.57,6.655,6.039,13.845,12.609,15,0
10,10,164699,115033,169442,112628,352942,244330,973,29
11,11,41779,31334,42180,31953,87916,65710,1250,59
12,12,1268860,741397,1237864,837734,2506853,1579355,6664,374
13,13,123.761,88.534,121.414,88.562,253.631,185.809,930,76
14,14,21567,17209,21423,17507,43754,35112,418,25
15,15,65472,42454,62505,41798,127706,84796,200,54
16,16,69428,41695,65937,41902,135239,83497,286,47
17,17,60919,37749,56949,38420,118024,76285,369,58
18,18,92114,69152,91796,64302,184717,134265,1216,28
19,19,189.494,119.141,186.862,120.747,390.184,250.889,3137,504
20,20,314852,229541,330248,256422,684080,519887,3115,495
21,21,644145,358849,656595,413079,1306877,777239,4109,640
22,22,62871,45860,67189,54263,130981,101546,1016,178
23,23,96740,71279,93691,71350,191717,145428,1510,311
24,24,42691,32012,40870,32454,83459,64489,460,30
25,25,67418,41965,70905,45911,138253,87862,322,109
26,26,191368,112004,180099,110846,371571,225154,622,18
27,27,82233,55178,75501,52175,164234,113061,1024,144
28,28,53978,39188,52933,40726,112964,85215,243,273
29,29,107052,77721,102878,77582,209531,154960,607,374
30,30,81248,49293,68720,44055,152007,96762,396,82
31,31,183428,123116,190082,134366,375360,263409,1376,608
32,32,50736,36298,48822,36524,99658,72822,931,66
33,33,479450,254865,483453,290138,964051,546100,6589,191
34,34,343694,230297,353972,271251,701942,505116,1132,515
35,35,23985,20381,22179,18981,46102,39374,145,58
36,36,25749,22078,23969,20768,54097,48057,272,50
37,37,54460,47033,54659,48688,109149,95519,1467,169
38,38,28.077,17.984,20.84,14.182,48.917,32.166,3,0
39,39,373.482,284.972,380.542,313.255,763.171,604.982,3.387,174
40,40,179.875,100.148,189.245,117.511,368.898,217.402,1.015,357
41,41,47.378,31.999,40.973,29.098,88.023,61.087,876,67
42,42,121.109,82.357,119.754,87.609,241.267,170.13,1.7,126
43,43,20.707,15.967,20.181,15.24,40.888,31.207,4,0
44,44,23.597,18.872,23.264,19.183,46.861,38.055,34,104
45,45,893.895,458.659,861.702,523.764,1.756.783,997.097,3.108,166
46,46,424.273,261.918,426.581,313.121,859.218,582.857,1.303,154
47,47,68.498,47.95,67.795,51.657,136.672,100.022,326,1.172
48,48,79.396,65.733,82.136,68.582,162.516,136.158,914,189
49,49,22.004,13.833,21.051,13.331,47.368,31.781,68,162
