id,location_id,suara_sah,suara_tidak_sah,total_suara,jumlah_suara_tertulis,selisih
1,1," 900,012.00 "," 68,795.00 "," 968,807.00 "," 968,335.00 ", (472.00)
2,2," 1,601,260.00 "," 53,235.00 "," 1,654,495.00 "," 1,652,780.00 "," (1,715.00)"
3,3," 135,698.00 "," 2,841.00 "," 138,539.00 "," 138,539.00 ", -   
4,4," 234,371.00 "," 6,957.00 "," 241,328.00 "," 241,380.00 ", 52.00 
5,5," 207,967.00 "," 3,730.00 "," 211,697.00 "," 210,796.00 ", (901.00)
6,6," 165,803.00 "," 2,758.00 "," 168,561.00 "," 168,565.00 ", 4.00 
7,7," 175,629.00 "," 6,535.00 "," 182,164.00 "," 181,929.00 ", (235.00)
8,8," 279,736.00 "," 5,699.00 "," 285,435.00 "," 284,914.00 ", (521.00)
9,9,,, -   ,, -   
10,10," 240,328.00 "," 5,143.00 "," 245,471.00 "," 245,481.00 ", 10.00 
11,11," 59,271.00 "," 6,699.00 "," 65,970.00 "," 65,888.00 ", (82.00)
12,12," 1,530,427.00 "," 47,978.00 "," 1,578,405.00 "," 1,577,444.00 ", (961.00)
13,13,,, -   ,, -   
14,14," 34,650.00 ", 490.00 ," 35,140.00 "," 35,142.00 ", 2.00 
15,15," 82,627.00 "," 2,048.00 "," 84,675.00 "," 84,700.00 ", 25.00 
16,16," 81,725.00 "," 1,761.00 "," 83,486.00 "," 83,419.00 ", (67.00)
17,17," 74,290.00 "," 1,995.00 "," 76,285.00 "," 76,285.00 ", -   
18,18," 130,796.00 "," 3,150.00 "," 133,946.00 "," 134,049.00 ", 103.00 
19,19,,, -   ,, -   
20,20," 493,239.00 "," 28,711.00 "," 521,950.00 "," 521,713.00 ", (237.00)
21,21," 763,960.00 "," 12,348.00 "," 776,308.00 "," 775,285.00 "," (1,023.00)"
22,22," 100,991.00 ", 641.00 ," 101,632.00 "," 101,437.00 ", (195.00)
23,23," 138,241.00 "," 6,337.00 "," 144,578.00 "," 144,486.00 ", (92.00)
