id,question,answer
001,Apa itu Pemilu?,"Sarana pelaksanaan kedaulatan rakyat dalam memilih Presiden, DPR, DPD, DPRD Provinsi, dan DPRD Kabupaten/Kota."
002,Kapan diselenggarakan Pemilu 2014?,"Pada tanggal 9 April 2014 untuk Pemilu Legislatif dan 9 Juli 2014 untuk Pemilu Presiden. Jika terjadi putaran kedua dalam Pemilu Presiden, maka akan diselenggarakan pada bulan September 2014."
003,Siapa itu Pemilih?,Setiap warga Negara Indonesia yang telah memenuhi syarat sebagai pemilih untuk memberikan suara di Tempat Pemungutan Suara (TPS) sesuai ketentuan undang-undang.
004,Apa persyaratan untuk dapat menjadi seorang Pemilih dalam Pemilu?,"a. Warga Negara Republik Indonesia yang berdomisili di wilayah Republik Indonesia atau di luar negeri.\n\nb. Penduduk yang berusia sekurang-kurangnya 17 (tujuh belas) tahun atau sudah/pernah menikah.\n\nc. Purnawirawan atau sudah tidak lagi menjadi anggota TNI/Kepolisian.\n\nd. Sedang tidak terganggu jiwa atau ingatannya.\n\ne. Sedang tidak dicabut hak pilihnya.\n\nf. Tidak sedang menjalani pidana penjara atau pidana kurungan berdasarkan putusan Pengadilan yang telah memperoleh kekuatan hukum tetap, karna tindak pidana yang diancam dengan pidana penjara 5 (lima) tahun atau lebih.\n\ng. Terdaftar di DPT (Daftar Pemilih Tetap)."
005,Dimana sih pemilu dilaksanain?,Pemilu dilaksanakan disetiap Tempat Pemilihan Suara (TPS).
006,"Kita bingung mau pilih siapa karena engga ada yang kenal, gimana sih biar kita bisa tau caleg yang bakal kita pilih?","Banyak cara untuk mengetahuinya, kamu bisa memanfaatkan informasi dari media seperti TV, radio, Koran, Internet atau kamu bisa cek profil dan profil para calon anggota legislatif melalui website kpu di alamat http://dct.kpu.go.id/"
007,Kalo mau nyoblos mesti bawa apa aja pas ke TPS?,Hanya membawa KTP/KK/Paspor dan Surat Pemberitahuan untuk memilih dari Ketua KPPS setempat.
008,"Gue blom kedaftar di DPT, gue masih bisa nyoblos ga? kalo bisa, gimana caranya?","Jika Pemilih terdaftar dalam DPS tetapi tidak terdaftar dalam DPT, maka ketua KPPS melaporkan kepada PPS untuk memasukkan pemilih tersebut ke dalam DPT paling lambat 1 (satu) hari sebelum hari pemungutan suara. Namun jika tidak terdaftar dalam DCS, Pada saat pengumuman DPS di masing-masing kelurahan, Pemilih segera melaporkan dirinya kepada PPS melalui RT/RW/PPDP sesuai batas waktu yang ditentukan."
009,"Gue anak kostan, dan jauh dari daerah asal gue, kira mesti pulang dulu ga buat nyoblos atau bisa nyoblos didaerah deket kostan gue? cara daftarnya gmn?",Bagi pemilih dari TPS lain harus membawa surat keterangan pindah memilih seperti formulir A7 PPWP (surat pindah TPS) dalam Pemilu Presiden dan Wakil Presiden atau surat keterangan pindah memilih dalam Pemilu Kepala Daerah dan Wakil Kepala Daerah.
010,"Nama gue engga ada di DPT dan DPS tapi gue memenuhi syarat jadi pemilih, masih bisa daftar ga?","Bisa mendaftarkan diri sebagai Daftar Pemilih Khusus. Prosedur yang ditempuh oleh masyarakat calon pemilih adalah mendaftarkan diri ke Panitia Pemungutan Suara (PPS) yang berkedudukan di kantor kelurahan setempat dengan menunjukan KTP atau Kartu Keluarga, dan apabila tidak memiliki KTP atau Kartu Keluarga maka cukup dengan mengurus Surat Keterangan Domisili dari RT/RW atau kelurahan setempat."
011,"Gue tinggal diluar negeri, cara nyoblosnya gimana? dan tempat nyoblosnya dimana?",a. Pemilih merupakan Warga Negara Indonesia yang tinggal/berada diluar negeri.\n\nb. Sudah berusia minimal 17 tahun antara tanggal 30 Maret 2014 - 6 April 2014.\n\nc. Terdaftar dalam DPTLN di negara pemilih tinggal.\n\nd. Tempat Pemungutan Suara bisa di KBRI/KJRI/tempat yang sudah ditentukan PPLN.\n\ne. Adapun pemungutan suara melalui pos hanya berlaku jika pemilih berada jauh dari lokasi TPS.\n\nf. Pemilih harus menunjukan pasport Indonesia atau bukti identitas lainnya yang menunjukan sebagai WNI ketika datang ke TPS.
012,"Gue lagi sakit dan ga bisa jalan ke TPS, kira-kira masih bisa nyoblos ga?","Pemilih yang menjalani rawat inap di rumah sakit atau petugas rumah sakit dapat memberikan suara di TPS terdekat dengan lokasi rumah sakit dengan ketentuan sebagai berikut:\n\na.	Pemilih atau keluarga pemilih memberitahukan kepada PPS/KPPS di tempat pemilih yang bersangkutan terdaftar dalam Daftar Pemilih Tetap (DPT), bahwa pemilih yang bersangkutan menjalani rawat inap di rumah sakit dan tidak dapat memberikan suara di TPS yang telah ditetapkan.\n\nb.	PPS/KPPS meneliti nama pemilih yang bersangkutan dalam salinan Daftar Pemilih Tetap (DPT). Apabila nama pemilih yang bersangkutan tercantum dalam salinan Daftar Pemilih Tetap (DPT), PPS/KPPS memberikan Suara Pemberitahuan (model A5).\n\nc.	Keluarga pemilih yang bersangkutan wajib melaporkan kepada KPPS yang terdekat dengan rumah sakit dimana pemilih yang bersangkutan menjalani rawat inap, paling lambat pada hari pemungutan suara."
013,"Kan ada DPT, DPS, DPK. Itu makhluk apasih, kok bisa banyak gitu?","DPT adalah Daftar Pemilih Tetap, dan DPS adalah Daftar Pemilih Sementara, sedangkan DPK adalah Daftar Pemilih Khusus"
014,"Pas hari H nyoblos, itu sampe jam brp sih?","Khusus di Indonesia, waktu TPS dimulai pukul 07.00 hingga 13.00 waktu setempat. Adapun untuk PPLN dimulai sejak tanggal 30 Maret 2014 sampai 6 April 2014 tergantung dari ketentuan PPLN di negara tersebut."
015,Siapa sih yang ngadain Pemilu?,Pemilu diadakan oleh Komisi Pemilihan Umum selaku Penyelenggara yang berwenang dalam hal Pemilu.
