id,question,answer,reference_law,excerpt_law
001,Apakah perempuan bisa mencalonkan diri dalam pemilu?,"Ya, setiap warga negara indonesia baik perempuan maupun laki-laki memiliki hak untuk terlibat dalam pemerintahan","UUD 1945 Pasal 26 Ayat (1),",Pasal 26: (1) Yang menjadi warga negara ialah orang orang bangsa Indonesia asli dan orang orang bangsa lain yang disahkan dengan undangundang sebagai warga negara.
002,Berapa jumlah perempuan yang dibolehkan mengikuti pemilu?,"Tidak ada jumlah maksimal perempuan yang boleh menjadi peserta pemilu. Sebaliknya, partai politik yang menjadi peserta pemilu wajib menyertakan calon perempuan sebanyak minimal 30% (tiga puluh persen) dari total calon yang diajukannya.","UU No. 8 Tahun 2012 Pasal 8 Ayat (2) Huruf (e) dan Pasal 15 Huruf (d),",Pasal 8: Ayat (2) Partai politik yang tidak memenuhi ambang batas perolehan suara pada Pemilu sebelumnya atau partai politik baru dapat menjadi Peserta Pemilu setelah memenuhi persyaratan: (e) Menyertakan sekurang-kurangnya 30% (tiga puluh persen) keterwakilan perempuan pada kepengurusan partai politik tingkat pusat; Pasal 15 : Dokumen persyaratan sebagaimana dimaksud dalam Pasal 14 ayat (3) tentang Pendaftaran Partai Politik sebagai Calon Peserta Pemilu meliputi: (d) surat keterangan dari pengurus pusat partai politik tentang penyertaan keterwakilan perempuan sekurang-kurangnya 30% (tiga puluh persen) sesuai dengan ketentuan peraturan perundang-undangan;
003,Bagaimana mekanisme pendaftaran perempuan sebagai calon legislatif di pemilu?,"Mekanisme pendaftaran perempuan untuk menjadi calon legislatif di pemilu tidak ada bedanya dengan pendaftaran calon laki-laki. Pendaftaran dilakukan melalui seleksi bakal calon oleh partai politik masing-masing. Mekanisme yang digunakan dalam seleksi adalah demokrasi sesuai dengan anggaran dasar/anggaran rumah tangga atau peraturan internal partai masing-masing. Setelah terpilih, partai politik menyusun daftar bakal calon dan diajukan kepada KPU. Selanjutnya, KPU akan melakukan verifikasi. Calon yang lolos verifikasi akan masuk ke dalam daftar calon sementara. Setelah itu KPU akan kembali melakukan verifikasi, dan calon yang lolos akan masuk dan diumumkan sebagai daftar calon tetap. Untuk calon anggota DPR, daftar bakal calon dan verifikasi diajukan kepada KPU pusat. Untuk calon anggota DPRD Provinsi, daftar bakal calon dan verifikasi diajukan kepada KPU Provinsi. Untuk bakal calon anggota DPRD Kabupaten/Kota, daftar dan verifikasi diajukan ke KPU Kabupaten/Kota.","UU No. 8 Tahun 2012 Pasal 52 ayat (1), pasal 53 ayat (1), pasal 57 ayat (1), pasal 62 ayat (1)","Pasal 52 ayat (1): Partai Politik Peserta Pemilu melakukan seleksi bakal calon anggota DPR, DPRD provinsi, dan DPRD kabupaten/kota. Pasal 53 ayat (1) : Bakal calon sebagaimana dimaksud dalam Pasal 52 disusun dalam daftar bakal calon oleh partai politik masing-masing. Pasal 57 ayat (1) : Daftar bakal calon anggota DPR, DPRD provinsi, dan DPRD kabupaten/kota sebagaimana dimaksud dalam Pasal 53 diajukan kepada:\na. KPU untuk daftar bakal calon anggota DPR yang ditandatangani oleh ketua umum atau sebutan lain dan sekretaris jenderal atau sebutan lain;\nb. KPU Provinsi untuk daftar bakal calon anggota DPRD provinsi yang ditandatangani oleh ketua atau sebutan lain dan sekretaris atau sebutan lain; dan\nc. KPU Kabupaten/Kota untuk daftar bakal calon anggota DPRD kabupaten/kota yang ditandatangani oleh ketua atau sebutan lain dan sekretaris atau sebutan lain. Pasal 62 ayat (1) : Bakal calon yang lulus verifikasi sebagaimana dimaksud dalam Pasal 58 disusun dalam daftar calon sementara oleh:\na. KPU untuk daftar calon sementara anggota DPR;\nb. KPU Provinsi untuk daftar calon sementara anggota DPRD provinsi; dan\nc. KPU Kabupaten/Kota untuk daftar calon sementara anggota DPRD kabupaten/kota."
004,Apa itu Affirmative Action dalam pemilu?,Affirmative action adalah kebijakan yang diambil dengan tujuan agar kelompok/golongan tertentu mendapatkan kesempatan yang sama dengan kelompok/golongan lain pada bidang yang sama. UU Nomor 8 tahun 2012 adalah salah satu peraturan yang mengakomodasi kebijakan afirmasi bagi perempuan. Dalam UU tersebut diatur bahwa parpol peserta pemilu wajib menyertakan calon perempuan sebanyak minimal 30%. Hal ini bertujuan untuk mendorong agar jumlah perempuan di legislatif menjadi lebih representatif.,"UU No. 8 Tahun 2012 Pasal 8 Ayat (2) Huruf (e) dan Pasal 15 Huruf (d),",Pasal 8: Ayat (2) Partai politik yang tidak memenuhi ambang batas perolehan suara pada Pemilu sebelumnya atau partai politik baru dapat menjadi Peserta Pemilu setelah memenuhi persyaratan: (e) Menyertakan sekurang-kurangnya 30% (tiga puluh persen) keterwakilan perempuan pada kepengurusan partai politik tingkat pusat; Pasal 15 : Dokumen persyaratan sebagaimana dimaksud dalam Pasal 14 ayat (3) tentang Pendaftaran Partai Politik sebagai Calon Peserta Pemilu meliputi: (d) surat keterangan dari pengurus pusat partai politik tentang penyertaan keterwakilan perempuan sekurang-kurangnya 30% (tiga puluh persen) sesuai dengan ketentuan peraturan perundang-undangan;
005,Apa hak-hak perempuan dalam pemilu?,"Perempuan memiliki hak yang sama dengan laki-laki, yaitu berhak memperoleh kesempatan yang sama dalam pemerintahan. Itu berarti, perempuan memiliki hak yang sama untuk memilih maupun dipilih.","UUD 1945 Pasal 28D ayat (3), Pasal 28E ayat (1)","Pasal 28D (3) Setiap warga negara berhak memperoleh kesempatan yang sama dalam pemerintahan. Pasal 28E (1) Setiap orang bebas memeluk agama dan beribadat menurut agamanya, memilih pendidikan dan pengajaran, memilih pekerjaan, memilih kewarganegaraan, memilih tempat tinggal di wilayah negara dan meninggalkannya, serta berhak kembali."
006,Siapa saja calon kandidat dari perempuan untuk pemilu 2014?,"Daftar calon legislatif, termasuk calon perempuan dapat dilihat pada website KPU.",Tidak ada Undang-Undang yang menjawab tentang ini,Tidak ada Undang-Undang yang menjawab tentang ini
007,Apakah perempuan boleh menjadi panitia penyelenggara pemilu?,"Perempuan berhak menjadi salah satu penyelenggara pemilu. Bahkan UU Nomor 15 tahun 2011 tentang penyelenggara pemilu menyatakan bahwa KPU, KPU Provinsi, dan KPU Kabupaten/Kota wajib memperhatikan keterwakilan perempuan minimal sebanyak 30% dari total anggotanya.",UU No. 15 Tahun 2011 Pasal 6 Ayat (5) tentang Penyelenggara Pemilu,"Pasal 6 (5) Komposisi keanggotaan KPU, KPU Provinsi, dan KPU Kabupaten/Kota memperhatikan keterwakilan perempuan sekurang-kurangnya 30% (tiga puluh persen)."
008,"Saya kuliah di jogja tapi tempat tinggal di jakarta, apakah bisa saya memilih di jogja?","Bisa, selama melapor terlebih dahulu di Panitia Pemungutan Suara tempat Anda seharusnya memilih. Panitia pemungutan suara selanjutnya akan memberikan surat pemberitahuan. Pada saat hari pemungutan suara, surat pemberitahuan tersebut dibawa dan ditunjukkan di TPS tempat Anda akan memilih.","Pasal 149 Ayat 1,Huruf (a), (b), (c), Pasal 2, dan Pasal 3","(1) Pemilih yang berhak mengikuti pemungutan suara di TPS meliputi: a. Pemilih yang terdaftar pada daftar pemilih tetap di TPS yang bersangkutan; b. Pemilih yang terdaftar pada daftar pemilih tambahan; dan c. Pemilih yang tidak terdaftar pada daftar pemilih tetap dan daftar pemilih tambahan. \n(2) Pemilih sebagaimana dimaksud pada ayat (1) huruf b dapat menggunakan haknya untuk memilih di TPS lain/TPSLN dengan menunjukkan surat pemberitahuan dari PPS untuk memberikan suara di TPS lain/TPSLN. (3) Dalam hal pada suatu TPS terdapat Pemilih sebagaimana dimaksud pada ayat (1) huruf b, KPPS pada TPS tersebut mencatat dan melaporkan kepada KPU Kabupaten/Kota \nmelalui PPK."
009,"Saya sedang kuliah diluar negeri ketika hari H pemilu, apakah bisa saya memilih di luar negeri?","WNI yang sedang berada di luar negeri bisa memilih di luar negeri. Sebelum memilih, pemilih harus mendaftarkan diri di Panitia Pemilihan Luar Negeri (PPLN) yang terletak di kantor perwakilan RI di negara yang bersangkutan. Ada tiga cara pemilihan untuk pemilih luar negeri, yaitu melalui dropbox, pos, dan pemilihan langsung di tempat pemungutan suara di luar negeri.",UU Nomor 8 tahun 2012 pasal 158 s.d. pasal 173,
010,"Saya warga Aceh, tapi saya sedang kuliah di Jakarta, bisakah saya memilih Partai lokal Aceh dari jakarta?",Pemilih yang berasal dari wilayah lain dan ingin memilih Calon DPRD/DPRA/DPRP/DPRPB namun bukan dari wilayahnya harap menghubungi PPS asal maksimal 14 (empat belas) hari sebelum hari pemungutan suara untuk didaftar sebagai Daftar Pemilih Khusus dengan membawa identitas diri untuk mendapat formulir Model A5-KPU yang nantinya harus ditunjukan pada saat pemilih ingin menggunakan hak pilihnya.,"PKPU No. 26 Tahun 2013 Pasal 8 Ayat 1,2,3,4,5,6,7,8, Pasal 9 Ayat 1 dan 2, Pasal 10 Ayat 1 Huruf (a), (b), Ayat 2 Huruf (a), (b), (c), Pasal 11 Ayat 1, 2 Huruf (a), (b), (c).",
