id,name
1,Drs. H. MASHURI
2,DEDE OETOMO.Ph.D
3,Drs. MUHAMMAD MUNFASIR
4,Drs. H. MARDJITO GA
5,H. WASMORO
6,Drs. SUHUDI. MBA
7,Drs. IMRON DJAMIL
8,Dra. Ny. YULIA SIYAMTI SUYADI. SH
9,EDY SISWANTO. SH
10,Dra. H. NUR ZAINAB NOER AZIZ
11,BARIYOTO. SH
12,Ir. H. POERWADI DJOJONEGORO. MMA
13,H. MAHMUD ALI ZAIN
14,MOCHAMMAD CHUSLAN
15,Drs. H. RBM ROFIK
16,KOESOEMADILOGO. SH. MS
17,Drs. SUHERMANTO JA'FAR. M.hum
18,ANTON PRIJATNO. SH
19,Drs. ADTYAS MOELJADI
20,AMIR MAKHMUD
21,H. BADRUS ZAMAN. SE
22,H.A SAID HIDAYAT
23,H. ABDUL JALIL LATUCOSINA
24,Drs. H. SUPRAPTO
25,Drs. M. NIDZOM HIDAYATULLAH
26,Drs. MUHAMMAD SHODIQ. Ak
27,H. BAMBANG TUTUKO. SH
28,Dra. Hj. ESA WAHYU ENDARTI. SH.M.Si.
29,RAFAEL LAMI HERU HARYANTO
30,H. INDRA PRAJITNO
31,KUSAENI
32,Drs. AGUS DWI SASONO. Ak. MSI
33,HUSEIN MUSLIMIN.SH. M. Hum
34,SUGIHARSONO. SE
35,Drs. A. HANIEF SAHA GHAFUR. MA
36,KH. M. NURUDDIN A. RAHMAN. SH
37,H. ROFIK. SH. M.Hum
38,Drs. H. DJOKO S. WAHYUDI. SE. M.Sc
39,ACHMAD MUHYIDDIN KHOTIB
40,SUNHIYAH. S Ag
41,H. AHADIN MINTAROEM
42,Drs. EC. SUDHI DHARMA. M. Th
43,K.H.A MUJIB IMRON. SH
44,Drs. H.M. MACHITH MASRUFI
