id,party_id,name
1,1,Prof. USEP RANAWIJAYA. SH
2,1,TRIE HANDONO. SH
3,1,Prof. Dr. H. NOTO PALGUNO. SE. MSc. MM
4,2,MOHAMMAD HASAN BASHORI
5,2,EDWARD PARSULIAN MARPAUNG
6,2,Drs. JOKO SUJONO
7,2,JAROT INDRIYANTO
8,3,Dr. FUAD AMSYARI. MPH.Ph.D
9,3,Dr. H. IMAM SOEJOSO
10,3,H. WIDARTO. SH
11,3,AGUS M. MAKSUM
12,3,Drs. IMAM MOERDJANI M.A
13,3,Hj. MURSYIDA WIDYA ANGGRAINI
14,4,Hj. SITI ROCHANI. S.Sos. M.Si
15,4,Dra. CHUSNUL SAVITRI
16,5,H. ASNAWI LATIEF
17,5,Dr. Ir. Drs. H. KUSUMA. SH. M.Sc
18,5,CHOIRUROH A.R. S.Ag
19,5,ABDURRACHMAN JADID. SE
20,5,Ir. H. MOH. MATORURROZAQ
21,5,Hj. FENTIN ISTIFATYAH. S. IP
22,5,HUSNI THAMRIN
23,5,SANDRA CAYA BINTHAHIR
24,5,PUSPITA TJAHJANINGRUM. S.Pd
25,6,Prof. Dr. dr. DJOHANSYAH MARZOEKI. Sp.BP
26,6,Dra. SITI RAMLAN ABDULLAH
27,6,JANTJE BOENTARA HENDRA
28,7,TUTI KIRANA
29,7,SIDIK POERNOMO. MPA
30,7,SUYOSO SUKARNO
31,7,Dra. TITIEK AGUSTINA. S.Psi. MM
32,8,H. HARYANTO TASLAN
33,8,HERY WARDONO. SH
34,8,SRI SETYADJI. SH. M.Hum
35,8,DWI SEPTAHANY ISNANIEK
36,9,MARCUS SILANNO. Sip
37,9,Drs. FREDDY PASLA. SE. MBA
38,9,Ir. H. ABDUL MUHAIMIN
39,9,Ir. IDRIS SUGENG. M.Sc
40,9,ANDAR M SITUMORANG. SH. MH
41,9,R. BAMBANG HENDRO. S
42,9,Rr. SRI SATU WIDYASTUTI. MPd
43,10,MOERGITO
44,10,SOEDIRO GUNAWAN
45,10,Drs. ACHMAD HUSEIN
46,10,Drs. EC BAMBANG SUDARTHA
47,11,Drs. H. ENDUNG SUTRISNO. MBA. MM
48,11,Ir. H. MOELYADI. MM
49,11,Ny. NANY PARTINI ANTONO. SH
50,11,THEN LILI
51,12,Ir. ISTI DZURIYAH
52,12,Hj. LILIK PURWATI. SE. MBA
53,13,Drs. DJOKO SUSILO. MA
54,13,PIET KHISBULLAH KHAJDIR
55,13,IFLAHAH ZUHRIYAHTEN. S.Ag
56,13,Drs. M. WAHYUDI INDRAJAYA
57,13,Drs. M. SOKA. SH. MH
58,13,Drs. YUZAR HASAN
59,13,KHARISMA FATHANITA
60,14,LAKSDA TNI (PURNI) ABU HARTONO
61,14,HERRY SUGINARYO
62,14,MUS MULYADI
63,14,Ir. H. DODID PRADOWO PRAKTINYO
64,14,NESHAWATY ARSYAD. SH
65,14,RENI INDRIA SAVITRI
66,14,Drs. H. MOH. SHOLEH
67,14,Drs. ACHMAD SOFYANDI
68,14,Ir. MOHAMMAD COKY MARADEN S
69,14,H. BUDIHARTO MACHRUP
70,14,Hj. SOENTARI BASRAN. SH
71,15,Drs. H.A. MUHAMIN ISKANDAR. M.Si
72,15,KHOFIFAH INDAR PARAWANSA
73,15,H.ARIO WIJANARKO. SH
74,15,ENNY ROSYIDAH. SH
75,15,MOH. HAERUL AMRI
76,15,H.M. ISRO'I
77,15,IR. MONDIR A. ROFII
78,15,DR. ZEIN HEFLIN FRINCES. BSc. MSc.S.Soc
79,16,SURIPTO. SH
80,16,BUDIYANTO. M. Eng
81,16,H. ISMOE HANDOKO
82,16,H. MOCH SUNDORO  SASONGKO
83,16,Ir. NURYATI A. HERPRIADI
84,16,RATRI HANDAYANI. S.Si
85,17,HM. GAGOEK SOEBAGYANTO. SH
86,17,Dr. HM. TASRI SAPTAYUDA. SH
87,17,Dr. dr. SALEH AL KATIRI. MD. M.Sc
88,17,Dr. Ir. SYAMSIR  ABDUH. Ph.D
89,17,YULIANTINI
90,17,RAHMAWATI
91,18,Ir. H. SUTJIPTO
92,18,I. SOEPOMO SW. SH
93,18,MURDAYA POO
94,18,ADRIANUS HARSONO
95,18,PROF. J.E. SAHEPATY
96,18,Drs. PUTU GEDE S
97,18,FANY SETYAWATI WIBOWO. S.KES
98,18,ARIA MERDEKA I
99,18,Drs. H. AGUS S
100,18,Dra. TATIK SUTARTI. MM
101,19,IMANUEL LUMOINDONG
102,19,M. S. RIA SIANTURI
103,19,HERU HANDOKO
104,19,DORA KELESARAN
105,20,JOKO SUBROTO
106,20,Drs. SYAIFUL BAHRI ANSHORI
107,20,JOHAN TEDJA SURYA
108,20,SAHAT TUA.P.SIMANJUNTAK.SH
109,20,DOSSY ISKANDAR PRASETYO. SH. M.Hum
110,20,Ny.D.B.K. PERTIWI
111,20,SALMAWATI
112,20,ALEX MULIA PAATH
113,20,Dr. CHANDRA SUNDARI
114,20,NELSON SIREGAR SORMIN
115,20,HAMDANI WIRYANA
116,21,Hj. MACHMUDAH. SH
117,21,Dr. M. SAM ABEDE PARENO. MM
118,21,Hj. WARA AULIA. SH
119,22,RUDI PRAYITNO
120,22,JIMMY YOSANDI. S.Sos
121,22,YETI HERAWATY
122,22,BONDAN SUMANTRI (KOL. MAR PURN)
123,23,Dra. RETNO TRIANI JOHAN. MSc
124,23,A.F. RUSLANDINATA.SH. MBA. MM
125,24,JOHANES JUDIONO. SE. MM
126,24,DJOELI WAHSONO
