id,entity_type,entity_id,sub_districts_id,voice,description
1,Party,8,1,505,Perolehan Suara Partai
2,Party,8,2,386,Perolehan Suara Partai
3,Party,8,3,310,Perolehan Suara Partai
4,Party,8,4,185,Perolehan Suara Partai
5,Party,8,5,519,Perolehan Suara Partai
6,Party,8,6,88,Perolehan Suara Partai
7,Party,8,7,1224,Perolehan Suara Partai
8,Party,8,8,295,Perolehan Suara Partai
9,Party,8,9,686,Perolehan Suara Partai
10,Party,8,10,842,Perolehan Suara Partai
11,Party,9,1,4308,Perolehan Suara Partai
12,Party,9,2,6654,Perolehan Suara Partai
13,Party,9,3,1945,Perolehan Suara Partai
14,Party,9,4,3603,Perolehan Suara Partai
15,Party,9,5,3581,Perolehan Suara Partai
16,Party,9,6,3970,Perolehan Suara Partai
17,Party,9,7,6572,Perolehan Suara Partai
18,Party,9,8,6014,Perolehan Suara Partai
19,Party,9,9,11676,Perolehan Suara Partai
20,Party,9,10,7943,Perolehan Suara Partai
21,Party,10,1,135,Perolehan Suara Partai
22,Party,10,2,188,Perolehan Suara Partai
23,Party,10,3,28,Perolehan Suara Partai
24,Party,10,4,457,Perolehan Suara Partai
25,Party,10,5,84,Perolehan Suara Partai
26,Party,10,6,195,Perolehan Suara Partai
27,Party,10,7,95,Perolehan Suara Partai
28,Party,10,8,165,Perolehan Suara Partai
29,Party,10,9,250,Perolehan Suara Partai
30,Party,10,10,201,Perolehan Suara Partai
31,Party,11,1,191,Perolehan Suara Partai
32,Party,11,2,204,Perolehan Suara Partai
33,Party,11,3,50,Perolehan Suara Partai
34,Party,11,4,83,Perolehan Suara Partai
35,Party,11,5,122,Perolehan Suara Partai
36,Party,11,6,71,Perolehan Suara Partai
37,Party,11,7,260,Perolehan Suara Partai
38,Party,11,8,157,Perolehan Suara Partai
39,Party,11,9,376,Perolehan Suara Partai
40,Party,11,10,265,Perolehan Suara Partai
41,Party,12,1,91,Perolehan Suara Partai
42,Party,12,2,121,Perolehan Suara Partai
43,Party,12,3,93,Perolehan Suara Partai
44,Party,12,4,44,Perolehan Suara Partai
45,Party,12,5,48,Perolehan Suara Partai
46,Party,12,6,49,Perolehan Suara Partai
47,Party,12,7,192,Perolehan Suara Partai
48,Party,12,8,133,Perolehan Suara Partai
49,Party,12,9,247,Perolehan Suara Partai
50,Party,12,10,94,Perolehan Suara Partai
51,Party,13,1,1940,Perolehan Suara Partai
52,Party,13,2,3465,Perolehan Suara Partai
53,Party,13,3,1335,Perolehan Suara Partai
54,Party,13,4,2008,Perolehan Suara Partai
55,Party,13,5,1957,Perolehan Suara Partai
56,Party,13,6,1868,Perolehan Suara Partai
57,Party,13,7,3597,Perolehan Suara Partai
58,Party,13,8,2442,Perolehan Suara Partai
59,Party,13,9,6188,Perolehan Suara Partai
60,Party,13,10,4537,Perolehan Suara Partai
61,Party,14,1,421,Perolehan Suara Partai
62,Party,14,2,488,Perolehan Suara Partai
63,Party,14,3,330,Perolehan Suara Partai
64,Party,14,4,207,Perolehan Suara Partai
65,Party,14,5,195,Perolehan Suara Partai
66,Party,14,6,223,Perolehan Suara Partai
67,Party,14,7,728,Perolehan Suara Partai
68,Party,14,8,511,Perolehan Suara Partai
69,Party,14,9,588,Perolehan Suara Partai
70,Party,14,10,532,Perolehan Suara Partai
71,Party,15,1,15233,Perolehan Suara Partai
72,Party,15,2,8938,Perolehan Suara Partai
73,Party,15,3,7746,Perolehan Suara Partai
74,Party,15,4,3895,Perolehan Suara Partai
75,Party,15,5,7241,Perolehan Suara Partai
76,Party,15,6,2905,Perolehan Suara Partai
77,Party,15,7,19963,Perolehan Suara Partai
78,Party,15,8,8657,Perolehan Suara Partai
79,Party,15,9,9867,Perolehan Suara Partai
80,Party,15,10,10026,Perolehan Suara Partai
81,Party,16,1,1403,Perolehan Suara Partai
82,Party,16,2,2674,Perolehan Suara Partai
83,Party,16,3,730,Perolehan Suara Partai
84,Party,16,4,1731,Perolehan Suara Partai
85,Party,16,5,1146,Perolehan Suara Partai
86,Party,16,6,1817,Perolehan Suara Partai
87,Party,16,7,2278,Perolehan Suara Partai
88,Party,16,8,2136,Perolehan Suara Partai
89,Party,16,9,5945,Perolehan Suara Partai
90,Party,16,10,2413,Perolehan Suara Partai
91,Party,17,1,271,Perolehan Suara Partai
92,Party,17,2,278,Perolehan Suara Partai
93,Party,17,3,102,Perolehan Suara Partai
94,Party,17,4,102,Perolehan Suara Partai
95,Party,17,5,90,Perolehan Suara Partai
96,Party,17,6,25,Perolehan Suara Partai
97,Party,17,7,472,Perolehan Suara Partai
98,Party,17,8,245,Perolehan Suara Partai
99,Party,17,9,450,Perolehan Suara Partai
100,Party,17,10,382,Perolehan Suara Partai
101,Party,18,1,12368,Perolehan Suara Partai
102,Party,18,2,10630,Perolehan Suara Partai
103,Party,18,3,3450,Perolehan Suara Partai
104,Party,18,4,6128,Perolehan Suara Partai
105,Party,18,5,8552,Perolehan Suara Partai
106,Party,18,6,5766,Perolehan Suara Partai
107,Party,18,7,17740,Perolehan Suara Partai
108,Party,18,8,9033,Perolehan Suara Partai
109,Party,18,9,14770,Perolehan Suara Partai
110,Party,18,10,18525,Perolehan Suara Partai
111,Party,19,1,3136,Perolehan Suara Partai
112,Party,19,2,2329,Perolehan Suara Partai
113,Party,19,3,412,Perolehan Suara Partai
114,Party,19,4,520,Perolehan Suara Partai
115,Party,19,5,2523,Perolehan Suara Partai
116,Party,19,6,1151,Perolehan Suara Partai
117,Party,19,7,1633,Perolehan Suara Partai
118,Party,19,8,2561,Perolehan Suara Partai
119,Party,19,9,4693,Perolehan Suara Partai
120,Party,19,10,4040,Perolehan Suara Partai
121,Party,20,1,1684,Perolehan Suara Partai
122,Party,20,2,2675,Perolehan Suara Partai
123,Party,20,3,1099,Perolehan Suara Partai
124,Party,20,4,1660,Perolehan Suara Partai
125,Party,20,5,1606,Perolehan Suara Partai
126,Party,20,6,1713,Perolehan Suara Partai
127,Party,20,7,3284,Perolehan Suara Partai
128,Party,20,8,2173,Perolehan Suara Partai
129,Party,20,9,2966,Perolehan Suara Partai
130,Party,20,10,2999,Perolehan Suara Partai
131,Party,21,1,154,Perolehan Suara Partai
132,Party,21,2,234,Perolehan Suara Partai
133,Party,21,3,88,Perolehan Suara Partai
134,Party,21,4,136,Perolehan Suara Partai
135,Party,21,5,285,Perolehan Suara Partai
136,Party,21,6,59,Perolehan Suara Partai
137,Party,21,7,247,Perolehan Suara Partai
138,Party,21,8,238,Perolehan Suara Partai
139,Party,21,9,306,Perolehan Suara Partai
140,Party,21,10,174,Perolehan Suara Partai
141,Party,22,1,55,Perolehan Suara Partai
142,Party,22,2,62,Perolehan Suara Partai
143,Party,22,3,16,Perolehan Suara Partai
144,Party,22,4,23,Perolehan Suara Partai
145,Party,22,5,37,Perolehan Suara Partai
146,Party,22,6,70,Perolehan Suara Partai
147,Party,22,7,94,Perolehan Suara Partai
148,Party,22,8,65,Perolehan Suara Partai
149,Party,22,9,75,Perolehan Suara Partai
150,Party,22,10,70,Perolehan Suara Partai
151,Party,23,1,21,Perolehan Suara Partai
152,Party,23,2,52,Perolehan Suara Partai
153,Party,23,3,31,Perolehan Suara Partai
154,Party,23,4,24,Perolehan Suara Partai
155,Party,23,5,29,Perolehan Suara Partai
156,Party,23,6,28,Perolehan Suara Partai
157,Party,23,7,60,Perolehan Suara Partai
158,Party,23,8,65,Perolehan Suara Partai
159,Party,23,9,54,Perolehan Suara Partai
160,Party,23,10,57,Perolehan Suara Partai
161,Party,24,1,407,Perolehan Suara Partai
162,Party,24,2,64,Perolehan Suara Partai
163,Party,24,3,23,Perolehan Suara Partai
164,Party,24,4,38,Perolehan Suara Partai
165,Party,24,5,111,Perolehan Suara Partai
166,Party,24,6,28,Perolehan Suara Partai
167,Party,24,7,66,Perolehan Suara Partai
168,Party,24,8,66,Perolehan Suara Partai
169,Party,24,9,113,Perolehan Suara Partai
170,Party,24,10,74,Perolehan Suara Partai
171,Party,1,11,79,Perolehan Suara Partai
172,Party,1,12,116,Perolehan Suara Partai
173,Party,1,13,35,Perolehan Suara Partai
174,Party,1,14,87,Perolehan Suara Partai
175,Party,1,15,60,Perolehan Suara Partai
176,Party,1,16,222,Perolehan Suara Partai
177,Party,1,17,257,Perolehan Suara Partai
178,Party,1,18,144,Perolehan Suara Partai
179,Party,1,19,80,Perolehan Suara Partai
180,Party,2,11,94,Perolehan Suara Partai
181,Party,2,12,124,Perolehan Suara Partai
182,Party,2,13,35,Perolehan Suara Partai
183,Party,2,14,94,Perolehan Suara Partai
184,Party,2,15,61,Perolehan Suara Partai
185,Party,2,16,213,Perolehan Suara Partai
186,Party,2,17,306,Perolehan Suara Partai
187,Party,2,18,337,Perolehan Suara Partai
188,Party,2,19,251,Perolehan Suara Partai
189,Party,3,11,254,Perolehan Suara Partai
190,Party,3,12,330,Perolehan Suara Partai
191,Party,3,13,73,Perolehan Suara Partai
192,Party,3,14,584,Perolehan Suara Partai
193,Party,3,15,152,Perolehan Suara Partai
194,Party,3,16,716,Perolehan Suara Partai
195,Party,3,17,686,Perolehan Suara Partai
196,Party,3,18,687,Perolehan Suara Partai
197,Party,3,19,342,Perolehan Suara Partai
198,Party,4,11,44,Perolehan Suara Partai
199,Party,4,12,61,Perolehan Suara Partai
200,Party,4,13,169,Perolehan Suara Partai
201,Party,4,14,34,Perolehan Suara Partai
202,Party,4,15,34,Perolehan Suara Partai
203,Party,4,16,135,Perolehan Suara Partai
204,Party,4,17,142,Perolehan Suara Partai
205,Party,4,18,36,Perolehan Suara Partai
206,Party,4,19,82,Perolehan Suara Partai
207,Party,5,11,566,Perolehan Suara Partai
208,Party,5,12,964,Perolehan Suara Partai
209,Party,5,13,272,Perolehan Suara Partai
210,Party,5,14,1250,Perolehan Suara Partai
211,Party,5,15,549,Perolehan Suara Partai
212,Party,5,16,1313,Perolehan Suara Partai
213,Party,5,17,1504,Perolehan Suara Partai
214,Party,5,18,1192,Perolehan Suara Partai
215,Party,5,19,1576,Perolehan Suara Partai
216,Party,7,11,106,Perolehan Suara Partai
217,Party,7,12,126,Perolehan Suara Partai
218,Party,7,13,26,Perolehan Suara Partai
219,Party,7,14,85,Perolehan Suara Partai
220,Party,7,15,35,Perolehan Suara Partai
221,Party,7,16,265,Perolehan Suara Partai
222,Party,7,17,278,Perolehan Suara Partai
223,Party,7,18,60,Perolehan Suara Partai
224,Party,7,19,133,Perolehan Suara Partai
225,Party,8,11,301,Perolehan Suara Partai
226,Party,8,12,568,Perolehan Suara Partai
227,Party,8,13,231,Perolehan Suara Partai
228,Party,8,14,622,Perolehan Suara Partai
229,Party,8,15,411,Perolehan Suara Partai
230,Party,8,16,651,Perolehan Suara Partai
231,Party,8,17,1133,Perolehan Suara Partai
232,Party,8,18,459,Perolehan Suara Partai
233,Party,8,19,373,Perolehan Suara Partai
234,Party,9,11,6307,Perolehan Suara Partai
235,Party,9,12,6559,Perolehan Suara Partai
236,Party,9,13,1777,Perolehan Suara Partai
237,Party,9,14,4092,Perolehan Suara Partai
238,Party,9,15,3321,Perolehan Suara Partai
239,Party,9,16,13030,Perolehan Suara Partai
240,Party,9,17,14341,Perolehan Suara Partai
241,Party,9,18,6415,Perolehan Suara Partai
242,Party,9,19,9994,Perolehan Suara Partai
243,Party,10,11,146,Perolehan Suara Partai
244,Party,10,12,99,Perolehan Suara Partai
245,Party,10,13,46,Perolehan Suara Partai
246,Party,10,14,104,Perolehan Suara Partai
247,Party,10,15,58,Perolehan Suara Partai
248,Party,10,16,1046,Perolehan Suara Partai
249,Party,10,17,558,Perolehan Suara Partai
250,Party,10,18,130,Perolehan Suara Partai
251,Party,10,19,258,Perolehan Suara Partai
252,Party,11,11,224,Perolehan Suara Partai
253,Party,11,12,205,Perolehan Suara Partai
254,Party,11,13,40,Perolehan Suara Partai
255,Party,11,14,146,Perolehan Suara Partai
256,Party,11,15,160,Perolehan Suara Partai
257,Party,11,16,359,Perolehan Suara Partai
258,Party,11,17,476,Perolehan Suara Partai
259,Party,11,18,194,Perolehan Suara Partai
260,Party,11,19,265,Perolehan Suara Partai
261,Party,12,11,74,Perolehan Suara Partai
262,Party,12,12,120,Perolehan Suara Partai
263,Party,12,13,28,Perolehan Suara Partai
264,Party,12,14,161,Perolehan Suara Partai
265,Party,12,15,43,Perolehan Suara Partai
266,Party,12,16,286,Perolehan Suara Partai
267,Party,12,17,244,Perolehan Suara Partai
268,Party,12,18,94,Perolehan Suara Partai
269,Party,12,19,146,Perolehan Suara Partai
270,Party,13,11,4016,Perolehan Suara Partai
271,Party,13,12,4444,Perolehan Suara Partai
272,Party,13,13,1628,Perolehan Suara Partai
273,Party,13,14,2242,Perolehan Suara Partai
274,Party,13,15,1794,Perolehan Suara Partai
275,Party,13,16,6099,Perolehan Suara Partai
276,Party,13,17,6013,Perolehan Suara Partai
277,Party,13,18,3993,Perolehan Suara Partai
278,Party,13,19,3979,Perolehan Suara Partai
279,Party,14,11,422,Perolehan Suara Partai
280,Party,14,12,452,Perolehan Suara Partai
281,Party,14,13,181,Perolehan Suara Partai
282,Party,14,14,415,Perolehan Suara Partai
283,Party,14,15,1299,Perolehan Suara Partai
284,Party,14,16,832,Perolehan Suara Partai
285,Party,14,17,757,Perolehan Suara Partai
286,Party,14,18,634,Perolehan Suara Partai
287,Party,14,19,879,Perolehan Suara Partai
288,Party,15,11,8134,Perolehan Suara Partai
289,Party,15,12,12562,Perolehan Suara Partai
290,Party,15,13,5387,Perolehan Suara Partai
291,Party,15,14,11585,Perolehan Suara Partai
292,Party,15,15,4700,Perolehan Suara Partai
293,Party,15,16,13574,Perolehan Suara Partai
294,Party,15,17,14920,Perolehan Suara Partai
295,Party,15,18,14023,Perolehan Suara Partai
296,Party,15,19,12564,Perolehan Suara Partai
297,Party,16,11,2646,Perolehan Suara Partai
298,Party,16,12,2862,Perolehan Suara Partai
299,Party,16,13,762,Perolehan Suara Partai
300,Party,16,14,2380,Perolehan Suara Partai
301,Party,16,15,1498,Perolehan Suara Partai
302,Party,16,16,5556,Perolehan Suara Partai
303,Party,16,17,5207,Perolehan Suara Partai
304,Party,16,18,2970,Perolehan Suara Partai
305,Party,16,19,3561,Perolehan Suara Partai
306,Party,17,11,182,Perolehan Suara Partai
307,Party,17,12,225,Perolehan Suara Partai
308,Party,17,13,151,Perolehan Suara Partai
309,Party,17,14,241,Perolehan Suara Partai
310,Party,17,15,126,Perolehan Suara Partai
311,Party,17,16,368,Perolehan Suara Partai
312,Party,17,17,909,Perolehan Suara Partai
313,Party,17,18,312,Perolehan Suara Partai
314,Party,17,19,267,Perolehan Suara Partai
315,Party,18,11,12999,Perolehan Suara Partai
316,Party,18,12,13049,Perolehan Suara Partai
317,Party,18,13,4374,Perolehan Suara Partai
318,Party,18,14,8307,Perolehan Suara Partai
319,Party,18,15,7666,Perolehan Suara Partai
320,Party,18,16,22540,Perolehan Suara Partai
321,Party,18,17,41762,Perolehan Suara Partai
322,Party,18,18,15651,Perolehan Suara Partai
323,Party,18,19,11749,Perolehan Suara Partai
324,Party,19,11,5333,Perolehan Suara Partai
325,Party,19,12,2163,Perolehan Suara Partai
326,Party,19,13,656,Perolehan Suara Partai
327,Party,19,14,1711,Perolehan Suara Partai
328,Party,19,15,1897,Perolehan Suara Partai
329,Party,19,16,3750,Perolehan Suara Partai
330,Party,19,17,7128,Perolehan Suara Partai
331,Party,19,18,2607,Perolehan Suara Partai
332,Party,19,19,4200,Perolehan Suara Partai
333,Party,20,11,2151,Perolehan Suara Partai
334,Party,20,12,2974,Perolehan Suara Partai
335,Party,20,13,790,Perolehan Suara Partai
336,Party,20,14,2601,Perolehan Suara Partai
337,Party,20,15,2061,Perolehan Suara Partai
338,Party,20,16,5856,Perolehan Suara Partai
339,Party,20,17,5856,Perolehan Suara Partai
340,Party,20,18,3286,Perolehan Suara Partai
341,Party,20,19,2882,Perolehan Suara Partai
342,Party,21,11,257,Perolehan Suara Partai
343,Party,21,12,236,Perolehan Suara Partai
344,Party,21,13,98,Perolehan Suara Partai
345,Party,21,14,359,Perolehan Suara Partai
346,Party,21,15,104,Perolehan Suara Partai
347,Party,21,16,760,Perolehan Suara Partai
348,Party,21,17,788,Perolehan Suara Partai
349,Party,21,18,895,Perolehan Suara Partai
350,Party,21,19,164,Perolehan Suara Partai
351,Party,22,11,53,Perolehan Suara Partai
352,Party,22,12,61,Perolehan Suara Partai
353,Party,22,13,18,Perolehan Suara Partai
354,Party,22,14,64,Perolehan Suara Partai
355,Party,22,15,37,Perolehan Suara Partai
356,Party,22,16,187,Perolehan Suara Partai
357,Party,22,17,128,Perolehan Suara Partai
358,Party,22,18,64,Perolehan Suara Partai
359,Party,22,19,91,Perolehan Suara Partai
360,Party,23,11,34,Perolehan Suara Partai
361,Party,23,12,80,Perolehan Suara Partai
362,Party,23,13,11,Perolehan Suara Partai
363,Party,23,14,37,Perolehan Suara Partai
364,Party,23,15,39,Perolehan Suara Partai
365,Party,23,16,158,Perolehan Suara Partai
366,Party,23,17,126,Perolehan Suara Partai
367,Party,23,18,143,Perolehan Suara Partai
368,Party,23,19,58,Perolehan Suara Partai
369,Party,24,11,79,Perolehan Suara Partai
370,Party,24,12,109,Perolehan Suara Partai
371,Party,24,13,126,Perolehan Suara Partai
372,Party,24,14,75,Perolehan Suara Partai
373,Party,24,15,55,Perolehan Suara Partai
374,Party,24,16,161,Perolehan Suara Partai
375,Party,24,17,236,Perolehan Suara Partai
376,Party,24,18,293,Perolehan Suara Partai
377,Party,24,19,136,Perolehan Suara Partai
378,Party,1,20,135,Perolehan Suara Partai
379,Party,1,21,33,Perolehan Suara Partai
380,Party,1,22,86,Perolehan Suara Partai
381,Party,1,23,77,Perolehan Suara Partai
382,Party,1,24,93,Perolehan Suara Partai
383,Party,1,25,137,Perolehan Suara Partai
384,Party,1,26,35,Perolehan Suara Partai
385,Party,1,27,129,Perolehan Suara Partai
386,Party,1,28,65,Perolehan Suara Partai
387,Party,2,20,118,Perolehan Suara Partai
388,Party,2,21,85,Perolehan Suara Partai
389,Party,2,22,152,Perolehan Suara Partai
390,Party,2,23,60,Perolehan Suara Partai
391,Party,2,24,117,Perolehan Suara Partai
392,Party,2,25,167,Perolehan Suara Partai
393,Party,2,26,61,Perolehan Suara Partai
394,Party,2,27,244,Perolehan Suara Partai
395,Party,2,28,56,Perolehan Suara Partai
396,Party,3,20,269,Perolehan Suara Partai
397,Party,3,21,136,Perolehan Suara Partai
398,Party,3,22,578,Perolehan Suara Partai
399,Party,3,23,148,Perolehan Suara Partai
400,Party,3,24,563,Perolehan Suara Partai
401,Party,3,25,248,Perolehan Suara Partai
402,Party,3,26,135,Perolehan Suara Partai
403,Party,3,27,305,Perolehan Suara Partai
404,Party,3,28,153,Perolehan Suara Partai
405,Party,4,20,28,Perolehan Suara Partai
406,Party,4,21,38,Perolehan Suara Partai
407,Party,4,22,95,Perolehan Suara Partai
408,Party,4,23,59,Perolehan Suara Partai
409,Party,4,24,50,Perolehan Suara Partai
410,Party,4,25,40,Perolehan Suara Partai
411,Party,4,26,25,Perolehan Suara Partai
412,Party,4,27,69,Perolehan Suara Partai
413,Party,4,28,28,Perolehan Suara Partai
414,Party,5,20,543,Perolehan Suara Partai
415,Party,5,21,502,Perolehan Suara Partai
416,Party,5,22,2695,Perolehan Suara Partai
417,Party,5,23,960,Perolehan Suara Partai
418,Party,5,24,970,Perolehan Suara Partai
419,Party,5,25,843,Perolehan Suara Partai
420,Party,5,26,1267,Perolehan Suara Partai
421,Party,5,27,835,Perolehan Suara Partai
422,Party,5,28,407,Perolehan Suara Partai
423,Party,6,20,105,Perolehan Suara Partai
424,Party,6,21,56,Perolehan Suara Partai
425,Party,6,22,86,Perolehan Suara Partai
426,Party,6,23,149,Perolehan Suara Partai
427,Party,6,24,174,Perolehan Suara Partai
428,Party,6,25,146,Perolehan Suara Partai
429,Party,6,26,161,Perolehan Suara Partai
430,Party,6,27,263,Perolehan Suara Partai
431,Party,6,28,66,Perolehan Suara Partai
432,Party,7,20,90,Perolehan Suara Partai
433,Party,7,21,28,Perolehan Suara Partai
434,Party,7,22,82,Perolehan Suara Partai
435,Party,7,23,18,Perolehan Suara Partai
436,Party,7,24,85,Perolehan Suara Partai
437,Party,7,25,70,Perolehan Suara Partai
438,Party,7,26,17,Perolehan Suara Partai
439,Party,7,27,43,Perolehan Suara Partai
